symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDHOTEL,EQ,25-Mar-2026,604.05,611.7,625.95,609.7,619.4,617.3,617.91,"28,87,317","1,78,41,01,130.20","65,986","17,57,112",60.86
INDHOTEL,EQ,24-Mar-2026,582.45,599.9,607.5,588.0,605.0,604.05,598.68,"29,90,050","1,79,00,92,944.60","92,849","18,01,599",60.25
INDHOTEL,EQ,23-Mar-2026,615.55,610.55,611.0,580.85,583.95,582.45,588.52,"34,95,215","2,05,70,13,848.65","90,546","20,05,192",57.37
INDHOTEL,EQ,20-Mar-2026,613.65,616.7,630.4,614.05,617.0,615.55,619.27,"17,43,429","1,07,96,61,852.40","28,668","9,91,789",56.89
INDHOTEL,EQ,19-Mar-2026,636.95,629.35,629.35,611.55,615.7,613.65,619.56,"10,29,632","63,79,16,940.65","25,861","4,50,098",43.71
INDHOTEL,EQ,18-Mar-2026,622.05,624.85,641.9,621.7,637.0,636.95,636.42,"24,00,000","1,52,74,12,039.30","68,477","13,23,316",55.14
INDHOTEL,EQ,17-Mar-2026,613.35,615.0,624.95,608.0,624.8,622.05,616.95,"22,70,604","1,40,08,54,221.85","49,852","12,44,458",54.81
INDHOTEL,EQ,16-Mar-2026,609.85,610.0,617.2,595.0,613.0,613.35,607.02,"33,56,823","2,03,76,51,665.85","81,781","18,55,749",55.28
INDHOTEL,EQ,13-Mar-2026,624.95,617.2,624.95,607.05,611.05,609.85,612.34,"28,89,105","1,76,91,16,621.15","47,848","14,95,976",51.78
INDHOTEL,EQ,12-Mar-2026,624.05,617.0,631.9,603.75,623.35,624.95,619.29,"47,23,816","2,92,54,17,761.90","50,403","29,13,372",61.67
INDHOTEL,EQ,11-Mar-2026,629.4,630.0,632.0,620.35,622.45,624.05,625.32,"23,74,852","1,48,50,54,196.30","40,088","15,11,081",63.63
INDHOTEL,EQ,10-Mar-2026,611.7,612.25,631.4,612.25,630.0,629.4,624.91,"28,81,261","1,80,05,31,121.85","57,228","16,56,920",57.51
INDHOTEL,EQ,09-Mar-2026,623.85,610.1,613.95,597.0,613.8,611.7,605.31,"36,79,712","2,22,73,58,618.20","79,432","22,73,014",61.77
INDHOTEL,EQ,06-Mar-2026,629.7,624.65,629.75,618.8,624.0,623.85,623.72,"37,77,555","2,35,61,33,309.10","64,746","22,34,933",59.16
INDHOTEL,EQ,05-Mar-2026,633.75,638.0,641.85,614.1,630.85,629.7,624.81,"42,57,521","2,66,01,59,710.75","1,00,304","23,99,337",56.36
INDHOTEL,EQ,04-Mar-2026,651.0,640.0,643.05,630.0,632.8,633.75,636.52,"32,10,626","2,04,36,25,790.75","65,030","18,37,625",57.24
INDHOTEL,EQ,02-Mar-2026,667.05,645.3,662.1,640.25,651.05,651.0,654.36,"18,94,582","1,23,97,38,794.85","38,924","9,96,779",52.61
INDHOTEL,EQ,27-Feb-2026,680.95,685.0,685.0,665.25,668.05,667.05,670.47,"49,68,047","3,33,09,29,865.55","84,889","37,21,248",74.9
INDHOTEL,EQ,26-Feb-2026,676.7,676.7,682.05,672.95,681.5,680.95,678.32,"15,40,627","1,04,50,42,306.15","24,762","9,72,507",63.12
INDHOTEL,EQ,25-Feb-2026,676.15,678.0,682.9,671.25,676.5,676.7,677.59,"14,63,623","99,17,34,289.45","27,792","8,70,785",59.5
INDHOTEL,EQ,24-Feb-2026,675.1,669.1,679.1,668.3,678.0,676.15,672.42,"25,32,825","1,70,31,34,299.80","42,995","16,73,854",66.09
