symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDIANB,EQ,22-Jan-2025,525.3,525.3,527.6,512.1,522.85,521.2,518.34,"6,21,153","32,19,67,661.00","26,379","2,33,737",37.63
INDIANB,EQ,23-Jan-2025,521.2,523.5,528.75,514.1,516.95,516.7,520.36,"5,47,154","28,47,15,388.55","23,460","2,05,553",37.57
INDIANB,EQ,24-Jan-2025,516.7,516.7,519.95,498.1,501.85,501.25,505.77,"7,81,339","39,51,76,494.00","20,707","2,94,201",37.65
INDIANB,EQ,27-Jan-2025,501.25,500.25,502.65,486.0,501.0,498.55,495.49,"27,17,294","1,34,64,04,214.50","49,011","15,86,386",58.38
INDIANB,EQ,28-Jan-2025,498.55,506.4,523.0,496.2,515.0,514.15,511.01,"26,81,319","1,37,01,91,432.20","83,051","10,49,477",39.14
INDIANB,EQ,29-Jan-2025,514.15,518.0,553.75,510.55,545.6,544.75,540.86,"52,82,493","2,85,70,83,877.55","1,17,470","15,08,465",28.56
INDIANB,EQ,30-Jan-2025,544.75,550.0,560.7,541.95,544.0,545.85,550.74,"32,76,234","1,80,43,58,369.40","93,250","9,93,614",30.33
INDIANB,EQ,31-Jan-2025,545.85,545.85,561.3,540.4,554.6,555.75,552.46,"17,45,735","96,44,51,161.50","65,881","8,18,699",46.9
INDIANB,EQ,01-Feb-2025,555.75,555.0,559.8,528.75,535.45,535.35,543.78,"16,58,596","90,19,04,802.65","39,799","6,52,745",39.36
INDIANB,EQ,03-Feb-2025,535.35,537.45,537.45,511.5,520.45,520.4,519.38,"17,32,837","90,00,06,368.45","56,813","6,85,015",39.53
INDIANB,EQ,04-Feb-2025,520.4,523.0,543.6,523.0,540.45,540.25,535.55,"21,73,783","1,16,41,60,621.15","59,784","8,52,187",39.2
INDIANB,EQ,05-Feb-2025,540.25,540.45,552.4,535.55,542.0,540.2,543.48,"16,06,812","87,32,75,949.25","43,369","5,84,709",36.39
INDIANB,EQ,06-Feb-2025,540.2,545.75,555.0,542.1,546.05,547.9,547.48,"16,58,355","90,79,13,420.30","40,254","7,27,590",43.87
INDIANB,EQ,07-Feb-2025,547.9,549.9,552.6,539.45,542.15,543.35,545.14,"16,78,959","91,52,66,470.50","46,942","7,33,391",43.68
INDIANB,EQ,10-Feb-2025,543.35,543.25,543.25,521.95,524.0,524.5,527.75,"6,21,353","32,79,20,795.90","24,545","1,81,000",29.13
INDIANB,EQ,11-Feb-2025,524.5,527.0,527.0,511.35,512.0,513.55,516.42,"6,70,884","34,64,58,859.75","26,806","2,26,659",33.79
INDIANB,EQ,12-Feb-2025,513.55,513.5,523.0,500.65,518.0,518.35,514.12,"14,63,147","75,22,39,157.80","43,344","5,65,069",38.62
INDIANB,EQ,13-Feb-2025,518.35,521.35,527.9,517.3,518.05,519.9,522.18,"8,23,716","43,01,24,154.35","24,719","4,06,768",49.38
INDIANB,EQ,14-Feb-2025,519.9,520.0,524.9,500.95,506.15,508.45,508.31,"10,59,253","53,84,26,655.05","26,017","4,90,790",46.33
INDIANB,EQ,17-Feb-2025,508.45,509.95,519.7,496.8,517.3,517.55,509.62,"8,89,502","45,33,05,277.10","38,215","3,45,466",38.84
INDIANB,EQ,18-Feb-2025,517.55,520.0,520.0,505.1,517.0,518.75,514.46,"12,06,413","62,06,53,426.20","46,113","6,35,635",52.69
INDIANB,EQ,19-Feb-2025,518.75,517.8,527.9,510.6,525.4,525.95,523.83,"7,67,980","40,22,88,409.20","21,116","3,64,584",47.47
INDIANB,EQ,20-Feb-2025,525.95,524.0,531.5,518.5,526.75,525.65,526.42,"8,85,281","46,60,29,188.95","30,933","2,95,779",33.41
INDIANB,EQ,21-Feb-2025,525.65,525.0,535.0,514.1,515.95,516.1,520.79,"9,73,629","50,70,55,941.70","35,019","2,74,860",28.23
INDIANB,EQ,24-Feb-2025,516.1,510.3,530.0,508.45,527.25,528.15,522.46,"14,12,080","73,77,51,673.55","50,802","3,78,675",26.82
INDIANB,EQ,25-Feb-2025,528.15,528.15,528.15,518.3,521.15,522.0,523.49,"7,57,090","39,63,26,661.85","29,460","3,55,167",46.91
INDIANB,EQ,27-Feb-2025,522.0,522.0,530.15,516.05,520.75,521.6,522.13,"12,78,175","66,73,72,158.05","36,216","4,74,491",37.12
INDIANB,EQ,28-Feb-2025,521.6,520.0,520.0,501.55,510.0,510.8,509.62,"12,16,404","61,99,05,985.55","37,511","4,72,775",38.87
INDIANB,EQ,03-Mar-2025,510.8,508.0,515.3,496.5,500.0,500.1,501.28,"14,12,943","70,82,76,577.75","50,486","5,53,091",39.14
INDIANB,EQ,04-Mar-2025,500.1,495.05,510.55,491.05,504.5,504.55,503.22,"11,38,419","57,28,75,326.95","37,994","2,98,652",26.23
INDIANB,EQ,05-Mar-2025,504.55,502.0,522.6,502.0,520.4,521.4,515.9,"12,62,306","65,12,28,065.15","32,458","4,54,317",35.99
INDIANB,EQ,06-Mar-2025,521.4,525.0,529.0,518.7,524.4,526.8,525.01,"7,49,718","39,36,13,128.60","21,154","2,17,440",29.0
INDIANB,EQ,07-Mar-2025,526.8,527.0,535.0,523.05,528.8,530.15,530.64,"8,04,671","42,69,94,540.35","25,071","2,28,066",28.34
INDIANB,EQ,10-Mar-2025,530.15,528.1,533.0,505.5,506.5,508.25,517.64,"11,84,102","61,29,41,762.70","26,383","4,92,442",41.59
INDIANB,EQ,11-Mar-2025,508.25,507.8,514.5,502.05,512.5,511.4,509.96,"10,31,456","52,60,03,535.35","28,211","4,71,155",45.68
INDIANB,EQ,12-Mar-2025,511.4,510.0,518.7,491.15,492.8,493.85,499.29,"15,31,518","76,46,69,160.65","33,891","7,51,261",49.05
INDIANB,EQ,13-Mar-2025,493.85,495.05,501.55,478.0,491.0,490.4,488.74,"18,11,762","88,54,83,473.15","38,822","6,70,433",37.0
INDIANB,EQ,17-Mar-2025,490.4,493.0,504.8,492.25,499.45,499.65,500.29,"7,42,582","37,15,03,335.30","20,014","2,89,584",39.0
INDIANB,EQ,18-Mar-2025,499.65,500.0,514.0,500.0,512.2,512.95,509.98,"9,69,758","49,45,56,160.85","16,861","5,81,670",59.98
INDIANB,EQ,19-Mar-2025,512.95,515.0,526.25,514.0,525.0,525.25,522.71,"9,02,207","47,15,89,355.20","16,354","4,30,347",47.7
INDIANB,EQ,20-Mar-2025,525.25,528.65,536.8,524.45,532.8,534.25,531.66,"13,00,331","69,13,30,874.00","33,161","7,27,393",55.94
INDIANB,EQ,21-Mar-2025,534.25,532.0,552.15,530.75,548.6,547.95,541.42,"18,03,836","97,66,32,852.65","35,283","12,11,065",67.14
INDIANB,EQ,24-Mar-2025,547.95,553.0,555.95,545.8,548.05,548.0,548.76,"11,02,197","60,48,45,777.80","33,933","5,25,995",47.72
INDIANB,EQ,25-Mar-2025,548.0,552.1,554.0,538.85,543.55,543.05,543.53,"13,05,071","70,93,43,784.40","38,137","7,71,364",59.11
INDIANB,EQ,26-Mar-2025,543.05,543.05,555.0,538.55,543.0,542.75,547.68,"15,27,225","83,64,30,890.95","50,068","4,15,246",27.19
INDIANB,EQ,27-Mar-2025,542.75,538.55,558.0,536.65,550.0,552.9,547.71,"18,97,252","1,03,91,45,035.20","57,040","9,31,583",49.1
INDIANB,EQ,28-Mar-2025,552.9,552.0,556.9,538.0,540.5,541.3,547.28,"13,78,507","75,44,32,823.40","38,065","6,40,118",46.44
INDIANB,EQ,01-Apr-2025,541.3,539.85,540.5,527.2,528.8,530.95,534.38,"7,03,422","37,58,97,189.55","18,644","2,52,530",35.9
INDIANB,EQ,02-Apr-2025,530.95,533.45,535.15,524.35,529.75,529.7,530.1,"8,97,394","47,57,10,874.35","27,593","4,38,802",48.9
INDIANB,EQ,03-Apr-2025,529.7,520.15,556.4,520.15,550.5,549.2,547.15,"23,66,229","1,29,46,91,754.50","55,822","9,70,864",41.03
INDIANB,EQ,04-Apr-2025,549.2,549.95,553.65,541.2,546.2,546.05,546.57,"24,01,304","1,31,24,78,540.45","97,561","13,73,621",57.2
INDIANB,EQ,07-Apr-2025,546.05,530.2,541.4,517.85,541.3,539.45,532.58,"16,76,126","89,26,65,737.85","49,779","6,47,045",38.6
INDIANB,EQ,08-Apr-2025,539.45,538.0,551.7,537.95,546.9,547.05,543.97,"12,95,542","70,47,33,332.60","28,960","7,06,113",54.5
INDIANB,EQ,09-Apr-2025,547.05,545.0,548.0,524.45,526.5,526.95,532.55,"9,21,093","49,05,24,852.20","34,714","3,05,172",33.13
INDIANB,EQ,11-Apr-2025,526.95,533.0,541.2,529.0,534.1,535.8,534.46,"5,80,633","31,03,24,665.40","17,092","1,98,366",34.16
INDIANB,EQ,15-Apr-2025,535.8,542.1,545.5,534.2,540.4,541.25,539.81,"12,40,576","66,96,72,449.00","34,047","7,13,820",57.54
INDIANB,EQ,16-Apr-2025,541.25,542.5,569.9,541.5,567.3,568.15,561.31,"38,09,999","2,13,85,74,563.40","74,761","12,74,360",33.45
INDIANB,EQ,17-Apr-2025,568.15,569.0,576.7,563.65,573.1,575.2,571.26,"25,06,225","1,43,17,10,999.55","51,017","11,91,431",47.54
INDIANB,EQ,21-Apr-2025,575.2,577.75,593.0,576.05,577.0,577.55,583.71,"29,91,211","1,74,59,99,252.20","81,565","11,74,735",39.27
INDIANB,EQ,22-Apr-2025,577.55,580.75,594.8,576.45,583.0,582.8,588.61,"32,84,998","1,93,35,79,968.65","57,937","17,79,509",54.17
INDIANB,EQ,23-Apr-2025,582.8,585.65,587.7,572.3,580.05,582.1,580.44,"18,59,234","1,07,91,74,998.20","41,363","9,71,820",52.27
INDIANB,EQ,24-Apr-2025,582.1,582.0,584.6,572.1,572.3,574.05,575.62,"17,28,763","99,51,07,241.15","26,506","9,57,804",55.4
INDIANB,EQ,25-Apr-2025,574.05,574.0,582.3,560.6,566.95,569.2,569.79,"23,44,129","1,33,56,70,351.90","83,714","10,72,881",45.77
INDIANB,EQ,28-Apr-2025,569.2,570.0,588.4,568.3,584.0,586.3,582.4,"26,78,714","1,56,00,85,295.05","59,071","15,76,205",58.84
