symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDIGO,EQ,22-Jan-2025,"4,009.80","4,030.00","4,094.65","3,945.00","4,016.50","4,011.50","4,007.03","10,55,656","4,23,00,42,390.90","74,523","6,76,008",64.04
INDIGO,EQ,23-Jan-2025,"4,011.50","3,989.05","4,193.05","3,988.95","4,147.15","4,134.80","4,126.66","12,13,108","5,00,60,88,814.50","90,795","6,74,478",55.60
INDIGO,EQ,24-Jan-2025,"4,134.80","4,162.10","4,269.80","4,126.05","4,162.25","4,161.80","4,191.92","14,81,820","6,21,16,72,744.10","1,14,525","5,91,392",39.91
INDIGO,EQ,27-Jan-2025,"4,161.80","4,135.55","4,238.10","4,056.40","4,193.00","4,175.75","4,189.80","13,60,996","5,70,23,00,760.50","1,31,665","4,98,712",36.64
INDIGO,EQ,28-Jan-2025,"4,175.75","4,207.70","4,301.00","4,182.80","4,275.00","4,282.50","4,243.81","6,91,200","2,93,33,21,535.40","82,594","3,51,577",50.86
INDIGO,EQ,29-Jan-2025,"4,282.50","4,287.45","4,309.00","4,230.00","4,301.75","4,293.90","4,270.80","3,44,762","1,47,24,09,702.70","53,846","1,30,907",37.97
INDIGO,EQ,30-Jan-2025,"4,293.90","4,293.10","4,353.90","4,183.45","4,228.00","4,227.75","4,263.66","5,71,581","2,43,70,24,236.40","67,166","2,63,546",46.11
INDIGO,EQ,31-Jan-2025,"4,227.75","4,227.75","4,344.85","4,218.05","4,334.80","4,324.35","4,312.01","5,19,645","2,24,07,16,421.95","44,485","3,27,624",63.05
INDIGO,EQ,01-Feb-2025,"4,324.35","4,340.00","4,516.95","4,285.70","4,506.95","4,492.40","4,417.75","6,42,870","2,84,00,41,136.70","68,456","2,48,952",38.73
INDIGO,EQ,03-Feb-2025,"4,492.40","4,482.95","4,498.95","4,337.50","4,381.45","4,393.70","4,416.90","7,87,814","3,47,96,96,470.65","90,260","4,08,541",51.86
INDIGO,EQ,04-Feb-2025,"4,393.70","4,403.55","4,420.00","4,292.90","4,340.00","4,345.20","4,342.82","7,27,129","3,15,77,89,481.80","81,275","4,66,417",64.15
INDIGO,EQ,05-Feb-2025,"4,345.20","4,369.95","4,429.95","4,361.45","4,411.00","4,415.40","4,411.45","6,70,519","2,95,79,62,575.00","54,079","4,40,664",65.72
INDIGO,EQ,06-Feb-2025,"4,415.40","4,505.00","4,505.00","4,364.80","4,385.90","4,394.85","4,409.59","5,87,111","2,58,89,20,335.05","55,013","3,41,965",58.25
INDIGO,EQ,07-Feb-2025,"4,394.85","4,425.00","4,455.00","4,336.00","4,351.75","4,364.55","4,383.83","10,91,319","4,78,41,62,124.80","68,080","7,82,971",71.75
INDIGO,EQ,10-Feb-2025,"4,364.55","4,364.60","4,380.00","4,290.00","4,325.10","4,325.15","4,322.86","10,26,383","4,43,69,10,983.45","88,250","7,88,862",76.86
INDIGO,EQ,11-Feb-2025,"4,325.15","4,325.15","4,390.00","4,275.00","4,307.25","4,316.85","4,326.59","9,97,718","4,31,67,16,273.15","86,945","7,25,991",72.77
INDIGO,EQ,12-Feb-2025,"4,316.85","4,316.85","4,359.00","4,200.00","4,331.60","4,337.50","4,289.95","6,85,035","2,93,87,65,004.80","88,643","3,70,442",54.08
INDIGO,EQ,13-Feb-2025,"4,337.50","4,341.35","4,400.00","4,327.50","4,356.15","4,364.85","4,355.58","8,39,061","3,65,45,94,794.45","76,546","5,07,245",60.45
INDIGO,EQ,14-Feb-2025,"4,364.85","4,367.00","4,383.00","4,206.70","4,212.00","4,223.30","4,252.43","8,21,919","3,49,51,55,755.05","88,429","5,06,484",61.62
INDIGO,EQ,17-Feb-2025,"4,223.30","4,176.00","4,315.00","4,157.85","4,312.00","4,303.00","4,240.10","4,35,501","1,84,65,68,624.95","85,313","2,36,119",54.22
INDIGO,EQ,18-Feb-2025,"4,303.00","4,300.00","4,355.00","4,255.00","4,329.75","4,345.55","4,316.94","4,15,081","1,79,18,79,066.70","66,097","2,38,268",57.40
