symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDUSINDBK,EQ,22-Jan-2025,960.45,964.45,977.55,949.15,970.05,970.95,959.03,"26,39,472","2,53,13,34,971.75","1,01,453","12,44,120",47.14
INDUSINDBK,BL,23-Jan-2025,"1,490.85",976.20,976.20,976.20,976.20,976.20,976.20,"3,75,588","36,66,49,005.60",1,-,-
INDUSINDBK,EQ,23-Jan-2025,970.95,965.95,988.55,962.50,969.70,970.95,976.24,"33,59,986","3,28,01,55,278.10","1,47,356","18,73,159",55.75
INDUSINDBK,EQ,24-Jan-2025,970.95,970.85,973.00,948.25,950.00,950.80,959.07,"29,38,649","2,81,83,84,276.25","1,28,948","14,54,012",49.48
INDUSINDBK,EQ,27-Jan-2025,950.80,947.00,947.00,923.70,925.00,926.45,930.32,"39,07,787","3,63,55,00,951.05","1,52,962","20,25,376",51.83
INDUSINDBK,EQ,28-Jan-2025,926.45,937.35,948.95,925.70,935.70,934.15,937.53,"57,08,478","5,35,18,64,723.80","1,56,085","32,15,481",56.33
INDUSINDBK,EQ,29-Jan-2025,934.15,935.70,953.00,931.95,951.00,948.30,939.51,"25,71,504","2,41,59,49,964.05","96,544","12,89,314",50.14
INDUSINDBK,EQ,30-Jan-2025,948.30,948.30,967.40,946.10,959.50,957.05,960.48,"45,09,409","4,33,11,93,783.65","1,38,667","20,75,371",46.02
INDUSINDBK,EQ,31-Jan-2025,957.05,957.55,999.30,953.10,995.20,991.20,984.08,"53,65,839","5,28,04,23,646.90","1,59,206","24,08,729",44.89
INDUSINDBK,EQ,01-Feb-2025,991.20,977.00,"1,023.00",972.40,"1,009.00","1,009.40","1,009.35","60,54,296","6,11,08,85,761.05","1,69,927","17,45,165",28.83
INDUSINDBK,EQ,03-Feb-2025,"1,009.40",994.00,"1,023.95",990.10,"1,011.55","1,012.70","1,011.26","36,55,089","3,69,62,53,135.80","1,28,653","19,05,418",52.13
INDUSINDBK,EQ,04-Feb-2025,"1,012.70","1,022.45","1,053.90","1,014.70","1,050.00","1,047.15","1,038.06","98,61,468","10,23,68,44,118.05","1,99,686","63,23,597",64.12
INDUSINDBK,EQ,05-Feb-2025,"1,047.15","1,052.40","1,078.70","1,052.40","1,058.50","1,061.20","1,067.88","50,00,442","5,33,98,63,728.25","1,35,295","27,08,926",54.17
INDUSINDBK,EQ,06-Feb-2025,"1,061.20","1,062.10","1,076.75","1,058.05","1,065.00","1,065.55","1,067.87","38,89,634","4,15,36,21,605.45","1,52,875","18,23,347",46.88
INDUSINDBK,EQ,07-Feb-2025,"1,065.55","1,061.50","1,086.55","1,061.50","1,076.00","1,079.10","1,074.42","39,75,043","4,27,08,64,910.45","1,37,595","19,02,896",47.87
INDUSINDBK,EQ,10-Feb-2025,"1,079.10","1,076.00","1,082.00","1,062.70","1,069.70","1,068.00","1,069.56","44,57,091","4,76,71,44,367.30","1,23,445","25,92,004",58.15
INDUSINDBK,EQ,11-Feb-2025,"1,068.00","1,063.50","1,074.90","1,047.65","1,056.00","1,054.15","1,057.74","41,09,028","4,34,62,94,743.20","1,41,274","21,60,884",52.59
INDUSINDBK,EQ,12-Feb-2025,"1,054.15","1,060.45","1,063.95","1,020.25","1,038.00","1,039.65","1,038.35","47,98,340","4,98,23,58,828.20","1,45,201","20,92,739",43.61
INDUSINDBK,EQ,13-Feb-2025,"1,039.65","1,039.50","1,056.95","1,025.40","1,049.95","1,047.25","1,045.76","45,39,780","4,74,75,24,522.45","1,39,511","27,37,035",60.29
INDUSINDBK,EQ,14-Feb-2025,"1,047.25","1,049.60","1,058.10","1,018.20","1,023.05","1,024.40","1,030.91","40,36,016","4,16,07,61,718.95","1,04,813","18,71,988",46.38
INDUSINDBK,EQ,17-Feb-2025,"1,024.40","1,024.40","1,050.95","1,013.10","1,050.30","1,048.25","1,040.20","27,95,714","2,90,81,00,491.65","95,658","12,00,985",42.96
INDUSINDBK,EQ,18-Feb-2025,"1,048.25","1,045.00","1,051.50","1,021.35","1,022.10","1,024.10","1,031.04","26,20,716","2,70,20,52,326.75","97,530","13,09,980",49.99
INDUSINDBK,EQ,19-Feb-2025,"1,024.10","1,024.10","1,042.05","1,015.90","1,034.20","1,035.80","1,032.47","24,64,555","2,54,45,75,685.55","99,406","11,86,859",48.16
