symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDUSTOWER,EQ,25-Mar-2026,429.3,431.8,434.8,422.0,427.4,427.85,427.37,"74,19,269","3,17,07,76,536.95","1,42,378","40,39,222",54.44
INDUSTOWER,EQ,24-Mar-2026,413.6,422.0,432.9,415.45,430.5,429.3,424.36,"46,52,608","1,97,43,80,542.80","61,603","24,98,628",53.7
INDUSTOWER,EQ,23-Mar-2026,434.55,430.0,430.0,411.8,412.5,413.6,417.63,"47,93,426","2,00,18,73,307.95","84,417","26,80,362",55.92
INDUSTOWER,EQ,20-Mar-2026,426.65,429.65,441.75,429.65,434.15,434.55,436.07,"54,36,700","2,37,08,05,617.50","39,821","31,72,018",58.34
INDUSTOWER,EQ,19-Mar-2026,440.95,435.7,435.7,422.0,429.65,426.65,427.58,"31,78,646","1,35,91,26,662.25","75,142","16,06,418",50.54
INDUSTOWER,EQ,18-Mar-2026,436.15,437.1,443.75,434.2,439.0,440.95,439.87,"31,54,268","1,38,74,71,939.20","51,197","18,21,111",57.73
INDUSTOWER,EQ,17-Mar-2026,427.1,429.45,439.0,427.3,438.0,436.15,433.9,"31,31,170","1,35,86,03,229.45","45,859","15,86,815",50.68
INDUSTOWER,EQ,16-Mar-2026,423.95,425.0,430.65,418.45,426.3,427.1,425.12,"34,46,835","1,46,53,12,604.70","47,914","14,67,128",42.56
INDUSTOWER,EQ,13-Mar-2026,442.05,439.15,440.8,422.7,424.5,423.95,428.7,"27,02,224","1,15,84,30,851.45","39,038","12,29,320",45.49
INDUSTOWER,EQ,12-Mar-2026,438.75,436.9,444.75,430.55,442.6,442.05,440.29,"54,03,935","2,37,93,21,551.35","42,396","24,14,732",44.68
INDUSTOWER,EQ,11-Mar-2026,445.45,442.4,450.15,436.65,438.2,438.75,445.61,"25,85,875","1,15,22,95,817.70","44,482","13,29,333",51.41
INDUSTOWER,EQ,10-Mar-2026,438.5,442.05,447.75,439.1,444.1,445.45,444.75,"22,38,534","99,55,92,584.25","36,279","11,25,063",50.26
INDUSTOWER,EQ,09-Mar-2026,452.05,444.5,444.95,433.55,439.0,438.5,437.65,"28,29,820","1,23,84,63,968.30","38,485","12,33,746",43.6
INDUSTOWER,EQ,06-Mar-2026,451.4,450.75,457.65,449.0,450.05,452.05,453.04,"21,40,959","96,99,50,483.30","34,707","10,43,424",48.74
INDUSTOWER,EQ,05-Mar-2026,442.3,444.6,456.25,444.6,450.75,451.4,450.6,"30,38,175","1,36,89,95,581.25","45,631","14,88,253",48.99
INDUSTOWER,EQ,04-Mar-2026,448.55,443.8,445.0,431.15,444.8,442.3,438.78,"54,53,113","2,39,27,05,058.55","61,751","26,69,821",48.96
INDUSTOWER,EQ,02-Mar-2026,454.95,439.15,459.3,439.15,449.65,448.55,450.39,"32,35,580","1,45,72,65,312.00","48,733","15,94,829",49.29
INDUSTOWER,EQ,27-Feb-2026,461.25,459.0,461.7,452.15,453.7,454.95,455.14,"71,70,798","3,26,37,20,803.70","75,751","51,96,607",72.47
INDUSTOWER,EQ,26-Feb-2026,461.45,462.7,463.6,455.5,460.65,461.25,460.18,"40,80,221","1,87,76,53,969.60","71,387","22,15,072",54.29
INDUSTOWER,EQ,25-Feb-2026,469.9,470.0,473.0,454.25,460.8,461.45,462.99,"60,05,431","2,78,04,72,119.60","80,627","36,39,263",60.6
INDUSTOWER,EQ,24-Feb-2026,472.2,469.9,473.0,464.05,471.0,469.9,468.53,"55,75,559","2,61,23,08,882.45","90,987","30,30,111",54.35
INDUSTOWER,EQ,23-Feb-2026,474.35,476.75,476.75,468.1,473.0,472.2,471.82,"36,40,333","1,71,75,87,866.40","42,799","20,75,186",57.01
INDUSTOWER,EQ,20-Feb-2026,472.9,470.1,477.1,467.9,472.0,474.35,473.57,"44,73,602","2,11,85,43,874.55","44,433","28,19,498",63.03
INDUSTOWER,EQ,19-Feb-2026,477.75,479.0,481.5,469.2,470.05,472.9,474.05,"52,81,104","2,50,35,30,563.35","48,464","30,37,522",57.52
INDUSTOWER,EQ,18-Feb-2026,472.7,472.8,481.05,469.5,478.45,477.75,477.41,"54,07,805","2,58,17,49,371.00","46,866","31,32,517",57.93
INDUSTOWER,EQ,17-Feb-2026,473.7,475.4,477.0,467.6,471.8,472.7,472.02,"37,63,634","1,77,65,11,111.95","50,793","21,74,130",57.77
INDUSTOWER,EQ,16-Feb-2026,466.6,466.6,475.15,463.65,474.75,473.7,471.67,"57,23,670","2,69,96,56,042.05","76,898","33,02,346",57.7
INDUSTOWER,EQ,13-Feb-2026,474.0,469.5,472.0,464.15,466.5,466.6,467.86,"43,13,315","2,01,80,26,056.00","74,533","22,40,788",51.95
INDUSTOWER,EQ,12-Feb-2026,467.05,467.05,475.0,464.0,472.85,474.0,472.21,"81,31,246","3,83,96,58,483.05","87,187","48,49,749",59.64
INDUSTOWER,EQ,11-Feb-2026,459.15,461.0,472.0,457.2,468.0,467.05,467.42,"99,36,035","4,64,43,14,844.75","96,327","53,31,218",53.66
INDUSTOWER,EQ,10-Feb-2026,456.15,459.0,461.6,448.65,458.9,459.15,457.97,"1,23,45,910","5,65,40,37,704.45","87,520","78,57,186",63.64
INDUSTOWER,EQ,09-Feb-2026,443.35,446.5,457.15,443.75,456.95,456.15,452.29,"67,72,155","3,06,29,45,044.10","63,881","34,72,360",51.27
INDUSTOWER,EQ,06-Feb-2026,442.4,442.55,447.55,432.85,441.95,443.35,439.87,"53,13,719","2,33,73,22,971.20","51,681","26,85,243",50.53
INDUSTOWER,EQ,05-Feb-2026,445.1,445.1,445.9,438.95,441.3,442.4,442.51,"42,58,051","1,88,42,39,393.55","94,961","27,42,061",64.4
INDUSTOWER,EQ,04-Feb-2026,438.55,439.2,447.0,437.4,445.5,445.1,443.35,"53,16,074","2,35,68,72,798.50","79,686","28,71,063",54.01
INDUSTOWER,EQ,03-Feb-2026,431.8,443.4,450.0,425.4,439.95,438.55,438.93,"1,08,38,614","4,75,73,69,867.85","1,39,197","52,60,458",48.53
INDUSTOWER,EQ,02-Feb-2026,423.95,424.3,433.45,419.45,432.5,431.8,426.79,"92,68,964","3,95,58,78,991.65","73,363","49,40,001",53.3
INDUSTOWER,EQ,01-Feb-2026,444.3,443.95,443.95,418.0,421.5,423.95,432.46,"43,75,451","1,89,22,17,867.10","73,447","13,94,847",31.88
INDUSTOWER,EQ,30-Jan-2026,441.55,440.95,452.0,435.45,442.6,444.3,445.03,"1,18,97,285","5,29,46,85,801.10","93,842","67,78,602",56.98
INDUSTOWER,EQ,29-Jan-2026,425.3,429.0,442.7,426.05,441.4,441.55,437.86,"84,87,120","3,71,61,63,285.25","1,20,790","49,10,087",57.85
INDUSTOWER,EQ,28-Jan-2026,422.55,425.25,428.6,420.85,425.05,425.3,424.52,"43,37,181","1,84,12,02,219.30","43,715","24,82,106",57.23
INDUSTOWER,EQ,27-Jan-2026,413.15,416.05,425.95,411.25,424.0,422.55,417.68,"74,19,336","3,09,89,28,876.05","80,041","41,97,535",56.58
INDUSTOWER,EQ,23-Jan-2026,419.2,419.2,422.15,410.0,414.05,413.15,415.07,"46,65,531","1,93,65,43,360.35","74,855","26,52,897",56.86
INDUSTOWER,EQ,22-Jan-2026,414.0,417.0,420.35,413.1,420.2,419.2,416.9,"71,64,284","2,98,67,60,096.95","84,147","47,57,175",66.4
INDUSTOWER,EQ,21-Jan-2026,414.55,411.05,417.6,401.45,413.0,414.0,411.75,"84,91,961","3,49,65,97,935.10","82,307","41,00,198",48.28
INDUSTOWER,EQ,20-Jan-2026,428.4,427.0,427.75,412.7,415.0,414.55,419.62,"55,59,575","2,33,29,02,638.00","67,691","30,82,050",55.44
INDUSTOWER,EQ,19-Jan-2026,433.85,432.65,434.0,425.0,427.4,428.4,428.01,"58,98,599","2,52,46,34,482.45","44,482","43,37,468",73.53
INDUSTOWER,EQ,16-Jan-2026,438.4,438.4,438.95,429.5,434.65,433.85,432.81,"1,04,18,752","4,50,92,89,102.00","88,233","70,31,433",67.49
INDUSTOWER,EQ,14-Jan-2026,427.9,432.25,443.7,432.25,438.95,438.4,438.32,"93,32,296","4,09,05,16,656.05","1,01,254","57,08,074",61.16
INDUSTOWER,EQ,13-Jan-2026,432.6,433.0,433.45,423.1,427.0,427.9,427.85,"58,50,975","2,50,33,37,957.55","54,464","34,18,755",58.43
INDUSTOWER,EQ,12-Jan-2026,433.4,435.0,441.5,428.45,431.95,432.6,434.73,"88,21,785","3,83,51,19,305.30","66,910","46,33,798",52.53
INDUSTOWER,EQ,09-Jan-2026,430.85,450.0,454.95,430.05,434.8,433.4,442.55,"2,65,27,175","11,73,95,53,640.05","1,77,108","90,62,523",34.16
INDUSTOWER,EQ,08-Jan-2026,429.0,430.45,436.8,424.45,432.0,430.85,431.02,"1,06,96,988","4,61,06,09,129.85","82,744","54,72,640",51.16
