symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IOC,EQ,25-Mar-2026,138.7,141.32,141.69,139.0,140.62,140.52,140.19,"2,28,48,464","3,20,32,06,075.47","1,30,860","1,00,52,943",44.0
IOC,EQ,24-Mar-2026,138.11,141.58,142.5,137.02,138.8,138.7,138.7,"3,05,09,694","4,23,16,46,891.09","1,42,250","1,10,97,673",36.37
IOC,EQ,23-Mar-2026,144.6,141.49,142.69,137.75,137.95,138.11,139.23,"2,10,48,472","2,93,04,80,937.82","1,62,631","1,04,78,805",49.78
IOC,EQ,20-Mar-2026,142.73,143.6,148.13,143.6,145.09,144.6,145.8,"3,46,36,614","5,04,99,16,983.48","1,65,967","2,03,17,063",58.66
IOC,EQ,19-Mar-2026,148.27,145.89,146.63,142.05,143.45,142.73,143.97,"2,00,76,945","2,89,03,89,840.71","1,38,639","77,05,331",38.38
IOC,EQ,18-Mar-2026,146.68,146.8,149.08,145.96,148.18,148.27,147.89,"2,03,18,430","3,00,48,50,674.51","1,01,128","1,03,14,481",50.76
IOC,EQ,17-Mar-2026,148.96,149.0,149.8,145.51,146.55,146.68,146.98,"1,91,01,788","2,80,76,43,494.16","1,13,568","75,42,114",39.48
IOC,EQ,16-Mar-2026,156.54,153.01,154.6,146.88,148.79,148.96,149.38,"3,56,87,077","5,33,08,39,456.34","1,64,760","1,61,57,035",45.27
IOC,EQ,13-Mar-2026,160.16,158.99,160.34,155.8,156.6,156.54,157.52,"1,19,58,819","1,88,37,99,558.77","76,886","46,33,719",38.75
IOC,EQ,12-Mar-2026,160.63,157.4,162.25,154.06,160.2,160.16,158.97,"2,16,36,039","3,43,94,14,477.26","1,16,029","67,97,929",31.42
IOC,EQ,11-Mar-2026,159.94,160.5,162.99,159.66,160.6,160.63,161.19,"2,27,03,344","3,65,95,23,167.94","95,787","1,19,94,020",52.83
IOC,EQ,10-Mar-2026,161.22,164.44,166.86,159.12,159.99,159.94,161.22,"2,67,72,223","4,31,60,97,827.90","1,31,141","1,24,98,043",46.68
IOC,EQ,09-Mar-2026,168.68,158.0,162.15,156.3,161.2,161.22,159.76,"4,04,58,725","6,46,37,00,188.88","1,96,314","1,54,12,230",38.09
IOC,EQ,06-Mar-2026,171.54,172.06,172.94,168.05,168.1,168.68,170.04,"2,09,79,104","3,56,72,40,859.47","1,67,158","1,03,45,309",49.31
IOC,EQ,05-Mar-2026,170.44,171.0,175.42,169.28,171.93,171.54,172.01,"3,23,55,154","5,56,52,86,632.45","1,99,046","1,32,16,239",40.85
IOC,EQ,04-Mar-2026,179.11,175.0,176.17,169.21,169.75,170.44,172.06,"2,77,18,538","4,76,93,76,169.07","1,54,526","1,37,87,621",49.74
IOC,EQ,02-Mar-2026,187.47,181.31,182.4,176.85,179.08,179.11,179.58,"3,14,64,579","5,65,03,89,776.74","1,76,357","1,37,42,526",43.68
IOC,EQ,27-Feb-2026,186.47,187.11,188.96,185.77,186.98,187.47,187.63,"2,44,22,609","4,58,24,64,264.35","98,543","1,41,16,662",57.8
IOC,EQ,26-Feb-2026,183.03,183.5,186.8,182.43,186.27,186.47,184.52,"1,72,06,460","3,17,49,88,193.61","1,11,535","96,56,218",56.12
IOC,EQ,25-Feb-2026,180.19,181.0,183.8,180.51,183.0,183.03,182.57,"2,43,53,791","4,44,63,19,387.93","1,59,617","1,42,55,057",58.53
IOC,EQ,24-Feb-2026,176.46,176.99,181.0,176.51,180.51,180.19,179.14,"2,26,91,029","4,06,48,37,607.26","1,49,847","1,22,55,741",54.01
IOC,EQ,23-Feb-2026,173.79,174.89,177.3,173.67,176.5,176.46,176.04,"1,14,22,407","2,01,08,03,038.59","1,36,676","62,86,720",55.04
IOC,EQ,20-Feb-2026,174.3,173.6,174.44,172.3,173.59,173.79,173.4,"89,35,995","1,54,94,71,027.01","92,515","47,98,189",53.7
