symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IRCTC,EQ,22-Jan-2025,782.7,783.1,784.3,757.1,770.0,770.65,767.26,"10,97,030","84,17,05,275.35","51,934","3,35,770",30.61
IRCTC,EQ,23-Jan-2025,770.65,770.6,797.4,766.8,795.25,795.2,788.54,"12,35,738","97,44,31,222.00","45,143","4,37,413",35.4
IRCTC,EQ,24-Jan-2025,795.2,799.2,802.5,784.3,787.0,787.5,794.3,"13,03,909","1,03,56,94,964.95","52,854","3,81,783",29.28
IRCTC,EQ,27-Jan-2025,787.5,779.15,782.05,745.0,746.0,747.7,756.27,"26,69,886","2,01,91,46,023.90","91,411","13,61,737",51.0
IRCTC,EQ,28-Jan-2025,747.7,757.0,759.3,736.3,751.3,750.05,747.7,"13,71,367","1,02,53,66,259.50","54,300","4,00,055",29.17
IRCTC,EQ,29-Jan-2025,750.05,749.0,764.55,749.0,764.0,762.4,760.95,"6,99,239","53,20,85,499.60","35,211","2,15,127",30.77
IRCTC,EQ,30-Jan-2025,762.4,764.0,785.0,763.05,783.5,779.0,778.12,"21,53,478","1,67,56,57,047.35","71,646","5,93,031",27.54
IRCTC,EQ,31-Jan-2025,779.0,782.85,828.8,775.0,825.0,822.3,809.62,"31,11,982","2,51,95,13,686.00","85,674","10,63,889",34.19
IRCTC,EQ,01-Feb-2025,822.3,831.65,831.75,787.1,794.0,794.7,810.02,"39,90,832","3,23,26,60,639.50","1,36,738","9,27,452",23.24
IRCTC,EQ,03-Feb-2025,794.7,788.0,788.0,758.8,773.4,772.65,769.23,"18,30,063","1,40,77,31,700.85","73,635","5,31,661",29.05
IRCTC,EQ,04-Feb-2025,772.65,774.1,786.0,774.1,781.0,781.9,780.88,"10,37,714","81,03,33,362.25","40,742","3,74,779",36.12
IRCTC,EQ,05-Feb-2025,781.9,781.0,797.55,781.0,791.95,791.9,791.87,"9,72,279","76,99,17,578.85","39,951","3,39,360",34.9
IRCTC,EQ,06-Feb-2025,791.9,791.9,794.9,782.0,783.0,783.8,788.36,"6,30,878","49,73,58,522.50","25,196","2,35,570",37.34
IRCTC,EQ,07-Feb-2025,783.8,781.0,787.2,768.55,773.95,774.1,776.3,"6,16,852","47,88,64,024.95","29,699","1,60,926",26.09
IRCTC,EQ,10-Feb-2025,774.1,770.0,787.35,767.2,773.9,773.7,778.05,"14,91,971","1,16,08,31,726.50","47,701","3,27,761",21.97
IRCTC,EQ,11-Feb-2025,773.7,777.8,778.0,744.3,750.1,750.95,753.81,"12,44,409","93,80,47,297.60","56,316","4,39,117",35.29
IRCTC,EQ,12-Feb-2025,750.95,755.0,764.7,722.05,757.4,759.15,745.94,"26,23,575","1,95,70,18,618.55","86,453","4,43,328",16.9
IRCTC,EQ,13-Feb-2025,759.15,759.15,772.0,745.0,745.5,746.35,757.72,"10,38,398","78,68,16,348.60","41,512","2,30,934",22.24
IRCTC,EQ,14-Feb-2025,746.35,751.0,752.75,726.35,731.6,732.6,735.91,"9,37,949","69,02,43,529.50","40,906","2,73,633",29.17
IRCTC,EQ,17-Feb-2025,732.6,725.0,732.6,715.35,726.15,725.45,723.87,"10,10,707","73,16,24,224.15","52,377","2,57,918",25.52
IRCTC,EQ,18-Feb-2025,725.45,725.0,728.5,709.3,717.0,719.2,715.95,"10,91,654","78,15,74,463.00","53,054","3,63,007",33.25
IRCTC,EQ,19-Feb-2025,719.2,717.0,732.0,711.5,726.95,728.3,726.38,"7,85,782","57,07,74,876.15","36,444","1,76,385",22.45
IRCTC,EQ,20-Feb-2025,728.3,721.3,736.8,716.0,735.0,735.5,729.55,"8,11,604","59,21,06,147.90","30,519","2,71,536",33.46
IRCTC,EQ,21-Feb-2025,735.5,730.35,743.9,724.5,728.85,731.1,732.31,"10,34,460","75,75,43,444.65","43,540","4,90,397",47.41
IRCTC,EQ,24-Feb-2025,731.1,723.05,728.2,716.25,720.0,720.35,721.37,"8,11,313","58,52,58,102.95","35,878","3,05,057",37.6
IRCTC,EQ,25-Feb-2025,720.35,716.45,724.35,705.2,708.0,710.35,715.21,"8,90,830","63,71,26,285.15","38,404","2,85,258",32.02
IRCTC,EQ,27-Feb-2025,710.35,710.35,714.7,692.0,694.3,694.35,699.56,"14,01,348","98,03,25,172.75","67,261","6,82,356",48.69
IRCTC,EQ,28-Feb-2025,694.35,689.9,691.95,661.55,674.3,670.95,671.7,"25,21,717","1,69,38,38,764.45","77,729","13,71,087",54.37
IRCTC,EQ,03-Mar-2025,670.95,673.05,680.9,656.05,677.8,676.6,668.69,"15,28,561","1,02,21,39,412.90","58,739","5,45,196",35.67
IRCTC,EQ,04-Mar-2025,676.6,674.95,681.5,662.2,672.5,673.85,673.69,"13,20,164","88,93,77,794.75","52,742","3,78,826",28.7
IRCTC,EQ,05-Mar-2025,673.85,673.05,695.95,673.05,695.2,695.15,687.56,"10,44,963","71,84,75,346.00","39,699","3,63,016",34.74
IRCTC,EQ,06-Mar-2025,695.15,699.7,707.1,697.0,701.0,702.35,702.93,"8,67,497","60,97,92,337.10","31,583","2,77,860",32.03
IRCTC,EQ,07-Mar-2025,702.35,701.75,711.7,696.85,700.25,700.65,704.77,"10,87,031","76,61,09,873.05","44,899","4,07,631",37.5
IRCTC,EQ,10-Mar-2025,700.65,703.05,708.5,687.85,688.0,689.7,695.69,"8,45,259","58,80,41,786.65","38,318","3,73,810",44.22
IRCTC,EQ,11-Mar-2025,689.7,683.0,694.0,675.0,691.65,691.15,685.94,"8,14,316","55,85,73,481.10","33,828","2,25,959",27.75
IRCTC,EQ,12-Mar-2025,691.15,692.0,699.15,686.1,697.55,698.2,694.1,"6,45,844","44,82,77,121.75","30,561","2,28,699",35.41
IRCTC,EQ,13-Mar-2025,698.2,699.0,703.5,687.6,689.75,689.05,694.02,"8,10,061","56,22,00,236.20","34,136","3,33,816",41.21
IRCTC,EQ,17-Mar-2025,689.05,689.3,696.95,687.8,690.6,690.65,692.11,"7,17,357","49,64,89,553.40","27,731","3,58,727",50.01
IRCTC,EQ,18-Mar-2025,690.65,698.0,707.95,693.15,707.0,705.9,701.92,"8,58,933","60,29,04,979.20","27,644","4,05,977",47.27
IRCTC,EQ,19-Mar-2025,705.9,711.0,723.0,707.4,716.0,717.65,717.46,"11,11,899","79,77,41,690.60","37,764","4,25,626",38.28
IRCTC,EQ,20-Mar-2025,717.65,723.2,725.9,712.15,714.6,714.85,716.62,"10,79,612","77,36,74,036.70","40,744","4,64,186",43.0
IRCTC,EQ,21-Mar-2025,714.85,716.7,725.7,714.0,722.9,722.2,721.85,"18,69,067","1,34,91,77,934.65","52,856","8,59,475",45.98
IRCTC,EQ,24-Mar-2025,722.2,730.0,733.55,723.7,728.1,726.95,729.12,"10,80,209","78,75,99,199.65","36,402","5,41,971",50.17
IRCTC,EQ,25-Mar-2025,726.95,733.0,735.2,714.15,716.0,717.15,722.81,"14,18,108","1,02,50,21,762.80","47,137","5,58,217",39.36
IRCTC,EQ,26-Mar-2025,717.15,719.0,721.95,701.0,703.65,704.45,711.41,"12,81,906","91,19,56,806.65","48,615","5,33,587",41.62
IRCTC,EQ,27-Mar-2025,704.45,703.65,724.85,701.9,722.55,718.05,716.23,"72,39,201","5,18,49,51,915.65","81,982","51,32,985",70.91
IRCTC,EQ,28-Mar-2025,718.05,718.05,734.45,718.05,727.0,727.5,728.95,"17,61,132","1,28,37,78,599.35","57,700","7,41,997",42.13
IRCTC,EQ,01-Apr-2025,727.5,725.15,734.45,716.05,725.45,724.25,724.46,"14,99,170","1,08,60,84,243.80","39,083","6,82,017",45.49
IRCTC,EQ,02-Apr-2025,724.25,725.0,730.65,712.1,728.4,727.45,722.95,"15,94,854","1,15,30,02,930.75","35,947","8,49,744",53.28
IRCTC,EQ,03-Apr-2025,727.45,720.0,739.8,720.0,739.5,738.25,734.04,"9,03,058","66,28,78,284.25","33,103","2,84,914",31.55
IRCTC,EQ,04-Apr-2025,738.25,738.0,738.0,709.25,715.05,714.1,718.05,"10,61,286","76,20,51,298.40","37,734","3,81,260",35.92
IRCTC,EQ,07-Apr-2025,714.1,656.0,701.9,656.0,701.6,697.4,688.57,"13,27,614","91,41,52,358.65","60,436","4,89,795",36.89
IRCTC,EQ,08-Apr-2025,697.4,715.95,720.0,704.4,715.05,713.95,713.65,"7,04,550","50,28,01,965.35","34,514","2,09,801",29.78
IRCTC,EQ,09-Apr-2025,713.95,713.4,720.9,707.2,714.05,715.2,713.71,"8,99,960","64,23,09,419.90","28,812","4,15,529",46.17
IRCTC,EQ,11-Apr-2025,715.2,728.35,735.45,721.5,729.15,730.7,729.07,"9,33,716","68,07,46,499.85","31,456","4,28,202",45.86
IRCTC,EQ,15-Apr-2025,730.7,745.4,756.4,735.05,755.0,754.5,748.05,"12,74,195","95,31,59,568.20","39,888","7,55,122",59.26
IRCTC,EQ,16-Apr-2025,754.5,760.95,766.0,755.5,760.65,760.6,760.58,"10,08,913","76,73,63,314.95","28,999","3,26,721",32.38
IRCTC,EQ,17-Apr-2025,760.6,759.0,770.75,755.0,770.0,769.4,765.88,"9,73,140","74,53,11,659.60","37,163","4,32,074",44.4
IRCTC,EQ,21-Apr-2025,769.4,773.7,779.6,769.65,773.0,774.65,775.61,"7,49,021","58,09,45,129.40","29,247","3,07,646",41.07
IRCTC,EQ,22-Apr-2025,774.65,776.0,779.65,769.0,774.0,774.85,776.05,"6,10,026","47,34,10,146.95","24,209","2,42,206",39.7
IRCTC,EQ,23-Apr-2025,774.85,778.55,787.1,763.0,784.0,784.95,776.35,"12,28,461","95,37,17,677.40","36,737","5,21,639",42.46
IRCTC,EQ,24-Apr-2025,784.95,784.95,785.0,772.0,777.0,777.05,777.87,"10,28,891","80,03,47,716.55","35,054","4,07,864",39.64
IRCTC,EQ,25-Apr-2025,777.05,777.2,781.3,748.2,751.1,751.85,760.08,"13,52,726","1,02,81,85,100.75","48,402","4,96,012",36.67
IRCTC,EQ,28-Apr-2025,751.85,748.2,767.0,747.6,765.0,764.05,761.22,"6,91,102","52,60,81,613.10","30,319","2,97,642",43.07
IRCTC,EQ,29-Apr-2025,764.05,765.5,773.85,754.85,763.5,762.35,763.57,"6,34,735","48,46,65,396.45","26,792","2,20,311",34.71
IRCTC,EQ,30-Apr-2025,762.35,760.0,763.0,748.0,748.3,751.5,755.37,"9,44,632","71,35,48,907.60","28,878","5,91,292",62.59
IRCTC,EQ,02-May-2025,751.5,751.5,762.0,745.65,747.95,748.65,753.55,"6,98,381","52,62,64,710.55","27,466","2,64,659",37.9
IRCTC,EQ,05-May-2025,748.65,750.0,766.95,749.95,764.55,765.45,760.77,"8,86,401","67,43,48,448.00","27,399","4,29,743",48.48
IRCTC,EQ,06-May-2025,765.45,765.45,766.95,734.35,736.8,736.75,747.78,"10,29,627","76,99,36,200.45","38,134","3,91,781",38.05
IRCTC,EQ,07-May-2025,736.75,728.85,745.0,725.65,742.5,741.5,737.67,"9,89,272","72,97,61,021.80","35,096","4,17,267",42.18
IRCTC,EQ,08-May-2025,741.5,745.0,750.0,723.1,727.0,727.95,735.81,"7,66,498","56,39,94,247.65","34,341","3,38,073",44.11
IRCTC,EQ,09-May-2025,727.95,707.95,725.0,706.25,724.8,722.55,717.64,"10,24,950","73,55,44,674.45","38,174","4,54,995",44.39
IRCTC,EQ,12-May-2025,722.55,740.5,764.95,737.35,764.7,763.45,753.75,"11,96,460","90,18,31,349.20","37,430","4,79,548",40.08
IRCTC,EQ,13-May-2025,763.45,764.0,772.75,762.55,763.8,764.0,767.57,"8,92,363","68,49,53,571.10","29,451","3,15,305",35.33
IRCTC,EQ,14-May-2025,764.0,765.0,781.75,762.4,778.0,777.9,775.37,"12,24,784","94,96,63,832.45","37,490","4,12,349",33.67
IRCTC,EQ,15-May-2025,777.9,779.0,789.4,776.3,785.7,785.7,786.0,"12,87,971","1,01,23,49,316.90","41,118","4,55,285",35.35
IRCTC,EQ,16-May-2025,785.7,785.7,815.0,784.0,810.2,809.05,807.59,"30,70,129","2,47,94,01,795.95","73,986","8,65,056",28.18
IRCTC,EQ,19-May-2025,809.05,813.9,820.25,803.4,805.0,804.6,810.47,"16,54,632","1,34,10,21,388.25","39,180","6,45,895",39.04
