symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IREDA,EQ,25-Mar-2026,114.37,115.46,120.18,115.46,119.02,119.2,119.11,"1,29,30,750","1,54,01,78,563.92","47,501","49,25,604",38.09
IREDA,EQ,24-Mar-2026,110.51,113.9,115.2,111.63,114.51,114.37,113.9,"94,52,505","1,07,66,33,927.93","45,848","28,94,013",30.62
IREDA,EQ,23-Mar-2026,116.37,115.0,115.05,110.0,110.41,110.51,111.64,"1,04,05,779","1,16,17,26,843.99","65,092","37,32,603",35.87
IREDA,EQ,20-Mar-2026,116.58,118.0,120.5,115.51,116.28,116.37,117.97,"1,26,38,739","1,49,09,32,656.91","58,753","39,46,162",31.22
IREDA,EQ,19-Mar-2026,117.97,116.0,117.77,114.72,117.45,116.58,116.44,"70,33,332","81,89,75,092.88","33,796","18,87,356",26.83
IREDA,EQ,18-Mar-2026,116.2,117.0,119.49,116.4,117.94,117.97,117.8,"75,10,333","88,47,46,874.42","34,040","23,48,739",31.27
IREDA,EQ,17-Mar-2026,115.19,115.95,116.7,114.0,116.25,116.2,115.43,"60,73,558","70,10,88,033.14","32,276","19,72,506",32.48
IREDA,EQ,16-Mar-2026,114.85,114.85,116.17,112.07,114.5,115.19,114.14,"79,70,878","90,97,59,112.66","41,018","21,86,172",27.43
IREDA,EQ,13-Mar-2026,117.03,117.0,118.94,114.21,115.2,114.85,116.4,"1,13,95,700","1,32,64,60,439.94","49,288","31,60,079",27.73
IREDA,EQ,12-Mar-2026,114.8,114.0,118.95,112.59,117.0,117.03,116.32,"93,57,674","1,08,85,18,483.62","48,122","20,72,847",22.15
IREDA,EQ,11-Mar-2026,116.97,117.31,119.17,114.0,114.66,114.8,116.56,"64,91,893","75,67,00,959.17","33,332","19,32,132",29.76
IREDA,EQ,10-Mar-2026,114.35,116.55,117.5,114.41,117.31,116.97,115.99,"61,88,063","71,77,28,309.86","30,661","19,75,949",31.93
IREDA,EQ,09-Mar-2026,117.28,113.22,115.23,112.07,114.77,114.35,113.52,"79,68,912","90,46,44,143.39","48,522","26,59,811",33.38
IREDA,EQ,06-Mar-2026,115.65,116.5,120.35,115.08,117.4,117.28,118.33,"1,25,95,130","1,49,04,26,379.27","51,072","39,41,160",31.29
IREDA,EQ,05-Mar-2026,113.52,113.56,116.19,112.8,115.99,115.65,114.18,"89,74,731","1,02,47,37,449.42","45,012","27,36,966",30.5
IREDA,EQ,04-Mar-2026,115.93,113.65,114.64,112.21,113.49,113.52,113.35,"1,04,89,846","1,18,90,42,539.00","64,073","38,15,156",36.37
IREDA,EQ,02-Mar-2026,122.25,115.91,119.4,114.75,116.5,115.93,116.78,"1,25,95,759","1,47,08,87,179.31","84,699","47,42,355",37.65
IREDA,EQ,27-Feb-2026,124.75,124.0,124.5,122.0,122.25,122.25,122.83,"61,56,137","75,61,43,507.14","46,734","23,12,397",37.56
IREDA,EQ,26-Feb-2026,125.49,125.49,126.82,123.72,124.55,124.75,125.14,"50,57,763","63,29,13,901.76","35,330","15,44,570",30.54
IREDA,EQ,25-Feb-2026,126.01,127.34,127.34,124.2,125.05,125.49,125.23,"57,95,505","72,57,48,805.61","32,498","18,10,624",31.24
IREDA,EQ,24-Feb-2026,127.23,126.28,127.6,124.65,126.2,126.01,125.98,"63,87,831","80,47,51,137.87","36,820","15,36,383",24.05
IREDA,EQ,23-Feb-2026,126.65,126.84,127.5,125.07,127.25,127.23,126.51,"60,11,063","76,04,43,777.66","31,450","20,88,427",34.74
IREDA,EQ,20-Feb-2026,125.72,125.0,127.74,124.5,126.49,126.65,126.64,"57,52,620","72,85,19,610.73","27,857","20,89,748",36.33
IREDA,EQ,19-Feb-2026,127.87,127.87,128.79,125.0,125.15,125.72,126.74,"47,83,277","60,62,54,779.44","29,660","16,34,599",34.17
IREDA,EQ,18-Feb-2026,127.03,127.13,128.55,126.13,127.64,127.87,127.4,"49,39,699","62,93,41,495.22","26,764","17,19,336",34.81
IREDA,EQ,17-Feb-2026,127.07,127.07,127.59,126.25,127.25,127.03,126.92,"52,52,696","66,66,98,083.46","23,288","16,13,704",30.72
IREDA,EQ,16-Feb-2026,123.56,123.4,127.75,122.26,126.85,127.07,126.31,"1,23,39,521","1,55,86,63,909.43","51,576","36,84,642",29.86
IREDA,EQ,13-Feb-2026,125.22,124.55,124.58,121.65,123.73,123.56,122.84,"1,01,90,497","1,25,17,89,143.18","56,178","27,81,173",27.29
IREDA,EQ,12-Feb-2026,126.67,126.3,126.4,124.1,125.0,125.22,124.81,"1,09,94,504","1,37,22,28,940.06","64,724","36,46,195",33.16
IREDA,EQ,11-Feb-2026,129.28,129.28,129.5,125.4,126.62,126.67,126.54,"1,28,83,457","1,63,03,28,278.32","63,239","49,28,488",38.25
IREDA,EQ,10-Feb-2026,128.81,129.1,130.41,128.6,129.05,129.28,129.39,"49,86,434","64,52,09,916.18","34,393","17,06,650",34.23
IREDA,EQ,09-Feb-2026,128.29,129.5,130.45,128.56,128.86,128.81,129.26,"54,27,943","70,16,14,850.83","31,061","21,81,242",40.19
IREDA,EQ,06-Feb-2026,129.93,129.14,129.56,125.85,128.69,128.29,127.31,"1,02,82,823","1,30,90,62,227.02","54,828","29,21,786",28.41
IREDA,EQ,05-Feb-2026,131.76,131.76,132.16,129.11,129.98,129.93,130.13,"52,42,856","68,22,46,599.77","31,400","14,79,878",28.23
IREDA,EQ,04-Feb-2026,129.54,129.54,132.5,128.4,132.15,131.76,130.62,"71,36,455","93,21,83,065.24","39,175","21,76,873",30.5
IREDA,EQ,03-Feb-2026,127.44,133.55,134.67,129.29,129.5,129.54,130.94,"80,32,191","1,05,17,45,582.00","44,131","29,07,006",36.19
IREDA,EQ,02-Feb-2026,128.24,128.21,128.6,124.25,128.3,127.44,126.11,"95,65,522","1,20,63,07,914.13","60,052","27,61,437",28.87
IREDA,EQ,01-Feb-2026,132.08,132.88,136.14,124.11,128.95,128.24,131.74,"1,42,69,538","1,87,98,42,891.26","80,351","32,44,625",22.74
IREDA,EQ,30-Jan-2026,133.26,132.03,132.95,130.5,132.27,132.08,131.83,"65,13,022","85,86,28,193.63","41,434","21,91,796",33.65
IREDA,EQ,29-Jan-2026,133.87,134.5,134.61,131.65,133.29,133.26,133.01,"68,60,132","91,24,90,532.64","38,560","27,51,079",40.1
IREDA,EQ,28-Jan-2026,128.88,129.99,134.35,129.01,134.19,133.87,131.26,"1,04,40,084","1,37,03,35,462.89","65,842","33,88,622",32.46
IREDA,EQ,27-Jan-2026,127.4,127.8,130.0,126.15,129.99,128.88,128.12,"1,01,36,248","1,29,86,55,717.74","45,543","34,63,174",34.17
IREDA,EQ,23-Jan-2026,129.93,130.51,130.99,127.0,127.8,127.4,129.13,"88,41,839","1,14,17,16,405.52","48,594","29,60,650",33.48
IREDA,EQ,22-Jan-2026,127.38,129.53,131.55,128.6,130.51,129.93,130.02,"85,80,673","1,11,56,36,989.91","41,950","32,80,267",38.23
IREDA,EQ,21-Jan-2026,129.94,129.94,131.1,126.27,127.88,127.38,128.43,"1,37,50,584","1,76,60,46,834.34","80,857","35,85,471",26.08
IREDA,EQ,20-Jan-2026,134.59,134.41,134.81,129.45,130.3,129.94,131.48,"1,17,29,376","1,54,22,04,058.14","77,063","37,26,755",31.77
IREDA,EQ,19-Jan-2026,136.29,136.29,136.44,133.78,133.99,134.59,134.91,"1,05,37,465","1,42,16,49,640.76","47,578","34,72,662",32.96
IREDA,EQ,16-Jan-2026,138.1,138.77,139.48,135.56,136.24,136.29,137.47,"82,46,756","1,13,36,74,851.10","44,969","24,99,914",30.31
IREDA,EQ,14-Jan-2026,139.99,139.0,141.75,137.7,138.06,138.1,139.32,"86,00,026","1,19,81,41,791.44","47,156","23,61,501",27.46
IREDA,EQ,13-Jan-2026,141.5,141.4,143.0,138.25,140.1,139.99,139.9,"1,56,16,131","2,18,46,76,026.01","60,791","29,23,811",18.72
IREDA,EQ,12-Jan-2026,136.61,139.99,142.48,137.46,141.95,141.5,140.32,"5,00,46,560","7,02,22,96,285.84","1,75,406","55,15,595",11.02
IREDA,EQ,09-Jan-2026,141.18,141.0,141.64,135.6,137.1,136.61,138.33,"1,56,49,670","2,16,48,69,879.80","73,051","42,16,568",26.94
IREDA,EQ,08-Jan-2026,146.03,146.3,146.9,140.5,140.95,141.18,142.99,"1,05,54,455","1,50,91,89,810.94","53,727","35,18,806",33.34
IREDA,EQ,07-Jan-2026,143.55,143.7,146.3,142.85,146.13,146.03,145.02,"90,89,693","1,31,82,11,588.22","46,735","28,39,711",31.24
IREDA,EQ,06-Jan-2026,144.57,144.59,146.02,142.33,143.55,143.55,144.02,"86,95,194","1,25,22,67,677.56","39,641","21,58,363",24.82
IREDA,EQ,05-Jan-2026,146.64,147.5,149.48,143.64,144.27,144.57,145.97,"1,22,36,304","1,78,61,81,266.39","57,955","46,72,264",38.18
IREDA,EQ,02-Jan-2026,139.36,140.05,147.6,140.05,146.98,146.64,144.94,"2,85,77,864","4,14,20,89,361.98","1,13,244","84,02,257",29.4
IREDA,EQ,01-Jan-2026,139.9,141.0,142.3,138.74,139.15,139.36,140.17,"82,73,710","1,15,97,65,952.73","37,100","23,34,562",28.22
IREDA,EQ,31-Dec-2025,136.86,136.86,141.25,136.85,139.71,139.9,140.09,"74,22,921","1,03,98,73,623.83","35,656","19,06,793",25.69
IREDA,EQ,30-Dec-2025,138.71,138.69,138.69,135.62,137.25,136.86,136.86,"60,07,412","82,21,92,574.14","35,249","26,65,847",44.38
IREDA,EQ,29-Dec-2025,140.99,141.99,142.75,138.1,138.65,138.71,140.24,"76,19,648","1,06,85,99,323.46","42,216","24,35,581",31.96
IREDA,EQ,26-Dec-2025,138.1,137.76,143.3,137.21,140.86,140.99,141.74,"2,20,38,445","3,12,36,69,817.02","78,553","72,05,701",32.7
IREDA,EQ,24-Dec-2025,138.73,139.0,139.95,137.55,137.75,138.1,138.77,"54,79,430","76,03,78,017.82","33,973","20,79,362",37.95
IREDA,EQ,23-Dec-2025,135.67,136.2,141.1,135.38,139.0,138.73,138.85,"1,37,63,143","1,91,10,77,400.46","62,122","38,13,505",27.71
IREDA,EQ,22-Dec-2025,133.19,134.0,136.41,133.77,135.7,135.67,135.62,"52,17,248","70,75,87,156.49","32,306","16,58,953",31.8
IREDA,EQ,19-Dec-2025,131.42,132.0,133.42,131.05,133.0,133.19,132.24,"40,37,139","53,38,57,803.85","30,951","15,99,427",39.62
IREDA,EQ,18-Dec-2025,131.43,131.3,132.6,129.58,131.25,131.42,131.23,"44,69,203","58,64,77,911.02","27,213","13,36,455",29.9
IREDA,EQ,17-Dec-2025,133.87,133.5,134.21,131.0,131.1,131.43,132.26,"40,43,309","53,47,61,893.71","31,476","15,69,811",38.82
IREDA,EQ,16-Dec-2025,135.46,135.46,135.5,133.25,133.35,133.87,134.19,"25,40,425","34,09,04,008.76","24,049","9,95,517",39.19
IREDA,EQ,15-Dec-2025,136.18,136.16,136.16,134.5,135.14,135.46,135.34,"29,80,237","40,33,57,734.14","21,254","12,57,765",42.2
IREDA,EQ,12-Dec-2025,134.48,135.0,136.64,134.5,135.91,136.18,135.37,"35,98,713","48,71,63,854.02","25,148","14,13,916",39.29
IREDA,EQ,11-Dec-2025,133.02,133.02,134.91,132.25,134.49,134.48,133.95,"43,41,676","58,15,71,266.46","30,387","13,32,501",30.69
IREDA,EQ,10-Dec-2025,134.46,135.0,136.33,132.0,132.6,133.02,134.33,"59,60,605","80,06,78,554.86","36,984","22,22,047",37.28
IREDA,EQ,09-Dec-2025,131.21,131.0,134.98,129.11,134.72,134.46,132.24,"1,00,90,650","1,33,44,06,781.59","56,407","33,94,740",33.64
IREDA,EQ,08-Dec-2025,133.4,133.69,134.75,129.78,131.05,131.21,131.85,"90,36,262","1,19,14,26,739.63","59,369","40,54,372",44.87
IREDA,EQ,05-Dec-2025,136.75,136.75,137.29,132.0,133.85,133.4,133.5,"1,16,60,475","1,55,66,32,682.79","75,815","37,53,483",32.19
IREDA,EQ,04-Dec-2025,136.84,137.0,138.8,136.3,136.71,136.75,137.26,"44,60,457","61,22,38,334.97","31,782","15,12,093",33.9
IREDA,EQ,03-Dec-2025,140.18,140.24,140.95,136.2,137.15,136.84,138.02,"63,28,520","87,34,83,372.46","51,133","27,39,700",43.29
IREDA,EQ,02-Dec-2025,142.48,142.01,142.39,139.61,140.48,140.18,140.65,"55,27,876","77,74,95,933.83","44,203","25,48,695",46.11
IREDA,EQ,01-Dec-2025,142.9,142.9,144.3,142.0,142.25,142.48,142.89,"30,70,252","43,87,19,187.83","25,525","10,69,389",34.83
IREDA,EQ,28-Nov-2025,143.76,143.92,144.2,142.42,142.99,142.9,142.84,"24,69,997","35,28,11,562.90","23,093","10,01,105",40.53
IREDA,EQ,27-Nov-2025,144.35,144.44,145.48,143.1,143.62,143.76,144.12,"24,78,216","35,71,61,858.80","21,969","8,86,029",35.75
IREDA,EQ,26-Nov-2025,141.36,142.11,144.79,142.1,144.5,144.35,143.98,"36,91,030","53,14,35,286.22","22,901","14,02,604",38.0
IREDA,EQ,25-Nov-2025,142.49,142.49,143.28,140.53,141.5,141.36,141.8,"49,75,277","70,55,08,325.57","36,900","22,26,400",44.75
IREDA,EQ,24-Nov-2025,144.41,144.41,145.16,142.2,142.5,142.49,143.66,"37,55,997","53,95,72,716.18","33,804","15,03,942",40.04
IREDA,EQ,21-Nov-2025,146.64,146.5,146.77,144.0,144.2,144.41,145.16,"41,02,741","59,55,72,547.94","32,142","16,20,155",39.49
