symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IRFC,EQ,25-Mar-2026,92.87,93.99,96.35,93.8,95.08,95.24,95.58,"1,77,88,550","1,70,01,98,813.56","66,526","52,96,142",29.77
IRFC,EQ,24-Mar-2026,89.45,91.99,93.2,91.0,93.0,92.87,92.35,"2,22,01,895","2,05,03,45,251.88","93,315","52,49,776",23.65
IRFC,EQ,23-Mar-2026,94.69,93.5,93.65,89.2,89.35,89.45,90.79,"1,72,25,370","1,56,38,43,171.84","1,11,441","62,59,270",36.34
IRFC,EQ,20-Mar-2026,95.04,95.5,97.26,94.4,94.61,94.69,95.45,"1,43,53,015","1,37,00,05,667.80","58,731","45,04,942",31.39
IRFC,EQ,19-Mar-2026,98.25,96.3,96.99,94.72,95.34,95.04,95.68,"1,12,87,455","1,07,99,92,026.81","63,356","42,67,856",37.81
IRFC,EQ,18-Mar-2026,96.74,97.2,98.7,96.81,98.17,98.25,98.01,"1,05,80,589","1,03,70,53,813.81","46,827","29,17,010",27.57
IRFC,EQ,17-Mar-2026,96.44,96.45,97.23,95.74,96.8,96.74,96.5,"97,37,324","93,96,77,157.55","50,476","26,99,666",27.72
IRFC,EQ,16-Mar-2026,97.2,96.9,97.13,94.32,96.29,96.44,95.77,"1,65,21,257","1,58,22,95,935.18","81,677","48,47,360",29.34
IRFC,EQ,13-Mar-2026,99.92,98.7,99.68,97.0,97.25,97.2,98.06,"1,14,14,655","1,11,93,60,010.67","72,577","34,89,328",30.57
IRFC,EQ,12-Mar-2026,99.25,98.92,100.9,97.25,100.0,99.92,99.4,"1,42,55,322","1,41,69,65,106.23","62,272","28,52,802",20.01
IRFC,EQ,11-Mar-2026,100.71,101.0,101.79,99.0,99.15,99.25,100.14,"1,28,09,686","1,28,27,58,651.16","63,696","45,00,152",35.13
IRFC,EQ,10-Mar-2026,97.57,99.4,101.12,98.11,101.03,100.71,99.65,"1,48,00,530","1,47,49,35,413.15","62,572","42,15,748",28.48
IRFC,EQ,09-Mar-2026,99.47,97.11,97.95,95.27,97.75,97.57,96.51,"1,63,95,706","1,58,23,28,416.43","99,540","48,61,501",29.65
IRFC,EQ,06-Mar-2026,98.85,99.31,103.1,98.76,99.4,99.47,100.96,"3,54,89,993","3,58,32,02,340.53","1,13,874","66,83,245",18.83
IRFC,EQ,05-Mar-2026,97.74,98.21,99.25,97.0,99.1,98.85,97.95,"1,65,88,277","1,62,47,64,726.24","78,842","47,68,796",28.75
IRFC,EQ,04-Mar-2026,99.34,98.16,98.63,96.01,98.11,97.74,97.31,"3,29,63,143","3,20,75,32,271.33","1,26,703","1,45,78,558",44.23
IRFC,EQ,02-Mar-2026,103.55,97.5,101.35,97.2,99.73,99.34,99.43,"2,77,30,177","2,75,70,87,921.66","1,45,732","1,05,45,462",38.03
IRFC,EQ,27-Feb-2026,103.23,103.0,104.56,101.73,103.34,103.55,103.2,"1,90,27,229","1,96,36,88,415.44","95,703","45,10,017",23.7
IRFC,EQ,26-Feb-2026,104.56,104.4,105.29,102.54,103.2,103.23,104.02,"2,28,25,499","2,37,42,54,396.65","1,18,334","81,93,449",35.9
IRFC,EQ,25-Feb-2026,109.44,105.99,105.99,104.4,104.43,104.56,104.98,"5,69,04,412","5,97,37,01,488.13","1,81,622","1,78,92,651",31.44
IRFC,EQ,24-Feb-2026,111.89,111.34,111.56,109.05,109.9,109.44,110.08,"1,38,84,700","1,52,83,84,346.52","71,006","52,14,121",37.55
IRFC,EQ,23-Feb-2026,111.88,112.0,112.5,110.8,111.79,111.89,111.66,"98,97,270","1,10,51,05,777.00","43,982","26,93,302",27.21
IRFC,EQ,20-Feb-2026,111.38,111.19,112.8,110.57,111.59,111.88,112.02,"1,15,60,506","1,29,49,55,596.67","43,855","30,81,974",26.66
IRFC,EQ,19-Feb-2026,113.31,113.31,113.81,110.75,111.16,111.38,112.18,"99,87,523","1,12,04,33,293.39","53,318","35,52,473",35.57
IRFC,EQ,18-Feb-2026,112.99,112.98,113.75,112.03,113.01,113.31,112.94,"85,73,114","96,82,66,280.63","40,113","27,70,449",32.32
