symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KALYANKJIL,EQ,22-Jan-2025,488.35,486.0,499.0,459.0,494.1,485.65,475.09,"4,82,36,616","22,91,68,98,575.35","5,81,539","51,31,805",10.64
KALYANKJIL,EQ,23-Jan-2025,485.65,492.65,509.65,472.0,476.9,478.15,492.76,"4,43,35,820","21,84,68,27,805.10","5,28,486","44,85,277",10.12
KALYANKJIL,EQ,24-Jan-2025,478.15,480.0,483.5,455.25,458.5,458.75,465.98,"2,37,15,822","11,05,10,34,127.85","3,38,925","29,84,764",12.59
KALYANKJIL,EQ,27-Jan-2025,458.75,458.0,458.0,433.2,436.9,437.2,440.34,"1,87,98,873","8,27,79,78,425.30","2,63,488","26,63,787",14.17
KALYANKJIL,EQ,28-Jan-2025,437.2,437.55,448.95,420.65,437.5,438.05,436.13,"2,91,56,002","12,71,58,06,794.35","3,31,456","18,52,548",6.35
KALYANKJIL,EQ,29-Jan-2025,438.05,441.1,451.95,434.3,451.0,448.7,445.2,"1,81,78,589","8,09,30,71,949.90","2,33,859","15,39,519",8.47
KALYANKJIL,EQ,30-Jan-2025,448.7,451.0,466.05,435.1,443.0,440.65,450.34,"2,16,31,272","9,74,13,90,417.20","2,70,759","25,02,654",11.57
KALYANKJIL,EQ,31-Jan-2025,440.65,460.05,506.7,446.5,503.0,503.1,486.2,"7,61,84,680","37,04,10,68,701.55","7,57,397","99,60,576",13.07
KALYANKJIL,EQ,01-Feb-2025,503.1,502.0,526.75,484.0,502.5,505.45,509.51,"4,88,67,197","24,89,84,83,374.15","5,78,794","30,70,369",6.28
KALYANKJIL,EQ,03-Feb-2025,505.45,502.45,517.35,485.1,502.95,502.9,505.5,"2,27,26,079","11,48,80,32,995.65","3,18,265","23,00,121",10.12
KALYANKJIL,EQ,04-Feb-2025,502.9,510.0,594.0,505.1,562.0,563.8,540.18,"5,24,26,558","28,31,96,84,376.85","4,83,294","95,73,960",18.26
KALYANKJIL,EQ,05-Feb-2025,563.8,567.0,591.4,553.0,565.25,567.85,572.71,"5,18,57,027","29,69,90,53,841.25","6,63,483","64,41,274",12.42
KALYANKJIL,EQ,06-Feb-2025,567.85,564.0,569.5,538.1,543.0,542.4,552.93,"2,38,85,400","13,20,69,21,523.60","2,99,923","26,56,532",11.12
KALYANKJIL,EQ,07-Feb-2025,542.4,541.0,553.55,533.6,537.0,539.4,542.85,"1,73,68,687","9,42,85,64,064.30","2,30,906","13,73,876",7.91
KALYANKJIL,EQ,10-Feb-2025,539.4,537.05,545.0,514.0,523.4,522.05,522.72,"1,00,99,332","5,27,90,89,533.70","1,44,065","14,01,292",13.88
KALYANKJIL,EQ,11-Feb-2025,522.05,524.65,527.0,505.0,517.2,520.25,514.03,"1,03,54,212","5,32,23,78,199.10","1,34,914","15,33,514",14.81
KALYANKJIL,EQ,12-Feb-2025,520.25,512.1,521.65,498.65,513.0,512.6,510.52,"1,14,42,504","5,84,16,78,216.50","1,49,486","17,30,749",15.13
KALYANKJIL,EQ,13-Feb-2025,512.6,511.0,530.0,507.0,525.0,526.45,521.22,"1,08,61,298","5,66,11,09,736.50","1,42,938","15,55,773",14.32
KALYANKJIL,EQ,14-Feb-2025,526.45,522.0,524.85,480.15,484.45,488.4,499.92,"1,25,16,211","6,25,71,65,354.80","1,83,446","14,93,654",11.93
KALYANKJIL,EQ,17-Feb-2025,488.4,484.45,509.95,477.55,504.0,507.05,499.8,"1,55,40,320","7,76,70,72,970.80","2,52,011","9,84,219",6.33
KALYANKJIL,EQ,18-Feb-2025,507.05,503.05,506.25,479.5,483.75,484.3,488.78,"1,33,75,181","6,53,75,71,806.65","1,91,884","19,08,171",14.27
KALYANKJIL,EQ,19-Feb-2025,484.3,484.0,493.75,474.8,483.4,483.15,485.98,"1,63,18,703","7,93,05,95,878.60","2,04,673","25,55,400",15.66
KALYANKJIL,EQ,20-Feb-2025,483.15,483.15,496.5,480.15,493.55,493.85,490.7,"86,15,680","4,22,77,54,975.20","1,07,597","11,58,313",13.44
KALYANKJIL,EQ,21-Feb-2025,493.85,493.0,502.4,482.0,483.2,485.25,491.96,"69,75,603","3,43,17,18,305.10","89,498","8,07,042",11.57
KALYANKJIL,EQ,24-Feb-2025,485.25,482.95,485.2,474.6,478.45,479.1,479.87,"61,51,724","2,95,20,18,178.45","68,394","7,92,004",12.87
KALYANKJIL,EQ,25-Feb-2025,479.1,482.45,487.9,473.15,476.5,478.05,480.71,"66,24,720","3,18,45,92,476.75","69,477","11,25,763",16.99
KALYANKJIL,EQ,27-Feb-2025,478.05,479.0,483.95,458.55,467.0,469.2,470.2,"79,99,524","3,76,14,00,766.40","98,819","14,20,528",17.76
KALYANKJIL,EQ,28-Feb-2025,469.2,452.55,472.3,452.55,468.55,462.25,461.57,"96,78,048","4,46,70,83,359.80","1,05,181","26,61,262",27.5
KALYANKJIL,EQ,03-Mar-2025,462.25,464.05,467.35,436.85,441.4,440.45,447.45,"79,93,592","3,57,67,59,942.60","1,05,466","16,73,536",20.94
KALYANKJIL,EQ,04-Mar-2025,440.45,437.9,465.35,426.0,456.0,459.6,445.69,"1,22,07,939","5,44,09,27,617.50","1,33,209","24,03,525",19.69
KALYANKJIL,EQ,05-Mar-2025,459.6,457.8,469.45,455.1,467.45,467.45,464.15,"58,83,560","2,73,08,47,701.25","80,742","11,63,440",19.77
KALYANKJIL,EQ,06-Mar-2025,467.45,468.25,475.5,447.1,448.9,450.4,458.93,"76,22,018","3,49,79,92,451.20","1,18,695","19,39,327",25.44
