symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KAYNES,EQ,22-Jan-2025,"5,977.85","5,969.30","5,969.85","5,252.60","5,340.00","5,350.75","5,484.15","18,28,654","10,02,86,05,172.30","2,84,255","5,30,936",29.03
KAYNES,EQ,23-Jan-2025,"5,350.75","5,350.75","5,874.70","5,314.10","5,602.25","5,595.50","5,674.04","13,82,406","7,84,38,22,349.35","1,62,688","1,87,810",13.59
KAYNES,EQ,24-Jan-2025,"5,595.50","5,690.00","5,818.75","5,521.75","5,623.40","5,628.50","5,672.61","8,48,459","4,81,29,73,359.20","1,15,307","2,08,141",24.53
KAYNES,EQ,27-Jan-2025,"5,628.50","5,540.00","5,540.00","5,175.00","5,257.05","5,268.05","5,285.81","9,13,642","4,82,93,41,871.75","1,42,452","2,48,693",27.22
KAYNES,EQ,28-Jan-2025,"5,268.05","4,851.00","4,912.00","4,214.45","4,670.00","4,661.35","4,494.29","44,90,074","20,17,96,75,881.00","3,75,414","9,12,159",20.32
KAYNES,EQ,29-Jan-2025,"4,661.35","4,719.00","5,134.00","4,591.05","4,942.00","4,955.45","4,960.75","35,19,386","17,45,87,87,518.60","3,52,145","3,21,528",9.14
KAYNES,EQ,30-Jan-2025,"4,955.45","5,024.90","5,067.70","4,704.00","4,710.00","4,725.65","4,858.41","14,91,656","7,24,70,83,563.60","1,74,973","2,07,892",13.94
KAYNES,EQ,31-Jan-2025,"4,725.65","4,748.50","5,020.00","4,666.35","4,809.95","4,792.35","4,836.66","11,58,231","5,60,19,71,015.25","1,44,943","1,63,952",14.16
KAYNES,EQ,01-Feb-2025,"4,792.35","4,850.00","5,004.30","4,730.00","4,860.00","4,892.85","4,903.01","7,79,283","3,82,08,33,046.95","94,156","86,216",11.06
KAYNES,EQ,03-Feb-2025,"4,892.85","4,750.05","4,989.95","4,560.10","4,598.00","4,602.85","4,682.30","10,87,215","5,09,06,72,118.95","1,34,858","2,58,276",23.76
KAYNES,EQ,04-Feb-2025,"4,602.85","4,700.00","4,714.00","4,323.45","4,452.30","4,459.05","4,463.36","16,47,777","7,35,46,19,930.35","1,95,487","4,45,435",27.03
KAYNES,EQ,05-Feb-2025,"4,459.05","4,500.00","4,597.00","4,388.00","4,415.80","4,408.05","4,471.01","11,62,274","5,19,65,43,866.70","1,43,775","3,36,883",28.98
KAYNES,EQ,06-Feb-2025,"4,408.05","4,413.25","4,441.20","4,267.40","4,292.00","4,291.40","4,329.32","7,78,331","3,36,96,41,897.15","91,996","2,84,148",36.51
KAYNES,EQ,07-Feb-2025,"4,291.40","4,304.95","4,364.65","4,226.10","4,278.00","4,279.05","4,282.87","6,03,537","2,58,48,72,323.80","83,224","1,57,676",26.13
