symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KOTAKBANK,EQ,25-Mar-2026,366.85,368.95,378.00,363.00,370.40,371.10,370.41,"4,24,42,702","15,72,11,06,206.75","3,14,840","2,59,14,889",61.06
KOTAKBANK,EQ,24-Mar-2026,356.55,363.00,370.95,361.40,368.50,366.85,366.73,"1,99,90,983","7,33,13,70,565.25","1,49,620","1,20,65,485",60.35
KOTAKBANK,EQ,23-Mar-2026,366.75,364.85,364.90,355.25,357.50,356.55,358.73,"1,69,80,244","6,09,13,81,289.50","1,89,680","1,08,18,840",63.71
KOTAKBANK,EQ,20-Mar-2026,368.15,368.60,372.60,365.40,367.00,366.75,368.50,"1,70,77,194","6,29,28,68,750.15","1,75,458","1,04,01,815",60.91
KOTAKBANK,EQ,19-Mar-2026,375.40,366.15,370.15,363.35,370.00,368.15,367.90,"1,73,08,390","6,36,77,68,084.60","1,82,131","1,07,96,722",62.38
KOTAKBANK,EQ,18-Mar-2026,374.20,375.00,376.95,371.10,375.15,375.40,374.09,"1,52,35,416","5,69,94,08,181.55","2,48,700","1,01,08,610",66.35
KOTAKBANK,EQ,17-Mar-2026,369.85,369.85,375.15,368.60,374.00,374.20,372.49,"1,51,76,772","5,65,31,79,295.75","2,51,040","1,11,11,375",73.21
KOTAKBANK,EQ,16-Mar-2026,366.85,366.85,373.35,364.05,369.40,369.85,368.66,"2,79,27,294","10,29,55,41,009.85","2,24,193","1,87,93,622",67.29
KOTAKBANK,EQ,13-Mar-2026,375.30,373.00,373.60,363.40,367.10,366.85,368.09,"3,21,79,473","11,84,49,43,126.95","4,40,875","2,26,74,213",70.46
KOTAKBANK,EQ,12-Mar-2026,383.20,377.00,380.15,374.05,375.00,375.30,376.92,"2,50,48,123","9,44,12,27,395.65","2,17,461","1,73,86,739",69.41
KOTAKBANK,EQ,11-Mar-2026,391.85,388.85,391.10,379.95,380.80,383.20,385.28,"2,99,91,868","11,55,52,43,410.70","1,89,660","2,23,77,776",74.61
KOTAKBANK,EQ,10-Mar-2026,386.35,390.50,394.25,387.50,391.25,391.85,391.17,"2,13,46,381","8,35,00,45,925.35","1,59,995","1,46,83,123",68.79
KOTAKBANK,EQ,09-Mar-2026,399.80,390.00,393.85,385.10,386.05,386.35,388.07,"2,02,75,976","7,86,84,77,951.75","4,47,870","1,37,31,855",67.72
KOTAKBANK,EQ,06-Mar-2026,407.30,403.70,406.70,399.00,401.30,399.80,402.24,"1,75,12,726","7,04,42,79,376.50","1,67,361","1,36,95,212",78.20
KOTAKBANK,EQ,05-Mar-2026,403.35,403.60,410.05,402.35,406.35,407.30,406.75,"1,49,63,265","6,08,63,75,817.90","1,36,507","1,06,82,083",71.39
KOTAKBANK,EQ,04-Mar-2026,413.10,405.00,410.50,402.20,403.70,403.35,406.33,"1,83,93,751","7,47,39,64,432.20","2,10,319","1,32,44,355",72.00
KOTAKBANK,EQ,02-Mar-2026,415.20,410.00,414.60,407.10,411.20,413.10,411.38,"1,52,36,666","6,26,79,85,742.35","1,74,500","75,50,282",49.55
KOTAKBANK,EQ,27-Feb-2026,424.55,420.50,422.35,414.45,416.05,415.20,416.98,"1,78,06,739","7,42,50,83,449.30","1,65,677","1,33,61,048",75.03
KOTAKBANK,EQ,26-Feb-2026,424.95,426.70,426.70,421.70,424.00,424.55,424.29,"1,34,17,228","5,69,27,54,311.90","1,43,525","92,01,952",68.58
KOTAKBANK,EQ,25-Feb-2026,427.70,425.50,430.15,421.40,423.65,424.95,424.97,"1,01,92,468","4,33,15,21,565.95","1,14,437","67,00,832",65.74
KOTAKBANK,EQ,24-Feb-2026,430.70,430.90,432.45,425.80,428.00,427.70,428.94,"1,50,16,915","6,44,14,08,362.25","1,59,186","99,08,451",65.98
KOTAKBANK,EQ,23-Feb-2026,421.35,423.00,431.80,420.35,430.80,430.70,429.03,"1,03,99,627","4,46,17,83,203.40","1,11,335","67,71,604",65.11
