symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LAURUSLABS,EQ,25-Mar-2026,992.60,"1,009.00","1,029.00",995.40,"1,021.10","1,023.50","1,018.00","14,21,805","1,44,73,98,930.60","47,828","6,35,097",44.67
LAURUSLABS,EQ,24-Mar-2026,961.40,978.00,"1,001.50",966.00,992.00,992.60,986.65,"15,21,765","1,50,14,52,389.70","38,884","6,30,300",41.42
LAURUSLABS,EQ,23-Mar-2026,987.20,979.10,981.40,957.40,961.50,961.40,965.90,"10,68,049","1,03,16,27,924.20","35,502","4,26,180",39.9
LAURUSLABS,EQ,20-Mar-2026,944.90,960.80,990.90,953.00,987.00,987.20,980.92,"17,63,554","1,72,99,13,184.90","45,895","8,21,794",46.6
LAURUSLABS,EQ,19-Mar-2026,983.40,975.00,975.20,936.30,952.70,944.90,955.18,"13,29,267","1,26,96,89,099.70","49,166","5,85,562",44.05
LAURUSLABS,EQ,18-Mar-2026,968.70,976.90,991.80,968.50,983.50,983.40,982.68,"11,87,761","1,16,71,93,562.50","48,254","5,63,119",47.41
LAURUSLABS,EQ,17-Mar-2026,960.80,962.90,987.00,962.00,968.00,968.70,971.24,"15,80,678","1,53,52,15,871.70","44,397","6,00,428",37.99
LAURUSLABS,EQ,16-Mar-2026,"1,003.40",997.70,"1,013.90",951.80,961.70,960.80,972.16,"29,79,584","2,89,66,29,751.50","51,866","15,49,010",51.99
LAURUSLABS,EQ,13-Mar-2026,"1,046.80","1,037.00","1,050.50",980.80,"1,003.00","1,003.40","1,001.97","30,68,139","3,07,41,89,867.60","53,857","12,24,451",39.91
LAURUSLABS,EQ,12-Mar-2026,"1,041.00","1,042.00","1,057.00","1,017.60","1,047.90","1,046.80","1,037.02","13,00,644","1,34,87,89,996.50","33,133","4,85,169",37.3
LAURUSLABS,EQ,11-Mar-2026,"1,038.00","1,043.70","1,068.00","1,031.00","1,042.00","1,041.00","1,053.42","18,39,756","1,93,80,36,402.70","49,220","6,37,998",34.68
LAURUSLABS,EQ,10-Mar-2026,"1,021.00","1,030.00","1,051.90","1,030.00","1,041.10","1,038.00","1,039.57","13,67,343","1,42,14,53,760.00","53,168","6,73,036",49.22
LAURUSLABS,EQ,09-Mar-2026,"1,026.20","1,005.00","1,026.10",975.00,"1,018.00","1,021.00","1,004.09","19,55,333","1,96,33,21,461.10","51,147","10,73,208",54.89
LAURUSLABS,EQ,06-Mar-2026,"1,045.90","1,045.00","1,055.00","1,022.40","1,028.00","1,026.20","1,035.61","8,10,949","83,98,27,860.20","33,596","4,07,357",50.23
LAURUSLABS,EQ,05-Mar-2026,"1,030.60","1,037.00","1,057.70","1,033.70","1,047.00","1,045.90","1,045.95","9,38,473","98,15,98,542.80","35,592","4,27,373",45.54
LAURUSLABS,EQ,04-Mar-2026,"1,065.00","1,059.00","1,061.00","1,019.90","1,027.60","1,030.60","1,033.06","14,99,364","1,54,89,34,105.10","46,888","6,93,235",46.24
LAURUSLABS,EQ,02-Mar-2026,"1,075.80","1,030.00","1,073.90","1,030.00","1,068.00","1,065.00","1,064.04","22,61,544","2,40,63,78,088.10","55,207","14,10,842",62.38
LAURUSLABS,EQ,27-Feb-2026,"1,092.75","1,088.40","1,099.85","1,067.85","1,071.95","1,075.80","1,085.29","16,91,058","1,83,52,86,402.10","42,320","9,79,098",57.9
LAURUSLABS,EQ,26-Feb-2026,"1,076.35","1,080.00","1,103.55","1,073.00","1,091.00","1,092.75","1,089.20","24,51,607","2,67,02,97,266.95","57,482","10,11,208",41.25
LAURUSLABS,EQ,25-Feb-2026,"1,028.50","1,035.00","1,078.90","1,032.15","1,075.00","1,076.35","1,061.86","20,96,497","2,22,61,81,458.55","48,065","7,77,499",37.09
LAURUSLABS,EQ,24-Feb-2026,"1,017.05","1,017.05","1,034.80",996.90,"1,031.05","1,028.50","1,019.64","14,11,849","1,43,95,76,540.50","42,060","7,18,123",50.86
LAURUSLABS,EQ,23-Feb-2026,"1,019.00","1,024.40","1,032.95","1,009.00","1,014.60","1,017.05","1,018.25","5,46,049","55,60,13,277.85","22,158","2,57,657",47.19
LAURUSLABS,EQ,20-Feb-2026,"1,021.20","1,021.20","1,028.90","1,012.90","1,022.00","1,019.00","1,020.63","7,72,468","78,84,02,669.45","20,901","2,55,913",33.13
LAURUSLABS,EQ,19-Feb-2026,"1,037.45","1,044.80","1,044.80","1,016.00","1,016.00","1,021.20","1,031.90","11,53,462","1,19,02,58,479.50","23,732","5,31,242",46.06
LAURUSLABS,EQ,18-Feb-2026,"1,013.40","1,019.00","1,039.50","1,011.45","1,038.00","1,037.45","1,028.23","14,27,372","1,46,76,65,631.55","37,638","5,19,247",36.38
LAURUSLABS,EQ,17-Feb-2026,"1,012.45","1,012.00","1,021.70","1,006.05","1,011.05","1,013.40","1,014.91","6,00,623","60,95,76,858.15","20,017","2,46,000",40.96
LAURUSLABS,EQ,16-Feb-2026,"1,010.60","1,014.50","1,024.55","1,006.10","1,011.30","1,012.45","1,014.18","9,27,968","94,11,22,521.40","26,288","4,06,875",43.85
LAURUSLABS,EQ,13-Feb-2026,"1,018.60","1,008.50","1,021.35","1,001.80","1,010.00","1,010.60","1,012.39","10,53,338","1,06,63,84,835.45","25,961","3,60,115",34.19
LAURUSLABS,EQ,12-Feb-2026,"1,013.65","1,018.95","1,026.80",985.00,"1,018.00","1,018.60","1,013.06","18,33,896","1,85,78,42,627.40","48,048","4,85,939",26.5
LAURUSLABS,EQ,11-Feb-2026,966.35,968.00,"1,016.75",961.95,"1,014.20","1,013.65",996.30,"22,86,558","2,27,80,98,386.65","59,091","9,23,251",40.38
LAURUSLABS,EQ,10-Feb-2026,985.50,991.00,994.95,964.35,966.10,966.35,975.13,"11,73,485","1,14,43,00,690.10","43,432","6,62,366",56.44
LAURUSLABS,EQ,09-Feb-2026,950.55,958.00,988.20,949.15,986.15,985.50,973.66,"14,93,978","1,45,46,19,403.40","36,856","7,56,028",50.61
LAURUSLABS,EQ,06-Feb-2026,963.95,961.75,962.75,939.70,947.50,950.55,948.84,"12,61,968","1,19,74,10,600.70","35,883","6,23,049",49.37
LAURUSLABS,EQ,05-Feb-2026,980.30,985.00,985.20,956.40,963.10,963.95,963.49,"10,09,240","97,23,91,334.25","39,584","5,70,550",56.53
LAURUSLABS,EQ,04-Feb-2026,975.60,980.00,995.00,971.05,976.05,980.30,981.84,"11,57,756","1,13,67,35,226.50","41,983","6,60,406",57.04
LAURUSLABS,EQ,03-Feb-2026,953.95,"1,005.00","1,020.00",969.90,979.50,975.60,981.16,"19,22,427","1,88,62,16,958.10","42,130","9,17,038",47.7
LAURUSLABS,EQ,02-Feb-2026,930.20,918.85,958.00,917.95,957.00,953.95,938.38,"17,45,349","1,63,78,05,087.35","50,775","7,54,131",43.21
LAURUSLABS,EQ,01-Feb-2026,965.00,970.00,973.95,920.40,925.00,930.20,943.09,"17,07,729","1,61,05,44,207.75","28,106","6,45,739",37.81
LAURUSLABS,EQ,30-Jan-2026,973.30,974.00,983.30,951.80,966.10,965.00,967.29,"19,76,994","1,91,23,25,596.30","47,591","10,37,905",52.5
