symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LICHSGFIN,EQ,25-Mar-2026,479.0,483.85,500.8,483.05,496.25,496.3,495.73,"24,95,210","1,23,69,54,439.85","63,889","14,44,587",57.89
LICHSGFIN,EQ,24-Mar-2026,460.7,468.0,481.0,466.8,477.35,479.0,474.85,"27,79,618","1,31,98,95,992.95","39,310","14,40,789",51.83
LICHSGFIN,EQ,23-Mar-2026,486.15,483.0,483.7,458.9,459.8,460.7,464.37,"39,43,606","1,83,12,85,321.40","55,549","20,61,085",52.26
LICHSGFIN,EQ,20-Mar-2026,483.5,488.7,494.65,483.5,485.5,486.15,488.13,"11,65,789","56,90,52,180.35","17,978","5,88,869",50.51
LICHSGFIN,EQ,19-Mar-2026,503.15,499.0,499.95,482.0,484.9,483.5,491.64,"27,85,790","1,36,96,17,680.25","36,334","14,93,541",53.61
LICHSGFIN,EQ,18-Mar-2026,498.9,502.0,507.9,499.65,503.9,503.15,504.24,"16,89,650","85,19,88,329.65","37,453","9,63,820",57.04
LICHSGFIN,EQ,17-Mar-2026,501.5,499.25,503.85,488.6,498.5,498.9,495.08,"18,90,810","93,60,97,801.40","40,436","9,51,084",50.3
LICHSGFIN,EQ,16-Mar-2026,496.6,496.95,504.45,490.3,500.3,501.5,497.24,"22,86,161","1,13,67,64,243.20","40,062","11,34,328",49.62
LICHSGFIN,EQ,13-Mar-2026,498.5,495.35,503.9,490.25,496.0,496.6,497.43,"16,37,745","81,46,66,569.05","26,488","7,96,636",48.64
LICHSGFIN,EQ,12-Mar-2026,505.4,500.0,506.15,492.0,498.9,498.5,499.59,"25,40,980","1,26,94,59,133.90","46,075","16,16,116",63.6
LICHSGFIN,EQ,11-Mar-2026,512.5,514.1,521.95,501.35,504.9,505.4,512.25,"12,49,142","63,98,79,216.35","34,520","6,57,606",52.64
LICHSGFIN,EQ,10-Mar-2026,500.2,504.35,514.95,504.35,514.1,512.5,510.64,"11,79,868","60,24,88,443.80","36,605","7,07,746",59.99
LICHSGFIN,EQ,09-Mar-2026,511.8,498.35,502.5,489.75,500.05,500.2,496.32,"25,97,772","1,28,93,25,440.15","57,724","13,92,216",53.59
LICHSGFIN,EQ,06-Mar-2026,521.4,520.0,525.95,510.6,512.0,511.8,517.09,"10,12,776","52,36,94,305.20","22,221","5,82,720",57.54
LICHSGFIN,EQ,05-Mar-2026,518.0,519.1,522.9,513.8,520.1,521.4,518.02,"7,45,762","38,63,21,004.30","19,093","3,40,403",45.64
