symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LICI,EQ,25-Mar-2026,758.7,764.0,784.65,763.55,779.6,781.1,779.66,"12,31,067","95,98,16,390.75","32,132","6,62,114",53.78
LICI,EQ,24-Mar-2026,740.0,758.75,763.0,740.4,758.1,758.7,754.88,"10,27,852","77,59,01,461.80","27,071","4,45,218",43.32
LICI,EQ,23-Mar-2026,776.75,766.0,768.9,737.05,740.0,740.0,749.41,"13,15,501","98,58,47,655.75","44,447","6,20,746",47.19
LICI,EQ,20-Mar-2026,766.05,774.0,779.45,769.85,775.5,776.75,774.87,"10,45,598","81,02,06,118.95","21,392","5,35,628",51.23
LICI,EQ,19-Mar-2026,785.85,774.0,777.9,762.5,766.0,766.05,769.93,"9,21,961","70,98,47,463.40","27,736","4,78,813",51.93
LICI,EQ,18-Mar-2026,777.75,779.95,790.0,777.9,786.0,785.85,785.44,"11,64,183","91,43,90,989.55","29,676","6,10,073",52.4
LICI,EQ,17-Mar-2026,777.35,780.95,782.45,775.35,778.4,777.75,778.72,"6,92,999","53,96,49,972.00","21,759","3,39,159",48.94
LICI,EQ,16-Mar-2026,772.7,770.0,784.9,759.1,777.0,777.35,771.24,"12,21,306","94,19,22,398.80","33,787","5,05,826",41.42
LICI,EQ,13-Mar-2026,796.65,793.0,798.0,770.1,773.4,772.7,780.73,"12,49,784","97,57,44,577.75","42,290","6,44,148",51.54
LICI,EQ,12-Mar-2026,802.4,799.9,808.0,791.55,797.5,796.65,797.74,"7,55,710","60,28,59,985.55","20,607","3,11,044",41.16
LICI,EQ,11-Mar-2026,821.4,821.0,827.4,800.1,802.5,802.4,812.6,"7,04,252","57,22,72,663.40","22,716","3,60,763",51.23
LICI,EQ,10-Mar-2026,805.4,815.15,824.8,807.75,823.85,821.4,817.02,"10,28,794","84,05,47,729.00","24,377","5,38,695",52.36
