symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LODHA,EQ,25-Mar-2026,726.40,747.60,759.85,725.10,733.90,733.85,742.19,"1,49,41,152","11,08,91,39,839.75","2,07,242","86,90,656",58.17
LODHA,EQ,24-Mar-2026,727.90,740.00,742.00,715.45,726.00,726.40,727.92,"1,15,00,326","8,37,13,05,214.30","1,42,005","63,75,346",55.44
LODHA,EQ,23-Mar-2026,796.90,789.00,789.00,724.00,726.00,727.90,742.17,"41,29,352","3,06,46,96,733.85","90,575","20,63,750",49.98
LODHA,EQ,20-Mar-2026,817.95,822.40,835.10,792.30,796.05,796.90,810.28,"22,37,596","1,81,30,86,754.20","46,894","12,31,558",55.04
LODHA,EQ,19-Mar-2026,854.15,846.50,846.50,812.00,821.50,817.95,824.75,"12,21,650","1,00,75,56,876.70","36,947","4,90,501",40.15
LODHA,EQ,18-Mar-2026,842.20,847.40,871.35,846.10,853.20,854.15,859.43,"51,71,884","4,44,48,86,141.65","52,324","34,49,658",66.70
LODHA,EQ,17-Mar-2026,848.75,860.00,860.30,835.00,849.95,842.20,841.47,"14,66,255","1,23,38,13,219.15","31,999","6,43,280",43.87
LODHA,EQ,16-Mar-2026,866.35,868.00,874.60,831.95,847.00,848.75,846.99,"15,42,884","1,30,68,10,680.55","37,598","6,65,615",43.14
LODHA,EQ,13-Mar-2026,869.05,865.00,877.55,857.05,868.80,866.35,865.77,"6,40,875","55,48,51,337.45","24,392","2,45,400",38.29
LODHA,EQ,12-Mar-2026,880.40,875.00,887.05,860.35,871.00,869.05,873.08,"7,28,482","63,60,21,793.20","25,320","3,44,742",47.32
LODHA,EQ,11-Mar-2026,901.95,903.95,919.70,877.20,880.00,880.40,894.82,"6,73,418","60,25,87,286.55","25,154","2,58,386",38.37
LODHA,EQ,10-Mar-2026,888.85,901.40,906.90,890.00,903.75,901.95,899.92,"7,32,423","65,91,19,693.95","24,508","3,60,009",49.15
LODHA,EQ,09-Mar-2026,889.25,869.95,892.70,850.45,884.60,888.85,873.60,"9,59,578","83,82,92,095.80","35,647","3,55,553",37.05
LODHA,EQ,06-Mar-2026,916.25,916.25,919.70,885.95,892.25,889.25,899.66,"15,95,028","1,43,49,77,357.30","53,764","8,77,510",55.02
LODHA,EQ,05-Mar-2026,912.85,924.90,929.00,901.10,920.00,916.25,915.11,"19,51,445","1,78,57,84,240.40","41,771","11,32,780",58.05
LODHA,EQ,04-Mar-2026,966.20,952.00,954.00,905.10,909.00,912.85,920.75,"34,09,192","3,13,90,23,873.60","61,027","19,90,898",58.40
LODHA,EQ,02-Mar-2026,988.25,948.50,978.70,948.50,970.95,966.20,967.01,"20,83,185","2,01,44,59,904.55","42,773","12,06,478",57.92
LODHA,EQ,27-Feb-2026,"1,011.50","1,012.00","1,013.00",984.70,991.00,988.25,990.87,"19,86,835","1,96,86,89,271.90","38,996","13,21,181",66.50
LODHA,EQ,26-Feb-2026,"1,022.50","1,022.70","1,030.90",998.00,"1,008.60","1,011.50","1,011.05","10,20,849","1,03,21,27,057.70","31,600","4,90,681",48.07
LODHA,EQ,25-Feb-2026,"1,040.80","1,044.45","1,059.15","1,015.65","1,019.50","1,022.50","1,034.33","12,80,861","1,32,48,33,547.55","42,832","6,91,956",54.02
LODHA,EQ,24-Feb-2026,"1,072.90","1,065.00","1,078.45","1,024.65","1,044.60","1,040.80","1,042.74","7,98,095","83,22,02,663.70","29,559","3,58,010",44.86
LODHA,EQ,23-Feb-2026,"1,071.15","1,076.45","1,085.40","1,064.00","1,079.90","1,072.90","1,072.85","5,79,542","62,17,63,486.90","23,726","2,94,782",50.86
LODHA,EQ,20-Feb-2026,"1,067.05","1,060.30","1,083.75","1,057.35","1,068.10","1,071.15","1,075.15","5,49,915","59,12,42,112.60","23,663","1,85,334",33.70
LODHA,EQ,19-Feb-2026,"1,108.15","1,100.50","1,108.15","1,061.05","1,069.50","1,067.05","1,073.03","10,05,993","1,07,94,60,929.05","22,705","4,12,560",41.01
LODHA,EQ,18-Feb-2026,"1,096.95","1,100.00","1,113.20","1,088.85","1,105.05","1,108.15","1,097.34","5,98,625","65,68,94,132.90","31,472","3,26,221",54.50
LODHA,EQ,17-Feb-2026,"1,097.90","1,090.00","1,105.00","1,085.20","1,095.30","1,096.95","1,095.43","4,90,586","53,74,02,585.85","18,070","2,53,551",51.68
LODHA,EQ,16-Feb-2026,"1,073.60","1,073.40","1,100.00","1,060.20","1,096.00","1,097.90","1,091.06","6,92,541","75,56,03,303.15","19,735","3,18,249",45.95
LODHA,EQ,13-Feb-2026,"1,084.85","1,071.25","1,079.05","1,045.90","1,070.35","1,073.60","1,066.31","17,95,630","1,91,46,96,361.65","38,476","10,19,081",56.75
LODHA,EQ,12-Feb-2026,"1,094.90","1,089.10","1,096.05","1,080.00","1,080.10","1,084.85","1,085.36","15,11,339","1,64,03,53,267.65","36,832","10,30,128",68.16
