symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LTM,EQ,25-Mar-2026,"4,211.50","4,220.00","4,323.60","4,170.00","4,275.00","4,292.90","4,273.68","5,37,105","2,29,54,15,422.50","46,363","2,48,528",46.27
LTM,EQ,24-Mar-2026,"4,105.60","4,210.00","4,240.00","4,105.70","4,222.00","4,211.50","4,183.04","3,17,949","1,32,99,92,538.40","41,645","1,22,520",38.53
LTM,EQ,23-Mar-2026,"4,298.80","4,236.00","4,236.00","4,071.00","4,101.00","4,105.60","4,118.45","5,69,410","2,34,50,85,613.50","52,147","2,34,919",41.26
LTM,EQ,20-Mar-2026,"4,198.50","4,140.00","4,389.40","4,048.00","4,355.00","4,298.80","4,197.89","11,10,895","4,66,34,19,902.40","61,547","3,67,385",33.07
LTM,EQ,19-Mar-2026,"4,298.80","4,279.90","4,279.90","4,181.00","4,200.00","4,198.50","4,230.02","1,07,184","45,33,90,203.80","16,192","44,372",41.40
LTM,EQ,18-Mar-2026,"4,189.20","4,221.50","4,372.90","4,214.70","4,295.60","4,298.80","4,322.40","2,43,300","1,05,16,38,876.80","27,062","53,583",22.02
LTM,EQ,17-Mar-2026,"4,207.10","4,229.00","4,229.00","4,108.10","4,201.60","4,189.20","4,179.45","2,03,282","84,96,07,594.20","19,164","77,228",37.99
LTM,EQ,16-Mar-2026,"4,206.50","4,214.90","4,274.00","4,160.10","4,187.10","4,207.10","4,197.70","2,20,848","92,70,53,318.40","28,626","80,237",36.33
LTM,EQ,13-Mar-2026,"4,323.60","4,299.00","4,299.00","4,197.00","4,200.00","4,206.50","4,234.40","1,60,275","67,86,67,993.00","25,596","58,179",36.30
LTM,EQ,12-Mar-2026,"4,262.70","4,262.70","4,372.90","4,220.00","4,317.00","4,323.60","4,315.97","2,29,386","99,00,23,374.10","26,119","1,06,993",46.64
LTM,EQ,11-Mar-2026,"4,323.10","4,330.00","4,373.40","4,253.10","4,274.00","4,262.70","4,297.08","1,86,094","79,96,60,239.10","25,180","99,488",53.46
LTM,EQ,10-Mar-2026,"4,317.20","4,355.00","4,369.00","4,275.50","4,343.00","4,323.10","4,309.78","98,559","42,47,67,636.60","17,592","41,334",41.94
LTM,EQ,09-Mar-2026,"4,292.00","4,250.00","4,356.00","4,195.50","4,301.00","4,317.20","4,295.31","2,53,802","1,09,01,58,356.60","27,885","69,501",27.38
LTM,EQ,06-Mar-2026,"4,306.40","4,270.00","4,388.30","4,262.00","4,298.00","4,292.00","4,317.74","2,28,424","98,62,74,872.20","26,914","1,03,144",45.15
LTM,EQ,05-Mar-2026,"4,349.30","4,385.00","4,412.00","4,260.00","4,309.00","4,306.40","4,300.44","1,93,854","83,36,56,665.90","25,530","80,723",41.64
LTM,EQ,04-Mar-2026,"4,404.40","4,330.10","4,434.00","4,325.30","4,340.30","4,349.30","4,373.75","1,93,103","84,45,84,064.70","21,331","84,511",43.76
LTM,EQ,02-Mar-2026,"4,462.00","4,393.90","4,477.00","4,356.50","4,411.40","4,404.40","4,409.83","1,71,388","75,57,91,436.30","23,580","64,114",37.41
LTM,EQ,27-Feb-2026,"4,504.00","4,590.00","4,649.00","4,435.00","4,451.00","4,462.00","4,497.60","4,64,787","2,09,04,25,674.50","32,752","2,53,112",54.46
LTIM,EQ,26-Feb-2026,"4,559.00","4,580.00","4,655.00","4,486.50","4,510.00","4,504.00","4,558.36","2,70,646","1,23,37,03,119.50","27,024","73,466",27.14
LTIM,EQ,25-Feb-2026,"4,501.00","4,524.00","4,661.50","4,515.50","4,549.50","4,559.00","4,581.40","3,70,208","1,69,60,72,454.50","38,276","1,05,361",28.46
LTIM,EQ,24-Feb-2026,"4,831.50","4,778.00","4,780.00","4,465.50","4,521.00","4,501.00","4,565.95","8,83,696","4,03,49,10,094.00","69,142","3,52,768",39.92
LTIM,EQ,23-Feb-2026,"4,889.50","4,849.50","4,876.00","4,765.00","4,822.50","4,831.50","4,819.10","3,63,966","1,75,39,87,033.50","34,682","1,30,901",35.97
LTIM,EQ,20-Feb-2026,"4,959.50","4,945.00","4,961.50","4,862.00","4,874.00","4,889.50","4,902.66","2,44,127","1,19,68,71,325.00","31,033","82,537",33.81
LTIM,EQ,19-Feb-2026,"5,054.00","5,061.00","5,117.50","4,921.00","4,940.00","4,959.50","5,021.40","2,03,502","1,02,18,64,976.00","25,804","74,965",36.84
LTIM,EQ,18-Feb-2026,"5,164.50","5,181.50","5,195.00","4,995.00","5,048.00","5,054.00","5,045.12","2,89,565","1,46,08,89,530.50","25,628","87,165",30.10
LTIM,EQ,17-Feb-2026,"5,118.50","5,097.00","5,234.50","5,051.00","5,156.00","5,164.50","5,175.25","3,16,641","1,63,86,96,165.00","27,666","1,37,833",43.53
LTIM,EQ,16-Feb-2026,"5,115.50","5,100.00","5,144.00","5,057.00","5,121.00","5,118.50","5,097.42","2,16,966","1,10,59,67,054.50","21,543","71,884",33.13
LTIM,EQ,13-Feb-2026,"5,211.50","5,004.00","5,178.50","4,988.00","5,124.50","5,115.50","5,084.66","6,87,029","3,49,33,11,565.50","62,418","2,61,878",38.12
LTIM,EQ,12-Feb-2026,"5,515.50","5,438.50","5,438.50","5,180.00","5,186.00","5,211.50","5,244.42","6,24,232","3,27,37,33,750.50","68,731","2,63,749",42.25
LTIM,EQ,11-Feb-2026,"5,662.00","5,685.00","5,692.00","5,490.00","5,504.00","5,515.50","5,574.31","2,68,051","1,49,41,99,297.50","31,553","1,37,054",51.13
LTIM,EQ,10-Feb-2026,"5,626.50","5,641.50","5,680.00","5,586.00","5,635.00","5,662.00","5,655.75","3,09,623","1,75,11,51,197.00","31,313","1,81,923",58.76
LTIM,EQ,09-Feb-2026,"5,561.50","5,561.50","5,660.50","5,561.50","5,627.50","5,626.50","5,617.90","1,47,369","82,79,04,961.00","17,462","73,668",49.99
LTIM,EQ,06-Feb-2026,"5,683.50","5,650.00","5,650.00","5,500.00","5,553.00","5,561.50","5,539.84","3,90,513","2,16,33,81,378.50","38,854","1,76,031",45.08
LTIM,EQ,05-Feb-2026,"5,706.50","5,700.00","5,741.00","5,619.50","5,670.00","5,683.50","5,678.82","3,03,053","1,72,09,83,709.50","31,955","1,51,891",50.12
LTIM,EQ,04-Feb-2026,"6,044.00","5,800.00","5,800.00","5,545.00","5,691.00","5,706.50","5,658.10","8,24,065","4,66,26,41,483.50","76,658","3,24,701",39.40
LTIM,EQ,03-Feb-2026,"5,986.00","6,200.00","6,275.50","6,016.00","6,029.50","6,044.00","6,117.61","1,69,450","1,03,66,28,469.00","21,934","80,379",47.44
LTIM,EQ,02-Feb-2026,"6,070.50","6,068.50","6,068.50","5,929.00","5,995.50","5,986.00","5,991.86","1,74,587","1,04,61,01,176.50","21,642","94,533",54.15
LTIM,EQ,01-Feb-2026,"5,974.50","5,970.00","6,165.00","5,908.50","5,998.50","6,070.50","6,070.26","1,68,185","1,02,09,26,952.00","17,380","63,448",37.73
LTIM,EQ,30-Jan-2026,"5,995.00","5,966.00","5,992.50","5,889.00","5,970.00","5,974.50","5,957.59","2,60,551","1,55,22,55,607.00","34,201","1,52,375",58.48
LTIM,EQ,29-Jan-2026,"6,015.50","6,015.50","6,015.50","5,902.00","5,987.00","5,995.00","5,953.59","1,82,049","1,08,38,45,044.00","23,158","97,879",53.77
LTIM,EQ,28-Jan-2026,"5,940.50","5,960.00","6,035.00","5,934.00","6,016.00","6,015.50","5,989.35","1,49,076","89,28,68,111.50","25,063","74,106",49.71
LTIM,EQ,27-Jan-2026,"5,893.50","5,894.00","5,995.00","5,841.00","5,990.00","5,940.50","5,899.28","2,40,005","1,41,58,56,573.00","28,048","1,05,590",43.99
LTIM,EQ,23-Jan-2026,"5,947.00","5,960.00","6,022.00","5,854.00","5,868.00","5,893.50","5,919.50","2,38,727","1,41,31,44,308.50","21,076","1,20,295",50.39
LTIM,EQ,22-Jan-2026,"5,844.00","5,902.50","6,041.50","5,864.00","5,950.00","5,947.00","5,961.60","3,78,212","2,25,47,49,385.50","34,365","1,40,775",37.22
LTIM,EQ,21-Jan-2026,"5,976.50","5,900.50","5,949.50","5,751.50","5,843.00","5,844.00","5,821.96","7,26,770","4,23,12,27,591.00","65,403","2,37,158",32.63
LTIM,EQ,20-Jan-2026,"6,407.00","6,245.50","6,247.50","5,911.50","5,957.00","5,976.50","6,004.08","14,90,878","8,95,13,53,091.50","1,27,483","4,29,998",28.84
LTIM,EQ,19-Jan-2026,"6,308.00","6,300.00","6,429.50","6,266.50","6,360.00","6,407.00","6,358.65","5,30,829","3,37,53,53,410.00","29,742","1,56,043",29.40
LTIM,EQ,16-Jan-2026,"6,030.50","6,030.50","6,370.00","6,030.50","6,300.00","6,308.00","6,285.75","8,72,154","5,48,21,43,601.00","66,070","3,99,623",45.82
LTIM,EQ,14-Jan-2026,"6,100.50","6,105.00","6,105.00","6,014.50","6,017.00","6,030.50","6,041.35","1,65,031","99,70,09,610.50","25,607","84,260",51.06
LTIM,EQ,13-Jan-2026,"6,000.50","6,039.00","6,108.50","6,003.50","6,108.00","6,100.50","6,067.47","1,97,592","1,19,88,84,164.00","34,699","1,03,537",52.40
LTIM,EQ,12-Jan-2026,"6,037.00","6,000.00","6,021.00","5,901.00","6,012.00","6,000.50","5,974.51","3,27,804","1,95,84,69,612.50","51,272","2,01,348",61.42
LTIM,EQ,09-Jan-2026,"6,018.00","6,001.00","6,100.00","5,999.50","6,035.50","6,037.00","6,050.87","1,74,207","1,05,41,03,064.00","30,037","90,359",51.87
LTIM,EQ,08-Jan-2026,"6,102.00","6,107.00","6,134.00","6,000.50","6,004.00","6,018.00","6,038.47","1,46,676","88,56,99,028.50","27,066","74,575",50.84
LTIM,EQ,07-Jan-2026,"5,982.50","5,985.00","6,124.00","5,977.50","6,107.00","6,102.00","6,086.77","2,92,945","1,78,30,87,392.00","39,258","1,66,577",56.86
LTIM,EQ,06-Jan-2026,"6,059.00","6,050.00","6,083.00","5,970.00","5,970.00","5,982.50","5,995.24","3,61,933","2,16,98,76,083.00","31,501","2,31,208",63.88
LTIM,EQ,05-Jan-2026,"6,067.00","6,067.50","6,150.50","6,012.50","6,075.00","6,059.00","6,075.33","3,34,004","2,02,91,85,491.50","25,114","2,04,764",61.31
LTIM,EQ,02-Jan-2026,"6,112.00","6,130.00","6,145.00","6,052.00","6,085.50","6,067.00","6,082.42","1,34,408","81,75,26,201.50","15,897","73,030",54.33
LTIM,EQ,01-Jan-2026,"6,063.50","6,063.50","6,120.00","6,040.00","6,118.00","6,112.00","6,081.11","54,661","33,23,99,647.50","7,131","17,640",32.27
LTIM,EQ,31-Dec-2025,"6,074.00","6,052.00","6,105.50","6,036.50","6,060.00","6,063.50","6,070.81","93,136","56,54,11,412.00","15,981","43,331",46.52
LTIM,EQ,30-Dec-2025,"6,033.50","6,015.00","6,093.50","6,003.00","6,078.00","6,074.00","6,064.27","2,39,568","1,45,28,05,097.00","31,592","1,43,396",59.86
LTIM,EQ,29-Dec-2025,"6,035.50","6,020.00","6,117.00","6,019.00","6,022.50","6,033.50","6,061.90","1,28,969","78,17,97,691.00","25,017","52,510",40.72
LTIM,EQ,26-Dec-2025,"6,163.00","6,160.00","6,174.50","6,020.00","6,020.50","6,035.50","6,080.16","1,13,668","69,11,19,577.00","14,361","50,559",44.48
LTIM,EQ,24-Dec-2025,"6,202.50","6,202.50","6,243.50","6,134.50","6,135.00","6,163.00","6,194.38","1,74,322","1,07,98,17,274.00","24,068","85,503",49.05
LTIM,EQ,23-Dec-2025,"6,191.50","6,197.00","6,217.00","6,126.00","6,209.00","6,202.50","6,179.74","1,60,279","99,04,82,130.00","22,498","69,702",43.49
