symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LT,EQ,25-Mar-2026,"3,516.80","3,569.90","3,660.00","3,546.00","3,659.00","3,649.30","3,621.06","50,90,205","18,43,19,52,036.20","3,20,240","25,85,519",50.79
LT,EQ,24-Mar-2026,"3,342.40","3,440.00","3,547.10","3,390.50","3,515.10","3,516.80","3,478.27","60,37,848","21,00,12,69,047.30","3,05,220","30,07,866",49.82
LT,EQ,23-Mar-2026,"3,434.80","3,405.10","3,409.90","3,288.10","3,341.90","3,342.40","3,327.17","56,45,839","18,78,46,49,604.20","3,19,335","32,21,419",57.06
LT,EQ,20-Mar-2026,"3,434.50","3,475.00","3,524.00","3,410.00","3,438.10","3,434.80","3,452.81","47,43,217","16,37,74,20,679.30","2,27,003","29,48,775",62.17
LT,EQ,19-Mar-2026,"3,607.90","3,526.70","3,528.30","3,422.00","3,444.00","3,434.50","3,457.20","48,98,518","16,93,51,47,771.90","3,10,251","26,24,249",53.57
LT,EQ,18-Mar-2026,"3,542.80","3,569.00","3,638.80","3,555.00","3,602.00","3,607.90","3,605.55","41,90,485","15,10,89,94,988.30","2,00,293","24,86,460",59.34
LT,EQ,17-Mar-2026,"3,469.40","3,478.00","3,550.00","3,450.00","3,536.50","3,542.80","3,501.41","50,03,418","17,51,90,20,700.00","3,09,529","29,52,728",59.01
LT,EQ,16-Mar-2026,"3,439.00","3,453.50","3,494.80","3,396.60","3,460.00","3,469.40","3,445.58","84,59,233","29,14,69,50,471.70","3,69,512","50,87,391",60.14
LT,EQ,13-Mar-2026,"3,719.50","3,696.00","3,697.00","3,424.50","3,445.00","3,439.00","3,511.18","1,07,78,730","37,84,60,37,016.90","5,07,723","71,12,796",65.99
LT,EQ,12-Mar-2026,"3,838.80","3,825.00","3,830.00","3,704.90","3,713.00","3,719.50","3,760.74","42,55,443","16,00,36,10,914.20","2,62,924","23,20,855",54.54
LT,EQ,11-Mar-2026,"3,876.00","3,879.70","3,896.70","3,832.00","3,836.00","3,838.80","3,859.76","20,66,473","7,97,60,91,844.60","1,30,657","12,17,140",58.90
LT,EQ,10-Mar-2026,"3,842.10","3,936.00","3,972.00","3,851.00","3,881.50","3,876.00","3,880.02","33,30,102","12,92,08,68,078.20","1,83,996","16,74,864",50.29
LT,EQ,09-Mar-2026,"3,949.80","3,850.00","3,852.00","3,743.00","3,836.50","3,842.10","3,791.51","42,48,784","16,10,92,87,723.10","2,43,130","24,27,298",57.13
