symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LUPIN,EQ,25-Mar-2026,"2,331.80","2,338.70","2,360.70","2,331.20","2,343.00","2,347.60","2,348.55","11,59,296","2,72,26,68,461.80","58,721","7,75,159",66.86
LUPIN,EQ,24-Mar-2026,"2,296.70","2,325.00","2,348.90","2,280.50","2,331.30","2,331.80","2,316.72","12,75,818","2,95,57,11,733.50","63,919","7,77,893",60.97
LUPIN,EQ,23-Mar-2026,"2,322.50","2,319.70","2,321.00","2,282.10","2,289.80","2,296.70","2,298.68","10,92,156","2,51,05,18,133.40","41,664","7,14,767",65.45
LUPIN,EQ,20-Mar-2026,"2,251.50","2,275.00","2,337.80","2,265.10","2,319.00","2,322.50","2,313.78","10,89,433","2,52,07,05,394.20","37,605","6,30,344",57.86
LUPIN,EQ,19-Mar-2026,"2,302.40","2,278.00","2,295.00","2,241.60","2,262.00","2,251.50","2,264.69","3,72,325","84,32,01,329.10","33,246","2,06,321",55.41
LUPIN,EQ,18-Mar-2026,"2,298.20","2,295.30","2,323.00","2,295.30","2,306.40","2,302.40","2,306.32","11,68,283","2,69,44,38,451.60","57,385","7,86,758",67.34
LUPIN,EQ,17-Mar-2026,"2,290.40","2,306.00","2,312.20","2,285.40","2,299.90","2,298.20","2,299.28","7,23,707","1,66,40,05,337.50","51,874","4,21,021",58.18
LUPIN,EQ,16-Mar-2026,"2,314.90","2,301.10","2,312.00","2,251.00","2,288.80","2,290.40","2,290.14","6,14,808","1,40,79,98,416.40","34,247","2,97,891",48.45
LUPIN,EQ,13-Mar-2026,"2,357.30","2,348.00","2,361.90","2,297.20","2,301.10","2,314.90","2,328.38","6,95,882","1,62,02,79,244.60","33,977","4,21,628",60.59
LUPIN,EQ,12-Mar-2026,"2,344.60","2,337.00","2,361.40","2,306.00","2,358.50","2,357.30","2,341.54","8,70,863","2,03,91,61,088.10","50,285","5,40,157",62.03
LUPIN,EQ,11-Mar-2026,"2,337.40","2,350.00","2,377.60","2,336.50","2,337.00","2,344.60","2,357.89","9,85,107","2,32,27,76,308.80","56,789","5,21,895",52.98
LUPIN,EQ,10-Mar-2026,"2,303.10","2,318.00","2,358.00","2,314.60","2,345.00","2,337.40","2,338.81","11,18,753","2,61,65,48,095.70","85,681","7,08,494",63.33
LUPIN,EQ,09-Mar-2026,"2,343.80","2,310.00","2,319.90","2,284.40","2,300.00","2,303.10","2,300.10","8,52,490","1,96,08,15,658.90","72,133","4,79,139",56.20
LUPIN,EQ,06-Mar-2026,"2,332.90","2,341.00","2,369.50","2,324.80","2,330.00","2,343.80","2,346.68","13,74,145","3,22,46,77,400.10","83,023","8,77,332",63.85
LUPIN,EQ,05-Mar-2026,"2,304.90","2,310.00","2,361.60","2,310.00","2,337.60","2,332.90","2,332.94","16,83,119","3,92,66,22,870.60","1,06,370","10,75,356",63.89
LUPIN,EQ,04-Mar-2026,"2,311.10","2,311.10","2,312.00","2,268.40","2,307.00","2,304.90","2,291.01","13,43,538","3,07,80,57,330.80","75,631","9,01,251",67.08
LUPIN,EQ,02-Mar-2026,"2,301.90","2,275.60","2,322.40","2,261.30","2,317.00","2,311.10","2,293.69","5,80,930","1,33,24,74,802.50","53,194","2,72,806",46.96
LUPIN,EQ,27-Feb-2026,"2,323.20","2,330.00","2,336.30","2,291.70","2,295.60","2,301.90","2,309.35","9,55,385","2,20,63,17,619.10","49,689","5,57,855",58.39
LUPIN,EQ,26-Feb-2026,"2,292.20","2,292.20","2,331.80","2,288.80","2,316.70","2,323.20","2,316.51","9,14,955","2,11,95,03,462.30","49,983","4,59,733",50.25
LUPIN,EQ,25-Feb-2026,"2,250.20","2,267.20","2,299.70","2,254.80","2,293.00","2,292.20","2,282.02","11,04,224","2,51,98,65,478.40","63,588","6,38,160",57.79
LUPIN,EQ,24-Feb-2026,"2,241.40","2,252.50","2,257.90","2,235.00","2,252.00","2,250.20","2,247.64","10,74,791","2,41,57,38,650.00","43,893","6,53,714",60.82
LUPIN,EQ,23-Feb-2026,"2,219.40","2,220.00","2,254.40","2,210.50","2,247.00","2,241.40","2,238.37","7,45,467","1,66,86,31,442.10","35,690","4,88,492",65.53
LUPIN,EQ,20-Feb-2026,"2,228.70","2,218.00","2,241.20","2,210.40","2,224.00","2,219.40","2,220.82","5,09,573","1,13,16,67,915.40","30,908","2,88,281",56.57
LUPIN,EQ,19-Feb-2026,"2,226.70","2,234.00","2,251.00","2,205.10","2,224.00","2,228.70","2,232.02","4,92,280","1,09,87,79,306.00","24,863","2,08,336",42.32
LUPIN,EQ,18-Feb-2026,"2,247.50","2,255.00","2,255.00","2,220.80","2,230.80","2,226.70","2,238.03","3,81,520","85,38,54,125.30","26,559","1,85,065",48.51
LUPIN,EQ,17-Feb-2026,"2,221.50","2,235.00","2,263.00","2,228.00","2,244.00","2,247.50","2,248.66","9,32,836","2,09,76,31,314.70","39,200","3,83,372",41.10
LUPIN,EQ,16-Feb-2026,"2,199.30","2,219.30","2,238.80","2,191.90","2,219.40","2,221.50","2,221.12","12,56,981","2,79,19,00,855.90","75,189","7,40,525",58.91
LUPIN,EQ,13-Feb-2026,"2,211.10","2,210.00","2,219.20","2,160.00","2,194.00","2,199.30","2,192.60","11,26,141","2,46,91,76,497.00","57,357","4,36,047",38.72
LUPIN,EQ,12-Feb-2026,"2,209.10","2,218.00","2,221.30","2,171.70","2,219.30","2,211.10","2,202.32","8,04,229","1,77,11,67,338.30","34,815","3,69,333",45.92
LUPIN,EQ,11-Feb-2026,"2,204.10","2,215.00","2,230.30","2,198.10","2,214.80","2,209.10","2,217.90","5,60,095","1,24,22,36,311.60","41,225","2,90,361",51.84
LUPIN,EQ,10-Feb-2026,"2,196.80","2,214.00","2,233.80","2,196.20","2,205.00","2,204.10","2,215.41","6,92,201","1,53,35,09,733.90","41,144","3,04,622",44.01
LUPIN,EQ,09-Feb-2026,"2,173.70","2,189.90","2,215.50","2,168.50","2,208.70","2,196.80","2,192.66","6,19,264","1,35,78,36,693.40","28,487","2,98,589",48.22
LUPIN,EQ,06-Feb-2026,"2,218.50","2,214.00","2,214.00","2,162.10","2,162.10","2,173.70","2,179.60","6,00,785","1,30,94,70,364.30","29,737","2,90,162",48.30
LUPIN,EQ,05-Feb-2026,"2,195.20","2,204.00","2,244.50","2,196.90","2,217.90","2,218.50","2,218.41","10,46,965","2,32,26,01,985.40","55,777","4,62,356",44.16
LUPIN,EQ,04-Feb-2026,"2,185.90","2,196.30","2,210.10","2,159.20","2,195.80","2,195.20","2,192.47","9,84,948","2,15,94,73,320.30","55,130","5,16,013",52.39
LUPIN,EQ,03-Feb-2026,"2,129.40","2,225.00","2,225.00","2,163.70","2,182.00","2,185.90","2,188.25","12,52,989","2,74,18,47,020.90","53,864","7,32,871",58.49
LUPIN,EQ,02-Feb-2026,"2,135.20","2,135.30","2,148.00","2,078.20","2,129.40","2,129.40","2,102.38","5,67,484","1,19,30,66,403.90","38,196","2,80,208",49.38
LUPIN,EQ,01-Feb-2026,"2,152.80","2,153.00","2,161.00","2,091.90","2,131.00","2,135.20","2,129.16","4,31,253","91,82,07,728.10","16,483","2,24,359",52.02
LUPIN,EQ,30-Jan-2026,"2,132.10","2,130.00","2,168.00","2,120.30","2,147.00","2,152.80","2,149.19","11,49,131","2,46,96,98,599.70","42,378","6,87,745",59.85
LUPIN,EQ,29-Jan-2026,"2,129.50","2,125.20","2,137.90","2,088.00","2,122.00","2,132.10","2,120.31","6,94,722","1,47,30,23,742.40","33,411","4,20,851",60.58
LUPIN,EQ,28-Jan-2026,"2,150.50","2,154.90","2,162.60","2,116.60","2,131.60","2,129.50","2,128.57","9,26,440","1,97,19,94,347.60","36,834","5,92,024",63.90
LUPIN,EQ,27-Jan-2026,"2,137.20","2,140.50","2,162.60","2,121.00","2,157.90","2,150.50","2,143.75","8,42,777","1,80,67,04,468.70","48,218","4,45,168",52.82
LUPIN,EQ,23-Jan-2026,"2,163.20","2,167.00","2,178.00","2,130.30","2,138.00","2,137.20","2,148.09","5,78,417","1,24,24,89,549.80","33,573","3,02,320",52.27
LUPIN,EQ,22-Jan-2026,"2,140.70","2,149.00","2,188.70","2,147.10","2,171.00","2,163.20","2,171.14","6,35,760","1,38,03,21,238.40","34,506","3,92,449",61.73
LUPIN,EQ,21-Jan-2026,"2,168.30","2,168.30","2,210.00","2,132.00","2,139.30","2,140.70","2,160.92","10,09,184","2,18,07,70,642.60","44,981","5,21,441",51.67
LUPIN,EQ,20-Jan-2026,"2,177.10","2,177.10","2,180.00","2,152.80","2,165.00","2,168.30","2,168.11","8,73,360","1,89,35,36,463.00","27,614","5,66,170",64.83
LUPIN,EQ,19-Jan-2026,"2,177.90","2,155.00","2,188.60","2,145.00","2,179.20","2,177.10","2,172.09","7,92,609","1,72,16,18,647.90","34,516","4,88,416",61.62
LUPIN,EQ,16-Jan-2026,"2,195.90","2,205.00","2,217.40","2,173.00","2,174.10","2,177.90","2,196.77","10,11,431","2,22,18,76,628.30","63,918","6,60,559",65.31
LUPIN,EQ,14-Jan-2026,"2,179.00","2,168.20","2,216.70","2,156.40","2,204.00","2,195.90","2,193.41","7,37,880","1,61,84,76,986.30","37,768","3,83,219",51.94
LUPIN,EQ,13-Jan-2026,"2,188.40","2,190.40","2,205.00","2,157.30","2,177.40","2,179.00","2,173.02","8,92,652","1,93,97,52,373.20","41,493","4,91,498",55.06
LUPIN,EQ,12-Jan-2026,"2,182.20","2,174.00","2,197.70","2,139.70","2,187.00","2,188.40","2,171.73","6,23,831","1,35,47,93,671.10","37,157","3,13,009",50.18
LUPIN,EQ,09-Jan-2026,"2,190.90","2,191.00","2,195.00","2,156.00","2,182.90","2,182.20","2,180.94","9,29,502","2,02,71,89,114.00","41,883","5,02,900",54.10
LUPIN,EQ,08-Jan-2026,"2,214.30","2,220.90","2,221.00","2,185.70","2,191.50","2,190.90","2,195.12","8,38,882","1,84,14,43,031.90","55,385","5,22,011",62.23
LUPIN,EQ,07-Jan-2026,"2,149.70","2,161.00","2,226.30","2,146.30","2,215.00","2,214.30","2,203.94","13,68,118","3,01,52,55,558.80","62,261","5,55,156",40.58
LUPIN,EQ,06-Jan-2026,"2,083.70","2,083.60","2,160.00","2,077.00","2,160.00","2,149.70","2,126.99","17,95,864","3,81,97,82,130.10","61,631","12,56,424",69.96
LUPIN,EQ,05-Jan-2026,"2,105.30","2,105.30","2,112.20","2,073.60","2,082.20","2,083.70","2,094.33","5,74,277","1,20,27,25,134.20","28,117","3,47,988",60.60
LUPIN,EQ,02-Jan-2026,"2,102.80","2,103.00","2,122.10","2,095.50","2,108.00","2,105.30","2,109.01","2,52,908","53,33,84,548.90","21,235","1,26,792",50.13
LUPIN,EQ,01-Jan-2026,"2,109.50","2,114.00","2,114.00","2,082.00","2,106.20","2,102.80","2,093.78","3,80,593","79,68,77,636.20","11,681","2,10,806",55.39
