symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANAPPURAM,EQ,25-Mar-2026,252.65,258.0,269.35,256.25,261.35,262.35,263.6,"73,94,398","1,94,91,52,688.10","54,957","15,90,985",21.52
MANAPPURAM,EQ,24-Mar-2026,252.3,253.75,257.0,248.65,253.0,252.65,252.41,"38,82,589","98,00,01,682.40","23,403","12,54,759",32.32
MANAPPURAM,EQ,23-Mar-2026,259.25,252.9,254.95,245.15,253.0,252.3,250.2,"74,00,338","1,85,15,75,820.50","42,529","33,94,700",45.87
MANAPPURAM,EQ,20-Mar-2026,264.15,265.35,268.0,258.5,259.25,259.25,262.34,"33,01,085","86,59,97,382.40","25,727","12,43,980",37.68
MANAPPURAM,EQ,19-Mar-2026,270.0,268.6,273.25,262.7,265.25,264.15,267.64,"71,63,097","1,91,71,54,578.10","51,329","17,99,636",25.12
MANAPPURAM,EQ,18-Mar-2026,256.85,257.5,272.0,257.5,271.35,270.0,265.43,"85,30,540","2,26,42,76,944.20","39,201","38,37,675",44.99
MANAPPURAM,EQ,17-Mar-2026,251.2,251.45,260.55,249.7,257.25,256.85,256.28,"78,37,935","2,00,87,15,079.45","33,339","42,93,459",54.78
MANAPPURAM,EQ,16-Mar-2026,256.1,253.85,257.05,246.95,250.75,251.2,252.63,"51,45,342","1,29,98,63,767.50","38,696","19,73,998",38.36
MANAPPURAM,EQ,13-Mar-2026,255.55,254.0,258.05,251.6,257.0,256.1,255.25,"34,01,711","86,82,88,172.70","28,973","10,61,709",31.21
MANAPPURAM,EQ,12-Mar-2026,258.0,255.0,259.35,250.95,254.95,255.55,256.32,"49,28,562","1,26,32,69,617.50","33,427","22,71,415",46.09
MANAPPURAM,EQ,11-Mar-2026,261.8,263.8,268.85,256.8,257.4,258.0,261.96,"47,67,483","1,24,88,78,356.20","33,121","21,37,572",44.84
MANAPPURAM,EQ,10-Mar-2026,256.85,260.45,265.3,258.3,264.1,261.8,261.67,"50,46,203","1,32,04,46,414.85","49,560","24,14,707",47.85
MANAPPURAM,EQ,09-Mar-2026,262.75,255.0,257.9,249.7,257.3,256.85,254.6,"58,06,106","1,47,82,57,872.35","44,529","27,75,923",47.81
MANAPPURAM,EQ,06-Mar-2026,267.3,266.65,270.05,262.0,263.4,262.75,265.94,"34,98,921","93,05,06,530.50","42,085","15,63,835",44.69
MANAPPURAM,EQ,05-Mar-2026,269.25,270.25,273.1,263.4,267.5,267.3,267.45,"35,05,279","93,74,95,691.55","41,582","15,28,705",43.61
MANAPPURAM,EQ,04-Mar-2026,282.0,277.4,278.5,268.0,270.0,269.25,271.41,"65,04,593","1,76,54,14,129.90","47,613","28,32,979",43.55
MANAPPURAM,EQ,02-Mar-2026,283.25,280.0,287.6,272.15,276.7,282.0,282.42,"70,99,198","2,00,49,76,215.50","67,481","33,30,708",46.92
MANAPPURAM,EQ,27-Feb-2026,293.05,293.65,293.65,281.7,282.5,283.25,286.56,"68,70,390","1,96,87,55,623.60","44,589","35,73,965",52.02
MANAPPURAM,EQ,26-Feb-2026,296.6,287.1,297.25,284.45,293.75,293.05,291.72,"1,76,19,024","5,13,98,47,582.10","1,29,029","1,00,23,758",56.89
MANAPPURAM,EQ,25-Feb-2026,305.3,305.0,305.85,294.8,295.8,296.6,298.94,"91,05,927","2,72,20,83,615.00","52,873","54,65,271",60.02
MANAPPURAM,EQ,24-Feb-2026,303.85,303.85,307.5,300.85,305.7,305.3,303.82,"16,81,412","51,08,47,018.00","16,480","4,98,977",29.68
MANAPPURAM,EQ,23-Feb-2026,306.5,308.8,311.4,302.5,303.25,303.85,306.96,"24,70,708","75,84,01,494.30","22,593","6,53,469",26.45
MANAPPURAM,EQ,20-Feb-2026,305.7,304.8,308.1,303.35,306.8,306.5,306.48,"13,07,604","40,07,48,191.50","13,355","3,96,615",30.33
MANAPPURAM,EQ,19-Feb-2026,310.15,310.15,310.35,303.5,304.8,305.7,307.03,"29,51,795","90,63,00,290.85","17,529","12,38,711",41.96
MANAPPURAM,EQ,18-Feb-2026,306.55,308.0,311.75,306.0,309.9,310.15,309.28,"35,10,885","1,08,58,44,519.70","23,968","15,26,257",43.47
MANAPPURAM,EQ,17-Feb-2026,303.75,303.7,309.15,299.3,306.5,306.55,304.26,"28,46,316","86,60,19,521.40","24,701","7,21,231",25.34
MANAPPURAM,EQ,16-Feb-2026,302.65,303.25,306.0,295.35,302.8,303.75,301.13,"78,05,766","2,35,05,53,220.65","46,537","17,59,258",22.54
MANAPPURAM,EQ,13-Feb-2026,308.65,306.7,306.7,296.6,302.15,302.65,301.15,"49,16,102","1,48,05,01,052.75","31,792","11,11,549",22.61
MANAPPURAM,EQ,12-Feb-2026,302.55,304.0,309.8,300.6,308.35,308.65,306.94,"48,24,609","1,48,08,52,012.95","34,954","15,34,226",31.80
MANAPPURAM,EQ,11-Feb-2026,308.95,308.0,312.0,301.1,304.0,302.55,307.77,"62,36,977","1,91,95,79,255.45","35,607","21,82,122",34.99
MANAPPURAM,EQ,10-Feb-2026,306.7,305.1,313.25,302.5,307.8,308.95,308.09,"46,86,621","1,44,39,20,706.30","33,147","15,68,028",33.46
MANAPPURAM,EQ,09-Feb-2026,300.9,302.65,307.9,300.4,306.0,306.7,305.3,"50,04,499","1,52,78,53,528.15","41,551","16,60,683",33.18
MANAPPURAM,EQ,06-Feb-2026,294.75,291.85,302.35,284.2,300.5,300.9,295.09,"52,97,331","1,56,31,88,110.05","38,253","13,93,558",26.31
MANAPPURAM,EQ,05-Feb-2026,293.65,290.95,295.45,283.65,293.9,294.75,290.91,"24,23,804","70,50,99,494.50","24,709","4,96,933",20.50
MANAPPURAM,EQ,04-Feb-2026,291.25,290.0,296.8,290.0,294.25,293.65,293.45,"23,66,082","69,43,19,292.95","26,540","6,20,330",26.22
MANAPPURAM,EQ,03-Feb-2026,279.4,290.0,294.0,282.6,290.25,291.25,288.51,"54,80,961","1,58,13,01,435.70","43,345","20,38,138",37.19
MANAPPURAM,EQ,02-Feb-2026,269.9,267.4,283.5,260.7,281.55,279.4,269.54,"68,54,966","1,84,77,06,268.40","62,406","21,29,650",31.07
MANAPPURAM,EQ,01-Feb-2026,284.65,280.8,284.75,267.4,272.65,269.9,275.76,"63,50,038","1,75,10,68,466.25","47,401","16,64,075",26.21
MANAPPURAM,EQ,30-Jan-2026,296.9,290.0,293.8,270.0,284.5,284.65,287.01,"80,65,063","2,31,47,37,927.60","79,284","17,40,979",21.59
