symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MARICO,EQ,25-Mar-2026,739.1,747.9,758.75,743.1,755.0,753.75,752.61,"17,55,316","1,32,10,75,745.00","51,326","10,42,492",59.39
MARICO,EQ,24-Mar-2026,725.3,732.0,745.4,724.45,743.0,739.1,736.58,"18,52,576","1,36,45,72,123.30","53,281","11,26,979",60.83
MARICO,EQ,23-Mar-2026,744.3,734.8,744.8,723.55,725.0,725.3,727.85,"17,74,602","1,29,16,42,276.90","54,344","11,24,705",63.38
MARICO,EQ,20-Mar-2026,741.25,750.0,750.0,740.2,744.75,744.3,745.07,"14,78,190","1,10,13,58,442.70","56,210","9,91,169",67.05
MARICO,EQ,19-Mar-2026,756.0,746.1,752.2,734.0,744.0,741.25,739.5,"13,05,425","96,53,59,493.55","70,102","7,59,080",58.15
MARICO,EQ,18-Mar-2026,754.75,754.75,759.45,750.4,752.85,756.0,755.3,"14,61,880","1,10,41,57,494.65","41,114","9,21,006",63.0
MARICO,EQ,17-Mar-2026,750.1,750.1,757.5,742.8,756.85,754.75,750.83,"10,54,603","79,18,32,670.65","39,654","5,86,820",55.64
MARICO,EQ,16-Mar-2026,752.4,751.1,752.95,738.5,750.0,750.1,746.38,"19,76,708","1,47,53,84,832.05","50,797","11,84,237",59.91
MARICO,EQ,13-Mar-2026,757.15,754.0,767.5,750.35,757.8,752.4,758.89,"22,32,192","1,69,39,95,236.00","47,651","12,93,214",57.93
MARICO,EQ,12-Mar-2026,761.6,762.0,764.3,749.35,760.85,757.15,756.99,"43,08,894","3,26,18,06,154.35","69,897","16,60,028",38.53
MARICO,EQ,11-Mar-2026,789.9,790.0,792.9,759.3,760.0,761.6,768.34,"10,27,261","78,92,86,328.25","37,128","5,98,206",58.23
MARICO,EQ,10-Mar-2026,778.0,779.95,792.75,779.95,792.0,789.9,787.39,"16,15,258","1,27,18,43,208.25","67,130","10,76,238",66.63
MARICO,EQ,09-Mar-2026,785.25,783.05,783.9,770.8,774.0,778.0,776.3,"17,43,703","1,35,36,35,143.10","47,402","10,80,883",61.99
MARICO,EQ,06-Mar-2026,778.85,779.8,790.6,776.5,785.1,785.25,785.78,"24,31,135","1,91,03,41,928.40","69,458","16,07,312",66.11
MARICO,EQ,05-Mar-2026,771.85,772.2,782.95,769.8,780.0,778.85,776.1,"10,14,521","78,73,66,597.60","49,774","6,45,983",63.67
MARICO,EQ,04-Mar-2026,779.15,782.1,785.95,768.9,771.9,771.85,773.12,"11,79,796","91,21,19,707.75","57,612","7,14,344",60.55
MARICO,EQ,02-Mar-2026,788.65,770.1,789.2,769.8,780.35,779.15,782.05,"7,52,861","58,87,73,808.40","43,071","3,59,865",47.8
MARICO,EQ,27-Feb-2026,805.75,805.75,807.9,786.75,788.1,788.65,789.91,"25,05,181","1,97,88,64,347.55","48,325","19,20,744",76.67
MARICO,EQ,26-Feb-2026,806.35,808.0,809.85,798.8,805.3,805.75,804.36,"8,29,778","66,74,36,266.95","34,015","4,99,583",60.21
MARICO,EQ,25-Feb-2026,810.35,810.35,811.6,801.75,810.0,806.35,806.24,"13,60,182","1,09,66,31,873.05","52,365","9,73,916",71.6
MARICO,EQ,24-Feb-2026,801.45,802.55,813.5,801.0,809.0,810.35,808.63,"19,49,882","1,57,67,40,652.05","43,571","10,81,352",55.46
MARICO,EQ,23-Feb-2026,788.2,795.0,804.95,787.2,801.15,801.45,797.42,"14,45,444","1,15,26,19,124.20","34,661","9,39,300",64.98
MARICO,EQ,20-Feb-2026,780.15,779.4,793.6,775.15,787.35,788.2,788.1,"9,74,730","76,81,88,075.50","30,370","5,14,062",52.74
MARICO,EQ,19-Feb-2026,795.95,795.95,800.0,776.1,777.0,780.15,785.42,"16,89,988","1,32,73,51,634.35","34,826","8,45,242",50.01
MARICO,EQ,18-Feb-2026,774.6,774.6,798.0,773.6,798.0,795.95,790.95,"24,37,994","1,92,83,32,811.90","49,197","13,74,075",56.36
MARICO,EQ,17-Feb-2026,772.85,773.7,776.75,770.85,774.65,774.6,773.43,"6,84,887","52,97,14,024.70","28,165","4,44,818",64.95
MARICO,EQ,16-Feb-2026,760.15,762.55,774.0,757.0,772.0,772.85,769.36,"7,31,192","56,25,50,633.10","23,845","4,13,626",56.57
MARICO,EQ,13-Feb-2026,770.65,769.0,771.85,757.85,760.4,760.15,763.46,"9,66,405","73,78,12,256.80","40,160","6,17,876",63.94
MARICO,EQ,12-Feb-2026,770.4,770.4,773.15,768.1,771.75,770.65,770.61,"13,74,355","1,05,90,86,946.65","73,629","10,23,223",74.45
MARICO,EQ,11-Feb-2026,764.85,765.6,772.25,762.7,770.0,770.4,769.21,"11,00,783","84,67,36,877.80","52,208","6,67,116",60.6
MARICO,EQ,10-Feb-2026,754.85,755.7,766.2,749.4,762.6,764.85,759.66,"15,14,663","1,15,06,28,469.35","61,272","9,61,267",63.46
MARICO,EQ,09-Feb-2026,752.75,758.0,758.0,751.1,753.0,754.85,754.66,"16,09,570","1,21,46,72,329.10","46,232","9,49,275",58.98
MARICO,EQ,06-Feb-2026,748.3,752.2,753.35,740.6,752.45,752.75,748.44,"17,37,323","1,30,02,85,301.35","41,304","9,82,731",56.57
MARICO,EQ,05-Feb-2026,733.4,738.0,749.65,731.5,748.9,748.3,744.23,"24,00,386","1,78,64,39,103.80","58,343","13,31,215",55.46
MARICO,EQ,04-Feb-2026,732.85,731.85,741.35,724.65,730.1,733.4,735.69,"12,87,885","94,74,83,791.10","31,521","8,53,157",66.24
MARICO,EQ,03-Feb-2026,722.4,735.0,742.65,722.85,729.55,732.85,732.56,"29,82,558","2,18,49,11,822.85","79,467","20,53,965",68.87
MARICO,EQ,02-Feb-2026,720.65,725.0,726.35,708.3,720.7,722.4,722.14,"30,74,659","2,22,03,35,791.20","52,748","22,88,613",74.43
MARICO,EQ,01-Feb-2026,729.8,733.3,734.5,716.8,720.8,720.65,726.48,"5,74,440","41,73,18,167.45","12,551","2,28,068",39.7
MARICO,EQ,30-Jan-2026,729.95,725.0,735.0,719.05,730.0,729.8,727.7,"41,95,864","3,05,33,23,624.50","52,667","28,53,221",68.0
MARICO,EQ,29-Jan-2026,736.65,734.0,735.85,725.1,730.0,729.95,729.34,"11,59,830","84,59,05,167.55","37,905","7,33,419",63.24
MARICO,EQ,28-Jan-2026,745.8,754.0,756.0,721.35,735.15,736.65,735.78,"51,05,125","3,75,62,44,507.95","97,948","25,12,711",49.22
