symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MARUTI,EQ,25-Mar-2026,"12,464.00","12,549.00","12,780.00","12,506.00","12,701.00","12,711.00","12,703.75","5,40,649","6,86,82,69,846.00","93,885","3,30,575",61.14
MARUTI,EQ,24-Mar-2026,"12,355.00","12,600.00","12,650.00","12,332.00","12,490.00","12,464.00","12,472.33","5,83,568","7,27,84,52,524.00","78,330","3,11,170",53.32
MARUTI,EQ,23-Mar-2026,"12,601.00","12,501.00","12,501.00","12,278.00","12,309.00","12,355.00","12,372.93","5,17,985","6,40,89,91,130.00","86,813","2,81,589",54.36
MARUTI,EQ,20-Mar-2026,"12,599.00","12,605.00","12,756.00","12,556.00","12,615.00","12,601.00","12,642.81","7,25,481","9,17,21,17,297.00","70,688","4,55,782",62.82
MARUTI,EQ,19-Mar-2026,"13,048.00","12,768.00","12,838.00","12,505.00","12,600.00","12,599.00","12,632.36","5,69,346","7,19,21,81,948.00","88,799","3,32,188",58.35
MARUTI,EQ,18-Mar-2026,"12,972.00","13,100.00","13,176.00","13,015.00","13,043.00","13,048.00","13,099.71","4,58,827","6,01,05,01,399.00","67,636","2,75,997",60.15
MARUTI,EQ,17-Mar-2026,"12,757.00","12,790.00","13,100.00","12,686.00","13,010.00","12,972.00","12,921.29","11,78,941","15,23,34,42,744.00","1,52,137","6,05,510",51.36
MARUTI,EQ,16-Mar-2026,"12,591.00","12,532.00","12,874.00","12,400.00","12,740.00","12,757.00","12,646.14","14,16,170","17,90,90,78,298.00","1,91,444","8,20,694",57.95
MARUTI,EQ,13-Mar-2026,"13,011.00","12,899.00","12,962.00","12,483.00","12,615.00","12,591.00","12,626.25","9,39,594","11,86,35,52,101.00","1,41,518","6,23,872",66.40
MARUTI,EQ,12-Mar-2026,"13,497.00","13,430.00","13,430.00","12,966.00","12,995.00","13,011.00","13,132.22","5,44,683","7,15,28,95,645.00","1,15,381","3,05,539",56.09
MARUTI,EQ,11-Mar-2026,"13,867.00","13,850.00","13,948.00","13,441.00","13,500.00","13,497.00","13,622.00","3,92,182","5,34,23,03,410.00","56,788","1,85,451",47.29
MARUTI,EQ,10-Mar-2026,"13,508.00","13,721.00","13,909.00","13,505.00","13,888.00","13,867.00","13,715.57","3,53,715","4,85,14,03,778.00","78,422","1,56,302",44.19
MARUTI,EQ,09-Mar-2026,"14,159.00","13,800.00","13,800.00","13,365.00","13,498.00","13,508.00","13,479.15","6,76,224","9,11,49,22,116.00","1,19,817","3,68,115",54.44
MARUTI,EQ,06-Mar-2026,"14,415.00","14,339.00","14,466.00","14,115.00","14,139.00","14,159.00","14,290.27","3,90,629","5,58,21,95,243.00","57,055","2,43,450",62.32
MARUTI,EQ,05-Mar-2026,"14,158.00","14,300.00","14,570.00","14,081.00","14,471.00","14,415.00","14,273.13","4,48,650","6,40,36,38,189.00","64,922","2,69,028",59.96
MARUTI,EQ,04-Mar-2026,"14,388.00","14,150.00","14,184.00","13,794.00","14,167.00","14,158.00","14,005.38","7,10,366","9,94,89,46,240.00","1,55,582","4,14,417",58.34
MARUTI,EQ,02-Mar-2026,"14,857.00","14,407.00","14,684.00","14,204.00","14,368.00","14,388.00","14,400.80","6,03,744","8,69,43,96,120.00","1,22,558","3,02,889",50.17
MARUTI,EQ,27-Feb-2026,"15,213.00","15,110.00","15,192.00","14,804.00","14,832.00","14,857.00","14,915.29","4,78,164","7,13,19,56,751.00","59,251","3,25,017",67.97
MARUTI,EQ,26-Feb-2026,"15,070.00","15,145.00","15,224.00","15,046.00","15,201.00","15,213.00","15,154.42","3,08,213","4,67,07,89,597.00","48,205","1,71,298",55.58
MARUTI,EQ,25-Feb-2026,"14,926.00","14,860.00","15,133.00","14,837.00","15,125.00","15,070.00","15,033.87","3,56,495","5,35,95,01,097.00","44,815","2,03,090",56.97
MARUTI,EQ,24-Feb-2026,"15,072.00","15,001.00","15,062.00","14,904.00","14,920.00","14,926.00","14,945.34","3,00,991","4,49,84,11,456.00","45,176","1,77,120",58.85
