symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MAXHEALTH,EQ,22-Jan-2025,"1,078.20","1,073.00","1,082.75","1,048.55","1,069.95","1,066.40","1,064.67","15,69,733","1,67,12,51,630.10","75,613","8,62,154",54.92
MAXHEALTH,EQ,23-Jan-2025,"1,066.40","1,065.00","1,088.00","1,059.00","1,085.95","1,082.85","1,076.46","14,67,332","1,57,95,30,744.90","66,620","8,68,045",59.16
MAXHEALTH,EQ,24-Jan-2025,"1,082.85","1,080.00","1,087.00","1,051.95","1,052.10","1,055.75","1,068.41","7,56,024","80,77,41,031.45","38,309","3,91,475",51.78
MAXHEALTH,EQ,27-Jan-2025,"1,055.75","1,040.35","1,042.95","1,015.90","1,025.00","1,029.95","1,029.15","7,02,909","72,33,95,387.70","41,264","3,17,489",45.17
MAXHEALTH,EQ,28-Jan-2025,"1,029.95","1,015.00","1,043.80",982.00,"1,025.00","1,021.65","1,019.29","21,25,229","2,16,62,29,600.15","83,273","11,06,741",52.08
MAXHEALTH,EQ,29-Jan-2025,"1,021.65","1,011.00","1,032.40","1,000.00","1,023.50","1,025.00","1,020.17","10,74,681","1,09,63,62,473.75","53,675","5,41,351",50.37
MAXHEALTH,EQ,30-Jan-2025,"1,025.00","1,040.10","1,058.40",998.00,"1,049.40","1,043.85","1,030.24","39,74,586","4,09,47,93,900.45","1,10,374","19,50,509",49.07
MAXHEALTH,EQ,31-Jan-2025,"1,043.85","1,046.00","1,069.00","1,029.75","1,067.00","1,061.25","1,049.53","29,55,047","3,10,14,02,738.65","1,30,415","19,99,488",67.66
MAXHEALTH,EQ,01-Feb-2025,"1,061.25","1,073.45","1,117.75","1,067.25","1,116.20","1,108.25","1,091.33","14,84,218","1,61,97,70,619.90","66,947","6,13,149",41.31
MAXHEALTH,EQ,03-Feb-2025,"1,108.25","1,125.00","1,150.00","1,090.55","1,147.65","1,145.00","1,131.25","26,35,417","2,98,13,19,773.40","1,41,344","15,20,881",57.71
MAXHEALTH,EQ,04-Feb-2025,"1,145.00","1,150.20","1,184.00","1,145.00","1,171.50","1,174.30","1,170.27","24,29,222","2,84,28,55,264.10","90,991","15,56,149",64.06
MAXHEALTH,EQ,05-Feb-2025,"1,174.30","1,180.00","1,200.95","1,164.25","1,172.00","1,169.70","1,181.19","15,65,195","1,84,87,93,660.15","95,951","9,27,049",59.23
MAXHEALTH,EQ,06-Feb-2025,"1,169.70","1,185.00","1,187.95","1,121.00","1,133.50","1,125.75","1,136.75","10,03,312","1,14,05,19,521.35","49,574","4,69,857",46.83
MAXHEALTH,EQ,07-Feb-2025,"1,125.75","1,133.00","1,147.05","1,110.60","1,140.00","1,143.20","1,130.32","19,06,494","2,15,49,50,150.55","1,02,049","12,98,564",68.11
MAXHEALTH,EQ,10-Feb-2025,"1,143.20","1,140.00","1,140.00","1,065.00","1,072.00","1,071.85","1,080.48","32,30,751","3,49,07,47,292.45","1,10,899","20,44,149",63.27
MAXHEALTH,EQ,11-Feb-2025,"1,071.85","1,077.15","1,078.00","1,017.00","1,017.00","1,019.95","1,034.09","71,34,442","7,37,76,47,799.70","1,41,913","53,16,319",74.52
MAXHEALTH,EQ,12-Feb-2025,"1,019.95",995.10,"1,019.00",989.50,"1,004.45","1,004.80","1,001.51","78,02,242","7,81,40,58,364.25","1,69,972","58,46,153",74.93
MAXHEALTH,EQ,13-Feb-2025,"1,004.80","1,004.65","1,011.90",995.55,"1,001.65","1,001.65","1,002.91","28,77,673","2,88,60,39,356.20","78,219","22,03,465",76.57
MAXHEALTH,EQ,14-Feb-2025,"1,001.65","1,004.00","1,010.00",982.40,"1,008.15","1,003.65",992.03,"31,92,821","3,16,73,76,038.70","86,089","22,24,865",69.68
MAXHEALTH,EQ,17-Feb-2025,"1,003.65",986.80,"1,022.00",978.60,"1,017.00","1,014.65","1,000.23","24,99,429","2,49,99,97,747.65","1,09,195","13,30,655",53.24
