symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MCX,EQ,25-Mar-2026,"2,419.00","2,469.00","2,497.70","2,450.00","2,456.00","2,465.10","2,474.35","34,00,803","8,41,47,90,227.30","1,94,102","13,69,309",40.26
MCX,EQ,24-Mar-2026,"2,314.40","2,383.80","2,426.00","2,291.00","2,424.40","2,419.00","2,362.64","41,00,132","9,68,71,50,630.00","1,47,420","12,16,565",29.67
MCX,EQ,23-Mar-2026,"2,414.50","2,400.00","2,402.50","2,260.00","2,322.00","2,314.40","2,302.76","66,53,727","15,32,19,61,407.50","2,18,750","31,96,823",48.05
MCX,EQ,20-Mar-2026,"2,530.40","2,550.00","2,558.90","2,396.80","2,410.00","2,414.50","2,447.37","52,14,539","12,76,19,08,627.20","2,02,925","20,23,791",38.81
MCX,EQ,19-Mar-2026,"2,603.10","2,556.50","2,624.40","2,520.40","2,530.30","2,530.40","2,563.49","40,95,995","10,50,00,37,029.30","1,50,592","17,09,878",41.75
MCX,EQ,18-Mar-2026,"2,671.80","2,680.00","2,702.70","2,575.10","2,609.80","2,603.10","2,641.49","57,48,986","15,18,58,86,170.20","1,77,471","23,45,153",40.79
MCX,EQ,17-Mar-2026,"2,555.60","2,579.90","2,681.00","2,570.00","2,677.00","2,671.80","2,641.00","40,27,322","10,63,61,46,432.50","1,42,882","13,99,835",34.76
MCX,EQ,16-Mar-2026,"2,498.80","2,474.00","2,577.00","2,440.80","2,557.90","2,555.60","2,519.72","34,74,374","8,75,44,38,021.90","1,36,091","11,84,893",34.1
MCX,EQ,13-Mar-2026,"2,526.10","2,520.00","2,544.00","2,465.00","2,498.90","2,498.80","2,492.99","24,34,350","6,06,88,05,089.70","83,693","9,81,110",40.3
MCX,EQ,12-Mar-2026,"2,531.60","2,512.70","2,539.90","2,466.90","2,525.00","2,526.10","2,506.03","25,10,419","6,29,11,93,675.00","71,007","10,40,937",41.46
MCX,EQ,11-Mar-2026,"2,578.20","2,580.00","2,608.00","2,520.40","2,545.00","2,531.60","2,564.28","20,43,024","5,23,88,76,582.60","91,480","8,48,350",41.52
MCX,EQ,10-Mar-2026,"2,577.10","2,605.00","2,623.90","2,562.10","2,580.00","2,578.20","2,590.14","33,51,851","8,68,17,49,137.20","1,32,418","14,60,805",43.58
MCX,EQ,09-Mar-2026,"2,533.90","2,479.00","2,587.90","2,451.10","2,579.00","2,577.10","2,549.47","42,32,863","10,79,15,37,136.80","1,51,686","11,97,162",28.28
MCX,EQ,06-Mar-2026,"2,553.50","2,562.00","2,590.70","2,522.80","2,541.00","2,533.90","2,550.09","18,32,576","4,67,32,34,089.50","74,410","6,23,552",34.03
MCX,EQ,05-Mar-2026,"2,478.50","2,498.10","2,572.10","2,498.10","2,562.00","2,553.50","2,545.61","37,64,228","9,58,22,50,929.90","1,26,553","16,82,636",44.7
MCX,EQ,04-Mar-2026,"2,501.20","2,494.20","2,497.70","2,432.60","2,483.60","2,478.50","2,463.66","29,31,485","7,22,21,96,961.10","1,28,998","9,73,983",33.22
MCX,EQ,02-Mar-2026,"2,443.30","2,427.00","2,534.30","2,425.30","2,505.60","2,501.20","2,494.25","53,90,946","13,44,63,85,851.60","2,24,528","22,09,614",40.99
MCX,EQ,27-Feb-2026,"2,458.90","2,455.20","2,482.00","2,432.50","2,447.00","2,443.30","2,449.86","25,38,434","6,21,88,07,304.60","91,726","11,43,917",45.06
MCX,EQ,26-Feb-2026,"2,449.20","2,456.40","2,468.00","2,377.50","2,452.90","2,458.90","2,424.57","27,65,633","6,70,54,79,725.40","93,712","7,30,403",26.41
MCX,EQ,25-Feb-2026,"2,395.80","2,414.90","2,484.90","2,400.20","2,448.00","2,449.20","2,447.81","26,89,531","6,58,34,72,335.40","84,798","11,22,055",41.72
MCX,EQ,24-Feb-2026,"2,396.20","2,385.00","2,410.90","2,373.00","2,402.90","2,395.80","2,394.14","17,77,072","4,25,45,63,532.10","77,986","6,99,698",39.37
MCX,EQ,23-Feb-2026,"2,395.90","2,427.00","2,450.00","2,384.00","2,398.00","2,396.20","2,411.90","16,35,978","3,94,58,13,614.50","70,305","4,49,915",27.5
MCX,EQ,20-Feb-2026,"2,361.20","2,372.10","2,423.00","2,366.20","2,395.00","2,395.90","2,400.10","29,37,437","7,05,01,32,398.10","76,403","11,54,887",39.32
MCX,EQ,19-Feb-2026,"2,341.30","2,400.90","2,436.00","2,352.10","2,364.00","2,361.20","2,404.33","36,71,027","8,82,63,74,896.40","1,43,696","9,42,079",25.66
MCX,EQ,18-Feb-2026,"2,283.20","2,281.20","2,348.80","2,280.00","2,337.50","2,341.30","2,319.12","32,61,320","7,56,33,79,292.20","1,19,997","15,88,521",48.71
MCX,EQ,17-Feb-2026,"2,339.70","2,338.80","2,344.60","2,271.40","2,281.50","2,283.20","2,290.63","32,30,251","7,39,93,22,426.70","1,27,160","13,79,321",42.7
MCX,EQ,16-Feb-2026,"2,340.60","2,240.00","2,358.20","2,168.00","2,350.00","2,339.70","2,265.75","50,65,061","11,47,61,59,149.30","2,01,371","13,43,593",26.53
MCX,EQ,13-Feb-2026,"2,441.90","2,380.00","2,404.40","2,321.20","2,338.80","2,340.60","2,347.91","34,59,271","8,12,20,43,638.90","1,29,572","11,07,215",32.01
MCX,EQ,12-Feb-2026,"2,372.80","2,376.00","2,447.40","2,339.60","2,442.00","2,441.90","2,398.23","34,63,494","8,30,62,62,514.90","1,11,757","11,65,338",33.65
MCX,EQ,11-Feb-2026,"2,470.70","2,470.00","2,470.00","2,350.10","2,366.00","2,372.80","2,381.55","63,71,079","15,17,30,55,668.50","2,30,356","29,82,766",46.82
MCX,EQ,10-Feb-2026,"2,434.90","2,447.00","2,494.50","2,435.00","2,471.30","2,470.70","2,469.24","30,96,524","7,64,60,61,286.50","1,00,233","12,85,012",41.5
MCX,EQ,09-Feb-2026,"2,380.40","2,430.00","2,457.10","2,391.00","2,438.00","2,434.90","2,431.94","32,35,535","7,86,86,14,648.50","90,503","12,52,100",38.7
MCX,EQ,06-Feb-2026,"2,410.40","2,380.00","2,396.90","2,327.90","2,377.00","2,380.40","2,361.15","49,57,750","11,70,59,92,629.20","1,56,229","24,94,919",50.32
