symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MFSL,EQ,25-Mar-2026,"1,583.50","1,579.50","1,625.90","1,579.50","1,581.10","1,585.90","1,598.53","10,30,341","1,64,70,33,017.40","64,387","6,13,017",59.50
MFSL,EQ,24-Mar-2026,"1,567.50","1,594.90","1,599.00","1,548.20","1,580.00","1,583.50","1,577.28","15,56,964","2,45,57,73,756.30","94,696","9,39,112",60.32
MFSL,EQ,23-Mar-2026,"1,639.30","1,630.50","1,630.50","1,553.50","1,560.10","1,567.50","1,570.25","14,51,852","2,27,97,73,041.60","85,018","8,67,000",59.72
MFSL,EQ,20-Mar-2026,"1,627.90","1,621.00","1,647.90","1,621.00","1,635.00","1,639.30","1,638.10","10,37,290","1,69,91,88,132.00","49,820","7,05,198",67.98
MFSL,EQ,19-Mar-2026,"1,668.70","1,635.10","1,650.00","1,623.30","1,628.50","1,627.90","1,633.15","10,70,360","1,74,80,57,114.40","32,596","7,92,465",74.04
MFSL,EQ,18-Mar-2026,"1,654.00","1,655.00","1,684.80","1,655.00","1,672.00","1,668.70","1,669.54","7,22,792","1,20,67,33,238.20","43,483","4,65,093",64.35
MFSL,EQ,17-Mar-2026,"1,645.20","1,637.00","1,670.90","1,621.50","1,665.70","1,654.00","1,644.64","4,59,172","75,51,73,954.30","29,478","2,60,579",56.75
MFSL,EQ,16-Mar-2026,"1,628.10","1,628.10","1,656.90","1,604.40","1,637.00","1,645.20","1,631.89","7,89,154","1,28,78,13,773.60","41,622","4,51,813",57.25
MFSL,EQ,13-Mar-2026,"1,696.20","1,681.00","1,700.70","1,623.50","1,630.00","1,628.10","1,645.91","10,44,000","1,71,83,26,319.20","46,101","5,60,747",53.71
MFSL,EQ,12-Mar-2026,"1,725.50","1,722.00","1,722.00","1,677.90","1,701.80","1,696.20","1,693.84","8,27,123","1,40,10,12,483.40","45,102","5,47,051",66.14
MFSL,EQ,11-Mar-2026,"1,733.20","1,733.20","1,756.00","1,709.40","1,722.10","1,725.50","1,731.82","9,16,684","1,58,75,29,640.10","79,945","5,70,230",62.21
MFSL,EQ,10-Mar-2026,"1,707.60","1,734.90","1,743.20","1,712.70","1,733.30","1,733.20","1,726.70","9,71,222","1,67,70,12,957.60","48,753","6,04,325",62.22
MFSL,EQ,09-Mar-2026,"1,701.50","1,654.50","1,720.10","1,644.40","1,705.00","1,707.60","1,682.08","7,39,745","1,24,43,11,451.50","40,012","3,66,891",49.60
MFSL,EQ,06-Mar-2026,"1,748.60","1,741.60","1,748.50","1,693.30","1,706.90","1,701.50","1,708.38","12,21,346","2,08,65,24,787.30","61,183","7,98,218",65.36
MFSL,EQ,05-Mar-2026,"1,747.80","1,764.20","1,773.50","1,714.00","1,742.10","1,748.60","1,741.29","8,33,743","1,45,17,87,971.00","72,293","5,31,130",63.70
MFSL,EQ,04-Mar-2026,"1,806.80","1,782.90","1,784.90","1,726.00","1,747.30","1,747.80","1,745.41","6,77,553","1,18,26,05,591.60","53,162","3,76,023",55.50
MFSL,EQ,02-Mar-2026,"1,813.40","1,765.50","1,828.20","1,765.50","1,805.20","1,806.80","1,810.11","4,13,785","74,89,97,945.70","27,843","2,07,926",50.25
MFSL,EQ,27-Feb-2026,"1,856.90","1,854.60","1,854.60","1,806.20","1,822.00","1,813.40","1,824.80","5,38,734","98,30,82,262.90","33,861","3,57,128",66.29
MFSL,EQ,26-Feb-2026,"1,854.70","1,861.90","1,869.60","1,839.40","1,854.60","1,856.90","1,852.45","5,68,774","1,05,36,23,766.30","50,512","3,80,871",66.96
MFSL,EQ,25-Feb-2026,"1,841.90","1,844.60","1,857.50","1,836.40","1,855.80","1,854.70","1,847.95","3,78,587","69,96,11,641.00","29,642","2,26,205",59.75
MFSL,EQ,24-Feb-2026,"1,870.00","1,865.00","1,868.30","1,839.40","1,843.00","1,841.90","1,845.77","7,83,572","1,44,62,96,943.30","56,436","5,64,711",72.07
MFSL,EQ,23-Feb-2026,"1,849.30","1,868.30","1,892.50","1,859.00","1,865.00","1,870.00","1,876.41","7,01,482","1,31,62,68,153.90","46,551","3,73,331",53.22
MFSL,EQ,20-Feb-2026,"1,832.00","1,834.00","1,852.20","1,810.30","1,850.00","1,849.30","1,844.49","12,89,579","2,37,86,17,384.40","69,072","9,14,716",70.93
MFSL,EQ,19-Feb-2026,"1,836.40","1,836.40","1,852.20","1,824.40","1,824.40","1,832.00","1,838.93","7,94,058","1,46,02,14,879.50","50,403","5,31,225",66.90
MFSL,EQ,18-Feb-2026,"1,857.90","1,850.00","1,863.30","1,827.10","1,827.10","1,836.40","1,840.06","8,35,001","1,53,64,49,900.90","50,674","5,29,923",63.46
MFSL,EQ,17-Feb-2026,"1,848.30","1,841.00","1,865.00","1,835.00","1,860.00","1,857.90","1,853.36","5,51,161","1,02,15,01,083.20","35,079","3,13,727",56.92
MFSL,EQ,16-Feb-2026,"1,824.90","1,815.90","1,857.40","1,815.90","1,846.10","1,848.30","1,841.08","6,93,364","1,27,65,39,969.70","43,688","3,67,607",53.02
MFSL,EQ,13-Feb-2026,"1,813.50","1,821.30","1,848.50","1,817.30","1,835.00","1,824.90","1,833.71","15,88,459","2,91,27,77,210.60","62,789","7,29,877",45.95
MFSL,EQ,12-Feb-2026,"1,734.10","1,743.00","1,821.00","1,738.50","1,817.90","1,813.50","1,777.15","15,36,113","2,72,98,97,348.80","69,720","4,43,551",28.87
MFSL,EQ,11-Feb-2026,"1,747.20","1,754.20","1,768.00","1,717.50","1,725.00","1,734.10","1,741.88","9,87,320","1,71,97,93,973.60","39,917","5,68,818",57.61
MFSL,EQ,10-Feb-2026,"1,753.20","1,759.50","1,759.50","1,725.60","1,746.00","1,747.20","1,750.03","8,18,309","1,43,20,67,427.00","46,387","4,66,109",56.96
MFSL,EQ,09-Feb-2026,"1,704.60","1,712.00","1,756.40","1,707.00","1,753.90","1,753.20","1,730.05","9,14,516","1,58,21,58,349.50","39,310","5,18,842",56.73
MFSL,EQ,06-Feb-2026,"1,701.50","1,686.20","1,720.70","1,686.20","1,703.40","1,704.60","1,699.23","4,84,599","82,34,44,848.00","31,615","3,04,460",62.83
MFSL,EQ,05-Feb-2026,"1,708.20","1,708.90","1,713.40","1,688.80","1,700.30","1,701.50","1,702.79","4,32,611","73,66,43,919.50","28,863","2,74,903",63.55
