symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MOTHERSON,EQ,25-Mar-2026,111.13,113.0,115.65,112.15,113.6,113.13,113.99,"2,11,68,651","2,41,29,56,750.86","1,69,335","98,09,322",46.34
MOTHERSON,EQ,24-Mar-2026,106.59,110.5,111.66,106.53,111.16,111.13,109.79,"3,20,98,828","3,52,42,36,935.60","1,06,758","1,31,74,694",41.04
MOTHERSON,EQ,23-Mar-2026,111.59,111.0,111.03,106.25,106.41,106.59,107.57,"2,14,02,616","2,30,23,44,095.42","1,21,809","98,76,888",46.15
MOTHERSON,EQ,20-Mar-2026,111.75,113.0,115.25,111.0,111.89,111.59,112.74,"2,08,14,836","2,34,66,28,518.41","1,44,497","1,02,14,849",49.07
MOTHERSON,EQ,19-Mar-2026,117.78,114.47,114.98,111.13,112.3,111.75,112.76,"1,85,54,751","2,09,21,61,932.32","1,14,731","78,05,920",42.07
MOTHERSON,EQ,18-Mar-2026,115.83,116.58,119.03,115.89,117.2,117.78,117.54,"1,59,85,408","1,87,88,49,760.95","76,561","69,45,693",43.45
MOTHERSON,EQ,17-Mar-2026,113.32,115.0,116.3,113.61,116.27,115.83,115.21,"1,87,74,691","2,16,30,22,729.28","1,12,601","69,97,487",37.27
MOTHERSON,EQ,16-Mar-2026,113.82,113.82,115.1,111.0,113.46,113.32,112.67,"1,78,22,186","2,00,80,38,964.72","1,13,105","66,43,541",37.28
MOTHERSON,EQ,13-Mar-2026,120.17,118.99,119.59,113.37,113.82,113.82,116.13,"2,74,23,685","3,18,47,45,718.50","2,44,469","1,38,24,875",50.41
MOTHERSON,EQ,12-Mar-2026,121.39,120.25,120.83,116.64,120.7,120.17,119.24,"2,41,71,355","2,88,21,89,789.72","1,17,466","1,08,52,436",44.90
MOTHERSON,EQ,11-Mar-2026,123.41,124.01,125.98,121.0,121.25,121.39,122.68,"2,29,42,902","2,81,46,65,874.78","72,088","1,18,91,693",51.83
MOTHERSON,EQ,10-Mar-2026,117.98,121.0,123.83,119.51,123.55,123.41,122.05,"2,04,69,615","2,49,83,07,198.24","86,146","1,00,72,743",49.21
MOTHERSON,EQ,09-Mar-2026,122.77,119.01,119.5,113.0,118.5,117.98,116.75,"1,48,50,245","1,73,37,09,046.95","96,078","50,66,388",34.12
MOTHERSON,EQ,06-Mar-2026,126.34,126.34,126.7,122.49,122.97,122.77,124.07,"1,03,09,068","1,27,89,97,405.01","93,245","48,10,561",46.66
MOTHERSON,EQ,05-Mar-2026,122.88,123.98,127.29,123.7,126.7,126.34,125.62,"2,34,10,571","2,94,07,87,515.86","1,46,085","1,04,58,849",44.68
MOTHERSON,EQ,04-Mar-2026,128.65,125.0,125.64,121.43,122.85,122.88,122.94,"1,61,83,188","1,98,95,94,656.88","1,07,143","68,72,049",42.46
MOTHERSON,EQ,02-Mar-2026,133.34,126.2,131.8,124.9,128.66,128.65,128.63,"2,45,41,706","3,15,68,53,557.89","1,17,487","1,13,67,193",46.32
MOTHERSON,EQ,27-Feb-2026,135.31,135.5,136.15,132.89,133.1,133.34,133.91,"2,26,09,831","3,02,76,87,061.51","81,509","1,45,70,844",64.44
MOTHERSON,EQ,26-Feb-2026,133.24,133.24,135.65,132.74,135.26,135.31,134.52,"1,09,59,037","1,47,42,11,319.22","71,823","56,21,274",51.29
MOTHERSON,EQ,25-Feb-2026,131.56,132.5,133.85,132.12,132.9,133.24,133.12,"1,36,35,449","1,81,51,45,346.28","82,730","66,99,425",49.13
MOTHERSON,EQ,24-Feb-2026,130.82,130.82,132.34,130.0,132.3,131.56,131.13,"1,44,40,301","1,89,35,46,881.81","72,970","83,44,968",57.79
MOTHERSON,EQ,23-Feb-2026,129.42,130.0,131.25,128.48,129.7,130.82,130.22,"1,02,19,233","1,33,07,62,744.48","68,064","36,45,807",35.68
MOTHERSON,EQ,20-Feb-2026,129.88,130.1,132.11,128.8,128.8,129.42,130.78,"1,03,81,669","1,35,77,13,427.31","79,160","46,07,712",44.38
MOTHERSON,EQ,19-Feb-2026,133.92,133.92,134.19,129.5,130.08,129.88,131.21,"1,55,98,959","2,04,68,14,846.67","77,860","86,59,192",55.51
MOTHERSON,EQ,18-Feb-2026,132.66,132.65,135.59,131.89,133.73,133.92,134.21,"1,46,82,801","1,97,05,86,661.20","58,096","53,91,703",36.72
MOTHERSON,EQ,17-Feb-2026,132.31,132.31,133.97,131.22,132.5,132.66,132.38,"1,70,75,133","2,26,04,51,225.77","71,410","97,25,862",56.96
MOTHERSON,EQ,16-Feb-2026,131.26,130.5,132.94,129.35,132.0,132.31,131.82,"1,08,92,515","1,43,58,12,837.80","76,983","49,68,176",45.61
MOTHERSON,EQ,13-Feb-2026,132.74,132.58,133.49,130.72,130.99,131.26,132.21,"1,93,24,007","2,55,48,44,684.78","1,05,318","77,76,951",40.25
MOTHERSON,EQ,12-Feb-2026,130.17,130.21,133.76,129.12,132.5,132.74,132.37,"3,51,53,226","4,65,30,84,658.40","1,41,866","1,05,87,156",30.12
MOTHERSON,EQ,11-Feb-2026,129.43,130.63,135.83,129.69,129.9,130.17,133.59,"5,80,63,031","7,75,67,52,719.50","2,19,521","1,32,95,406",22.90
MOTHERSON,EQ,10-Feb-2026,124.41,124.9,131.89,123.28,129.8,129.43,128.37,"5,50,14,074","7,06,19,83,371.42","2,28,445","1,35,29,392",24.59
MOTHERSON,EQ,09-Feb-2026,118.1,119.7,124.8,119.21,124.65,124.41,122.35,"2,04,28,343","2,49,94,81,320.98","76,549","66,36,044",32.48
MOTHERSON,EQ,06-Feb-2026,120.99,119.0,119.63,116.05,118.06,118.1,117.29,"1,88,22,881","2,20,78,00,355.27","84,700","92,57,946",49.18
MOTHERSON,EQ,05-Feb-2026,122.62,121.95,122.42,120.33,120.75,120.99,121.05,"61,05,921","73,91,45,705.25","34,325","26,17,739",42.87
MOTHERSON,EQ,04-Feb-2026,121.32,121.2,123.35,119.65,122.61,122.62,122.38,"1,30,94,471","1,60,25,34,003.10","67,395","61,38,786",46.88
MOTHERSON,EQ,03-Feb-2026,114.09,123.99,125.49,119.29,121.4,121.32,121.34,"3,52,89,099","4,28,21,14,103.34","1,78,432","1,50,55,883",42.66
MOTHERSON,EQ,02-Feb-2026,111.88,111.47,115.0,109.62,114.23,114.09,111.74,"1,03,74,677","1,15,93,03,015.03","51,052","44,08,710",42.49
MOTHERSON,EQ,01-Feb-2026,112.9,113.0,114.88,110.11,110.5,111.88,112.92,"70,51,471","79,62,72,897.00","35,219","19,87,687",28.19
MOTHERSON,EQ,30-Jan-2026,113.88,113.45,113.61,111.53,112.5,112.9,112.64,"1,43,80,990","1,61,98,78,890.55","62,095","80,69,243",56.11
MOTHERSON,EQ,29-Jan-2026,111.43,112.8,114.55,110.67,114.12,113.88,112.56,"1,60,47,659","1,80,63,97,138.31","74,575","86,09,679",53.65
MOTHERSON,EQ,28-Jan-2026,109.67,110.09,111.82,108.3,111.65,111.43,110.15,"1,21,28,916","1,33,60,60,267.49","49,504","63,10,844",52.03
MOTHERSON,EQ,27-Jan-2026,108.4,110.24,110.25,107.61,110.09,109.67,108.91,"97,70,928","1,06,41,64,658.01","58,417","39,65,194",40.58
MOTHERSON,EQ,23-Jan-2026,111.33,111.33,111.46,108.01,108.4,108.4,109.44,"1,04,49,787","1,14,36,50,946.41","65,427","43,91,079",42.02
MOTHERSON,EQ,22-Jan-2026,109.67,110.59,113.95,110.59,111.56,111.33,112.17,"1,01,03,546","1,13,32,94,520.33","51,896","32,35,336",32.02
MOTHERSON,EQ,21-Jan-2026,107.89,106.32,111.36,106.32,109.79,109.67,109.07,"1,74,49,709","1,90,32,65,167.98","84,558","59,69,298",34.21
MOTHERSON,EQ,20-Jan-2026,112.33,112.0,112.9,107.53,107.81,107.89,109.33,"1,64,21,476","1,79,53,32,421.66","75,253","82,05,749",49.97
MOTHERSON,EQ,19-Jan-2026,114.79,114.3,114.3,110.73,112.25,112.33,112.41,"2,72,90,462","3,06,78,51,801.02","93,194","1,62,69,634",59.62
MOTHERSON,EQ,16-Jan-2026,113.55,113.55,116.63,113.37,114.97,114.79,115.26,"1,41,70,255","1,63,32,09,456.39","87,960","74,84,247",52.82
MOTHERSON,EQ,14-Jan-2026,114.93,114.38,115.65,113.21,113.58,113.55,114.3,"1,22,58,494","1,40,11,13,366.12","40,657","85,22,553",69.52
MOTHERSON,EQ,13-Jan-2026,114.99,115.55,116.89,114.35,114.38,114.93,115.2,"1,27,81,089","1,47,23,79,744.29","72,398","55,08,900",43.10
MOTHERSON,EQ,12-Jan-2026,115.64,115.64,116.33,112.75,115.24,114.99,114.6,"1,12,08,157","1,28,44,65,196.31","59,996","52,52,194",46.86
MOTHERSON,EQ,09-Jan-2026,118.11,118.0,118.09,114.85,115.9,115.64,116.25,"1,14,48,466","1,33,09,28,538.78","58,478","54,35,378",47.48
MOTHERSON,EQ,08-Jan-2026,119.35,118.0,118.94,117.25,117.27,118.11,118.04,"1,39,50,281","1,64,66,46,192.52","71,245","84,69,785",60.71
MOTHERSON,EQ,07-Jan-2026,120.83,120.7,121.27,118.73,119.17,119.35,119.97,"92,50,970","1,10,97,93,163.43","55,051","51,66,947",55.85
MOTHERSON,EQ,06-Jan-2026,121.81,122.41,122.95,119.94,120.5,120.83,120.96,"1,94,78,525","2,35,61,29,853.56","53,722","1,28,22,697",65.83
MOTHERSON,EQ,05-Jan-2026,122.04,122.74,122.75,120.33,121.9,121.81,121.58,"1,71,09,084","2,08,01,52,749.23","76,665","1,03,29,516",60.37
MOTHERSON,EQ,02-Jan-2026,122.52,122.9,124.71,121.67,122.0,122.04,122.81,"2,04,23,410","2,50,82,49,579.32","91,598","95,42,380",46.72
MOTHERSON,EQ,01-Jan-2026,119.94,120.4,122.75,119.84,122.55,122.52,121.53,"1,31,20,204","1,59,44,52,602.63","59,502","55,87,788",42.59
MOTHERSON,EQ,31-Dec-2025,119.75,120.0,121.0,119.65,119.99,119.94,120.07,"55,41,329","66,53,69,208.65","29,822","28,25,176",50.98
MOTHERSON,EQ,30-Dec-2025,119.64,119.21,120.66,119.14,119.57,119.75,119.92,"1,01,32,129","1,21,50,52,387.94","55,468","66,36,427",65.50
MOTHERSON,EQ,29-Dec-2025,119.29,119.27,120.11,118.42,119.75,119.64,119.58,"1,08,53,968","1,29,79,23,292.42","37,429","66,29,264",61.08
MOTHERSON,EQ,26-Dec-2025,119.53,119.53,121.14,118.4,119.0,119.29,119.79,"1,29,38,540","1,54,99,37,061.97","41,639","69,27,845",53.54
MOTHERSON,EQ,24-Dec-2025,120.24,120.61,120.9,119.27,119.76,119.53,119.78,"76,75,699","91,93,96,038.63","35,357","37,84,750",49.31
MOTHERSON,EQ,23-Dec-2025,121.11,122.8,122.8,119.53,120.27,120.24,120.47,"99,58,172","1,19,96,45,141.17","49,131","29,95,548",30.08
MOTHERSON,EQ,22-Dec-2025,120.98,121.5,122.35,120.49,120.9,121.11,121.28,"1,20,05,771","1,45,61,14,167.41","55,257","59,46,212",49.53
MOTHERSON,EQ,19-Dec-2025,117.15,117.25,121.23,117.25,121.0,120.98,120.21,"2,12,32,127","2,55,22,49,657.57","82,111","1,12,69,151",53.08
MOTHERSON,EQ,18-Dec-2025,119.56,118.53,118.94,115.6,117.0,117.15,117.13,"1,49,49,216","1,75,10,67,555.73","99,147","64,96,933",43.46
MOTHERSON,EQ,17-Dec-2025,119.57,119.0,120.8,118.64,119.16,119.56,119.76,"70,69,688","84,66,36,008.71","42,132","31,96,554",45.21
MOTHERSON,EQ,16-Dec-2025,120.31,120.0,120.44,119.12,119.16,119.57,119.74,"57,00,638","68,25,91,783.49","37,399","34,62,317",60.74
MOTHERSON,EQ,15-Dec-2025,121.3,121.03,121.03,119.31,120.42,120.31,120.14,"85,27,618","1,02,44,93,839.09","56,279","39,89,810",46.79
MOTHERSON,EQ,12-Dec-2025,119.8,120.49,121.48,119.97,121.3,121.3,120.79,"1,48,76,284","1,79,69,34,269.13","77,909","64,58,643",43.42
MOTHERSON,EQ,11-Dec-2025,116.28,116.36,120.16,116.28,120.01,119.8,119.11,"3,00,12,240","3,57,47,80,056.32","1,30,181","1,39,63,075",46.52
MOTHERSON,EQ,10-Dec-2025,116.75,116.75,117.57,116.0,116.0,116.28,116.67,"78,37,414","91,43,84,941.95","84,687","38,54,884",49.19
MOTHERSON,EQ,09-Dec-2025,115.3,114.5,117.61,113.13,116.9,116.75,116.09,"1,45,46,773","1,68,87,02,077.60","88,938","71,67,070",49.27
MOTHERSON,EQ,08-Dec-2025,117.05,116.75,117.59,114.54,115.2,115.3,115.71,"89,12,150","1,03,12,37,610.62","55,507","46,19,538",51.83
MOTHERSON,EQ,05-Dec-2025,117.56,117.5,118.27,116.48,116.75,117.05,117.26,"86,81,992","1,01,80,31,530.98","46,597","40,92,080",47.13
MOTHERSON,EQ,04-Dec-2025,116.57,116.57,118.11,116.46,117.34,117.56,117.4,"1,48,28,624","1,74,08,86,362.50","76,590","83,88,837",56.57
MOTHERSON,EQ,03-Dec-2025,119.26,119.0,119.14,115.99,116.67,116.57,117.01,"2,39,47,588","2,80,22,18,933.71","96,693","1,34,85,814",56.31
MOTHERSON,EQ,02-Dec-2025,116.55,115.5,119.6,115.46,118.91,119.26,118.32,"3,12,42,759","3,69,66,64,415.90","90,768","1,46,86,389",47.01
MOTHERSON,EQ,01-Dec-2025,116.31,116.5,118.02,115.24,116.28,116.55,116.49,"1,41,72,449","1,65,09,13,221.84","55,596","61,52,100",43.41
MOTHERSON,EQ,28-Nov-2025,116.13,116.64,117.7,115.65,116.35,116.31,116.65,"2,27,65,742","2,65,56,05,642.03","80,755","1,06,10,367",46.61
MOTHERSON,EQ,27-Nov-2025,111.81,112.0,116.35,111.83,116.25,116.13,115.09,"4,24,35,479","4,88,39,53,451.09","1,38,703","1,94,84,920",45.92
MOTHERSON,EQ,26-Nov-2025,110.21,110.21,112.0,109.9,111.77,111.81,111.48,"1,33,88,286","1,49,25,90,120.71","1,11,666","75,51,396",56.40
MOTHERSON,EQ,25-Nov-2025,109.22,109.22,110.96,108.71,110.08,110.21,110.25,"1,35,51,413","1,49,40,80,191.52","97,359","74,39,429",54.90
MOTHERSON,EQ,24-Nov-2025,109.8,109.8,110.5,108.86,109.2,109.22,109.28,"5,93,52,567","6,48,57,62,539.11","63,201","4,32,93,311",72.94
MOTHERSON,EQ,21-Nov-2025,112.0,111.97,112.5,109.49,109.87,109.8,110.86,"1,24,06,270","1,37,53,89,493.45","43,178","61,95,856",49.94
MOTHERSON,EQ,20-Nov-2025,112.16,112.75,113.39,111.39,112.0,112.0,112.35,"1,51,40,498","1,70,10,90,615.25","63,784","64,44,248",42.56
MOTHERSON,EQ,19-Nov-2025,108.96,108.91,112.99,108.45,112.14,112.16,111.91,"3,39,00,889","3,79,37,34,188.88","1,33,994","1,00,93,541",29.77
MOTHERSON,EQ,18-Nov-2025,110.02,110.0,110.4,108.14,108.91,108.96,109.25,"98,91,961","1,08,06,87,368.11","43,088","43,28,326",43.76
MOTHERSON,EQ,17-Nov-2025,109.84,109.85,110.7,109.06,110.2,110.02,109.85,"1,29,95,776","1,42,76,01,908.11","71,457","54,07,506",41.61
MOTHERSON,EQ,14-Nov-2025,109.13,111.31,113.47,108.8,109.71,109.84,111.07,"6,84,60,187","7,60,41,10,774.57","2,32,555","2,88,65,754",42.16
MOTHERSON,EQ,13-Nov-2025,105.92,106.3,111.75,103.89,111.6,109.13,107.7,"4,52,46,799","4,87,31,98,127.70","1,03,436","1,69,85,835",37.54
MOTHERSON,EQ,12-Nov-2025,105.46,105.9,106.85,104.51,105.82,105.92,105.49,"2,69,30,415","2,84,08,21,593.62","61,652","1,55,45,225",57.72
MOTHERSON,EQ,11-Nov-2025,102.55,102.65,105.98,101.08,105.8,105.46,103.45,"2,03,57,785","2,10,60,24,040.21","75,587","99,05,445",48.66
MOTHERSON,EQ,10-Nov-2025,103.8,103.75,104.27,102.18,102.35,102.55,103.17,"1,80,67,302","1,86,40,48,591.29","58,069","1,08,74,253",60.19
MOTHERSON,EQ,07-Nov-2025,103.92,103.92,104.27,102.35,104.27,103.8,103.46,"84,31,755","87,23,13,154.79","48,171","32,10,734",38.08
MOTHERSON,EQ,06-Nov-2025,104.49,104.49,105.07,102.08,104.01,103.92,103.94,"1,14,43,281","1,18,94,29,492.11","60,996","57,32,599",50.10
MOTHERSON,EQ,04-Nov-2025,105.57,106.08,106.1,103.75,104.55,104.49,104.76,"89,23,020","93,48,12,679.65","38,821","51,14,993",57.32
MOTHERSON,EQ,03-Nov-2025,105.39,105.4,106.1,103.82,106.08,105.57,104.95,"98,23,455","1,03,09,63,844.26","62,166","32,20,272",32.78
