symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NAUKRI,EQ,25-Mar-2026,987.40,996.00,"1,030.10",990.00,997.00,998.00,"1,012.78","18,78,359","1,90,23,69,901.10","49,790","10,13,159",53.94
NAUKRI,EQ,24-Mar-2026,974.70,985.00,996.90,962.00,991.60,987.40,982.85,"14,08,155","1,38,40,06,509.90","57,052","7,54,810",53.60
NAUKRI,EQ,23-Mar-2026,978.20,970.00,979.80,954.30,974.20,974.70,970.92,"14,89,512","1,44,61,99,123.20","40,485","8,82,195",59.23
NAUKRI,EQ,20-Mar-2026,970.60,974.50,"1,003.50",971.10,988.90,978.20,987.18,"19,56,522","1,93,14,41,025.20","48,731","10,82,799",55.34
NAUKRI,EQ,19-Mar-2026,994.90,978.10,984.70,965.60,972.50,970.60,973.26,"13,56,584","1,32,03,09,258.60","33,174","7,49,981",55.28
NAUKRI,EQ,18-Mar-2026,963.10,960.00,"1,006.00",958.70,994.00,994.90,994.52,"17,21,809","1,71,23,77,728.70","44,442","7,76,463",45.10
NAUKRI,EQ,17-Mar-2026,949.60,949.60,973.40,930.50,959.60,963.10,956.50,"22,16,153","2,11,97,60,460.70","50,845","13,28,935",59.97
NAUKRI,EQ,16-Mar-2026,952.40,950.00,955.30,932.20,945.00,949.60,944.23,"22,03,285","2,08,04,04,784.80","57,981","13,34,516",60.57
NAUKRI,EQ,13-Mar-2026,955.40,948.90,970.10,947.30,950.00,952.40,956.07,"8,89,051","84,99,96,244.20","54,251","4,37,465",49.21
NAUKRI,EQ,12-Mar-2026,956.50,947.00,957.10,937.90,956.00,955.40,945.54,"29,42,812","2,78,25,33,299.70","46,213","20,40,268",69.33
NAUKRI,EQ,11-Mar-2026,976.60,976.60,978.90,951.40,953.00,956.50,962.40,"7,70,663","74,16,85,751.10","28,515","3,52,787",45.78
NAUKRI,EQ,10-Mar-2026,979.30,987.40,988.00,965.60,978.00,976.60,973.76,"8,17,884","79,64,21,599.00","36,024","4,30,631",52.65
NAUKRI,EQ,09-Mar-2026,980.10,966.00,987.00,948.40,980.00,979.30,971.78,"13,24,838","1,28,74,51,979.20","49,358","7,07,531",53.41
NAUKRI,EQ,06-Mar-2026,"1,015.30","1,010.40","1,021.60",978.00,979.90,980.10,995.36,"15,48,231","1,54,10,48,187.50","55,199","9,37,662",60.56
NAUKRI,EQ,05-Mar-2026,999.70,"1,008.00","1,021.20",996.20,"1,010.40","1,015.30","1,008.24","24,99,934","2,52,05,35,668.00","68,004","15,95,810",63.83
NAUKRI,EQ,04-Mar-2026,998.50,988.80,"1,008.00",985.00,999.30,999.70,996.68,"17,70,489","1,76,46,03,222.00","1,07,512","10,06,907",56.87
NAUKRI,EQ,02-Mar-2026,"1,029.60",994.00,"1,025.70",992.20,"1,009.80",998.50,"1,003.93","26,65,892","2,67,63,61,212.20","61,233","19,86,174",74.50
NAUKRI,EQ,27-Feb-2026,"1,051.00","1,056.00","1,065.90","1,020.00","1,024.00","1,029.60","1,035.17","24,85,232","2,57,26,29,838.60","59,094","16,79,934",67.60
NAUKRI,EQ,26-Feb-2026,"1,043.20","1,044.00","1,059.70","1,037.20","1,052.50","1,051.00","1,047.21","11,80,849","1,23,65,97,077.60","44,305","6,81,552",57.72
NAUKRI,EQ,25-Feb-2026,"1,017.90","1,018.40","1,049.10","1,018.40","1,044.00","1,043.20","1,040.44","25,57,686","2,66,11,20,982.20","76,793","16,51,117",64.56
NAUKRI,EQ,24-Feb-2026,"1,069.70","1,064.00","1,064.00","1,006.10","1,025.10","1,017.90","1,027.38","33,14,462","3,40,52,01,611.00","1,09,945","18,20,555",54.93
NAUKRI,EQ,23-Feb-2026,"1,074.80","1,070.70","1,084.90","1,054.40","1,072.00","1,069.70","1,066.00","29,83,262","3,18,01,70,174.90","73,021","20,93,552",70.18
NAUKRI,EQ,20-Feb-2026,"1,094.40","1,094.40","1,098.80","1,065.00","1,074.50","1,074.80","1,085.04","17,70,081","1,92,06,14,058.30","44,703","9,27,723",52.41
NAUKRI,EQ,19-Feb-2026,"1,119.30","1,119.30","1,128.50","1,090.00","1,093.00","1,094.40","1,108.74","13,63,289","1,51,15,30,802.60","39,457","6,20,736",45.53
NAUKRI,EQ,18-Feb-2026,"1,129.70","1,135.00","1,135.00","1,096.30","1,115.50","1,119.30","1,110.86","21,08,227","2,34,19,53,328.90","62,279","10,35,507",49.12
NAUKRI,EQ,17-Feb-2026,"1,125.20","1,124.20","1,143.00","1,115.50","1,124.10","1,129.70","1,130.24","9,99,467","1,12,96,41,791.30","48,939","4,65,510",46.58
NAUKRI,EQ,16-Feb-2026,"1,141.10","1,122.00","1,151.90","1,116.60","1,124.20","1,125.20","1,128.93","11,06,994","1,24,97,17,921.90","52,459","6,02,189",54.40
NAUKRI,EQ,13-Feb-2026,"1,149.30","1,138.80","1,179.90","1,104.20","1,135.00","1,141.10","1,129.21","36,38,049","4,10,81,26,941.80","1,04,335","13,05,921",35.90
NAUKRI,EQ,12-Feb-2026,"1,171.70","1,161.00","1,161.50","1,128.70","1,145.70","1,149.30","1,141.88","17,76,803","2,02,88,95,223.40","89,989","9,82,191",55.28
NAUKRI,EQ,11-Feb-2026,"1,194.30","1,204.50","1,204.50","1,167.00","1,169.80","1,171.70","1,180.10","14,56,481","1,71,87,94,771.20","65,302","7,19,135",49.37
NAUKRI,EQ,10-Feb-2026,"1,177.30","1,181.20","1,204.80","1,170.60","1,196.60","1,194.30","1,192.88","19,84,470","2,36,72,30,238.60","89,096","11,85,333",59.73
NAUKRI,EQ,09-Feb-2026,"1,130.40","1,139.80","1,184.40","1,131.00","1,177.90","1,177.30","1,165.67","13,85,586","1,61,51,30,573.90","82,244","6,50,069",46.92
NAUKRI,EQ,06-Feb-2026,"1,166.00","1,166.00","1,169.90","1,118.60","1,131.00","1,130.40","1,128.12","41,00,917","4,62,63,26,450.70","1,19,320","29,56,176",72.09
NAUKRI,EQ,05-Feb-2026,"1,188.00","1,188.00","1,190.00","1,151.60","1,168.00","1,166.00","1,166.77","14,33,736","1,67,28,45,307.50","85,585","8,47,603",59.12
NAUKRI,EQ,04-Feb-2026,"1,250.70","1,231.10","1,231.10","1,162.00","1,185.50","1,188.00","1,185.22","41,94,622","4,97,15,45,001.50","1,99,639","21,61,040",51.52
NAUKRI,EQ,03-Feb-2026,"1,237.30","1,265.00","1,305.60","1,246.70","1,247.00","1,250.70","1,265.05","20,93,182","2,64,79,83,821.80","87,958","13,10,457",62.61
NAUKRI,EQ,02-Feb-2026,"1,254.70","1,250.00","1,257.80","1,211.00","1,237.10","1,237.30","1,239.51","24,34,794","3,01,79,40,892.50","66,370","11,92,619",48.98
NAUKRI,EQ,01-Feb-2026,"1,249.40","1,240.00","1,276.70","1,231.90","1,242.00","1,254.70","1,258.41","4,92,153","61,93,31,322.00","18,027","1,50,404",30.56
NAUKRI,EQ,30-Jan-2026,"1,268.30","1,255.70","1,258.80","1,242.20","1,250.00","1,249.40","1,249.61","26,85,297","3,35,55,85,644.40","78,273","18,54,841",69.07
NAUKRI,EQ,29-Jan-2026,"1,299.90","1,299.90","1,301.80","1,261.00","1,265.10","1,268.30","1,274.77","16,25,728","2,07,24,31,999.40","57,369","10,49,838",64.58
NAUKRI,EQ,28-Jan-2026,"1,279.00","1,280.00","1,305.20","1,265.00","1,301.30","1,299.90","1,285.26","12,72,598","1,63,56,20,751.50","53,053","7,91,147",62.17
NAUKRI,EQ,27-Jan-2026,"1,300.90","1,300.90","1,313.90","1,260.40","1,283.00","1,279.00","1,279.59","18,43,448","2,35,88,56,098.50","89,733","11,01,499",59.75
NAUKRI,EQ,23-Jan-2026,"1,319.50","1,325.20","1,330.70","1,296.60","1,301.90","1,300.90","1,309.95","4,58,295","60,03,41,358.50","35,906","2,28,480",49.85
NAUKRI,EQ,22-Jan-2026,"1,332.90","1,360.00","1,388.00","1,295.70","1,318.10","1,319.50","1,326.48","12,90,603","1,71,19,54,156.80","76,505","5,84,398",45.28
NAUKRI,EQ,21-Jan-2026,"1,304.60","1,290.00","1,342.20","1,268.90","1,332.00","1,332.90","1,311.56","20,16,669","2,64,49,90,149.40","63,388","10,70,439",53.08
NAUKRI,EQ,20-Jan-2026,"1,317.40","1,311.10","1,324.20","1,299.30","1,301.10","1,304.60","1,307.86","9,65,514","1,26,27,60,028.90","42,605","6,59,877",68.34
NAUKRI,EQ,19-Jan-2026,"1,329.10","1,320.50","1,324.90","1,305.40","1,318.00","1,317.40","1,315.91","5,90,870","77,75,29,849.70","48,118","3,70,909",62.77
NAUKRI,EQ,16-Jan-2026,"1,305.80","1,306.90","1,332.40","1,304.00","1,329.80","1,329.10","1,322.09","7,68,381","1,01,58,72,013.00","50,669","4,10,984",53.49
NAUKRI,EQ,14-Jan-2026,"1,332.40","1,321.00","1,332.40","1,302.10","1,306.00","1,305.80","1,314.75","11,22,841","1,47,62,53,051.80","45,698","7,51,082",66.89
NAUKRI,EQ,13-Jan-2026,"1,312.90","1,318.60","1,335.00","1,305.70","1,333.90","1,332.40","1,320.97","6,80,921","89,94,79,481.90","40,400","3,65,977",53.75
NAUKRI,EQ,12-Jan-2026,"1,320.30","1,321.10","1,327.60","1,297.90","1,315.00","1,312.90","1,311.21","5,62,354","73,73,65,934.40","30,207","2,74,754",48.86
NAUKRI,EQ,09-Jan-2026,"1,337.40","1,337.40","1,343.70","1,314.00","1,323.30","1,320.30","1,325.87","4,20,573","55,76,23,138.70","26,233","2,05,255",48.80
NAUKRI,EQ,08-Jan-2026,"1,359.40","1,366.00","1,368.00","1,333.00","1,340.30","1,337.40","1,341.75","10,70,292","1,43,60,66,031.60","47,493","6,87,322",64.22
NAUKRI,EQ,07-Jan-2026,"1,335.80","1,340.10","1,388.70","1,339.00","1,360.80","1,359.40","1,367.21","24,75,123","3,38,40,24,527.10","77,555","13,43,040",54.26
NAUKRI,EQ,06-Jan-2026,"1,343.20","1,347.00","1,357.00","1,325.80","1,336.00","1,335.80","1,342.76","7,01,865","94,24,33,702.10","45,056","4,19,186",59.72
NAUKRI,EQ,05-Jan-2026,"1,367.70","1,370.00","1,370.90","1,333.70","1,341.60","1,343.20","1,345.70","6,64,124","89,37,08,660.50","35,140","4,25,617",64.09
NAUKRI,EQ,02-Jan-2026,"1,340.90","1,345.00","1,373.50","1,335.40","1,364.10","1,367.70","1,359.74","3,23,120","43,93,57,745.60","17,729","1,49,769",46.35
NAUKRI,EQ,01-Jan-2026,"1,333.60","1,340.60","1,348.00","1,329.10","1,340.50","1,340.90","1,338.82","2,49,766","33,43,91,666.70","11,876","1,09,938",44.02
NAUKRI,EQ,31-Dec-2025,"1,335.00","1,336.50","1,347.30","1,331.30","1,334.00","1,333.60","1,337.25","8,08,514","1,08,11,82,119.50","32,622","5,84,271",72.26
NAUKRI,EQ,30-Dec-2025,"1,359.50","1,359.10","1,359.10","1,330.00","1,340.00","1,335.00","1,339.80","4,43,272","59,38,96,282.30","25,215","2,70,264",60.97
NAUKRI,EQ,29-Dec-2025,"1,365.80","1,365.80","1,377.50","1,350.00","1,357.90","1,359.50","1,362.07","3,27,396","44,59,35,744.00","20,550","1,96,905",60.14
NAUKRI,EQ,26-Dec-2025,"1,366.80","1,364.50","1,374.00","1,359.50","1,365.40","1,365.80","1,365.90","3,71,678","50,76,74,257.70","22,318","2,18,576",58.81
NAUKRI,EQ,24-Dec-2025,"1,365.60","1,365.60","1,389.00","1,362.00","1,364.60","1,366.80","1,373.48","5,60,418","76,97,23,548.80","41,336","2,94,466",52.54
NAUKRI,EQ,23-Dec-2025,"1,345.60","1,348.80","1,369.30","1,333.60","1,365.90","1,365.60","1,360.17","4,84,906","65,95,52,878.80","42,296","2,78,273",57.39
NAUKRI,EQ,22-Dec-2025,"1,340.80","1,345.20","1,359.40","1,340.00","1,343.90","1,345.60","1,348.91","3,88,453","52,39,87,479.40","29,239","2,73,292",70.35
NAUKRI,EQ,19-Dec-2025,"1,333.70","1,333.90","1,345.10","1,322.60","1,340.20","1,340.80","1,336.29","10,59,063","1,41,52,16,359.00","37,049","6,75,669",63.80
NAUKRI,EQ,18-Dec-2025,"1,338.20","1,338.20","1,347.90","1,325.40","1,332.80","1,333.70","1,337.30","4,29,181","57,39,44,267.60","19,685","2,55,908",59.63
NAUKRI,EQ,17-Dec-2025,"1,346.90","1,340.00","1,366.00","1,335.00","1,335.00","1,338.20","1,344.25","3,36,409","45,22,17,654.90","22,738","1,93,016",57.38
NAUKRI,EQ,16-Dec-2025,"1,361.60","1,352.50","1,365.20","1,342.00","1,342.00","1,346.90","1,349.28","6,73,471","90,86,98,183.60","36,816","4,48,942",66.66
NAUKRI,EQ,15-Dec-2025,"1,377.70","1,362.60","1,371.70","1,345.30","1,360.00","1,361.60","1,356.58","9,32,411","1,26,48,93,312.00","54,853","5,55,911",59.62
NAUKRI,EQ,12-Dec-2025,"1,343.50","1,343.70","1,379.90","1,343.50","1,376.20","1,377.70","1,364.32","5,94,311","81,08,32,044.80","24,556","3,56,661",60.01
NAUKRI,EQ,11-Dec-2025,"1,342.80","1,340.00","1,356.90","1,326.00","1,346.40","1,343.50","1,341.23","9,86,073","1,32,25,48,685.10","48,514","5,87,370",59.57
NAUKRI,EQ,10-Dec-2025,"1,376.30","1,365.50","1,379.00","1,337.50","1,342.00","1,342.80","1,354.14","5,50,667","74,56,82,612.20","46,717","3,16,974",57.56
NAUKRI,EQ,09-Dec-2025,"1,372.10","1,351.60","1,379.80","1,344.30","1,370.10","1,376.30","1,367.45","8,36,641","1,14,40,65,239.00","35,529","5,04,843",60.34
NAUKRI,EQ,08-Dec-2025,"1,388.70","1,386.70","1,391.00","1,361.60","1,374.00","1,372.10","1,372.44","6,68,131","91,69,68,836.20","54,352","3,68,604",55.17
NAUKRI,EQ,05-Dec-2025,"1,396.20","1,396.90","1,398.80","1,382.20","1,387.50","1,388.70","1,389.46","4,37,945","60,85,07,151.80","23,286","2,41,037",55.04
NAUKRI,EQ,04-Dec-2025,"1,377.20","1,371.40","1,401.00","1,371.30","1,394.60","1,396.20","1,393.13","13,90,101","1,93,65,92,073.40","60,316","9,07,546",65.29
NAUKRI,EQ,03-Dec-2025,"1,386.60","1,374.00","1,389.80","1,361.50","1,377.10","1,377.20","1,374.90","6,28,631","86,43,05,181.10","25,479","3,17,533",50.51
NAUKRI,EQ,02-Dec-2025,"1,365.10","1,375.00","1,402.80","1,354.20","1,386.00","1,386.60","1,387.87","21,36,679","2,96,54,41,004.10","76,636","8,05,883",37.72
NAUKRI,EQ,01-Dec-2025,"1,330.20","1,326.40","1,369.00","1,326.40","1,361.00","1,365.10","1,351.38","9,39,714","1,26,99,13,641.60","40,340","5,53,259",58.88
NAUKRI,EQ,28-Nov-2025,"1,339.40","1,339.40","1,339.40","1,320.10","1,330.80","1,330.20","1,327.97","6,55,737","87,07,97,582.50","37,660","4,26,656",65.07
NAUKRI,EQ,27-Nov-2025,"1,341.50","1,347.00","1,348.00","1,315.60","1,338.20","1,339.40","1,331.16","9,77,874","1,30,17,03,933.70","36,668","4,91,605",50.27
NAUKRI,EQ,26-Nov-2025,"1,332.00","1,330.00","1,354.20","1,325.30","1,340.00","1,341.50","1,341.67","5,90,377","79,20,88,574.80","27,167","3,67,476",62.24
NAUKRI,EQ,25-Nov-2025,"1,346.30","1,351.90","1,351.90","1,325.20","1,335.00","1,332.00","1,336.48","6,08,562","81,33,30,468.00","35,164","4,14,081",68.04
NAUKRI,EQ,24-Nov-2025,"1,340.40","1,340.90","1,365.60","1,332.80","1,338.00","1,346.30","1,348.48","17,74,967","2,39,34,99,083.30","50,044","11,37,223",64.07
NAUKRI,EQ,21-Nov-2025,"1,365.40","1,364.00","1,364.00","1,333.00","1,335.00","1,340.40","1,347.80","7,92,639","1,06,83,15,576.10","29,168","5,05,460",63.77
NAUKRI,EQ,20-Nov-2025,"1,362.20","1,374.00","1,374.00","1,356.80","1,367.50","1,365.40","1,365.98","7,29,780","99,68,65,673.60","33,081","4,84,172",66.34
NAUKRI,EQ,19-Nov-2025,"1,324.90","1,324.90","1,364.00","1,318.00","1,363.20","1,362.20","1,349.00","8,62,715","1,16,38,05,827.90","43,339","4,91,587",56.98
NAUKRI,EQ,18-Nov-2025,"1,332.20","1,332.20","1,333.60","1,311.10","1,322.00","1,324.90","1,322.03","5,61,417","74,22,09,838.20","23,849","3,06,006",54.51
NAUKRI,EQ,17-Nov-2025,"1,323.50","1,329.00","1,337.90","1,321.00","1,334.10","1,332.20","1,328.00","8,03,936","1,06,76,23,392.50","36,298","4,45,794",55.45
NAUKRI,EQ,14-Nov-2025,"1,347.30","1,345.00","1,354.90","1,311.50","1,323.00","1,323.50","1,326.50","13,23,927","1,75,61,88,799.30","53,088","8,65,596",65.38
NAUKRI,EQ,13-Nov-2025,"1,376.40","1,382.50","1,384.00","1,331.60","1,347.00","1,347.30","1,352.08","18,70,419","2,52,89,61,604.10","75,563","9,39,602",50.23
NAUKRI,EQ,12-Nov-2025,"1,341.00","1,347.60","1,382.50","1,341.30","1,375.80","1,376.40","1,362.01","19,17,141","2,61,11,66,850.80","53,178","7,46,332",38.93
NAUKRI,EQ,11-Nov-2025,"1,342.40","1,349.00","1,349.70","1,327.00","1,344.00","1,341.00","1,335.46","5,65,605","75,53,42,030.00","27,902","3,58,259",63.34
NAUKRI,EQ,10-Nov-2025,"1,345.40","1,340.00","1,353.00","1,330.80","1,348.00","1,342.40","1,341.39","6,89,807","92,53,00,754.40","28,136","4,02,342",58.33
NAUKRI,EQ,07-Nov-2025,"1,326.80","1,321.00","1,358.30","1,302.10","1,344.50","1,345.40","1,327.73","10,77,290","1,43,03,48,254.50","46,856","6,40,805",59.48
NAUKRI,EQ,06-Nov-2025,"1,338.70","1,325.10","1,350.10","1,317.30","1,327.00","1,326.80","1,330.94","8,55,886","1,13,91,29,075.20","50,988","5,27,761",61.66
NAUKRI,EQ,04-Nov-2025,"1,359.60","1,366.20","1,366.20","1,326.50","1,340.00","1,338.70","1,337.15","6,06,779","81,13,56,531.60","48,361","3,80,799",62.76
NAUKRI,EQ,03-Nov-2025,"1,378.30","1,375.00","1,375.00","1,339.10","1,360.00","1,359.60","1,353.10","9,41,920","1,27,45,14,145.70","58,405","5,08,025",53.94
NAUKRI,EQ,31-Oct-2025,"1,384.10","1,384.10","1,394.00","1,375.00","1,375.10","1,378.30","1,383.97","5,07,529","70,24,03,751.80","39,183","3,34,877",65.98
NAUKRI,EQ,30-Oct-2025,"1,389.10","1,389.20","1,389.30","1,373.40","1,383.10","1,384.10","1,381.36","7,65,573","1,05,75,29,111.10","34,286","4,99,933",65.30
NAUKRI,EQ,29-Oct-2025,"1,385.70","1,390.00","1,408.20","1,383.00","1,390.20","1,389.10","1,397.70","10,35,864","1,44,78,25,237.30","30,786","5,77,071",55.71
NAUKRI,EQ,28-Oct-2025,"1,364.70","1,375.70","1,393.20","1,367.30","1,385.00","1,385.70","1,382.55","14,12,055","1,95,22,37,071.20","42,095","8,23,927",58.35
NAUKRI,EQ,27-Oct-2025,"1,377.80","1,384.60","1,391.20","1,359.80","1,366.40","1,364.70","1,368.48","4,87,437","66,70,47,577.80","36,951","2,69,273",55.24
NAUKRI,EQ,24-Oct-2025,"1,379.80","1,380.00","1,419.90","1,373.80","1,379.00","1,377.80","1,397.34","23,76,373","3,32,05,94,095.00","82,712","12,96,861",54.57
NAUKRI,EQ,23-Oct-2025,"1,317.00","1,325.00","1,391.50","1,322.40","1,380.10","1,379.80","1,368.41","29,25,254","4,00,29,39,072.50","1,10,112","16,88,813",57.73
NAUKRI,EQ,21-Oct-2025,"1,311.50","1,324.00","1,326.00","1,312.00","1,315.90","1,317.00","1,318.68","52,958","6,98,34,852.70","3,612","25,036",47.28
NAUKRI,EQ,20-Oct-2025,"1,328.30","1,335.80","1,339.00","1,308.20","1,311.80","1,311.50","1,316.74","6,92,834","91,22,81,492.00","54,515","4,96,989",71.73
NAUKRI,EQ,17-Oct-2025,"1,348.50","1,345.20","1,347.00","1,323.00","1,330.10","1,328.30","1,335.47","9,04,220","1,20,75,62,573.80","37,518","6,75,384",74.69
NAUKRI,EQ,16-Oct-2025,"1,334.80","1,339.70","1,362.90","1,333.30","1,347.00","1,348.50","1,352.05","5,95,870","80,56,43,374.20","30,984","3,42,955",57.56
NAUKRI,EQ,15-Oct-2025,"1,322.30","1,327.90","1,342.80","1,326.30","1,338.00","1,334.80","1,335.17","5,84,131","77,99,12,210.70","26,655","4,08,593",69.95
NAUKRI,EQ,14-Oct-2025,"1,333.50","1,345.50","1,345.50","1,320.00","1,321.00","1,322.30","1,331.29","8,25,533","1,09,90,26,995.50","42,969","6,05,263",73.32
NAUKRI,EQ,13-Oct-2025,"1,333.10","1,330.10","1,337.10","1,317.30","1,334.00","1,333.50","1,329.34","5,29,298","70,36,17,866.30","25,263","3,12,209",58.99
NAUKRI,EQ,10-Oct-2025,"1,346.50","1,352.50","1,353.30","1,331.00","1,334.00","1,333.10","1,339.51","4,62,385","61,93,67,657.80","25,374","2,41,401",52.21
NAUKRI,EQ,09-Oct-2025,"1,367.50","1,390.00","1,393.00","1,332.60","1,344.80","1,346.50","1,350.61","21,41,013","2,89,16,80,656.00","78,946","12,29,270",57.42
NAUKRI,EQ,08-Oct-2025,"1,383.60","1,383.60","1,388.00","1,363.80","1,369.20","1,367.50","1,370.90","5,48,172","75,14,86,658.30","48,804","3,33,980",60.93
NAUKRI,EQ,07-Oct-2025,"1,379.90","1,379.90","1,390.10","1,369.00","1,384.00","1,383.60","1,383.90","3,97,410","54,99,77,476.20","49,197","2,34,007",58.88
NAUKRI,EQ,06-Oct-2025,"1,333.90","1,334.00","1,393.90","1,328.00","1,380.70","1,379.90","1,364.64","8,91,973","1,21,72,20,352.00","34,200","4,46,432",50.05
NAUKRI,EQ,03-Oct-2025,"1,338.60","1,341.00","1,342.70","1,320.00","1,334.00","1,333.90","1,333.10","7,85,507","1,04,71,57,142.60","66,624","5,47,287",69.67
NAUKRI,EQ,01-Oct-2025,"1,309.30","1,309.30","1,340.00","1,303.20","1,335.30","1,338.60","1,327.86","10,81,395","1,43,59,46,000.10","70,869","5,68,480",52.57
NAUKRI,EQ,30-Sep-2025,"1,315.80","1,312.10","1,316.60","1,299.80","1,314.20","1,309.30","1,309.95","13,22,833","1,73,28,48,476.70","60,480","9,19,668",69.52
NAUKRI,EQ,29-Sep-2025,"1,316.20","1,317.90","1,332.10","1,299.20","1,315.10","1,315.80","1,314.83","15,77,060","2,07,35,63,702.10","63,966","10,24,168",64.94
NAUKRI,EQ,26-Sep-2025,"1,358.60","1,358.60","1,365.70","1,310.00","1,321.20","1,316.20","1,329.77","12,36,310","1,64,40,03,239.00","56,333","7,36,571",59.58
NAUKRI,EQ,25-Sep-2025,"1,385.30","1,385.30","1,385.40","1,351.70","1,357.80","1,358.60","1,363.56","10,99,888","1,49,97,61,629.10","52,218","6,93,606",63.06
NAUKRI,EQ,24-Sep-2025,"1,393.90","1,391.00","1,405.60","1,375.00","1,385.00","1,385.30","1,388.64","10,82,692","1,50,34,65,817.30","58,468","7,27,106",67.16
NAUKRI,EQ,23-Sep-2025,"1,417.70","1,422.80","1,433.60","1,389.00","1,394.40","1,393.90","1,404.43","15,26,034","2,14,32,02,040.50","77,422","8,96,893",58.77
NAUKRI,EQ,22-Sep-2025,"1,376.10","1,370.00","1,426.00","1,365.20","1,417.90","1,417.70","1,410.26","20,45,289","2,88,43,91,171.40","93,630","12,46,357",60.94
NAUKRI,EQ,19-Sep-2025,"1,384.80","1,388.00","1,388.00","1,371.20","1,378.80","1,376.10","1,376.31","11,00,226","1,51,42,54,524.10","49,712","8,67,629",78.86
NAUKRI,EQ,18-Sep-2025,"1,375.00","1,380.00","1,391.30","1,371.80","1,384.50","1,384.80","1,380.64","10,51,506","1,45,17,53,580.60","41,834","6,35,201",60.41
NAUKRI,EQ,17-Sep-2025,"1,352.40","1,362.50","1,401.90","1,360.30","1,376.00","1,375.00","1,381.74","22,81,760","3,15,28,09,963.40","62,162","11,74,751",51.48
NAUKRI,EQ,16-Sep-2025,"1,362.80","1,371.00","1,371.00","1,343.00","1,356.00","1,352.40","1,357.16","26,12,615","3,54,57,32,390.50","63,380","19,74,429",75.57
NAUKRI,EQ,15-Sep-2025,"1,360.60","1,360.00","1,374.80","1,346.30","1,365.00","1,362.80","1,359.64","8,49,889","1,15,55,39,872.40","41,779","4,83,844",56.93
NAUKRI,EQ,12-Sep-2025,"1,371.90","1,375.10","1,380.50","1,355.20","1,363.40","1,360.60","1,364.03","5,93,993","81,02,25,459.10","32,827","3,30,553",55.65
