symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NBCC,EQ,25-Mar-2026,81.85,83.0,85.35,82.58,84.4,84.52,84.58,"1,25,79,198","1,06,39,89,827.96","43,556","51,13,486",40.65
NBCC,EQ,24-Mar-2026,79.09,82.0,82.67,80.0,81.92,81.85,81.61,"1,29,14,765","1,05,39,88,288.93","45,582","35,71,455",27.65
NBCC,EQ,23-Mar-2026,83.91,82.9,82.96,78.87,79.1,79.09,80.25,"1,21,97,511","97,88,91,754.71","47,245","43,11,992",35.35
NBCC,EQ,20-Mar-2026,83.14,84.2,86.3,83.6,83.94,83.91,84.89,"1,34,14,557","1,13,88,18,419.35","44,973","44,26,144",33.0
NBCC,EQ,19-Mar-2026,88.44,86.35,86.76,82.52,83.95,83.14,84.11,"2,11,15,461","1,77,61,03,405.80","70,498","59,53,980",28.2
NBCC,EQ,18-Mar-2026,83.13,83.53,88.68,83.44,88.3,88.44,86.94,"1,91,58,052","1,66,55,77,322.11","69,084","71,74,331",37.45
NBCC,EQ,17-Mar-2026,82.88,83.14,84.08,81.91,83.22,83.13,82.92,"90,88,928","75,36,12,835.72","32,620","28,04,953",30.86
NBCC,EQ,16-Mar-2026,83.2,83.2,83.75,80.25,82.89,82.88,81.95,"1,39,48,339","1,14,30,00,214.13","48,380","43,45,960",31.16
NBCC,EQ,13-Mar-2026,86.58,85.94,86.31,83.0,83.29,83.2,84.38,"85,54,912","72,18,85,311.29","41,077","30,24,786",35.36
NBCC,EQ,12-Mar-2026,86.16,85.35,87.98,84.41,86.57,86.58,86.28,"93,25,823","80,46,31,281.17","37,950","27,81,630",29.83
NBCC,EQ,11-Mar-2026,87.04,87.0,88.39,85.89,86.0,86.16,86.96,"78,26,947","68,06,18,438.88","30,436","22,22,868",28.4
NBCC,EQ,10-Mar-2026,84.44,86.0,87.5,85.31,87.2,87.04,86.36,"77,16,371","66,64,01,579.16","28,911","23,94,276",31.03
NBCC,EQ,09-Mar-2026,85.64,83.7,85.0,81.4,84.85,84.44,82.99,"1,19,86,742","99,47,99,312.10","52,475","34,14,418",28.48
NBCC,EQ,06-Mar-2026,86.85,86.4,88.39,85.41,85.84,85.64,87.02,"89,72,368","78,07,61,750.96","44,664","26,60,691",29.65
NBCC,EQ,05-Mar-2026,85.63,86.38,87.3,84.91,87.19,86.85,86.03,"1,06,90,095","91,96,50,287.34","43,395","26,38,014",24.68
NBCC,EQ,04-Mar-2026,89.36,87.0,87.26,85.0,85.0,85.63,85.89,"1,34,14,288","1,15,21,80,605.21","62,822","41,49,240",30.93
NBCC,EQ,02-Mar-2026,92.67,86.05,90.82,86.05,89.8,89.36,89.18,"1,32,60,337","1,18,25,57,542.20","66,208","47,25,058",35.63
NBCC,EQ,27-Feb-2026,94.06,94.8,95.39,92.21,92.36,92.67,93.5,"1,40,82,018","1,31,66,73,505.01","54,939","40,55,605",28.8
NBCC,EQ,26-Feb-2026,94.63,94.5,95.5,93.15,94.08,94.06,94.24,"71,25,794","67,15,27,013.31","31,172","20,94,564",29.39
NBCC,EQ,25-Feb-2026,94.54,94.9,95.93,93.74,94.75,94.63,94.85,"1,04,14,932","98,78,43,882.21","35,860","41,67,273",40.01
NBCC,EQ,24-Feb-2026,95.34,95.3,95.34,93.21,94.86,94.54,94.31,"70,43,891","66,43,11,779.12","33,860","20,64,897",29.31
NBCC,EQ,23-Feb-2026,94.91,95.1,96.49,94.14,95.6,95.34,95.12,"70,88,081","67,42,51,110.41","32,837","19,74,695",27.86
NBCC,EQ,20-Feb-2026,95.48,95.0,96.38,94.6,94.85,94.91,95.43,"66,25,030","63,22,57,630.07","33,421","20,61,189",31.11
NBCC,EQ,19-Feb-2026,98.04,98.04,98.67,94.78,95.35,95.48,96.42,"1,07,89,982","1,04,03,30,174.72","42,289","43,45,960",40.28
NBCC,EQ,18-Feb-2026,98.51,98.75,100.17,97.62,97.9,98.04,98.45,"97,29,228","95,78,53,439.77","36,911","34,21,509",35.17
NBCC,EQ,17-Feb-2026,99.81,99.4,99.98,97.39,98.52,98.51,98.35,"1,21,70,149","1,19,68,75,416.04","40,380","34,34,132",28.22
NBCC,EQ,16-Feb-2026,98.08,98.01,100.65,96.2,100.02,99.81,99.23,"1,32,25,540","1,31,23,10,740.19","45,633","27,65,764",20.91
NBCC,EQ,13-Feb-2026,100.5,100.0,100.12,97.7,98.19,98.08,98.61,"95,20,535","93,88,00,226.63","39,002","34,70,519",36.45
NBCC,EQ,12-Feb-2026,101.68,101.06,101.49,99.5,100.6,100.5,100.28,"72,60,515","72,80,82,813.52","30,265","19,84,047",27.33
NBCC,EQ,11-Feb-2026,101.44,101.49,102.13,99.85,101.68,101.68,101.09,"68,72,954","69,48,01,126.28","31,513","19,87,793",28.92
NBCC,EQ,10-Feb-2026,102.01,102.3,102.94,101.08,101.16,101.44,101.95,"67,38,195","68,69,51,726.39","28,515","23,55,796",34.96
NBCC,EQ,09-Feb-2026,98.3,99.06,102.35,99.06,102.04,102.01,101.4,"1,02,47,094","1,03,90,23,983.84","39,869","32,76,297",31.97
NBCC,EQ,06-Feb-2026,100.95,100.5,100.5,96.85,98.18,98.3,97.93,"1,34,07,633","1,31,30,57,111.92","45,810","40,04,542",29.87
NBCC,EQ,05-Feb-2026,104.35,103.99,103.99,99.75,100.9,100.95,101.32,"1,09,77,125","1,11,21,52,209.00","47,330","32,84,132",29.92
NBCC,EQ,04-Feb-2026,100.43,101.0,104.79,99.85,104.0,104.35,103.02,"1,58,08,161","1,62,85,49,665.66","49,841","52,78,004",33.39
NBCC,EQ,03-Feb-2026,96.96,101.0,102.99,99.0,100.4,100.43,100.34,"1,06,62,047","1,06,97,89,632.39","39,679","37,42,036",35.1
NBCC,EQ,02-Feb-2026,95.39,95.78,97.49,93.5,97.3,96.96,95.36,"80,21,250","76,48,68,023.72","40,365","25,08,561",31.27
NBCC,EQ,01-Feb-2026,98.86,99.4,101.38,92.89,95.9,95.39,97.64,"1,41,47,335","1,38,13,65,776.18","61,964","34,83,714",24.62
NBCC,EQ,30-Jan-2026,99.3,98.31,100.0,97.6,99.04,98.86,98.8,"89,22,253","88,15,62,824.93","44,261","29,19,628",32.72
NBCC,EQ,29-Jan-2026,99.53,99.7,101.5,97.82,99.31,99.3,99.32,"1,47,73,564","1,46,73,29,551.06","59,303","42,63,459",28.86
NBCC,EQ,28-Jan-2026,96.84,97.88,99.8,96.91,99.78,99.53,98.31,"1,10,30,733","1,08,44,30,769.82","50,616","34,80,711",31.55
NBCC,EQ,27-Jan-2026,95.08,95.15,97.54,93.78,97.45,96.84,95.57,"1,02,40,316","97,86,65,233.07","42,387","27,89,250",27.24
NBCC,EQ,23-Jan-2026,98.68,99.0,99.29,94.62,95.15,95.08,96.25,"1,34,06,785","1,29,03,48,881.07","50,348","43,85,997",32.71
NBCC,EQ,22-Jan-2026,96.69,98.85,100.18,97.31,99.3,98.68,98.72,"1,17,30,823","1,15,80,30,967.08","38,789","35,69,960",30.43
NBCC,EQ,21-Jan-2026,97.78,97.78,98.92,95.51,97.5,96.69,97.29,"1,76,97,753","1,72,17,89,491.24","60,877","50,70,020",28.65
NBCC,EQ,20-Jan-2026,102.27,102.09,102.27,97.45,97.9,97.78,99.5,"1,62,59,983","1,61,78,96,520.61","70,240","59,36,092",36.51
NBCC,EQ,19-Jan-2026,103.72,103.35,104.5,101.72,102.08,102.27,102.66,"1,05,48,967","1,08,29,49,127.21","44,398","37,97,050",35.99
NBCC,EQ,16-Jan-2026,105.18,105.5,106.85,103.0,103.75,103.72,104.83,"1,21,75,671","1,27,64,31,095.74","47,245","47,00,583",38.61
NBCC,EQ,14-Jan-2026,105.31,104.7,106.7,104.58,105.22,105.18,105.51,"1,02,12,283","1,07,74,67,922.30","45,722","34,10,062",33.39
NBCC,EQ,13-Jan-2026,107.55,108.06,108.59,104.19,105.29,105.31,105.84,"1,49,60,981","1,58,34,98,497.52","60,351","49,27,671",32.94
NBCC,EQ,12-Jan-2026,109.2,109.0,109.0,103.93,107.8,107.55,106.32,"1,80,49,823","1,91,90,92,596.69","75,438","47,43,608",26.28
NBCC,EQ,09-Jan-2026,112.09,111.75,112.76,108.76,109.47,109.2,110.64,"1,35,37,745","1,49,77,78,579.99","58,728","45,50,487",33.61
