symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NCC,EQ,22-Jan-2025,242.5,242.4,244.45,236.5,243.2,243.1,240.12,"32,81,633","78,80,01,123.50","38,422","12,79,475",38.99
NCC,EQ,23-Jan-2025,243.1,244.0,247.9,236.5,246.1,247.2,245.37,"22,61,336","55,48,71,623.20","23,281","8,68,058",38.39
NCC,EQ,24-Jan-2025,247.2,247.0,248.4,235.0,235.55,235.95,239.13,"24,27,054","58,03,82,709.75","31,176","9,84,843",40.58
NCC,EQ,27-Jan-2025,235.95,234.9,234.9,225.75,229.2,229.65,229.32,"27,23,766","62,46,27,385.65","35,961","11,78,496",43.27
NCC,EQ,28-Jan-2025,229.65,233.45,234.65,217.65,224.55,225.1,224.31,"68,44,608","1,53,53,35,234.60","58,844","31,06,233",45.38
NCC,EQ,29-Jan-2025,225.1,227.95,240.65,227.4,237.0,236.9,236.58,"51,35,910","1,21,50,34,608.90","43,409","14,71,950",28.66
NCC,EQ,30-Jan-2025,236.9,236.8,246.0,231.0,242.3,241.9,242.17,"43,79,998","1,06,06,91,155.85","46,216","12,30,104",28.08
NCC,EQ,31-Jan-2025,241.9,241.95,253.0,240.1,251.7,252.3,248.12,"39,39,083","97,73,63,295.05","38,094","13,01,715",33.05
NCC,EQ,01-Feb-2025,252.3,254.0,261.8,230.65,231.9,231.6,244.57,"96,33,234","2,35,60,37,803.20","83,425","29,52,182",30.65
NCC,EQ,03-Feb-2025,231.6,231.6,231.6,211.2,217.45,217.1,217.19,"1,28,91,416","2,79,99,06,826.65","1,20,065","43,12,060",33.45
NCC,EQ,04-Feb-2025,217.1,220.7,235.35,220.55,232.75,233.35,228.76,"93,98,140","2,14,99,05,609.50","77,946","25,05,880",26.66
NCC,EQ,05-Feb-2025,233.35,232.05,247.7,232.0,240.5,239.9,242.66,"1,32,05,767","3,20,45,59,229.10","94,553","44,32,654",33.57
