symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NESTLEIND,EQ,25-Mar-2026,"1,183.20","1,183.20","1,217.80","1,180.00","1,203.90","1,204.10","1,205.32","10,03,662","1,20,97,30,496.80","65,174","6,33,734",63.14
NESTLEIND,EQ,24-Mar-2026,"1,166.80","1,180.00","1,195.10","1,163.20","1,186.70","1,183.20","1,183.38","10,01,494","1,18,51,48,705.80","53,324","5,42,025",54.12
NESTLEIND,EQ,23-Mar-2026,"1,193.60","1,189.00","1,189.00","1,164.80","1,167.10","1,166.80","1,172.49","9,44,890","1,10,78,78,298.80","67,109","5,26,227",55.69
NESTLEIND,EQ,20-Mar-2026,"1,186.30","1,204.00","1,204.00","1,177.60","1,201.00","1,193.60","1,192.43","13,95,157","1,66,36,29,276.70","51,563","7,42,031",53.19
NESTLEIND,EQ,19-Mar-2026,"1,204.80","1,193.00","1,203.00","1,177.70","1,190.00","1,186.30","1,184.11","8,26,831","97,90,58,024.90","47,987","4,35,013",52.61
NESTLEIND,EQ,18-Mar-2026,"1,206.90","1,206.00","1,213.30","1,199.90","1,202.50","1,204.80","1,205.97","11,44,239","1,37,99,19,058.40","44,898","6,73,732",58.88
NESTLEIND,EQ,17-Mar-2026,"1,213.40","1,213.40","1,225.00","1,199.10","1,207.10","1,206.90","1,207.44","16,73,011","2,02,00,61,914.50","52,106","10,02,875",59.94
NESTLEIND,EQ,16-Mar-2026,"1,202.20","1,200.00","1,219.30","1,196.50","1,211.70","1,213.40","1,209.59","11,00,151","1,33,07,27,748.00","49,407","5,47,953",49.81
NESTLEIND,EQ,13-Mar-2026,"1,220.80","1,219.00","1,238.60","1,200.60","1,202.10","1,202.20","1,217.40","16,81,371","2,04,69,09,150.70","65,785","8,22,173",48.90
NESTLEIND,EQ,12-Mar-2026,"1,233.70","1,225.00","1,229.90","1,209.30","1,221.00","1,220.80","1,220.26","13,58,564","1,65,77,97,127.20","62,582","8,42,203",61.99
