symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NHPC,EQ,25-Mar-2026,76.54,76.93,78.25,76.71,77.2,77.2,77.62,"1,31,96,383","1,02,42,88,274.25","41,069","66,23,773",50.19
NHPC,EQ,24-Mar-2026,75.28,76.02,76.79,74.8,76.7,76.54,76.04,"96,00,102","73,00,38,492.96","47,383","37,88,416",39.46
NHPC,T0,23-Mar-2026,76.8,75.0,75.0,75.0,75.0,75.28,75.0,1,75.00,1,1,100.0
NHPC,EQ,23-Mar-2026,76.8,76.8,77.17,74.7,75.08,75.28,75.64,"1,18,83,610","89,88,20,386.54","43,160","42,76,983",35.99
NHPC,EQ,20-Mar-2026,76.24,76.61,78.44,76.57,77.0,76.8,77.55,"1,98,24,270","1,53,74,00,843.93","61,615","87,89,106",44.34
NHPC,EQ,19-Mar-2026,77.36,76.5,77.78,75.98,76.2,76.24,76.69,"1,76,20,849","1,35,12,90,703.93","47,019","84,07,013",47.71
NHPC,EQ,18-Mar-2026,76.89,76.91,78.2,76.54,77.2,77.36,77.4,"2,86,93,906","2,22,10,49,286.49","58,544","1,40,04,668",48.81
NHPC,EQ,17-Mar-2026,75.27,75.9,77.1,75.67,76.67,76.89,76.5,"2,29,58,619","1,75,62,73,870.59","62,617","1,28,80,948",56.11
NHPC,EQ,16-Mar-2026,74.98,75.2,75.98,74.27,75.3,75.27,75.2,"2,63,96,878","1,98,51,23,803.78","2,09,322","1,31,00,993",49.63
NHPC,EQ,13-Mar-2026,74.78,75.2,76.48,74.35,75.1,74.98,75.3,"2,67,61,513","2,01,50,34,020.01","1,96,045","94,06,291",35.15
NHPC,EQ,12-Mar-2026,73.46,73.0,76.36,72.76,74.86,74.78,74.83,"1,68,04,967","1,25,75,53,690.52","56,314","57,75,831",34.37
NHPC,EQ,11-Mar-2026,73.04,73.2,74.6,73.01,73.3,73.46,73.94,"1,20,28,018","88,93,22,930.88","35,555","54,63,344",45.42
NHPC,EQ,10-Mar-2026,73.04,73.4,74.32,72.79,73.13,73.04,73.07,"1,19,15,288","87,06,28,263.85","40,661","71,31,500",59.85
NHPC,EQ,09-Mar-2026,74.18,73.0,73.4,72.09,73.05,73.04,72.84,"2,22,32,154","1,61,94,32,973.02","70,053","1,33,78,911",60.18
NHPC,EQ,06-Mar-2026,74.15,74.0,75.25,73.65,74.02,74.18,74.74,"1,42,68,041","1,06,63,43,161.70","42,714","76,36,519",53.52
NHPC,EQ,05-Mar-2026,72.23,72.35,74.5,72.35,74.05,74.15,73.86,"1,58,70,110","1,17,21,52,303.82","43,000","81,72,522",51.5
NHPC,EQ,04-Mar-2026,73.14,72.48,73.05,71.62,72.23,72.23,72.2,"1,90,57,575","1,37,60,43,011.80","61,819","1,01,21,889",53.11
NHPC,EQ,02-Mar-2026,75.33,72.76,75.4,72.4,73.4,73.14,73.94,"2,57,23,090","1,90,20,50,416.70","70,053","1,41,19,266",54.89
NHPC,EQ,27-Feb-2026,75.73,75.73,76.48,75.02,75.4,75.33,75.51,"2,15,74,575","1,62,91,95,739.17","47,401","1,42,96,621",66.27
NHPC,EQ,26-Feb-2026,75.67,75.6,76.13,74.9,75.8,75.73,75.59,"2,26,34,338","1,71,09,71,858.84","32,720","1,55,45,631",68.68
NHPC,EQ,25-Feb-2026,75.77,75.69,76.3,74.75,75.45,75.67,75.53,"82,86,035","62,58,21,497.77","37,635","42,67,644",51.5
NHPC,EQ,24-Feb-2026,74.08,73.98,76.0,73.7,75.81,75.77,75.01,"1,39,24,500","1,04,44,89,098.14","50,830","74,80,394",53.72
NHPC,EQ,23-Feb-2026,74.47,75.14,75.14,73.71,74.0,74.08,74.11,"1,11,22,387","82,42,32,317.50","81,864","54,33,569",48.85
NHPC,EQ,20-Feb-2026,74.36,74.49,75.0,73.95,74.45,74.47,74.46,"1,36,69,825","1,01,78,95,404.89","44,584","75,90,652",55.53
NHPC,EQ,19-Feb-2026,76.34,76.34,76.73,74.1,74.15,74.36,75.22,"1,25,21,749","94,19,30,771.84","58,698","81,97,917",65.47
NHPC,EQ,18-Feb-2026,76.71,76.72,76.88,75.93,76.21,76.34,76.27,"1,07,55,577","82,03,52,133.10","38,350","66,53,645",61.86
NHPC,EQ,17-Feb-2026,77.04,76.99,77.31,76.46,76.69,76.71,76.78,"1,02,26,000","78,51,32,293.30","46,486","67,94,461",66.44
NHPC,EQ,16-Feb-2026,75.47,75.47,77.44,74.65,76.92,77.04,76.48,"1,09,17,667","83,49,69,585.07","49,149","48,19,396",44.14
NHPC,EQ,13-Feb-2026,76.5,76.05,76.12,75.2,75.38,75.47,75.58,"1,00,66,742","76,08,07,752.53","56,466","53,34,163",52.99
NHPC,EQ,12-Feb-2026,77.58,77.4,77.6,76.16,76.51,76.5,76.92,"1,33,09,440","1,02,37,95,304.72","62,470","84,67,584",63.62
NHPC,EQ,11-Feb-2026,76.95,77.29,77.76,76.36,77.4,77.58,77.07,"1,39,06,623","1,07,17,23,734.37","53,704","73,43,076",52.8
NHPC,EQ,10-Feb-2026,78.9,78.0,78.14,76.81,76.91,76.95,77.26,"2,50,51,448","1,93,55,98,034.48","79,293","1,45,34,120",58.02
NHPC,EQ,09-Feb-2026,79.43,80.29,80.29,78.04,79.0,78.9,78.83,"1,53,08,838","1,20,67,97,529.81","58,957","82,37,379",53.81
NHPC,EQ,06-Feb-2026,80.0,80.0,80.4,78.56,79.4,79.43,79.19,"90,48,503","71,65,86,267.74","44,319","38,09,044",42.1
NHPC,EQ,05-Feb-2026,78.48,77.6,80.37,76.2,79.9,80.0,79.15,"2,64,99,178","2,09,74,77,061.21","1,18,638","95,10,602",35.89
NHPC,EQ,04-Feb-2026,78.49,78.49,80.49,77.95,78.79,78.48,79.42,"1,76,23,704","1,39,96,43,915.33","69,436","66,51,909",37.74
NHPC,EQ,03-Feb-2026,77.79,79.18,80.5,77.5,78.65,78.49,78.53,"1,80,77,960","1,41,96,85,074.03","74,023","81,60,435",45.14
NHPC,EQ,02-Feb-2026,77.0,76.47,78.24,74.93,78.08,77.79,76.47,"1,22,93,921","94,01,28,204.75","64,997","52,25,861",42.51
NHPC,EQ,01-Feb-2026,78.2,78.29,79.16,76.07,76.47,77.0,77.61,"87,37,856","67,81,37,322.17","46,284","27,77,140",31.78
NHPC,EQ,30-Jan-2026,79.18,78.5,78.89,77.2,78.21,78.2,78.16,"1,45,84,257","1,13,98,65,248.09","59,894","74,23,693",50.9
NHPC,EQ,29-Jan-2026,78.89,79.2,80.2,78.37,79.2,79.18,79.09,"1,19,12,349","94,21,30,389.67","53,389","50,01,890",41.99
NHPC,EQ,28-Jan-2026,75.14,75.3,79.09,75.28,78.79,78.89,77.9,"1,09,92,004","85,62,25,702.72","55,703","48,02,206",43.69
NHPC,EQ,27-Jan-2026,75.25,75.43,76.17,74.36,75.6,75.14,74.89,"4,03,79,909","3,02,39,96,445.45","87,892","2,47,94,428",61.4
NHPC,EQ,23-Jan-2026,77.45,78.05,78.06,75.04,75.45,75.25,76.1,"1,11,93,218","85,17,53,874.43","55,779","62,54,674",55.88
NHPC,EQ,22-Jan-2026,76.12,76.97,77.95,76.56,77.6,77.45,77.34,"1,00,30,169","77,57,31,985.19","55,053","46,65,741",46.52
NHPC,EQ,21-Jan-2026,77.57,77.0,77.67,75.94,76.4,76.12,76.54,"1,70,91,171","1,30,81,20,098.16","64,296","64,85,526",37.95
NHPC,EQ,20-Jan-2026,79.42,79.1,79.2,77.14,77.68,77.57,78.25,"1,14,40,113","89,52,18,478.27","56,496","50,60,078",44.23
NHPC,EQ,19-Jan-2026,80.22,79.58,81.67,78.95,79.12,79.42,79.86,"90,16,570","72,00,90,801.53","44,486","36,35,447",40.32
NHPC,EQ,16-Jan-2026,81.29,81.29,81.54,79.46,80.13,80.22,80.35,"6,29,86,811","5,06,07,90,114.48","93,318","4,89,42,712",77.7
