symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NMDC,EQ,22-Jan-2025,66.3,66.4,67.01,63.82,65.75,65.69,65.09,"2,81,01,558","1,82,90,92,289.65","86,555","1,15,68,633",41.17
NMDC,EQ,23-Jan-2025,65.69,65.5,69.06,64.92,67.98,68.09,67.84,"3,61,74,380","2,45,41,45,882.05","94,619","1,13,82,974",31.47
NMDC,EQ,24-Jan-2025,68.09,68.09,68.45,66.4,66.8,66.77,67.26,"2,07,36,866","1,39,47,72,271.38","46,812","78,09,290",37.66
NMDC,EQ,27-Jan-2025,66.77,65.95,65.99,64.0,64.15,64.43,65.1,"1,36,95,938","89,16,20,356.35","57,251","39,37,946",28.75
NMDC,EQ,28-Jan-2025,64.43,64.6,65.48,62.91,64.15,63.89,64.13,"1,72,69,379","1,10,74,68,649.68","71,119","41,85,630",24.24
NMDC,EQ,29-Jan-2025,63.89,64.2,66.0,64.15,65.9,65.76,65.43,"1,41,77,669","92,77,06,892.32","40,536","34,75,176",24.51
NMDC,EQ,30-Jan-2025,65.76,65.81,66.38,64.23,64.95,65.04,65.27,"1,63,85,610","1,06,94,75,535.78","46,441","51,09,804",31.18
NMDC,EQ,31-Jan-2025,65.04,65.0,66.3,63.9,66.08,66.1,65.53,"1,59,82,195","1,04,72,92,955.10","47,913","48,27,438",30.21
NMDC,EQ,01-Feb-2025,66.1,65.8,66.79,64.05,64.31,64.38,65.39,"1,44,71,957","94,63,11,238.64","48,855","40,87,573",28.24
NMDC,EQ,03-Feb-2025,64.38,63.21,63.45,60.62,62.31,62.29,61.84,"2,29,75,253","1,42,07,86,865.44","81,106","78,37,301",34.11
NMDC,EQ,04-Feb-2025,62.29,62.9,64.45,62.85,64.0,63.99,63.81,"1,00,65,010","64,22,06,051.83","35,632","31,10,617",30.91
