symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NTPC,EQ,25-Mar-2026,375.55,376.0,380.95,375.6,377.85,378.4,378.25,"92,66,292","3,50,50,03,263.20","1,37,590","57,79,969",62.38
NTPC,EQ,24-Mar-2026,372.4,378.0,378.15,371.0,375.0,375.55,375.07,"93,39,144","3,50,28,71,919.00","1,08,153","51,78,101",55.45
NTPC,EQ,23-Mar-2026,380.95,377.1,379.5,369.3,371.15,372.4,372.9,"1,31,48,432","4,90,30,97,109.55","2,02,229","78,84,624",59.97
NTPC,EQ,20-Mar-2026,374.05,375.85,383.3,375.5,381.0,380.95,381.09,"2,09,30,288","7,97,62,85,183.50","1,69,826","1,39,32,597",66.57
NTPC,EQ,19-Mar-2026,378.5,373.5,380.75,373.1,374.9,374.05,375.93,"1,05,68,326","3,97,29,36,466.75","1,40,467","60,53,195",57.28
NTPC,EQ,18-Mar-2026,383.35,385.0,386.35,377.6,379.75,378.5,379.9,"1,06,81,498","4,05,78,66,287.65","1,35,719","64,26,970",60.17
NTPC,EQ,17-Mar-2026,382.4,382.9,385.9,378.3,383.25,383.35,382.84,"97,20,902","3,72,15,81,415.65","1,63,103","45,41,686",46.72
NTPC,EQ,16-Mar-2026,384.45,384.5,388.25,375.45,381.2,382.4,380.73,"1,67,93,109","6,39,36,12,911.15","1,74,385","96,38,953",57.4
NTPC,EQ,13-Mar-2026,390.55,391.85,394.5,383.2,384.05,384.45,388.65,"2,71,07,369","10,53,52,65,487.10","2,59,842","1,61,28,586",59.5
NTPC,EQ,12-Mar-2026,379.9,379.0,392.4,375.65,390.95,390.55,387.93,"2,38,47,146","9,25,09,82,430.30","3,13,539","1,40,52,172",58.93
NTPC,EQ,11-Mar-2026,377.3,377.5,383.9,376.45,378.75,379.9,381.31,"99,63,701","3,79,93,05,266.25","1,40,523","61,78,174",62.01
NTPC,EQ,10-Mar-2026,376.25,385.0,385.45,374.85,377.5,377.3,378.49,"1,08,75,834","4,11,63,48,415.90","1,14,108","59,92,244",55.1
NTPC,EQ,09-Mar-2026,380.6,373.0,379.0,371.4,375.85,376.25,374.81,"1,12,86,578","4,23,03,33,667.00","1,85,996","65,92,989",58.41
NTPC,EQ,06-Mar-2026,378.05,377.0,385.55,374.65,381.15,380.6,383.21,"1,49,40,896","5,72,54,42,810.20","2,39,774","88,33,355",59.12
NTPC,EQ,05-Mar-2026,365.8,366.95,379.9,366.6,377.45,378.05,375.87,"1,61,58,714","6,07,35,83,394.65","2,24,562","1,02,11,167",63.19
NTPC,EQ,04-Mar-2026,377.55,370.75,373.85,364.1,364.95,365.8,366.88,"1,14,33,169","4,19,45,51,052.00","2,86,645","68,61,488",60.01
NTPC,EQ,02-Mar-2026,381.9,365.0,378.95,365.0,377.0,377.55,375.27,"1,47,32,253","5,52,86,27,124.85","1,84,879","81,39,819",55.25
NTPC,EQ,27-Feb-2026,381.9,381.0,385.2,380.15,382.0,381.9,382.55,"1,15,48,959","4,41,80,55,541.25","2,86,694","80,17,670",69.42
NTPC,EQ,26-Feb-2026,384.9,385.0,385.85,378.4,382.6,381.9,381.67,"1,07,21,570","4,09,21,17,699.75","1,96,701","63,25,367",59.0
NTPC,EQ,25-Feb-2026,382.75,382.75,388.55,382.7,385.9,384.9,385.41,"1,27,50,016","4,91,39,33,443.55","2,80,313","83,69,692",65.64
NTPC,EQ,24-Feb-2026,375.45,374.95,385.0,373.55,384.5,382.75,378.73,"2,07,74,629","7,86,79,06,998.60","2,39,139","1,24,83,195",60.09
NTPC,EQ,23-Feb-2026,372.95,374.0,376.5,372.15,375.45,375.45,374.85,"1,61,35,451","6,04,84,53,478.25","2,56,534","1,14,95,414",71.24
NTPC,EQ,20-Feb-2026,363.2,362.8,373.65,362.7,372.8,372.95,371.77,"1,67,36,731","6,22,22,23,587.70","1,49,006","1,18,18,121",70.61
NTPC,EQ,19-Feb-2026,368.4,367.0,370.9,362.2,363.2,363.2,365.25,"53,75,352","1,96,33,38,761.60","69,566","30,51,041",56.76
NTPC,EQ,18-Feb-2026,368.4,368.45,370.7,367.4,368.0,368.4,368.48,"48,71,319","1,79,49,76,807.50","99,061","34,74,160",71.32
NTPC,EQ,17-Feb-2026,369.1,368.75,369.5,366.05,368.25,368.4,367.57,"44,42,793","1,63,30,34,924.20","76,034","27,24,970",61.33
NTPC,EQ,16-Feb-2026,363.0,362.6,369.65,362.5,368.9,369.1,368.52,"62,92,850","2,31,90,47,994.30","1,80,346","36,10,325",57.37
NTPC,EQ,13-Feb-2026,368.25,367.55,368.0,362.4,364.0,363.0,364.19,"71,11,972","2,59,01,33,790.35","1,05,259","51,20,121",71.99
