symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NUVAMA,EQ,25-Mar-2026,"1,150.30","1,156.00","1,206.80","1,149.90","1,201.00","1,201.00","1,185.63","5,40,971","64,13,89,273.40","15,534","3,03,891",56.18
NUVAMA,EQ,24-Mar-2026,"1,110.60","1,150.00","1,158.40","1,108.90","1,151.00","1,150.30","1,139.50","3,85,998","43,98,43,612.40","16,256","1,70,502",44.17
NUVAMA,EQ,23-Mar-2026,"1,147.50","1,140.00","1,141.80","1,096.90","1,107.70","1,110.60","1,109.75","3,88,532","43,11,72,839.80","20,467","1,93,644",49.84
NUVAMA,EQ,20-Mar-2026,"1,151.00","1,158.20","1,175.00","1,142.50","1,150.70","1,147.50","1,155.73","1,78,025","20,57,49,203.00","10,566","76,816",43.15
NUVAMA,EQ,19-Mar-2026,"1,178.60","1,153.50","1,165.00","1,144.90","1,156.40","1,151.00","1,154.41","1,74,882","20,18,85,565.30","11,408","93,844",53.66
NUVAMA,EQ,18-Mar-2026,"1,157.40","1,169.00","1,195.00","1,158.00","1,180.70","1,178.60","1,180.22","7,19,132","84,87,31,157.20","20,863","4,09,029",56.88
NUVAMA,EQ,17-Mar-2026,"1,158.80","1,170.00","1,170.50","1,149.50","1,157.40","1,157.40","1,157.98","2,94,411","34,09,21,176.00","15,949","1,46,490",49.76
NUVAMA,EQ,16-Mar-2026,"1,158.60","1,150.00","1,171.00","1,136.80","1,156.00","1,158.80","1,154.08","3,66,061","42,24,62,565.10","19,667","1,75,659",47.99
NUVAMA,EQ,13-Mar-2026,"1,183.80","1,189.00","1,189.00","1,152.00","1,158.50","1,158.60","1,165.03","2,72,719","31,77,27,075.60","15,578","1,21,415",44.52
NUVAMA,EQ,12-Mar-2026,"1,212.50","1,204.10","1,207.90","1,175.60","1,181.50","1,183.80","1,188.47","3,29,254","39,13,08,187.00","15,262","1,31,021",39.79
NUVAMA,EQ,11-Mar-2026,"1,238.00","1,235.10","1,246.80","1,208.30","1,208.60","1,212.50","1,227.14","1,76,763","21,69,12,762.20","13,227","73,593",41.63
NUVAMA,EQ,10-Mar-2026,"1,208.40","1,224.00","1,243.50","1,220.00","1,239.50","1,238.00","1,232.28","2,01,281","24,80,33,994.80","11,551","88,449",43.94
NUVAMA,EQ,09-Mar-2026,"1,225.10","1,200.00","1,222.50","1,171.10","1,201.00","1,208.40","1,193.86","2,28,552","27,28,59,721.50","13,618","82,393",36.05
NUVAMA,EQ,06-Mar-2026,"1,238.10","1,243.50","1,264.60","1,221.20","1,232.00","1,225.10","1,239.79","2,04,216","25,31,85,142.30","11,925","1,01,685",49.79
NUVAMA,EQ,05-Mar-2026,"1,196.50","1,200.10","1,246.00","1,200.10","1,243.00","1,238.10","1,226.22","3,65,340","44,79,86,674.50","18,484","1,62,166",44.39
NUVAMA,EQ,04-Mar-2026,"1,206.50","1,200.00","1,210.10","1,178.10","1,192.30","1,196.50","1,198.10","7,59,299","90,97,19,503.60","33,784","3,71,545",48.93
NUVAMA,EQ,02-Mar-2026,"1,244.90","1,188.80","1,237.10","1,187.80","1,208.40","1,206.50","1,209.85","4,78,751","57,92,17,320.70","17,280","2,08,226",43.49
