symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NYKAA,EQ,25-Mar-2026,240.05,240.0,248.0,240.0,243.5,244.1,245.19,"28,94,582","70,97,10,154.30","35,860","12,01,563",41.51
NYKAA,EQ,24-Mar-2026,234.75,238.2,241.85,233.2,240.0,240.05,239.37,"51,30,420","1,22,80,66,146.00","46,622","30,51,296",59.47
NYKAA,EQ,23-Mar-2026,240.6,235.0,236.9,232.9,233.75,234.75,234.62,"41,74,364","97,93,88,145.80","46,942","18,44,148",44.18
NYKAA,EQ,20-Mar-2026,239.4,241.45,245.4,239.0,239.8,240.6,241.23,"94,94,678","2,29,04,17,818.00","47,940","60,47,399",63.69
NYKAA,EQ,19-Mar-2026,243.65,239.0,240.75,235.7,238.75,239.4,239.02,"20,92,196","50,00,68,483.00","29,408","8,56,117",40.92
NYKAA,EQ,18-Mar-2026,240.0,240.2,245.5,237.1,242.45,243.65,242.82,"48,88,577","1,18,70,57,459.05","38,613","22,33,715",45.69
NYKAA,EQ,17-Mar-2026,237.0,239.4,241.0,234.5,238.15,240.0,238.93,"61,66,618","1,47,33,93,872.15","65,848","36,52,246",59.23
NYKAA,EQ,16-Mar-2026,238.15,236.65,241.9,233.2,236.0,237.0,237.3,"36,26,853","86,06,51,395.50","50,223","15,13,180",41.72
NYKAA,EQ,13-Mar-2026,244.95,243.8,245.15,235.05,237.6,238.15,238.64,"72,48,289","1,72,97,49,734.15","88,239","40,92,977",56.47
NYKAA,EQ,12-Mar-2026,251.7,249.05,250.1,243.55,245.05,244.95,245.67,"36,55,162","89,79,48,069.50","30,207","15,81,548",43.27
NYKAA,EQ,11-Mar-2026,256.8,257.9,259.4,250.55,251.0,251.7,253.83,"47,86,191","1,21,48,95,344.25","39,137","28,59,347",59.74
NYKAA,EQ,10-Mar-2026,249.7,251.45,258.4,250.6,257.05,256.8,255.42,"38,60,987","98,61,79,361.90","42,761","21,29,544",55.16
NYKAA,EQ,09-Mar-2026,254.8,250.0,251.55,244.0,249.8,249.7,248.0,"30,84,251","76,48,92,790.35","36,958","13,95,492",45.25
NYKAA,EQ,06-Mar-2026,260.8,259.0,262.55,253.25,253.35,254.8,257.19,"30,07,325","77,34,58,966.95","43,735","16,75,233",55.71
NYKAA,EQ,05-Mar-2026,255.7,257.3,261.3,253.55,260.6,260.8,258.13,"31,45,833","81,20,48,932.85","44,236","15,86,627",50.44
NYKAA,EQ,04-Mar-2026,259.1,252.55,259.0,250.0,255.75,255.7,254.15,"39,28,159","99,83,48,749.90","46,788","20,16,930",51.35
NYKAA,EQ,02-Mar-2026,265.48,257.2,264.15,254.8,261.0,259.1,259.13,"33,96,945","88,02,44,045.60","55,359","13,94,181",41.04
NYKAA,EQ,27-Feb-2026,267.53,266.35,268.0,263.01,264.9,265.48,265.55,"57,71,186","1,53,25,15,881.68","70,016","34,25,355",59.35
NYKAA,EQ,26-Feb-2026,266.63,268.0,269.9,263.73,268.0,267.53,266.81,"28,19,499","75,22,82,081.13","51,892","11,29,865",40.07
NYKAA,EQ,25-Feb-2026,261.36,265.0,268.4,262.66,266.75,266.63,266.22,"44,86,992","1,19,45,06,119.01","39,129","21,86,970",48.74
NYKAA,EQ,24-Feb-2026,266.73,266.44,266.44,257.53,262.1,261.36,260.21,"57,03,923","1,48,42,01,901.14","53,044","31,96,365",56.04
NYKAA,EQ,23-Feb-2026,265.58,267.0,269.5,264.4,266.48,266.73,266.5,"28,47,147","75,87,72,388.81","83,386","16,16,577",56.78
NYKAA,EQ,20-Feb-2026,267.46,266.4,269.38,263.99,264.4,265.58,266.31,"37,64,441","1,00,25,14,604.31","33,014","20,71,304",55.02
NYKAA,EQ,19-Feb-2026,272.42,273.77,274.4,266.24,266.8,267.46,269.57,"34,95,032","94,21,51,830.93","37,129","18,35,492",52.52
NYKAA,EQ,18-Feb-2026,271.31,271.32,273.34,269.58,272.45,272.42,271.63,"30,63,021","83,20,08,730.55","32,923","17,58,477",57.41
NYKAA,EQ,17-Feb-2026,275.21,276.1,276.38,268.37,271.32,271.31,270.68,"38,81,124","1,05,05,47,047.66","48,072","20,62,043",53.13
NYKAA,EQ,16-Feb-2026,270.95,270.95,277.39,269.24,275.06,275.21,274.58,"35,43,432","97,29,47,521.52","31,956","16,90,549",47.71
NYKAA,EQ,13-Feb-2026,280.14,279.39,280.25,269.88,271.0,270.95,273.48,"81,82,107","2,23,76,58,967.65","41,925","47,15,913",57.64
NYKAA,EQ,12-Feb-2026,277.54,275.01,282.06,275.01,279.32,280.14,279.01,"74,60,373","2,08,14,90,116.07","58,332","40,52,598",54.32
NYKAA,EQ,11-Feb-2026,280.69,281.26,285.6,275.9,277.0,277.54,279.59,"82,03,914","2,29,37,09,874.04","96,119","41,71,753",50.85
