symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
OFSS,EQ,25-Mar-2026,"6,605.50","6,594.50","6,709.00","6,554.50","6,605.00","6,599.00","6,633.02","1,68,716","1,11,90,96,412.50","23,068","62,486",37.04
OFSS,EQ,24-Mar-2026,"6,445.00","6,610.00","6,675.00","6,468.00","6,575.00","6,605.50","6,588.97","1,67,921","1,10,64,25,750.00","24,844","63,875",38.04
OFSS,EQ,23-Mar-2026,"6,580.00","6,490.00","6,535.00","6,401.00","6,440.00","6,445.00","6,482.57","1,18,364","76,73,02,406.00","25,125","33,376",28.2
OFSS,EQ,20-Mar-2026,"6,368.50","6,450.00","6,675.00","6,440.00","6,594.50","6,580.00","6,585.69","2,00,334","1,31,93,38,410.00","27,619","55,925",27.92
OFSS,EQ,19-Mar-2026,"6,594.50","6,501.00","6,539.50","6,340.00","6,386.00","6,368.50","6,415.75","1,13,659","72,92,07,692.50","17,124","32,882",28.93
OFSS,EQ,18-Mar-2026,"6,302.00","6,315.00","6,666.00","6,314.50","6,600.00","6,594.50","6,588.75","3,21,179","2,11,61,67,003.00","36,828","52,958",16.49
OFSS,EQ,17-Mar-2026,"6,414.00","6,450.00","6,450.00","6,234.50","6,299.00","6,302.00","6,309.71","1,63,871","1,03,39,78,489.00","23,846","33,210",20.27
OFSS,EQ,16-Mar-2026,"6,526.00","6,516.00","6,525.00","6,317.00","6,382.00","6,414.00","6,414.24","1,24,430","79,81,23,668.50","19,963","40,473",32.53
OFSS,EQ,13-Mar-2026,"6,694.50","6,677.00","6,686.00","6,500.00","6,528.00","6,526.00","6,568.35","96,014","63,06,53,206.00","19,576","35,285",36.75
OFSS,EQ,12-Mar-2026,"6,792.00","6,796.00","6,796.00","6,667.00","6,698.00","6,694.50","6,716.33","82,424","55,35,87,093.00","18,107","25,352",30.76
OFSS,EQ,11-Mar-2026,"6,824.00","6,924.00","6,995.50","6,745.00","6,798.00","6,792.00","6,845.63","1,83,088","1,25,33,52,930.50","28,246","38,795",21.19
OFSS,EQ,10-Mar-2026,"6,712.50","6,770.50","6,840.50","6,724.00","6,825.00","6,824.00","6,785.63","1,03,676","70,35,07,449.00","14,544","46,603",44.95
OFSS,EQ,09-Mar-2026,"6,718.00","6,650.00","6,732.00","6,569.50","6,722.50","6,712.50","6,663.27","94,042","62,66,27,349.50","14,486","33,424",35.54
OFSS,EQ,06-Mar-2026,"6,789.50","6,761.00","6,914.00","6,690.00","6,725.00","6,718.00","6,778.85","91,716","62,17,28,740.50","17,881","30,748",33.53
OFSS,EQ,05-Mar-2026,"6,832.00","6,860.50","6,886.00","6,739.00","6,781.00","6,789.50","6,810.60","1,02,857","70,05,17,625.50","14,833","43,180",41.98
OFSS,EQ,04-Mar-2026,"6,848.00","6,799.50","6,890.50","6,771.50","6,827.00","6,832.00","6,834.06","1,22,604","83,78,82,935.00","17,277","41,374",33.75
OFSS,EQ,02-Mar-2026,"6,932.00","6,755.00","6,980.50","6,755.00","6,860.00","6,848.00","6,860.77","1,06,501","73,06,78,388.50","20,032","36,525",34.3
OFSS,EQ,27-Feb-2026,"6,856.50","6,904.00","6,985.00","6,835.00","6,897.00","6,932.00","6,930.84","2,57,521","1,78,48,37,970.50","31,340","1,08,316",42.06
OFSS,EQ,26-Feb-2026,"6,612.00","6,651.00","6,880.00","6,631.00","6,870.00","6,856.50","6,813.92","2,54,463","1,73,38,89,708.50","28,351","74,087",29.12
OFSS,EQ,25-Feb-2026,"6,454.00","6,519.00","6,670.00","6,519.00","6,631.00","6,612.00","6,582.02","1,48,595","97,80,55,003.00","21,713","53,987",36.33
OFSS,EQ,24-Feb-2026,"6,669.50","6,605.00","6,646.50","6,399.50","6,465.00","6,454.00","6,481.36","2,12,873","1,37,97,06,083.50","31,382","91,992",43.21
OFSS,EQ,23-Feb-2026,"6,642.50","6,645.00","6,699.00","6,566.50","6,659.50","6,669.50","6,631.30","1,23,441","81,85,73,701.50","18,670","57,090",46.25
OFSS,EQ,20-Feb-2026,"6,652.00","6,650.00","6,694.00","6,593.00","6,634.00","6,642.50","6,654.27","91,354","60,78,93,896.00","14,033","31,191",34.14
OFSS,EQ,19-Feb-2026,"6,714.50","6,750.00","6,799.50","6,625.00","6,628.00","6,652.00","6,712.16","1,40,373","94,22,05,389.50","18,172","33,387",23.78
OFSS,EQ,18-Feb-2026,"6,845.00","6,877.50","6,877.50","6,674.00","6,700.00","6,714.50","6,731.89","1,51,155","1,01,75,59,531.50","23,507","55,013",36.4
OFSS,EQ,17-Feb-2026,"6,699.00","6,698.00","6,912.00","6,672.50","6,844.00","6,845.00","6,828.47","2,15,007","1,46,81,68,213.50","25,259","40,991",19.06
