symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ONGC,EQ,25-Mar-2026,268.05,267.35,271.5,266.4,269.7,270.2,269.77,"1,33,80,625","3,60,97,45,745.05","1,11,925","85,41,599",63.84
ONGC,EQ,24-Mar-2026,265.45,268.55,273.3,266.85,268.5,268.05,270.06,"1,85,67,283","5,01,43,13,803.40","1,40,733","83,48,299",44.96
ONGC,EQ,23-Mar-2026,265.4,267.3,269.7,263.9,265.4,265.45,266.83,"2,39,91,581","6,40,15,72,610.80","1,81,852","83,80,056",34.93
ONGC,EQ,20-Mar-2026,269.1,269.0,273.05,264.0,265.55,265.4,267.88,"1,94,36,124","5,20,66,19,029.70","1,49,956","99,44,872",51.17
ONGC,EQ,19-Mar-2026,265.0,265.0,271.5,262.5,269.1,269.1,268.62,"2,86,85,305","7,70,53,73,467.90","1,92,492","89,03,046",31.04
ONGC,EQ,18-Mar-2026,264.75,265.15,266.65,263.0,264.55,265.0,264.79,"87,80,857","2,32,50,59,013.60","79,493","44,15,366",50.28
ONGC,EQ,17-Mar-2026,260.45,260.65,265.4,259.15,265.15,264.75,262.08,"1,56,62,659","4,10,48,52,328.85","2,17,323","80,09,070",51.13
ONGC,EQ,16-Mar-2026,264.1,264.05,266.0,258.35,260.1,260.45,260.94,"2,17,25,887","5,66,91,98,598.30","1,30,681","1,09,39,101",50.35
ONGC,EQ,13-Mar-2026,270.55,270.55,271.3,263.45,264.05,264.1,265.68,"1,84,11,729","4,89,16,70,367.40","1,15,374","1,10,17,456",59.84
ONGC,EQ,12-Mar-2026,270.75,271.6,273.0,267.75,270.6,270.55,270.62,"2,00,59,801","5,42,85,08,360.20","2,01,578","92,27,301",46.00
ONGC,EQ,11-Mar-2026,269.2,268.0,272.4,268.0,270.6,270.75,270.91,"1,61,30,216","4,36,98,56,931.75","3,27,726","86,55,622",53.66
ONGC,EQ,10-Mar-2026,270.8,270.85,270.9,265.35,270.4,269.2,268.63,"1,84,76,370","4,96,32,96,542.20","1,72,911","83,41,388",45.15
ONGC,EQ,09-Mar-2026,278.95,289.0,289.0,267.6,269.95,270.8,274.96,"5,65,12,457","15,53,89,36,687.00","4,87,759","2,30,37,906",40.77
ONGC,EQ,06-Mar-2026,276.35,279.95,280.95,271.15,279.9,278.95,277.05,"3,07,25,344","8,51,23,79,611.30","1,83,148","1,28,28,189",41.75
ONGC,EQ,05-Mar-2026,276.95,278.0,287.65,275.35,276.75,276.35,281.83,"4,05,69,479","11,43,37,00,824.95","3,73,121","1,73,03,699",42.65
ONGC,EQ,04-Mar-2026,282.2,287.0,288.35,275.1,275.65,276.95,281.13,"5,37,22,773","15,10,29,71,151.10","3,84,825","2,82,05,309",52.50
ONGC,EQ,02-Mar-2026,279.7,288.0,293.0,277.65,281.45,282.2,282.78,"6,58,43,426","18,61,95,02,429.40","6,36,194","2,50,18,065",38.00
ONGC,EQ,27-Feb-2026,280.1,278.5,282.5,277.0,279.1,279.7,280.36,"1,85,54,482","5,20,19,93,962.45","1,04,599","1,02,36,545",55.17
ONGC,EQ,26-Feb-2026,277.45,277.4,281.05,275.6,280.0,280.1,278.56,"1,33,01,761","3,70,52,85,240.55","1,70,193","80,77,496",60.73
ONGC,EQ,25-Feb-2026,276.5,276.5,278.95,274.0,277.25,277.45,276.71,"75,73,116","2,09,55,73,211.95","1,40,253","34,98,880",46.20
ONGC,EQ,24-Feb-2026,275.65,275.65,278.15,273.3,277.2,276.5,275.59,"1,63,11,581","4,49,52,55,939.05","1,71,159","82,50,819",50.58
ONGC,EQ,23-Feb-2026,278.65,279.9,279.9,272.2,276.05,275.65,273.9,"1,31,13,050","3,59,16,97,446.90","1,15,401","60,03,737",45.78
ONGC,EQ,20-Feb-2026,274.65,277.4,280.8,274.35,278.25,278.65,277.97,"3,19,71,956","8,88,72,08,063.20","1,91,769","1,39,92,510",43.76
