symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PAGEIND,EQ,25-Mar-2026,"32,170.00","32,350.00","33,450.00","32,180.00","32,600.00","32,635.00","32,922.26","30,727","1,01,16,02,140.00","13,999","14,606",47.53
PAGEIND,EQ,24-Mar-2026,"31,345.00","32,000.00","32,335.00","31,330.00","32,250.00","32,170.00","31,912.49","14,942","47,68,36,360.00","6,541","7,405",49.56
PAGEIND,EQ,23-Mar-2026,"32,005.00","31,845.00","31,850.00","31,130.00","31,175.00","31,345.00","31,462.85","18,344","57,71,54,455.00","7,514","8,932",48.69
PAGEIND,EQ,20-Mar-2026,"31,225.00","31,495.00","32,500.00","31,320.00","32,005.00","32,005.00","32,104.27","23,953","76,89,93,650.00","10,162","11,801",49.27
PAGEIND,EQ,19-Mar-2026,"31,720.00","31,555.00","31,555.00","31,050.00","31,495.00","31,225.00","31,259.50","17,805","55,65,75,310.00","9,521","9,376",52.66
PAGEIND,EQ,18-Mar-2026,"30,515.00","30,600.00","31,840.00","30,480.00","31,760.00","31,720.00","31,455.48","16,958","53,34,22,080.00","8,309","7,103",41.89
PAGEIND,EQ,17-Mar-2026,"30,200.00","30,200.00","30,675.00","30,200.00","30,525.00","30,515.00","30,494.57","8,132","24,79,81,860.00","5,194","3,496",42.99
PAGEIND,EQ,16-Mar-2026,"30,285.00","30,280.00","30,350.00","29,805.00","30,050.00","30,200.00","30,050.55","17,643","53,01,81,830.00","8,079","7,473",42.36
PAGEIND,EQ,13-Mar-2026,"30,860.00","30,845.00","30,845.00","30,010.00","30,240.00","30,285.00","30,331.48","25,467","77,24,51,720.00","9,644","10,422",40.92
PAGEIND,EQ,12-Mar-2026,"31,595.00","31,550.00","31,555.00","30,730.00","30,790.00","30,860.00","30,934.52","19,162","59,27,67,250.00","8,710","7,870",41.07
PAGEIND,EQ,11-Mar-2026,"31,535.00","31,545.00","32,040.00","31,330.00","31,745.00","31,595.00","31,700.90","15,818","50,14,44,800.00","8,503","7,896",49.92
PAGEIND,EQ,10-Mar-2026,"31,145.00","31,270.00","31,745.00","30,955.00","31,610.00","31,535.00","31,321.14","20,230","63,36,26,640.00","9,110","10,105",49.95
PAGEIND,EQ,09-Mar-2026,"31,595.00","30,940.00","31,350.00","30,820.00","31,085.00","31,145.00","31,114.13","11,361","35,34,87,625.00","6,295","4,147",36.5
PAGEIND,EQ,06-Mar-2026,"31,525.00","31,365.00","31,825.00","31,230.00","31,610.00","31,595.00","31,556.30","24,708","77,96,93,125.00","11,943","13,008",52.65
PAGEIND,EQ,05-Mar-2026,"30,980.00","30,950.00","31,795.00","30,940.00","31,485.00","31,525.00","31,420.92","31,871","1,00,14,16,250.00","14,676","17,775",55.77
PAGEIND,EQ,04-Mar-2026,"31,175.00","30,835.00","31,130.00","30,600.00","30,920.00","30,980.00","30,913.03","22,570","69,77,07,115.00","9,630","11,488",50.9
PAGEIND,EQ,02-Mar-2026,"32,110.00","31,000.00","31,780.00","30,830.00","31,100.00","31,175.00","31,173.24","21,570","67,24,06,855.00","10,874","10,540",48.86
PAGEIND,EQ,27-Feb-2026,"32,255.00","32,255.00","32,410.00","31,740.00","32,160.00","32,110.00","32,077.36","78,391","2,51,45,76,695.00","18,772","52,094",66.45
PAGEIND,EQ,26-Feb-2026,"32,725.00","32,725.00","32,795.00","32,180.00","32,240.00","32,255.00","32,344.92","15,336","49,60,41,665.00","5,997","8,746",57.03
PAGEIND,EQ,25-Feb-2026,"33,160.00","33,285.00","33,555.00","32,635.00","32,660.00","32,725.00","32,945.62","15,961","52,58,45,025.00","7,648","9,703",60.79
PAGEIND,EQ,24-Feb-2026,"33,070.00","33,150.00","33,400.00","32,725.00","33,360.00","33,160.00","33,041.75","23,524","77,72,74,030.00","9,160","13,801",58.67
PAGEIND,EQ,23-Feb-2026,"32,740.00","32,800.00","33,280.00","32,740.00","33,035.00","33,070.00","33,084.42","13,411","44,36,95,125.00","6,743","6,468",48.23
PAGEIND,EQ,20-Feb-2026,"32,595.00","32,695.00","33,135.00","32,465.00","32,790.00","32,740.00","32,776.14","9,328","30,57,35,820.00","4,747","3,836",41.12
PAGEIND,EQ,19-Feb-2026,"33,440.00","33,600.00","33,600.00","32,490.00","32,570.00","32,595.00","33,070.85","19,153","63,34,06,015.00","9,417","9,219",48.13
PAGEIND,EQ,18-Feb-2026,"33,685.00","33,880.00","33,950.00","33,250.00","33,430.00","33,440.00","33,442.54","8,975","30,01,46,805.00","4,178","3,297",36.74
PAGEIND,EQ,17-Feb-2026,"33,425.00","33,345.00","33,810.00","33,230.00","33,620.00","33,685.00","33,600.74","6,156","20,68,46,155.00","3,443","1,326",21.54
PAGEIND,EQ,16-Feb-2026,"33,530.00","33,550.00","33,695.00","33,230.00","33,345.00","33,425.00","33,457.69","8,016","26,81,96,855.00","3,630","2,584",32.24
PAGEIND,EQ,13-Feb-2026,"33,850.00","33,545.00","34,065.00","33,300.00","33,370.00","33,530.00","33,639.29","15,457","51,99,62,460.00","7,645","5,610",36.29
PAGEIND,EQ,12-Feb-2026,"34,360.00","34,425.00","34,425.00","33,670.00","33,700.00","33,850.00","33,865.96","18,308","62,00,17,975.00","8,359","7,399",40.41
PAGEIND,EQ,11-Feb-2026,"34,600.00","34,600.00","34,660.00","34,035.00","34,425.00","34,360.00","34,264.43","35,668","1,22,21,43,855.00","11,972","20,407",57.21
PAGEIND,EQ,10-Feb-2026,"34,855.00","35,025.00","35,060.00","34,475.00","34,650.00","34,600.00","34,657.98","14,181","49,14,84,765.00","7,236","7,508",52.94
PAGEIND,EQ,09-Feb-2026,"35,560.00","35,680.00","35,730.00","34,425.00","34,850.00","34,855.00","34,882.44","58,241","2,03,15,88,120.00","17,118","30,885",53.03
PAGEIND,EQ,06-Feb-2026,"35,640.00","34,450.00","35,670.00","34,205.00","35,650.00","35,560.00","35,097.04","34,565","1,21,31,29,130.00","15,799","12,465",36.06
PAGEIND,EQ,05-Feb-2026,"34,425.00","34,450.00","36,295.00","33,910.00","35,430.00","35,640.00","35,233.35","64,590","2,27,57,22,210.00","30,055","17,769",27.51
PAGEIND,EQ,04-Feb-2026,"33,740.00","34,000.00","34,620.00","33,300.00","34,435.00","34,425.00","33,991.87","28,306","96,21,73,805.00","12,243","12,619",44.58
PAGEIND,EQ,03-Feb-2026,"32,765.00","34,195.00","34,525.00","33,345.00","34,045.00","33,740.00","33,667.23","41,461","1,39,58,76,925.00","17,791","22,143",53.41
PAGEIND,EQ,02-Feb-2026,"32,745.00","32,840.00","33,000.00","32,400.00","33,000.00","32,765.00","32,729.69","10,777","35,27,27,885.00","5,037","5,188",48.14
PAGEIND,EQ,01-Feb-2026,"32,995.00","33,110.00","33,265.00","32,385.00","32,840.00","32,745.00","32,856.07","5,438","17,86,71,305.00","2,817","1,134",20.85
PAGEIND,EQ,30-Jan-2026,"33,015.00","32,995.00","33,255.00","32,725.00","32,805.00","32,995.00","32,989.06","21,403","70,60,64,920.00","10,214","11,424",53.38
PAGEIND,EQ,29-Jan-2026,"32,615.00","32,610.00","33,120.00","32,225.00","32,930.00","33,015.00","32,668.07","18,462","60,31,17,925.00","9,211","9,406",50.95
PAGEIND,EQ,28-Jan-2026,"32,520.00","32,500.00","32,750.00","32,230.00","32,485.00","32,615.00","32,442.54","13,150","42,66,19,375.00","7,451","6,418",48.81
PAGEIND,EQ,27-Jan-2026,"32,880.00","33,000.00","33,005.00","32,135.00","32,300.00","32,520.00","32,424.17","35,654","1,15,60,51,445.00","15,014","16,721",46.9
PAGEIND,EQ,23-Jan-2026,"32,875.00","33,000.00","33,000.00","32,480.00","32,945.00","32,880.00","32,740.41","25,720","84,20,83,380.00","11,197","15,056",58.54
PAGEIND,EQ,22-Jan-2026,"33,110.00","33,305.00","33,460.00","32,610.00","32,800.00","32,875.00","32,885.83","33,647","1,10,65,09,420.00","14,346","17,273",51.34
PAGEIND,EQ,21-Jan-2026,"32,970.00","32,970.00","33,720.00","32,625.00","33,175.00","33,110.00","33,093.20","32,783","1,08,48,94,360.00","16,438","14,705",44.86
PAGEIND,EQ,20-Jan-2026,"34,285.00","34,285.00","34,290.00","31,740.00","33,050.00","32,970.00","33,520.72","57,576","1,92,99,89,020.00","22,991","27,334",47.47
PAGEIND,EQ,19-Jan-2026,"34,365.00","34,335.00","34,565.00","34,040.00","34,260.00","34,285.00","34,257.71","9,813","33,61,70,950.00","5,965","4,936",50.3
PAGEIND,EQ,16-Jan-2026,"34,320.00","34,325.00","34,650.00","34,200.00","34,210.00","34,365.00","34,436.70","15,184","52,28,86,840.00","6,637","7,949",52.35
PAGEIND,EQ,14-Jan-2026,"34,645.00","34,595.00","34,595.00","34,095.00","34,325.00","34,320.00","34,346.19","30,937","1,06,25,68,145.00","13,309","18,668",60.34
PAGEIND,EQ,13-Jan-2026,"34,365.00","34,625.00","34,750.00","34,215.00","34,550.00","34,645.00","34,525.06","30,417","1,05,01,48,820.00","10,971","19,891",65.39
PAGEIND,EQ,12-Jan-2026,"34,280.00","34,395.00","34,635.00","34,055.00","34,395.00","34,365.00","34,330.78","11,932","40,96,34,865.00","6,514","4,476",37.51
PAGEIND,EQ,09-Jan-2026,"34,765.00","34,830.00","34,915.00","34,200.00","34,300.00","34,280.00","34,500.77","16,281","56,17,06,990.00","8,990","10,361",63.64
