symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PATANJALI,EQ,25-Mar-2026,472.80,478.00,490.50,467.10,486.50,485.10,481.05,"26,14,123","1,25,75,35,427.30","45,425","5,63,862",21.57
PATANJALI,EQ,24-Mar-2026,463.30,473.05,476.25,464.20,472.00,472.80,470.93,"10,53,615","49,61,79,735.25","17,204","2,34,108",22.22
PATANJALI,EQ,23-Mar-2026,474.60,471.00,472.00,460.40,464.00,463.30,465.40,"16,03,263","74,61,55,778.55","30,083","4,43,967",27.69
PATANJALI,EQ,20-Mar-2026,474.30,478.00,482.45,472.75,473.40,474.60,478.84,"13,00,103","62,25,43,284.40","13,394","5,92,319",45.56
PATANJALI,EQ,19-Mar-2026,490.15,483.50,485.80,472.05,473.05,474.30,477.23,"9,59,311","45,78,15,171.90","11,052","2,99,504",31.22
PATANJALI,EQ,18-Mar-2026,486.45,488.00,493.05,484.15,489.70,490.15,489.86,"7,96,275","39,00,64,473.95","10,029","2,87,461",36.10
PATANJALI,EQ,17-Mar-2026,483.80,489.80,489.80,480.40,487.00,486.45,483.98,"14,22,596","68,85,07,703.75","14,254","5,30,873",37.32
PATANJALI,EQ,16-Mar-2026,481.60,484.85,487.00,476.45,482.50,483.80,481.43,"18,91,383","91,05,60,720.60","16,971","8,85,123",46.80
PATANJALI,EQ,13-Mar-2026,490.60,492.00,494.45,480.05,480.75,481.60,485.66,"19,46,280","94,52,29,284.90","16,020","8,12,008",41.72
PATANJALI,EQ,12-Mar-2026,497.85,494.00,494.55,487.20,489.50,490.60,490.62,"18,77,473","92,11,30,571.90","19,528","8,15,424",43.43
PATANJALI,EQ,11-Mar-2026,500.10,502.05,504.50,494.10,495.55,497.85,498.45,"10,81,784","53,92,14,253.70","12,332","4,60,996",42.61
PATANJALI,EQ,10-Mar-2026,491.05,497.00,504.00,491.60,500.00,500.10,498.39,"14,03,136","69,93,10,888.30","13,121","4,76,951",33.99
PATANJALI,EQ,09-Mar-2026,500.55,495.00,497.25,484.05,492.25,491.05,489.04,"18,91,181","92,48,60,796.80","15,246","8,16,675",43.18
PATANJALI,EQ,06-Mar-2026,499.80,499.90,504.55,496.40,499.80,500.55,500.84,"8,79,648","44,05,63,877.30","12,774","3,12,934",35.57
PATANJALI,EQ,05-Mar-2026,503.40,506.00,508.85,497.50,499.00,499.80,500.38,"22,50,312","1,12,60,05,591.75","16,914","12,00,913",53.37
PATANJALI,EQ,04-Mar-2026,502.80,496.00,505.90,493.10,501.10,503.40,500.96,"22,83,232","1,14,37,97,989.35","23,754","8,37,338",36.67
PATANJALI,EQ,02-Mar-2026,508.00,500.00,505.50,496.05,498.15,502.80,501.28,"18,01,918","90,32,62,862.60","20,329","5,51,161",30.59
PATANJALI,EQ,27-Feb-2026,516.95,514.00,518.20,502.65,504.55,508.00,509.79,"18,17,346","92,64,67,275.55","20,263","6,59,660",36.30
PATANJALI,EQ,26-Feb-2026,518.75,516.65,519.55,504.10,515.10,516.95,513.28,"40,79,114","2,09,37,35,896.90","27,706","19,22,618",47.13
PATANJALI,EQ,25-Feb-2026,522.40,523.00,527.80,513.00,514.00,518.75,519.80,"24,76,713","1,28,73,89,897.40","28,467","14,86,729",60.03
PATANJALI,EQ,24-Feb-2026,532.95,530.00,532.80,518.80,522.50,522.40,526.02,"15,56,379","81,86,87,397.35","14,613","5,03,474",32.35
PATANJALI,EQ,23-Feb-2026,534.40,535.00,537.60,525.30,531.40,532.95,531.74,"18,36,937","97,67,72,044.65","15,525","5,77,448",31.44
PATANJALI,EQ,20-Feb-2026,532.95,529.95,536.95,526.00,531.75,534.40,532.83,"9,14,955","48,75,12,851.70","14,092","2,38,433",26.06
PATANJALI,EQ,19-Feb-2026,538.25,538.25,538.90,526.10,530.00,532.95,533.28,"12,56,192","66,98,95,870.30","14,987","3,55,096",28.27
PATANJALI,EQ,18-Feb-2026,530.20,530.05,540.30,528.60,532.80,538.25,536.45,"21,03,058","1,12,81,75,577.45","25,519","7,51,557",35.74
PATANJALI,EQ,17-Feb-2026,525.70,524.90,535.95,521.85,528.50,530.20,528.78,"17,77,456","93,98,86,371.00","27,204","6,24,753",35.15
PATANJALI,EQ,16-Feb-2026,521.25,519.05,526.50,515.55,522.50,525.70,522.97,"12,60,588","65,92,46,818.40","22,451","4,13,241",32.78
PATANJALI,EQ,13-Feb-2026,523.15,520.00,523.95,511.80,514.60,521.25,517.59,"35,57,112","1,84,11,30,555.90","39,877","13,43,744",37.78
PATANJALI,EQ,12-Feb-2026,521.75,519.85,530.25,509.40,521.35,523.15,521.95,"37,53,492","1,95,91,37,934.25","48,235","9,86,140",26.27
PATANJALI,EQ,11-Feb-2026,521.55,524.40,526.50,518.00,521.20,521.75,521.73,"21,66,386","1,13,02,67,620.70","16,167","14,25,644",65.81
PATANJALI,EQ,10-Feb-2026,531.55,532.05,536.65,517.60,520.90,521.55,524.80,"27,95,550","1,46,71,15,577.85","29,858","14,12,697",50.53
PATANJALI,EQ,09-Feb-2026,524.05,528.00,534.95,501.75,530.60,531.55,513.50,"1,52,54,059","7,83,29,41,170.10","76,748","37,23,964",24.41
PATANJALI,EQ,06-Feb-2026,515.50,517.00,526.75,507.10,522.90,524.05,520.09,"22,88,281","1,19,01,02,968.15","25,419","10,27,564",44.91
PATANJALI,EQ,05-Feb-2026,510.40,511.00,517.00,500.90,514.20,515.50,511.92,"20,38,927","1,04,37,76,617.85","23,156","10,15,610",49.81
PATANJALI,EQ,04-Feb-2026,505.95,506.00,512.00,500.45,508.00,510.40,507.81,"10,39,010","52,76,17,338.35","19,139","2,32,903",22.42
PATANJALI,EQ,03-Feb-2026,496.10,515.00,515.00,500.00,505.60,505.95,504.53,"19,39,120","97,83,41,821.15","17,873","9,52,078",49.10
PATANJALI,EQ,02-Feb-2026,495.75,497.05,499.25,480.00,494.30,496.10,491.37,"36,20,261","1,77,88,95,982.55","39,579","15,35,166",42.40
PATANJALI,EQ,01-Feb-2026,500.40,500.00,504.40,484.00,486.00,495.75,498.79,"7,15,707","35,69,90,655.15","13,045","1,36,607",19.09
PATANJALI,EQ,30-Jan-2026,500.00,500.00,504.90,495.20,500.00,500.40,499.29,"31,54,894","1,57,52,06,086.15","19,287","14,39,536",45.63
PATANJALI,EQ,29-Jan-2026,505.75,506.05,510.70,493.25,500.00,500.00,499.35,"35,05,766","1,75,06,13,481.45","18,861","20,52,944",58.56
