symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PAYTM,EQ,22-Jan-2025,854.30,850.00,857.80,816.70,844.95,841.35,832.41,"72,30,982","6,01,91,12,547.55","1,82,514","12,65,948",17.51
PAYTM,BL,23-Jan-2025,425.05,853.25,853.25,853.25,853.25,853.25,853.25,"18,66,355","1,59,24,67,403.75",1,-,-
PAYTM,EQ,23-Jan-2025,841.35,843.00,864.80,840.00,849.00,849.10,852.92,"34,30,914","2,92,62,83,890.60","97,408","5,57,597",16.25
PAYTM,EQ,24-Jan-2025,849.10,849.95,855.65,773.05,805.00,807.45,817.30,"1,42,01,511","11,60,68,37,658.25","3,38,017","21,59,956",15.21
PAYTM,EQ,27-Jan-2025,807.45,788.00,789.85,763.20,780.05,779.95,778.67,"67,28,800","5,23,95,13,115.90","1,71,084","18,76,390",27.89
PAYTM,EQ,28-Jan-2025,779.95,785.00,787.70,763.30,767.80,769.20,775.81,"52,64,951","4,08,45,89,026.00","1,50,557","13,30,739",25.28
PAYTM,EQ,29-Jan-2025,769.20,769.85,814.70,765.25,807.95,808.65,792.81,"43,78,055","3,47,09,61,815.25","1,12,244","11,05,440",25.25
PAYTM,EQ,30-Jan-2025,808.65,808.65,814.45,756.50,771.00,771.90,778.84,"78,35,049","6,10,22,35,320.35","1,65,807","17,44,207",22.26
PAYTM,EQ,31-Jan-2025,771.90,773.80,792.85,768.95,776.40,775.75,780.88,"43,75,081","3,41,63,93,970.15","1,19,858","10,99,602",25.13
PAYTM,EQ,01-Feb-2025,775.75,776.00,786.90,735.05,741.80,743.10,760.05,"38,31,010","2,91,17,74,135.90","97,440","7,95,808",20.77
PAYTM,EQ,03-Feb-2025,743.10,734.00,783.00,710.70,771.00,774.70,762.44,"98,34,517","7,49,82,17,970.35","2,42,096","25,45,001",25.88
PAYTM,EQ,04-Feb-2025,774.70,778.10,790.95,770.00,779.50,781.70,781.10,"39,17,666","3,06,00,83,848.20","1,10,656","8,39,635",21.43
PAYTM,EQ,05-Feb-2025,781.70,781.70,812.95,781.00,803.00,803.00,804.44,"41,43,339","3,33,30,55,178.25","1,10,445","8,42,189",20.33
PAYTM,EQ,06-Feb-2025,803.00,807.45,814.75,795.00,797.60,798.10,804.02,"30,81,750","2,47,78,02,426.85","82,380","8,24,643",26.76
PAYTM,EQ,07-Feb-2025,798.10,799.60,823.85,790.20,810.90,809.80,809.63,"46,60,388","3,77,32,05,245.80","1,10,743","12,28,068",26.35
PAYTM,EQ,10-Feb-2025,809.80,811.00,815.85,768.10,775.10,775.25,782.21,"34,05,850","2,66,40,94,843.20","75,566","10,69,626",31.41
PAYTM,EQ,11-Feb-2025,775.25,776.95,779.40,741.30,750.00,749.85,752.34,"46,95,202","3,53,23,90,113.70","1,07,116","16,10,258",34.30
PAYTM,EQ,12-Feb-2025,749.85,745.00,754.90,718.35,748.00,745.40,740.80,"57,25,534","4,24,14,82,409.05","1,32,956","9,30,777",16.26
PAYTM,EQ,13-Feb-2025,745.40,749.40,773.65,741.60,756.60,755.40,759.21,"39,51,491","3,00,00,21,441.35","87,973","9,92,514",25.12
PAYTM,EQ,14-Feb-2025,755.40,761.90,769.45,713.10,719.90,724.05,729.24,"56,86,221","4,14,66,40,632.00","1,19,148","11,47,372",20.18
PAYTM,EQ,17-Feb-2025,724.05,722.00,751.00,713.55,737.75,733.00,735.26,"43,89,965","3,22,77,66,670.15","1,19,411","6,89,412",15.70
PAYTM,EQ,18-Feb-2025,733.00,741.45,741.45,708.30,712.50,718.05,722.79,"41,08,203","2,96,93,51,283.30","1,07,376","8,65,786",21.07
PAYTM,EQ,19-Feb-2025,718.05,712.00,749.90,706.00,742.15,744.70,734.31,"40,38,583","2,96,55,90,464.85","96,244","8,96,268",22.19
PAYTM,EQ,20-Feb-2025,744.70,737.05,764.95,726.00,764.00,755.55,745.42,"37,78,248","2,81,63,64,537.25","78,129","12,28,085",32.50
PAYTM,EQ,21-Feb-2025,755.55,755.80,779.95,755.00,766.35,766.15,766.74,"54,53,360","4,18,12,99,694.10","1,20,086","9,53,381",17.48
PAYTM,EQ,24-Feb-2025,766.15,753.00,763.70,738.00,753.00,755.10,752.10,"34,10,818","2,56,52,86,695.00","80,403","5,22,626",15.32
PAYTM,EQ,25-Feb-2025,755.10,753.00,773.00,732.85,733.90,734.70,749.91,"39,99,447","2,99,92,44,119.55","1,07,325","7,57,736",18.95
PAYTM,EQ,27-Feb-2025,734.70,736.00,749.70,715.05,723.00,725.55,727.79,"45,31,095","3,29,76,79,667.75","1,11,790","14,49,633",31.99
PAYTM,EQ,28-Feb-2025,725.55,715.00,730.50,698.30,714.00,714.95,713.24,"89,52,676","6,38,54,39,649.90","1,14,007","47,03,595",52.54
PAYTM,EQ,03-Mar-2025,714.95,700.00,734.80,683.55,729.40,726.45,711.78,"60,90,639","4,33,51,99,898.40","1,31,042","9,62,027",15.80
PAYTM,EQ,04-Mar-2025,726.45,704.00,727.80,690.00,696.65,698.50,705.37,"65,51,953","4,62,15,36,219.55","1,40,223","13,62,635",20.80
PAYTM,EQ,05-Mar-2025,698.50,687.00,715.80,687.00,706.10,708.90,705.19,"67,21,912","4,74,02,23,821.00","1,20,831","24,41,825",36.33
PAYTM,EQ,06-Mar-2025,708.90,715.00,722.70,695.80,705.00,706.35,706.84,"58,97,140","4,16,83,26,913.60","1,18,727","15,11,330",25.63
PAYTM,EQ,07-Mar-2025,706.35,710.00,713.70,680.25,682.60,684.85,694.25,"50,08,551","3,47,71,71,896.75","1,07,928","13,25,312",26.46
PAYTM,EQ,10-Mar-2025,684.85,687.00,694.95,661.10,661.35,665.25,672.24,"48,38,597","3,25,26,91,972.95","1,01,907","14,94,329",30.88
PAYTM,EQ,11-Mar-2025,665.25,660.10,718.95,651.50,713.05,713.35,697.72,"1,39,10,967","9,70,59,70,865.55","2,08,560","31,55,555",22.68
PAYTM,EQ,12-Mar-2025,713.35,719.00,720.30,681.10,701.40,702.00,697.86,"54,18,157","3,78,10,93,788.50","98,960","7,81,478",14.42
PAYTM,EQ,13-Mar-2025,702.00,704.00,706.80,680.00,682.05,682.85,689.95,"33,83,930","2,33,47,27,690.45","84,089","7,62,825",22.54
PAYTM,EQ,17-Mar-2025,682.85,685.00,699.00,682.10,695.95,688.90,690.12,"30,95,753","2,13,64,32,909.40","74,015","6,76,341",21.85
PAYTM,EQ,18-Mar-2025,688.90,697.00,746.65,695.00,741.65,741.40,727.75,"1,17,02,283","8,51,63,39,165.80","1,89,169","20,76,037",17.74
PAYTM,EQ,19-Mar-2025,741.40,745.70,772.00,734.05,763.30,763.10,757.66,"57,56,170","4,36,11,98,396.15","1,09,506","7,27,846",12.64
PAYTM,EQ,20-Mar-2025,763.10,762.00,762.00,718.20,733.15,734.40,732.53,"92,56,199","6,78,04,74,953.60","1,81,231","14,54,334",15.71
PAYTM,EQ,21-Mar-2025,734.40,736.90,756.85,727.30,753.00,751.05,746.95,"60,03,737","4,48,44,90,272.00","1,08,650","13,54,282",22.56
PAYTM,EQ,24-Mar-2025,751.05,757.45,780.90,743.45,764.50,765.40,764.04,"69,28,475","5,29,36,18,451.20","1,29,231","15,18,142",21.91
