symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PETRONET,EQ,22-Jan-2025,325.4,325.4,327.2,318.25,322.8,322.7,321.81,"16,27,217","52,36,61,307.65","37,059","9,92,950",61.02
PETRONET,EQ,23-Jan-2025,322.7,321.2,331.65,318.6,330.85,330.65,327.92,"11,16,248","36,60,43,618.15","23,270","4,86,600",43.59
PETRONET,EQ,24-Jan-2025,330.65,331.0,331.6,320.1,322.6,322.7,324.23,"10,34,478","33,54,12,928.90","25,927","4,56,869",44.16
PETRONET,EQ,27-Jan-2025,322.7,319.0,320.7,308.75,309.6,310.8,312.54,"24,87,147","77,73,27,387.95","43,066","11,74,715",47.23
PETRONET,EQ,28-Jan-2025,310.8,305.0,314.9,288.35,289.55,290.55,300.78,"66,87,977","2,01,15,91,701.80","83,429","23,48,470",35.11
PETRONET,T0,28-Jan-2025,310.8,305.0,305.0,305.0,305.0,290.55,305.0,1,305.00,1,1,100.00
PETRONET,EQ,29-Jan-2025,290.55,291.35,302.2,289.0,301.6,301.4,298.74,"26,11,081","78,00,45,372.95","41,590","10,47,698",40.13
PETRONET,T0,29-Jan-2025,290.55,299.0,299.0,299.0,299.0,301.4,299.0,1,299.00,1,1,100.00
PETRONET,EQ,30-Jan-2025,301.4,301.4,304.45,297.75,300.15,300.6,302.1,"18,60,292","56,19,97,028.15","35,547","10,05,465",54.05
PETRONET,EQ,31-Jan-2025,300.6,301.0,317.0,300.1,316.1,316.2,312.63,"17,22,127","53,83,86,994.35","30,821","7,19,868",41.80
PETRONET,EQ,01-Feb-2025,316.2,314.6,314.85,303.85,309.5,308.8,309.67,"9,50,303","29,42,78,678.05","17,821","2,22,252",23.39
PETRONET,EQ,03-Feb-2025,308.8,308.75,308.75,301.7,306.0,305.35,304.49,"16,67,706","50,77,96,266.50","34,495","9,36,089",56.13
PETRONET,EQ,04-Feb-2025,305.35,307.4,309.9,305.05,308.7,307.95,307.99,"17,88,079","55,07,18,827.00","44,241","9,18,913",51.39
PETRONET,EQ,05-Feb-2025,307.95,309.5,319.15,309.0,317.15,317.5,315.26,"24,33,562","76,72,05,300.50","35,433","13,28,975",54.61
PETRONET,EQ,06-Feb-2025,317.5,319.0,319.4,309.05,311.3,310.5,312.76,"15,54,673","48,62,43,473.40","29,768","8,69,433",55.92
PETRONET,EQ,07-Feb-2025,310.5,310.1,317.95,309.55,315.8,315.45,314.06,"21,57,166","67,74,79,995.55","43,637","9,65,510",44.76
PETRONET,EQ,10-Feb-2025,315.45,315.45,318.9,312.1,313.2,313.3,313.84,"17,08,591","53,62,30,272.75","50,326","10,03,361",58.72
PETRONET,EQ,11-Feb-2025,313.3,313.3,314.65,297.6,303.9,302.1,302.6,"16,11,543","48,76,58,778.60","33,670","8,40,053",52.13
PETRONET,EQ,12-Feb-2025,302.1,302.0,303.85,289.45,302.5,301.4,296.66,"18,98,823","56,33,02,874.50","41,752","6,89,967",36.34
PETRONET,EQ,13-Feb-2025,301.4,301.45,304.5,295.5,296.85,297.05,300.66,"12,86,715","38,68,65,693.60","30,714","5,19,138",40.35
PETRONET,EQ,14-Feb-2025,297.05,297.85,298.3,282.55,285.2,286.65,288.5,"23,58,850","68,05,16,546.15","39,019","10,50,100",44.52
PETRONET,EQ,17-Feb-2025,286.65,286.65,290.5,280.25,284.75,284.9,286.26,"22,44,944","64,26,43,246.45","54,472","11,46,271",51.06
PETRONET,EQ,18-Feb-2025,284.9,284.9,288.9,278.05,288.05,288.2,283.06,"13,44,949","38,06,97,362.95","47,294","5,15,952",38.36
PETRONET,EQ,19-Feb-2025,288.2,288.2,299.4,286.0,298.65,298.35,295.15,"14,56,608","42,99,19,444.70","36,120","6,22,188",42.71
PETRONET,EQ,20-Feb-2025,298.35,299.6,308.5,297.05,306.7,306.85,304.47,"22,79,699","69,40,91,563.85","36,081","12,96,034",56.85
PETRONET,EQ,21-Feb-2025,306.85,306.7,306.7,298.1,301.35,301.55,301.98,"17,09,366","51,61,91,328.20","39,405","7,54,197",44.12
PETRONET,EQ,24-Feb-2025,301.55,300.0,306.0,297.0,303.8,304.65,302.8,"21,26,423","64,38,75,726.70","43,073","11,55,282",54.33
PETRONET,EQ,25-Feb-2025,304.65,301.5,302.45,291.0,291.9,291.5,294.9,"34,38,786","1,01,40,97,689.00","61,222","15,11,728",43.96
PETRONET,EQ,27-Feb-2025,291.5,291.0,299.85,285.9,299.3,298.3,291.56,"49,11,550","1,43,19,97,868.20","1,17,610","22,66,329",46.14
PETRONET,EQ,28-Feb-2025,298.3,297.65,299.25,280.1,283.2,283.3,285.54,"49,69,675","1,41,90,51,625.50","61,077","20,48,631",41.22
PETRONET,EQ,03-Mar-2025,283.3,281.2,284.7,273.55,280.4,280.25,278.71,"21,36,966","59,55,89,637.80","65,808","8,34,871",39.07
PETRONET,EQ,04-Mar-2025,280.25,275.0,281.2,269.8,281.05,280.15,276.67,"30,32,021","83,88,59,282.85","41,901","13,51,515",44.57
PETRONET,EQ,05-Mar-2025,280.15,280.15,287.8,280.15,287.25,286.7,285.0,"16,48,691","46,98,81,676.80","28,669","9,70,726",58.88
PETRONET,EQ,06-Mar-2025,286.7,288.1,292.35,282.4,287.3,288.65,285.42,"23,54,640","67,20,64,061.15","26,004","11,85,986",50.37
PETRONET,EQ,07-Mar-2025,288.65,289.7,290.55,284.55,285.0,285.9,287.05,"14,92,128","42,83,22,700.10","25,940","7,50,037",50.27
PETRONET,EQ,10-Mar-2025,285.9,284.0,287.25,275.35,276.25,278.2,282.06,"19,76,385","55,74,58,812.90","32,851","9,96,504",50.42
PETRONET,EQ,11-Mar-2025,278.2,275.05,286.25,274.05,285.6,285.35,281.46,"17,68,976","49,79,00,283.70","29,020","9,08,366",51.35
PETRONET,EQ,12-Mar-2025,285.35,287.9,289.9,282.05,284.05,285.25,285.82,"15,11,594","43,20,43,311.50","31,850","7,85,056",51.94
PETRONET,EQ,13-Mar-2025,285.25,286.45,286.5,279.3,281.0,281.0,281.55,"22,98,329","64,70,84,696.95","55,910","15,28,526",66.51
PETRONET,EQ,17-Mar-2025,281.0,281.0,289.7,279.4,283.25,284.1,285.84,"21,23,826","60,70,75,974.95","31,603","10,24,711",48.25
PETRONET,EQ,18-Mar-2025,284.1,285.25,288.9,284.35,287.3,286.5,286.71,"17,28,224","49,55,00,291.15","24,543","11,23,717",65.02
PETRONET,EQ,19-Mar-2025,286.5,287.3,298.15,287.15,296.25,297.5,294.62,"21,75,854","64,10,47,148.70","26,153","13,51,928",62.13
PETRONET,EQ,20-Mar-2025,297.5,297.5,299.2,295.15,297.6,297.55,297.54,"13,86,779","41,26,15,293.90","33,739","8,17,899",58.98
PETRONET,EQ,21-Mar-2025,297.55,295.1,305.45,294.6,301.6,301.25,300.54,"52,12,804","1,56,66,77,961.30","49,860","37,41,414",71.77
PETRONET,EQ,24-Mar-2025,301.25,302.0,308.35,302.0,303.25,304.2,304.91,"14,32,270","43,67,10,475.05","35,451","8,04,733",56.19
PETRONET,EQ,25-Mar-2025,304.2,304.45,306.75,295.4,297.85,297.5,299.27,"18,29,244","54,74,45,835.30","33,958","10,87,769",59.47
PETRONET,EQ,26-Mar-2025,297.5,298.0,303.3,295.05,295.05,296.05,298.93,"33,74,909","1,00,88,52,113.10","46,434","19,63,515",58.18
PETRONET,EQ,27-Mar-2025,296.05,294.95,296.2,288.5,291.3,294.15,293.1,"21,78,140","63,84,08,200.65","39,992","11,02,841",50.63
PETRONET,EQ,28-Mar-2025,294.15,294.8,297.4,290.7,292.8,293.6,294.0,"19,58,190","57,57,06,870.00","31,397","11,88,859",60.71
PETRONET,EQ,01-Apr-2025,293.6,292.0,299.85,290.75,297.1,297.3,295.74,"17,56,044","51,93,34,003.00","24,576","9,71,383",55.32
PETRONET,EQ,02-Apr-2025,297.3,297.8,299.95,293.85,298.35,298.95,297.9,"18,25,852","54,39,22,430.90","32,354","10,33,548",56.61
PETRONET,EQ,03-Apr-2025,298.95,297.1,299.35,291.45,298.55,298.85,296.6,"13,57,391","40,26,08,708.80","21,457","7,48,534",55.15
PETRONET,EQ,04-Apr-2025,298.85,298.95,300.0,281.1,284.85,283.9,286.51,"9,62,220","27,56,88,834.40","13,629","4,17,292",43.37
PETRONET,EQ,07-Apr-2025,283.9,273.35,278.1,269.6,278.1,275.85,274.77,"11,94,184","32,81,31,005.75","20,903","4,94,242",41.39
PETRONET,EQ,08-Apr-2025,275.85,279.2,286.3,270.6,284.4,285.3,279.02,"17,57,623","49,04,18,829.45","24,366","5,45,259",31.02
PETRONET,EQ,09-Apr-2025,285.3,284.0,289.2,281.05,285.0,286.6,286.18,"20,61,881","59,00,73,235.00","23,665","11,24,523",54.54
PETRONET,EQ,11-Apr-2025,286.6,288.95,288.95,283.05,285.0,284.9,285.41,"14,59,977","41,66,90,188.55","23,801","7,78,237",53.30
PETRONET,EQ,15-Apr-2025,284.9,288.25,296.8,287.55,295.85,295.85,294.17,"23,90,253","70,31,30,074.55","23,962","16,19,708",67.76
PETRONET,EQ,16-Apr-2025,295.85,295.75,301.9,293.15,301.5,300.45,298.91,"24,02,938","71,82,62,850.55","22,463","16,24,934",67.62
PETRONET,EQ,17-Apr-2025,300.45,300.4,305.45,299.25,303.75,303.95,303.33,"23,78,063","72,13,37,594.50","21,982","16,77,101",70.52
PETRONET,EQ,21-Apr-2025,303.95,304.25,315.0,302.25,312.8,313.6,311.74,"15,85,082","49,41,29,867.90","18,967","8,56,687",54.05
PETRONET,EQ,22-Apr-2025,313.6,314.95,319.0,312.5,314.0,313.55,315.93,"17,97,996","56,80,42,421.10","19,303","11,48,714",63.89
PETRONET,EQ,23-Apr-2025,313.55,314.6,316.7,308.7,314.75,315.45,313.56,"15,27,853","47,90,76,011.90","25,296","9,01,855",59.03
PETRONET,EQ,24-Apr-2025,315.45,315.45,317.5,306.55,312.35,312.65,310.44,"24,63,854","76,48,72,336.85","42,106","10,54,213",42.79
PETRONET,EQ,25-Apr-2025,312.65,313.65,315.35,305.1,309.0,309.4,309.57,"32,82,909","1,01,62,93,134.00","37,117","17,49,902",53.30
PETRONET,EQ,28-Apr-2025,309.4,309.0,314.05,306.5,310.45,310.3,311.31,"21,07,113","65,59,56,677.60","42,259","11,89,110",56.43
PETRONET,EQ,29-Apr-2025,310.3,311.35,314.95,308.8,310.5,309.8,310.38,"22,88,029","71,01,50,077.80","28,860","16,73,839",73.16
PETRONET,EQ,30-Apr-2025,309.8,311.0,317.5,308.7,313.3,313.75,314.87,"39,73,583","1,25,11,71,677.00","36,630","24,00,697",60.42
PETRONET,EQ,02-May-2025,313.75,313.75,320.25,310.15,312.0,312.4,314.54,"22,58,450","71,03,81,603.50","35,918","12,46,912",55.21
PETRONET,EQ,05-May-2025,312.4,315.0,318.9,312.2,315.0,314.9,314.98,"44,91,214","1,41,46,59,538.40","31,443","35,42,979",78.89
PETRONET,EQ,06-May-2025,314.9,314.85,315.0,305.7,306.85,307.05,308.79,"21,11,676","65,20,63,545.25","27,044","9,89,473",46.86
PETRONET,EQ,07-May-2025,307.05,305.0,309.8,302.6,306.4,306.55,306.84,"22,92,359","70,33,90,368.80","30,718","14,91,523",65.06
PETRONET,EQ,08-May-2025,306.55,306.55,312.0,301.95,304.75,305.35,306.94,"19,77,445","60,69,48,077.50","44,071","10,86,356",54.94
PETRONET,EQ,09-May-2025,305.35,299.05,311.0,298.05,307.6,307.95,306.69,"17,20,424","52,76,32,544.05","25,920","8,76,554",50.95
PETRONET,EQ,12-May-2025,307.95,312.0,316.5,310.35,315.4,314.3,313.09,"14,15,361","44,31,41,384.85","30,237","8,19,434",57.90
PETRONET,EQ,13-May-2025,314.3,316.35,316.85,311.0,312.0,312.55,313.77,"10,91,324","34,24,25,930.05","22,808","5,39,719",49.46
PETRONET,EQ,14-May-2025,312.55,314.15,318.9,308.85,316.05,316.1,313.54,"20,55,025","64,43,40,985.60","34,016","10,34,191",50.32
PETRONET,EQ,15-May-2025,316.1,316.0,326.5,313.6,318.35,319.8,322.08,"48,45,560","1,56,06,66,393.90","51,209","19,94,898",41.17
PETRONET,EQ,16-May-2025,319.8,321.0,323.25,316.7,320.25,320.6,320.61,"12,94,271","41,49,54,774.70","16,568","5,92,524",45.78
PETRONET,EQ,19-May-2025,320.6,321.1,324.1,319.0,319.8,320.8,321.67,"15,00,550","48,26,75,871.05","22,237","7,70,812",51.37
PETRONET,EQ,20-May-2025,320.8,317.95,321.0,310.55,314.25,316.8,316.15,"41,63,973","1,31,64,27,756.95","52,325","14,64,228",35.16
PETRONET,EQ,21-May-2025,316.8,316.7,323.35,310.7,321.85,321.75,318.21,"34,15,750","1,08,69,10,241.95","36,359","16,29,571",47.71
PETRONET,EQ,22-May-2025,321.75,321.75,322.0,316.7,320.4,320.25,319.66,"12,23,138","39,09,88,538.35","25,736","6,90,967",56.49
PETRONET,EQ,23-May-2025,320.25,319.2,323.3,318.25,319.5,319.9,320.0,"13,41,522","42,92,85,591.05","46,543","8,96,359",66.82
PETRONET,EQ,26-May-2025,319.9,320.0,325.0,317.8,319.15,318.3,322.22,"22,37,292","72,09,02,066.75","27,709","7,75,675",34.67
PETRONET,EQ,27-May-2025,318.3,312.0,320.5,312.0,316.0,316.85,317.13,"22,16,593","70,29,37,886.75","37,067","12,53,473",56.55
