symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PFC,EQ,25-Mar-2026,398.75,402.15,409.2,400.85,402.8,403.45,405.42,"93,29,612","3,78,24,52,769.05","83,220","49,74,697",53.32
PFC,EQ,24-Mar-2026,398.0,408.45,409.65,395.55,399.0,398.75,400.08,"1,24,03,753","4,96,24,90,349.05","1,12,673","61,21,367",49.35
PFC,EQ,23-Mar-2026,412.85,402.95,402.95,386.4,397.6,398.0,394.37,"1,08,30,695","4,27,12,62,711.45","85,213","44,40,113",41.00
PFC,EQ,20-Mar-2026,411.85,415.0,428.5,411.05,411.75,412.85,416.99,"1,21,99,222","5,08,69,31,002.90","85,962","57,33,948",47.00
PFC,EQ,19-Mar-2026,432.25,423.0,426.65,409.1,413.9,411.85,417.68,"67,30,692","2,81,12,61,675.45","68,696","25,34,013",37.65
PFC,EQ,18-Mar-2026,418.05,420.95,434.95,418.5,432.2,432.25,429.74,"1,50,12,423","6,45,14,94,089.80","1,20,469","58,30,921",38.84
PFC,EQ,17-Mar-2026,406.25,406.9,419.35,404.3,417.3,418.05,412.46,"85,63,553","3,53,21,16,543.90","94,793","40,80,041",47.64
PFC,EQ,16-Mar-2026,405.6,404.2,410.0,396.55,405.0,406.25,403.88,"63,17,752","2,55,16,17,854.70","58,744","23,17,761",36.69
PFC,EQ,13-Mar-2026,415.9,414.3,418.25,402.05,404.6,405.6,407.7,"1,12,02,358","4,56,72,43,001.95","73,916","60,80,952",54.28
PFC,EQ,12-Mar-2026,406.9,403.9,421.35,398.0,415.7,415.9,411.39,"86,40,995","3,55,48,06,269.75","73,415","36,66,370",42.43
PFC,EQ,11-Mar-2026,412.15,410.1,416.95,405.45,407.2,406.9,410.86,"56,29,884","2,31,30,71,839.05","50,031","24,61,120",43.72
PFC,EQ,10-Mar-2026,392.8,398.0,414.9,396.45,413.5,412.15,407.35,"1,02,44,278","4,17,29,71,217.30","1,02,244","37,02,808",36.15
PFC,EQ,09-Mar-2026,407.85,395.0,399.6,384.25,394.0,392.8,389.39,"92,26,515","3,59,27,04,995.00","89,420","38,36,249",41.58
PFC,EQ,06-Mar-2026,413.65,414.0,425.15,405.75,407.35,407.85,416.35,"82,36,742","3,42,93,42,921.95","83,771","30,79,513",37.39
PFC,EQ,05-Mar-2026,396.55,398.0,415.85,397.1,415.4,413.65,408.74,"99,73,521","4,07,65,89,853.45","81,478","44,14,232",44.26
PFC,EQ,04-Mar-2026,406.2,400.0,404.0,391.0,391.35,396.55,396.21,"1,06,51,800","4,22,03,01,283.35","1,15,610","65,36,419",61.36
PFC,EQ,02-Mar-2026,413.8,400.0,409.9,398.7,405.6,406.2,404.6,"63,88,337","2,58,47,08,750.80","93,350","27,41,813",42.92
PFC,EQ,27-Feb-2026,420.6,420.0,422.05,410.6,412.2,413.8,415.67,"69,22,370","2,87,74,39,981.65","55,798","38,18,191",55.16
PFC,EQ,26-Feb-2026,423.6,423.9,426.9,416.85,421.2,420.6,420.62,"52,28,533","2,19,92,05,859.20","49,781","28,16,477",53.87
PFC,EQ,25-Feb-2026,419.4,421.0,425.25,417.0,423.05,423.6,421.8,"72,32,299","3,05,05,70,683.60","59,283","31,43,968",43.47
PFC,EQ,24-Feb-2026,411.8,410.95,420.25,407.25,419.6,419.4,415.27,"87,23,019","3,62,24,27,147.35","65,714","44,66,451",51.20
PFC,EQ,23-Feb-2026,410.1,412.5,417.5,407.6,412.25,411.8,412.22,"90,08,749","3,71,36,16,210.35","65,086","50,10,545",55.62
PFC,EQ,20-Feb-2026,409.55,405.0,411.0,404.75,410.85,410.1,408.83,"73,21,729","2,99,33,45,639.25","46,865","47,89,589",65.42
PFC,EQ,19-Feb-2026,420.45,420.75,421.25,407.0,408.3,409.55,413.89,"44,78,620","1,85,36,49,353.70","39,470","24,09,799",53.81
PFC,EQ,18-Feb-2026,416.95,419.0,424.0,417.65,420.45,420.45,420.37,"54,55,712","2,29,34,16,651.40","58,439","29,94,836",54.89
PFC,EQ,17-Feb-2026,411.8,411.0,418.0,409.3,417.3,416.95,414.41,"55,84,350","2,31,42,35,737.20","44,035","27,92,840",50.01
PFC,EQ,16-Feb-2026,400.55,400.1,413.25,397.25,411.95,411.8,408.17,"47,25,398","1,92,87,58,618.80","55,293","19,45,083",41.16
PFC,EQ,13-Feb-2026,410.55,407.45,408.0,399.4,400.0,400.55,401.94,"70,60,981","2,83,80,64,120.85","64,961","36,06,605",51.08
PFC,EQ,12-Feb-2026,415.85,418.0,421.0,408.1,410.3,410.55,413.34,"69,77,349","2,88,40,29,343.35","86,889","33,00,505",47.30
PFC,EQ,11-Feb-2026,413.25,413.25,417.0,412.3,415.85,415.85,414.4,"33,87,714","1,40,38,64,743.60","33,658","14,19,622",41.91
PFC,EQ,10-Feb-2026,415.2,416.0,418.55,408.1,413.5,413.25,413.52,"86,75,871","3,58,76,62,436.70","67,358","42,20,488",48.65
PFC,EQ,09-Feb-2026,419.2,425.0,430.4,405.5,414.55,415.2,416.23,"1,95,37,837","8,13,21,50,754.20","1,70,299","85,46,497",43.74
PFC,EQ,06-Feb-2026,415.0,412.9,420.4,405.9,417.6,419.2,414.52,"1,01,29,279","4,19,87,59,311.55","79,692","50,25,992",49.62
PFC,EQ,05-Feb-2026,414.6,415.7,420.4,405.6,414.75,415.0,414.74,"2,15,60,718","8,94,21,16,169.65","1,65,641","98,18,276",45.54
PFC,EQ,04-Feb-2026,392.6,392.7,415.9,390.0,413.8,414.6,407.83,"2,25,38,378","9,19,17,33,503.45","1,87,272","1,10,93,156",49.22
PFC,EQ,03-Feb-2026,385.65,404.0,404.0,386.85,392.5,392.6,391.51,"1,01,72,106","3,98,24,32,058.55","99,479","55,66,423",54.72
PFC,EQ,02-Feb-2026,381.5,383.0,391.0,373.4,386.3,385.65,381.89,"1,47,31,376","5,62,57,74,697.30","1,42,400","68,43,874",46.46
PFC,EQ,01-Feb-2026,379.35,379.35,401.45,370.0,380.6,381.5,387.49,"2,29,94,742","8,91,02,25,684.15","2,22,535","58,89,712",25.61
PFC,EQ,30-Jan-2026,386.8,384.0,384.45,376.0,378.5,379.35,378.96,"1,75,79,735","6,66,20,27,305.00","1,14,740","1,23,87,002",70.46
PFC,EQ,29-Jan-2026,383.05,385.0,390.75,383.0,386.8,386.8,386.54,"1,15,35,966","4,45,90,91,164.30","99,757","69,88,308",60.58
PFC,EQ,28-Jan-2026,361.65,362.45,384.15,362.15,383.95,383.05,376.1,"1,29,05,737","4,85,38,21,899.45","92,712","79,22,175",61.38
PFC,EQ,27-Jan-2026,358.65,358.2,364.2,356.55,363.0,361.65,360.63,"57,50,519","2,07,38,33,036.00","63,464","31,26,326",54.37
PFC,EQ,23-Jan-2026,364.7,365.0,371.1,357.65,358.0,358.65,364.9,"67,28,741","2,45,53,44,699.25","52,767","34,64,244",51.48
