symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PGEL,EQ,25-Mar-2026,501.7,515.0,546.90,513.65,516.1,517.2,526.98,"80,24,061","4,22,85,27,040.80","95,561","13,67,672",17.04
PGEL,EQ,24-Mar-2026,494.7,506.0,506.00,485.65,502.3,501.7,496.2,"39,15,828","1,94,30,50,052.10","50,868","8,68,850",22.19
PGEL,EQ,23-Mar-2026,512.75,500.0,500.00,481.2,495.4,494.7,490.56,"41,64,822","2,04,30,99,173.85","64,021","12,43,454",29.86
PGEL,EQ,20-Mar-2026,504.6,511.95,520.95,507.4,516.0,512.75,514.63,"32,62,832","1,67,91,52,765.90","35,849","10,26,207",31.45
PGEL,EQ,19-Mar-2026,536.85,519.85,526.45,502.2,509.0,504.6,513.15,"36,58,602","1,87,74,21,421.60","51,512","10,33,872",28.26
PGEL,EQ,18-Mar-2026,523.85,529.75,542.55,525.4,535.85,536.85,537.09,"29,50,926","1,58,49,11,112.45","37,072","6,04,958",20.5
PGEL,EQ,17-Mar-2026,507.35,513.3,529.00,511.6,523.6,523.85,520.57,"53,05,764","2,76,19,97,868.90","71,053","10,03,128",18.91
PGEL,EQ,16-Mar-2026,502.2,504.15,510.95,486.0,508.0,507.35,498.43,"47,84,689","2,38,48,22,745.65","63,370","8,54,602",17.86
PGEL,EQ,13-Mar-2026,532.2,530.0,534.40,490.65,502.8,502.2,504.94,"1,09,33,102","5,52,06,01,463.80","1,54,235","18,00,304",16.47
PGEL,EQ,12-Mar-2026,550.1,544.95,546.80,527.0,532.25,532.2,536.25,"33,60,029","1,80,18,07,186.00","43,485","6,44,984",19.2
PGEL,EQ,11-Mar-2026,544.1,553.0,564.40,544.75,549.2,550.1,554.58,"46,09,367","2,55,62,77,059.95","81,140","7,96,561",17.28
PGEL,EQ,10-Mar-2026,522.35,532.0,552.00,517.0,552.0,544.1,533.96,"1,08,24,110","5,77,96,49,035.25","1,56,815","21,82,496",20.16
PGEL,EQ,09-Mar-2026,609.25,599.0,599.00,517.5,519.6,522.35,540.53,"1,13,04,952","6,11,06,60,386.55","1,46,651","21,89,552",19.37
PGEL,EQ,06-Mar-2026,614.45,610.0,620.75,606.05,609.9,609.25,613.01,"13,29,197","81,48,15,666.90","21,882","3,03,868",22.86
PGEL,EQ,05-Mar-2026,592.95,597.0,617.80,583.1,615.0,614.45,601.9,"20,91,798","1,25,90,61,746.70","30,374","5,57,785",26.67
PGEL,EQ,04-Mar-2026,617.3,600.0,606.95,576.3,592.65,592.95,588.7,"27,30,154","1,60,72,40,243.60","45,174","8,20,198",30.04
PGEL,EQ,02-Mar-2026,627.9,595.05,620.35,595.05,618.0,617.3,612.33,"18,93,193","1,15,92,50,763.55","28,196","6,38,207",33.71
PGEL,EQ,27-Feb-2026,624.65,621.0,634.65,616.55,627.5,627.9,627.79,"16,12,812","1,01,25,11,294.25","26,169","4,73,175",29.34
PGEL,EQ,26-Feb-2026,621.7,621.7,631.70,619.0,623.0,624.65,625.27,"10,39,233","64,98,01,853.00","15,511","3,27,939",31.56
PGEL,EQ,25-Feb-2026,613.35,614.95,626.30,609.5,620.0,621.7,619.79,"15,78,456","97,83,11,996.60","25,575","4,90,775",31.09
PGEL,EQ,24-Feb-2026,607.15,602.1,619.90,602.1,615.0,613.35,611.89,"13,69,357","83,78,90,067.40","22,713","2,62,831",19.19
PGEL,EQ,23-Feb-2026,614.2,614.2,622.95,600.6,609.3,607.15,609.98,"13,54,151","82,60,03,982.25","20,401","4,34,845",32.11
PGEL,EQ,20-Feb-2026,606.8,603.0,620.00,603.0,614.0,614.2,612.87,"10,26,314","62,90,01,143.35","15,907","3,65,935",35.66
PGEL,EQ,19-Feb-2026,627.3,625.8,630.60,604.2,607.5,606.8,616.26,"8,50,389","52,40,61,287.10","17,751","2,39,762",28.19
PGEL,EQ,18-Feb-2026,626.55,630.95,632.00,618.3,625.0,627.3,624.86,"10,59,584","66,20,93,714.05","17,431","2,91,228",27.49
PGEL,EQ,17-Feb-2026,619.6,615.2,628.90,612.05,628.65,626.55,622.7,"11,11,161","69,19,18,549.70","18,928","3,45,412",31.09
PGEL,EQ,16-Feb-2026,615.45,613.3,626.25,608.5,617.9,619.6,620.06,"15,95,054","98,90,24,731.45","26,227","4,64,426",29.12
PGEL,EQ,13-Feb-2026,623.65,615.0,622.45,601.9,614.0,615.45,612.37,"14,19,692","86,93,81,829.60","23,873","2,82,945",19.93
PGEL,EQ,12-Feb-2026,617.75,616.95,628.40,608.8,623.0,623.65,619.15,"16,71,768","1,03,50,79,661.40","25,120","3,72,724",22.3
PGEL,EQ,11-Feb-2026,601.8,604.0,624.95,597.0,617.75,617.75,615.75,"26,72,676","1,64,56,98,609.35","39,509","7,03,255",26.31
PGEL,EQ,10-Feb-2026,593.15,599.0,615.60,595.5,602.0,601.8,605.15,"33,60,946","2,03,38,62,940.25","48,149","9,22,437",27.45
PGEL,EQ,09-Feb-2026,584.9,590.0,604.65,585.95,592.5,593.15,593.48,"29,74,053","1,76,50,49,283.35","46,796","14,40,034",48.42
PGEL,EQ,06-Feb-2026,584.95,579.7,588.00,562.35,584.95,584.9,574.19,"21,96,786","1,26,13,80,336.50","32,317","6,00,309",27.33
