symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PIIND,EQ,25-Mar-2026,"2,759.00","2,769.50","2,943.00","2,769.50","2,904.00","2,905.40","2,904.49","2,24,146","65,10,30,892.40","24,166","56,604",25.25
PIIND,EQ,24-Mar-2026,"2,762.60","2,800.00","2,810.00","2,751.00","2,776.90","2,759.00","2,779.75","3,49,594","97,17,84,172.20","35,227","1,99,645",57.11
PIIND,EQ,23-Mar-2026,"2,909.50","2,866.00","2,890.00","2,750.10","2,755.70","2,762.60","2,810.49","1,63,588","45,97,63,093.20","19,388","77,009",47.07
PIIND,EQ,20-Mar-2026,"2,890.90","2,907.90","2,947.40","2,884.00","2,921.00","2,909.50","2,914.37","5,19,308","1,51,34,58,189.00","34,514","2,83,397",54.57
PIIND,EQ,19-Mar-2026,"2,927.60","2,893.60","2,913.50","2,865.30","2,899.00","2,890.90","2,891.19","95,404","27,58,30,662.70","12,326","38,606",40.47
PIIND,EQ,18-Mar-2026,"2,893.00","2,895.10","2,958.20","2,866.30","2,928.70","2,927.60","2,921.94","2,00,637","58,62,50,016.40","27,180","94,634",47.17
PIIND,EQ,17-Mar-2026,"2,890.10","2,901.00","2,939.10","2,882.00","2,900.00","2,893.00","2,902.46","1,86,935","54,25,71,775.30","17,206","1,07,130",57.31
PIIND,EQ,16-Mar-2026,"2,896.30","2,900.00","2,902.80","2,844.00","2,881.90","2,890.10","2,875.52","1,35,128","38,85,63,897.10","20,013","55,536",41.10
PIIND,EQ,13-Mar-2026,"2,952.40","2,940.10","2,958.00","2,840.10","2,900.00","2,896.30","2,886.94","3,39,128","97,90,42,089.10","31,702","1,00,681",29.69
PIIND,EQ,12-Mar-2026,"3,012.30","2,981.10","2,997.20","2,940.10","2,940.10","2,952.40","2,966.79","1,96,476","58,29,02,164.90","17,803","1,11,244",56.62
PIIND,EQ,11-Mar-2026,"3,083.60","3,077.00","3,113.60","3,003.00","3,020.00","3,012.30","3,040.80","1,45,806","44,33,67,537.30","13,959","53,643",36.79
PIIND,EQ,10-Mar-2026,"3,033.20","3,048.20","3,099.60","3,046.20","3,066.00","3,083.60","3,082.47","1,40,106","43,18,72,356.10","16,668","83,135",59.34
PIIND,EQ,09-Mar-2026,"3,079.60","3,010.20","3,070.00","3,001.00","3,032.00","3,033.20","3,028.26","3,99,673","1,21,03,14,742.90","21,484","2,27,043",56.81
PIIND,EQ,06-Mar-2026,"3,089.00","3,055.00","3,127.00","3,055.00","3,085.90","3,079.60","3,089.36","1,11,123","34,32,98,791.00","14,427","58,772",52.89
PIIND,EQ,05-Mar-2026,"3,063.50","3,058.70","3,102.40","3,042.00","3,070.00","3,089.00","3,075.10","1,37,124","42,16,69,343.00","17,075","60,292",43.97
PIIND,EQ,04-Mar-2026,"3,099.40","3,050.00","3,088.20","3,033.40","3,052.50","3,063.50","3,061.85","2,21,228","67,73,67,241.30","24,904","1,21,603",54.97
PIIND,EQ,02-Mar-2026,"3,117.30","2,982.30","3,106.50","2,982.10","3,105.00","3,099.40","3,074.42","3,14,065","96,55,67,040.80","26,283","1,93,751",61.69
PIIND,EQ,27-Feb-2026,"3,134.20","3,139.90","3,159.30","3,090.00","3,100.00","3,117.30","3,118.49","3,84,811","1,20,00,28,049.90","25,979","2,33,785",60.75
PIIND,EQ,26-Feb-2026,"3,093.50","3,099.90","3,148.00","3,094.10","3,140.00","3,134.20","3,123.76","94,505","29,52,11,123.40","10,624","38,723",40.97
PIIND,EQ,25-Feb-2026,"3,107.20","3,107.20","3,113.80","3,069.00","3,100.00","3,093.50","3,092.12","1,23,132","38,07,38,957.60","13,799","78,627",63.86
PIIND,EQ,24-Feb-2026,"3,119.50","3,109.90","3,120.90","3,085.10","3,107.50","3,107.20","3,102.64","1,61,311","50,04,90,683.40","14,098","77,637",48.13
