symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PNBHOUSING,EQ,22-Jan-2025,898.50,935.00,935.00,846.90,902.60,911.45,889.66,"57,78,917","5,14,12,92,508.20","2,59,861","13,26,376",22.95
PNBHOUSING,EQ,23-Jan-2025,911.45,906.70,907.20,875.60,877.00,883.75,892.50,"12,48,016","1,11,38,49,623.10","98,719","5,28,373",42.34
PNBHOUSING,EQ,24-Jan-2025,883.75,880.95,884.65,851.10,864.00,863.40,863.30,"12,16,979","1,05,06,21,627.55","70,362","5,77,066",47.42
PNBHOUSING,EQ,27-Jan-2025,863.40,860.00,860.00,776.20,812.10,813.30,810.57,"24,77,977","2,00,85,62,650.45","1,57,940","11,62,946",46.93
PNBHOUSING,EQ,28-Jan-2025,813.30,816.95,862.00,791.15,842.00,843.05,825.95,"20,26,691","1,67,39,39,759.00","1,36,063","7,91,122",39.04
PNBHOUSING,EQ,29-Jan-2025,843.05,833.25,876.30,827.45,875.00,871.15,858.16,"5,36,749","46,06,14,726.30","47,753","2,26,209",42.14
PNBHOUSING,EQ,30-Jan-2025,871.15,875.00,882.55,851.00,865.00,861.70,863.43,"8,04,099","69,42,84,605.85","55,844","4,52,446",56.27
PNBHOUSING,EQ,31-Jan-2025,861.70,866.20,887.00,854.00,885.10,878.20,875.40,"5,81,299","50,88,71,864.45","63,965","3,30,120",56.79
PNBHOUSING,EQ,01-Feb-2025,878.20,890.00,921.75,873.60,888.00,893.95,898.90,"8,64,269","77,68,94,797.55","56,136","2,57,299",29.77
PNBHOUSING,EQ,03-Feb-2025,893.95,887.80,896.00,871.75,880.00,879.90,878.61,"5,68,504","49,94,94,448.80","39,247","3,20,662",56.40
PNBHOUSING,EQ,04-Feb-2025,879.90,885.15,887.50,858.00,871.00,868.85,871.46,"7,81,683","68,12,07,514.65","63,387","4,47,789",57.29
PNBHOUSING,EQ,05-Feb-2025,868.85,872.15,908.85,870.40,899.00,900.85,895.83,"6,57,460","58,89,73,972.75","63,483","2,94,471",44.79
PNBHOUSING,EQ,06-Feb-2025,900.85,906.00,916.15,895.85,905.45,907.00,906.34,"6,14,108","55,65,92,285.20","73,166","3,01,062",49.02
PNBHOUSING,EQ,07-Feb-2025,907.00,916.00,929.00,881.00,888.90,888.85,905.17,"9,57,992","86,71,47,910.70","70,994","2,41,110",25.17
PNBHOUSING,EQ,10-Feb-2025,888.85,888.85,892.50,858.05,863.00,866.50,868.77,"5,19,165","45,10,36,691.20","41,081","2,00,503",38.62
PNBHOUSING,EQ,11-Feb-2025,866.50,853.50,863.95,825.50,830.50,830.55,837.64,"6,18,035","51,76,89,103.35","47,053","3,00,067",48.55
PNBHOUSING,EQ,12-Feb-2025,830.55,825.00,830.45,787.00,820.00,818.70,809.21,"12,14,221","98,25,58,417.80","90,226","5,48,738",45.19
PNBHOUSING,EQ,13-Feb-2025,818.70,820.75,843.30,802.65,806.60,806.15,823.19,"7,17,399","59,05,54,413.85","60,031","2,93,374",40.89
PNBHOUSING,EQ,14-Feb-2025,806.15,812.00,816.95,777.70,789.70,792.70,792.56,"8,30,097","65,79,02,607.20","72,047","3,55,245",42.80
PNBHOUSING,EQ,17-Feb-2025,792.70,792.60,806.90,768.05,780.00,781.25,783.31,"10,15,154","79,51,84,682.65","1,21,024","5,29,283",52.14
PNBHOUSING,EQ,18-Feb-2025,781.25,787.50,803.00,770.10,803.00,800.30,790.10,"6,12,166","48,36,73,281.20","64,933","2,20,161",35.96
PNBHOUSING,EQ,19-Feb-2025,800.30,796.35,824.75,791.00,810.00,810.90,813.22,"4,09,760","33,32,26,378.20","42,321","1,42,878",34.87
PNBHOUSING,EQ,20-Feb-2025,810.90,810.90,829.95,805.05,828.95,826.65,819.61,"3,20,074","26,23,35,611.15","33,814","1,07,774",33.67
PNBHOUSING,EQ,21-Feb-2025,826.65,829.80,845.00,800.60,806.00,804.70,816.26,"5,88,597","48,04,50,582.00","43,063","1,94,157",32.99
PNBHOUSING,EQ,24-Feb-2025,804.70,797.75,799.00,780.70,791.00,789.00,788.14,"6,65,712","52,46,76,203.25","42,275","4,40,189",66.12
PNBHOUSING,EQ,25-Feb-2025,789.00,790.90,801.65,784.05,788.85,792.20,794.05,"4,44,917","35,32,84,162.90","33,627","1,64,421",36.96
PNBHOUSING,EQ,27-Feb-2025,792.20,798.00,799.40,772.00,778.20,784.70,780.74,"5,42,940","42,38,95,124.45","52,278","2,83,905",52.29
PNBHOUSING,EQ,28-Feb-2025,784.70,779.00,781.15,746.70,769.00,763.35,760.26,"10,32,385","78,48,80,292.65","64,104","5,58,614",54.11
PNBHOUSING,EQ,03-Mar-2025,763.35,768.00,775.65,754.20,763.00,766.05,762.48,"9,12,198","69,55,36,093.45","68,603","4,94,192",54.18
PNBHOUSING,EQ,04-Mar-2025,766.05,755.05,794.40,751.20,788.70,785.50,778.75,"10,76,681","83,84,66,766.15","81,751","5,39,870",50.14
PNBHOUSING,EQ,05-Mar-2025,785.50,786.00,807.00,778.10,802.00,805.00,796.39,"5,93,805","47,29,01,556.55","44,577","2,72,773",45.94
PNBHOUSING,EQ,06-Mar-2025,805.00,815.00,829.55,796.85,809.00,818.15,814.17,"8,85,709","72,11,19,829.05","65,184","4,03,244",45.53
PNBHOUSING,EQ,07-Mar-2025,818.15,816.30,827.85,805.10,816.90,818.20,817.03,"4,53,549","37,05,65,091.30","44,030","1,79,366",39.55
PNBHOUSING,EQ,10-Mar-2025,818.20,818.30,833.50,783.40,789.75,786.80,802.66,"7,18,763","57,69,18,737.50","68,853","2,97,542",41.40
PNBHOUSING,EQ,11-Mar-2025,786.80,786.80,800.05,775.00,793.00,791.70,786.81,"5,32,211","41,87,47,174.50","47,783","2,42,265",45.52
PNBHOUSING,EQ,12-Mar-2025,791.70,797.40,835.50,795.40,804.15,801.00,814.58,"15,68,571","1,27,77,24,607.25","98,047","3,57,281",22.78
PNBHOUSING,EQ,13-Mar-2025,801.00,800.00,822.20,794.80,801.00,803.45,810.73,"5,50,745","44,65,05,407.30","46,271","1,88,734",34.27
PNBHOUSING,EQ,17-Mar-2025,803.45,803.45,823.55,798.00,802.95,801.10,805.44,"3,51,286","28,29,39,809.55","30,744","1,36,994",39.00
PNBHOUSING,EQ,18-Mar-2025,801.10,810.00,826.25,802.00,812.50,817.50,812.24,"5,63,380","45,75,98,586.30","35,762","2,26,854",40.27
PNBHOUSING,EQ,19-Mar-2025,817.50,819.00,840.45,813.50,834.95,833.85,826.69,"7,63,110","63,08,53,599.50","43,804","3,35,028",43.90
PNBHOUSING,EQ,20-Mar-2025,833.85,841.50,847.90,820.50,823.00,826.05,832.24,"7,16,176","59,60,31,308.90","47,955","2,99,795",41.86
PNBHOUSING,EQ,21-Mar-2025,826.05,830.20,867.25,823.45,862.00,860.80,856.25,"11,53,927","98,80,46,397.25","51,568","5,68,381",49.26
PNBHOUSING,EQ,24-Mar-2025,860.80,867.00,879.00,861.00,873.20,872.95,870.61,"7,76,046","67,56,34,496.90","46,285","3,85,350",49.66
PNBHOUSING,EQ,25-Mar-2025,872.95,885.00,890.10,846.00,868.80,870.65,865.93,"11,82,877","1,02,42,93,215.45","67,963","6,52,903",55.20
PNBHOUSING,EQ,26-Mar-2025,870.65,873.50,876.30,850.00,856.00,851.95,859.84,"3,98,535","34,26,75,342.90","34,912","2,00,635",50.34
PNBHOUSING,EQ,27-Mar-2025,851.95,856.10,877.80,850.10,863.00,871.00,863.50,"5,38,892","46,53,31,562.60","52,951","2,78,745",51.73
PNBHOUSING,EQ,28-Mar-2025,871.00,882.00,902.05,870.60,878.00,881.50,886.18,"18,06,791","1,60,11,46,001.40","92,159","8,39,303",46.45
PNBHOUSING,EQ,01-Apr-2025,881.50,880.00,882.75,854.90,877.95,872.85,865.35,"6,48,771","56,14,13,221.75","28,217","3,38,173",52.13
PNBHOUSING,EQ,02-Apr-2025,872.85,872.90,924.45,868.25,920.00,917.05,904.26,"14,85,416","1,34,32,07,024.90","51,036","6,62,711",44.61
PNBHOUSING,EQ,03-Apr-2025,917.05,916.00,955.65,901.55,938.00,937.40,928.74,"19,46,318","1,80,76,19,707.25","82,054","6,61,347",33.98
PNBHOUSING,EQ,04-Apr-2025,937.40,937.40,965.00,929.60,944.95,949.45,947.29,"42,90,106","4,06,39,94,082.15","1,30,262","15,72,548",36.66
PNBHOUSING,EQ,07-Apr-2025,949.45,879.55,926.20,854.50,921.50,923.65,897.47,"25,69,743","2,30,62,67,894.20","1,07,790","11,75,839",45.76
PNBHOUSING,EQ,08-Apr-2025,923.65,957.00,979.00,948.05,967.10,964.10,966.38,"32,80,259","3,16,99,82,636.35","1,07,258","9,34,948",28.50
PNBHOUSING,EQ,09-Apr-2025,964.10,964.10,966.95,919.00,924.65,923.15,938.92,"13,58,950","1,27,59,50,655.15","56,239","6,44,932",47.46
PNBHOUSING,EQ,11-Apr-2025,923.15,947.00,984.00,925.30,978.90,979.40,960.67,"18,82,892","1,80,88,34,950.75","73,222","8,74,058",46.42
PNBHOUSING,EQ,15-Apr-2025,979.40,999.00,999.00,964.75,968.90,970.80,977.55,"11,10,391","1,08,54,67,983.35","40,800","4,86,660",43.83
PNBHOUSING,EQ,16-Apr-2025,970.80,975.00,"1,006.50",972.05,"1,002.00","1,001.70",995.09,"16,22,278","1,61,43,07,161.35","50,594","7,08,751",43.69
PNBHOUSING,EQ,17-Apr-2025,"1,001.70","1,002.00","1,013.40",988.10,990.00,990.65,996.54,"12,17,903","1,21,36,84,478.65","50,841","6,41,448",52.67
PNBHOUSING,EQ,21-Apr-2025,990.65,996.00,"1,010.00",989.85,"1,007.75","1,006.75","1,002.39","11,67,753","1,17,05,45,198.35","59,916","7,00,599",60.00
PNBHOUSING,EQ,22-Apr-2025,"1,006.75","1,015.00","1,015.00",990.00,991.25,994.95,"1,001.75","9,28,624","93,02,47,657.55","42,215","4,81,589",51.86
PNBHOUSING,EQ,23-Apr-2025,994.95,"1,001.90","1,010.95",987.20,"1,000.00",999.75,998.01,"10,42,419","1,04,03,45,595.35","41,158","5,99,337",57.49
PNBHOUSING,EQ,24-Apr-2025,999.75,"1,000.00","1,019.00",998.05,"1,006.25","1,008.85","1,007.20","12,40,211","1,24,91,40,593.25","55,381","7,36,407",59.38
PNBHOUSING,EQ,25-Apr-2025,"1,008.85","1,009.60","1,013.30",960.70,966.80,971.70,978.00,"9,56,423","93,53,80,266.15","46,901","3,89,871",40.76
PNBHOUSING,EQ,28-Apr-2025,971.70,972.60,998.50,972.35,987.90,986.25,988.05,"7,78,025","76,87,28,066.60","52,411","3,55,460",45.69
PNBHOUSING,EQ,29-Apr-2025,986.25,"1,060.00","1,084.85","1,019.95","1,032.60","1,030.40","1,054.66","1,29,46,446","13,65,40,89,085.70","2,43,639","23,24,421",17.95
PNBHOUSING,EQ,30-Apr-2025,"1,030.40","1,031.90","1,033.60","1,002.80","1,010.00","1,010.20","1,016.04","24,82,765","2,52,25,94,438.90","89,349","10,86,194",43.75
PNBHOUSING,BL,02-May-2025,"1,097.30","1,000.20","1,000.20","1,000.20","1,000.20","1,000.20","1,000.20","1,73,16,849","17,32,03,12,369.80",55,-,-
PNBHOUSING,EQ,02-May-2025,"1,010.20","1,071.10","1,088.00","1,048.30","1,053.50","1,052.00","1,063.54","72,07,887","7,66,58,61,416.00","1,93,709","17,26,738",23.96
PNBHOUSING,EQ,05-May-2025,"1,052.00","1,050.00","1,069.40","1,039.10","1,061.00","1,057.40","1,054.83","25,56,075","2,69,62,36,968.10","77,590","15,48,918",60.60
PNBHOUSING,EQ,06-May-2025,"1,057.40","1,056.10","1,070.00","1,033.10","1,038.00","1,038.90","1,051.14","21,16,377","2,22,46,19,052.10","94,310","12,11,225",57.23
PNBHOUSING,EQ,07-May-2025,"1,038.90","1,035.00","1,063.90","1,024.50","1,062.80","1,060.00","1,051.30","31,23,222","3,28,34,45,736.30","63,338","16,98,441",54.38
PNBHOUSING,EQ,08-May-2025,"1,060.00","1,063.00","1,069.00","1,018.10","1,024.00","1,024.40","1,044.11","8,74,788","91,33,78,784.20","39,781","3,75,483",42.92
PNBHOUSING,EQ,09-May-2025,"1,024.40",995.00,"1,037.70",995.00,"1,033.90","1,031.10","1,026.50","10,43,121","1,07,07,64,036.80","51,822","5,40,502",51.82
PNBHOUSING,EQ,12-May-2025,"1,031.10","1,064.90","1,081.50","1,050.00","1,070.10","1,070.80","1,068.84","12,67,561","1,35,48,25,649.60","57,185","5,80,277",45.78
PNBHOUSING,EQ,13-May-2025,"1,070.80","1,070.80","1,098.00","1,059.20","1,087.80","1,092.20","1,088.46","23,35,184","2,54,17,48,782.30","1,09,814","14,51,638",62.16
PNBHOUSING,EQ,14-May-2025,"1,092.20","1,092.50","1,096.60","1,074.00","1,085.00","1,082.20","1,083.30","9,75,342","1,05,65,90,914.70","43,629","5,46,369",56.02
PNBHOUSING,EQ,15-May-2025,"1,082.20","1,082.60","1,089.80","1,066.20","1,072.20","1,074.00","1,074.86","7,86,353","84,52,17,411.00","44,003","5,17,917",65.86
PNBHOUSING,EQ,16-May-2025,"1,074.00","1,074.00","1,089.50","1,065.00","1,069.00","1,072.10","1,075.01","7,42,760","79,84,74,133.60","34,368","4,23,444",57.01
PNBHOUSING,EQ,19-May-2025,"1,072.10","1,072.80","1,078.50","1,050.40","1,054.70","1,054.90","1,058.79","5,59,426","59,23,11,885.80","24,262","3,13,305",56.00
PNBHOUSING,EQ,20-May-2025,"1,054.90","1,059.00","1,063.90","1,037.30","1,042.50","1,041.50","1,050.04","4,99,490","52,44,82,940.20","26,903","2,43,989",48.85
PNBHOUSING,EQ,21-May-2025,"1,041.50","1,045.00","1,062.70","1,042.10","1,049.00","1,050.80","1,051.11","5,71,421","60,06,26,366.50","30,197","3,14,586",55.05
PNBHOUSING,EQ,22-May-2025,"1,050.80","1,050.00","1,057.90","1,028.80","1,042.70","1,044.30","1,044.35","15,67,959","1,63,75,00,338.20","44,681","11,15,003",71.11
PNBHOUSING,EQ,23-May-2025,"1,044.30","1,044.50","1,052.50","1,035.20","1,044.70","1,043.20","1,045.45","5,37,845","56,22,89,210.10","24,371","3,26,373",60.68
PNBHOUSING,EQ,26-May-2025,"1,043.20","1,045.10","1,056.90","1,037.50","1,047.00","1,046.80","1,048.49","4,55,798","47,78,99,714.40","28,465","2,15,633",47.31
PNBHOUSING,EQ,27-May-2025,"1,046.80","1,047.00","1,051.40","1,025.30","1,040.90","1,040.60","1,036.67","9,11,374","94,47,93,329.60","33,902","3,67,969",40.38
PNBHOUSING,EQ,28-May-2025,"1,040.60","1,043.90","1,063.90","1,042.60","1,045.50","1,045.80","1,051.50","10,00,882","1,05,24,28,696.80","50,772","4,25,632",42.53
PNBHOUSING,EQ,29-May-2025,"1,045.80","1,052.00","1,052.30","1,027.20","1,045.00","1,042.60","1,036.43","13,20,683","1,36,87,93,869.80","62,672","6,74,668",51.08
PNBHOUSING,EQ,30-May-2025,"1,042.60","1,045.00","1,049.40","1,033.00","1,045.20","1,044.90","1,043.26","4,26,712","44,51,72,753.40","22,027","2,47,713",58.05
PNBHOUSING,EQ,02-Jun-2025,"1,044.90","1,040.90","1,078.00","1,037.20","1,075.00","1,073.30","1,064.70","15,35,238","1,63,45,60,576.10","49,179","9,07,443",59.11
PNBHOUSING,EQ,03-Jun-2025,"1,073.30","1,080.00","1,080.60","1,042.00","1,045.60","1,050.70","1,055.58","12,31,454","1,29,98,93,882.80","48,319","6,15,981",50.02
PNBHOUSING,EQ,04-Jun-2025,"1,050.70","1,055.00","1,062.10","1,047.70","1,055.00","1,057.00","1,056.66","5,05,147","53,37,69,971.10","30,430","3,12,769",61.92
PNBHOUSING,EQ,05-Jun-2025,"1,057.00","1,057.00","1,065.30","1,051.00","1,065.00","1,063.90","1,060.19","7,96,023","84,39,34,320.10","26,469","5,58,453",70.16
PNBHOUSING,EQ,06-Jun-2025,"1,063.90","1,067.00","1,117.20","1,055.50","1,103.50","1,104.90","1,096.34","66,11,228","7,24,81,59,772.50","2,06,900","42,28,374",63.96
PNBHOUSING,EQ,09-Jun-2025,"1,104.90","1,117.00","1,141.90","1,110.50","1,127.40","1,126.10","1,129.29","25,95,528","2,93,10,97,947.60","1,03,041","13,61,098",52.44
PNBHOUSING,EQ,10-Jun-2025,"1,126.10","1,136.00","1,136.20","1,116.00","1,121.90","1,126.20","1,124.93","9,77,912","1,10,00,82,297.20","49,880","6,51,426",66.61
