symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PNB,EQ,25-Mar-2026,107.26,108.6,110.85,108.3,110.24,110.07,109.63,"2,04,72,368","2,24,44,14,650.97","67,923","77,86,202",38.03
PNB,EQ,24-Mar-2026,105.55,109.0,109.0,106.0,107.45,107.26,107.43,"1,96,96,367","2,11,59,42,044.26","68,722","66,11,265",33.57
PNB,EQ,23-Mar-2026,111.53,110.6,110.7,105.2,105.35,105.55,106.77,"2,41,98,613","2,58,37,04,375.56","83,525","96,82,533",40.01
PNB,EQ,20-Mar-2026,109.49,110.5,113.59,110.5,111.55,111.53,112.26,"1,71,82,097","1,92,88,58,489.86","67,050","66,87,729",38.92
PNB,EQ,19-Mar-2026,113.12,110.5,111.1,108.55,110.05,109.49,110.02,"1,40,54,714","1,54,62,43,703.86","61,555","47,07,681",33.50
PNB,EQ,18-Mar-2026,112.0,112.06,114.2,112.06,113.1,113.12,113.34,"1,57,04,285","1,77,98,95,922.48","56,018","68,25,183",43.46
PNB,EQ,17-Mar-2026,110.97,111.5,112.45,109.9,111.95,112.0,110.94,"1,51,14,617","1,67,67,75,710.58","68,911","43,14,647",28.55
PNB,EQ,16-Mar-2026,111.7,112.0,112.2,108.2,110.71,110.97,110.2,"2,47,27,257","2,72,49,78,117.45","87,808","96,21,569",38.91
PNB,EQ,13-Mar-2026,116.61,116.0,116.27,111.5,111.74,111.7,112.97,"1,86,50,285","2,10,68,96,899.95","88,778","72,84,831",39.06
PNB,EQ,12-Mar-2026,115.84,114.5,118.13,113.66,116.56,116.61,116.29,"1,35,15,926","1,57,17,77,543.69","82,699","38,41,526",28.42
PNB,EQ,11-Mar-2026,117.53,117.95,118.44,115.5,115.96,115.84,116.98,"1,44,75,388","1,69,33,67,430.79","74,279","61,20,866",42.28
PNB,EQ,10-Mar-2026,115.07,117.0,117.95,115.51,117.7,117.53,116.75,"1,83,05,866","2,13,72,05,209.07","62,222","71,52,752",39.07
PNB,EQ,09-Mar-2026,119.31,116.25,116.25,111.71,115.15,115.07,113.67,"2,59,46,907","2,94,92,68,079.49","1,43,287","79,56,485",30.66
PNB,EQ,06-Mar-2026,122.2,121.45,122.37,118.66,119.0,119.31,120.79,"1,43,58,834","1,73,44,66,085.33","77,118","64,99,062",45.26
PNB,EQ,05-Mar-2026,121.37,121.6,123.08,120.2,122.02,122.2,121.83,"1,49,90,776","1,82,63,88,094.16","62,747","62,40,569",41.63
PNB,EQ,04-Mar-2026,126.05,124.37,124.9,120.39,121.38,121.37,122.11,"2,50,00,472","3,05,28,60,642.12","74,190","1,14,65,790",45.86
PNB,EQ,02-Mar-2026,129.44,125.05,128.7,124.45,126.35,126.05,126.68,"2,29,15,402","2,90,30,29,680.20","73,877","88,78,810",38.75
PNB,EQ,27-Feb-2026,130.48,130.25,130.85,128.6,129.0,129.44,129.82,"1,77,61,050","2,30,56,58,284.15","62,594","87,28,996",49.15
PNB,EQ,26-Feb-2026,130.54,130.69,132.65,129.09,130.14,130.48,130.49,"2,57,82,446","3,36,44,47,832.98","66,587","1,20,08,953",46.58
PNB,EQ,25-Feb-2026,131.03,131.15,131.66,129.51,130.55,130.54,130.49,"1,19,64,857","1,56,12,85,466.69","46,006","48,18,914",40.28
PNB,EQ,24-Feb-2026,130.27,130.25,132.1,129.3,131.0,131.03,130.81,"2,08,78,598","2,73,11,03,685.39","80,397","70,42,029",33.73
PNB,EQ,23-Feb-2026,129.59,130.4,132.73,130.0,130.25,130.27,131.38,"2,70,95,411","3,55,96,73,581.83","1,13,258","88,45,572",32.65
PNB,EQ,20-Feb-2026,126.1,125.6,130.4,125.37,129.49,129.59,129.1,"3,02,57,099","3,90,60,73,148.62","90,527","1,18,73,620",39.24
PNB,EQ,19-Feb-2026,128.17,128.12,128.35,125.52,126.2,126.1,126.89,"1,88,50,093","2,39,18,73,062.62","1,06,360","1,02,50,111",54.38
PNB,EQ,18-Feb-2026,124.82,125.1,128.74,124.83,128.04,128.17,127.49,"3,70,51,990","4,72,36,51,842.08","1,25,296","1,41,54,624",38.20
