symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
POLYCAB,EQ,25-Mar-2026,"7,064.50","7,120.00","7,271.00","7,104.00","7,163.50","7,145.00","7,207.81","4,91,517","3,54,27,63,010.50","52,426","2,61,967",53.30
POLYCAB,EQ,24-Mar-2026,"6,795.00","7,001.50","7,141.00","6,774.50","7,068.00","7,064.50","7,001.38","9,02,790","6,32,07,77,835.00","1,32,540","4,78,367",52.99
POLYCAB,EQ,23-Mar-2026,"7,171.00","7,100.00","7,100.00","6,750.00","6,800.00","6,795.00","6,840.38","6,52,615","4,46,41,35,284.50","83,728","3,54,031",54.25
POLYCAB,EQ,20-Mar-2026,"7,180.00","7,205.00","7,346.50","7,126.00","7,150.00","7,171.00","7,195.29","4,50,944","3,24,46,72,955.50","54,136","2,51,705",55.82
POLYCAB,EQ,19-Mar-2026,"7,374.50","7,277.00","7,288.00","7,101.50","7,205.00","7,180.00","7,176.97","6,42,482","4,61,10,71,050.00","51,334","3,93,835",61.30
POLYCAB,EQ,18-Mar-2026,"7,166.50","7,200.00","7,409.00","7,176.50","7,376.00","7,374.50","7,346.28","6,83,932","5,02,43,56,738.50","62,686","4,41,081",64.49
POLYCAB,BL,18-Mar-2026,"7,458.00","7,388.00","7,388.00","7,388.00","7,388.00","7,388.00","7,388.00","73,577","54,35,86,876.00",1,-,-
POLYCAB,EQ,17-Mar-2026,"7,127.00","7,150.00","7,194.50","7,050.00","7,170.00","7,166.50","7,122.01","3,53,172","2,51,52,95,640.00","46,422","1,77,463",50.25
POLYCAB,EQ,16-Mar-2026,"7,193.50","7,203.00","7,224.50","7,008.00","7,119.00","7,127.00","7,112.12","4,59,070","3,26,49,60,275.50","56,084","2,10,269",45.80
POLYCAB,EQ,13-Mar-2026,"7,455.00","7,429.50","7,429.50","7,118.00","7,200.00","7,193.50","7,207.18","6,29,203","4,53,47,81,111.00","80,229","3,00,321",47.73
POLYCAB,EQ,12-Mar-2026,"7,429.50","7,400.00","7,538.00","7,282.00","7,442.00","7,455.00","7,433.42","4,98,945","3,70,88,69,380.00","54,146","1,81,170",36.31
POLYCAB,EQ,11-Mar-2026,"7,723.00","7,690.00","7,707.50","7,383.00","7,405.00","7,429.50","7,510.80","10,95,711","8,22,96,68,787.50","1,21,063","4,92,084",44.91
POLYCAB,EQ,10-Mar-2026,"8,228.50","8,363.00","8,363.00","7,684.00","7,725.00","7,723.00","7,872.83","10,56,999","8,32,15,69,427.00","1,10,478","4,94,247",46.76
POLYCAB,EQ,09-Mar-2026,"8,552.00","8,450.00","8,455.00","8,180.00","8,244.50","8,228.50","8,239.68","4,98,043","4,10,37,15,241.50","73,178","2,69,830",54.18
POLYCAB,EQ,06-Mar-2026,"8,564.00","8,562.00","8,630.00","8,480.00","8,562.00","8,552.00","8,581.69","2,87,941","2,47,10,19,890.00","42,543","1,45,231",50.44
POLYCAB,EQ,05-Mar-2026,"8,284.00","8,331.00","8,586.00","8,272.00","8,570.50","8,564.00","8,436.16","5,04,469","4,25,57,80,374.50","66,330","2,92,006",57.88
POLYCAB,EQ,04-Mar-2026,"8,548.50","8,420.00","8,475.00","8,266.50","8,279.00","8,284.00","8,348.81","4,85,905","4,05,67,29,630.00","68,146","2,45,691",50.56
POLYCAB,EQ,02-Mar-2026,"8,610.50","8,400.00","8,696.50","8,400.00","8,550.00","8,548.50","8,583.82","6,53,618","5,61,05,36,477.50","75,857","3,39,495",51.94
POLYCAB,EQ,27-Feb-2026,"8,506.00","8,502.00","8,722.00","8,469.50","8,606.50","8,610.50","8,610.93","9,26,904","7,98,15,09,807.00","67,066","5,79,274",62.50
POLYCAB,EQ,26-Feb-2026,"8,348.50","8,348.50","8,539.50","8,345.00","8,504.00","8,506.00","8,452.55","6,29,664","5,32,22,67,218.00","53,220","3,81,278",60.55
POLYCAB,EQ,25-Feb-2026,"8,120.50","8,120.50","8,407.50","8,119.50","8,348.00","8,348.50","8,317.50","8,86,874","7,37,65,73,945.00","79,604","5,61,190",63.28
POLYCAB,EQ,24-Feb-2026,"7,974.00","7,969.00","8,147.50","7,911.00","8,120.00","8,120.50","8,096.33","8,58,763","6,95,28,28,473.00","1,02,888","4,94,093",57.54
POLYCAB,EQ,23-Feb-2026,"7,869.00","7,939.00","8,005.00","7,830.00","7,992.00","7,974.00","7,944.62","3,28,097","2,60,66,06,788.00","45,869","1,76,626",53.83
POLYCAB,EQ,20-Feb-2026,"7,778.00","7,780.00","7,932.00","7,710.00","7,829.00","7,869.00","7,834.18","3,93,536","3,08,30,31,833.00","38,749","2,19,354",55.74
POLYCAB,EQ,19-Feb-2026,"7,830.00","7,830.00","7,898.50","7,720.00","7,755.50","7,778.00","7,812.80","2,64,268","2,06,46,73,841.50","39,214","1,32,011",49.95
POLYCAB,EQ,18-Feb-2026,"7,742.00","7,777.00","7,838.50","7,753.50","7,815.00","7,830.00","7,814.20","1,62,110","1,26,67,59,719.50","34,989","1,02,025",62.94
POLYCAB,EQ,17-Feb-2026,"7,636.00","7,650.00","7,754.50","7,616.00","7,734.00","7,742.00","7,708.81","90,445","69,72,23,764.00","15,580","43,692",48.31
POLYCAB,EQ,16-Feb-2026,"7,587.50","7,617.50","7,674.00","7,536.00","7,636.50","7,636.00","7,639.84","1,07,865","82,40,71,760.50","16,376","56,312",52.21
