symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
POWERGRID,EQ,22-Jan-2025,302.35,302.0,302.3,295.8,298.4,297.55,297.97,"97,23,333","2,89,72,15,173.30","1,00,658","64,43,175",66.27
POWERGRID,EQ,23-Jan-2025,297.55,297.5,299.6,293.6,294.75,294.35,296.14,"1,22,28,286","3,62,13,16,161.60","1,58,656","82,78,698",67.7
POWERGRID,EQ,24-Jan-2025,294.35,295.3,302.5,294.35,296.0,295.85,298.89,"1,11,42,914","3,33,05,42,733.55","97,257","41,77,818",37.49
POWERGRID,EQ,27-Jan-2025,295.85,295.0,295.0,283.75,286.7,287.0,286.7,"1,34,77,947","3,86,41,81,597.85","1,25,241","75,45,618",55.98
POWERGRID,EQ,28-Jan-2025,287.0,287.15,288.8,279.35,284.9,283.95,283.57,"1,12,98,068","3,20,38,23,431.55","1,15,211","55,72,156",49.32
POWERGRID,EQ,29-Jan-2025,283.95,285.35,289.15,283.3,288.5,287.85,287.1,"48,00,024","1,37,80,79,579.95","80,548","24,51,383",51.07
POWERGRID,EQ,30-Jan-2025,287.85,287.85,297.1,287.85,295.9,295.35,294.91,"1,09,69,499","3,23,50,05,994.25","1,11,486","52,44,603",47.81
POWERGRID,EQ,31-Jan-2025,295.35,297.0,303.45,295.9,302.0,301.65,300.78,"1,41,41,459","4,25,34,30,253.90","1,14,347","95,99,526",67.88
POWERGRID,EQ,01-Feb-2025,301.65,301.65,305.35,288.65,290.2,289.85,295.32,"69,45,157","2,05,10,17,703.60","70,895","25,04,011",36.05
POWERGRID,EQ,03-Feb-2025,289.85,290.0,292.0,278.0,284.5,283.8,282.4,"1,49,78,897","4,22,99,94,291.10","1,64,409","86,15,450",57.52
POWERGRID,EQ,04-Feb-2025,283.8,281.0,286.4,272.1,285.25,285.65,281.28,"1,98,36,427","5,57,96,14,304.10","2,37,543","1,00,03,074",50.43
POWERGRID,EQ,05-Feb-2025,285.65,285.6,290.75,284.55,286.25,285.2,287.31,"1,53,37,191","4,40,65,55,559.65","1,11,471","96,14,683",62.69
POWERGRID,EQ,06-Feb-2025,285.2,287.5,290.95,279.75,281.95,281.15,283.31,"2,14,18,561","6,06,80,61,182.60","1,64,226","1,27,62,030",59.58
POWERGRID,EQ,07-Feb-2025,281.15,273.1,281.9,270.0,278.35,278.15,276.18,"1,71,93,482","4,74,84,63,960.35","1,32,937","86,85,021",50.51
POWERGRID,EQ,10-Feb-2025,278.15,275.0,276.0,268.1,269.05,268.7,269.88,"1,67,09,670","4,50,95,50,225.15","1,33,404","1,16,89,858",69.96
POWERGRID,EQ,11-Feb-2025,268.7,268.7,268.8,260.0,261.3,261.45,262.48,"2,20,83,955","5,79,66,41,612.40","1,53,679","1,47,94,706",66.99
POWERGRID,EQ,12-Feb-2025,261.45,259.5,262.1,254.0,257.4,257.05,257.22,"1,78,61,265","4,59,42,10,887.95","1,75,992","1,16,81,869",65.4
POWERGRID,EQ,13-Feb-2025,257.05,257.25,261.35,256.1,259.1,259.15,259.54,"1,22,57,226","3,18,11,92,065.65","1,48,296","78,60,633",64.13
POWERGRID,EQ,14-Feb-2025,259.15,260.4,261.5,254.75,256.5,257.35,257.25,"1,13,39,563","2,91,70,49,690.70","1,17,604","59,80,646",52.74
POWERGRID,EQ,17-Feb-2025,257.35,256.9,264.0,252.2,263.1,263.2,260.24,"83,32,653","2,16,84,77,401.60","1,00,568","36,57,702",43.9
POWERGRID,EQ,18-Feb-2025,263.2,263.85,267.9,260.2,265.55,266.95,264.52,"1,04,83,635","2,77,31,65,110.10","1,01,687","65,97,459",62.93
POWERGRID,EQ,19-Feb-2025,266.95,262.5,268.5,262.3,263.25,263.05,264.66,"1,46,02,009","3,86,46,24,426.55","1,09,014","82,97,861",56.83
POWERGRID,EQ,20-Feb-2025,263.05,262.75,266.45,261.3,265.75,265.75,265.0,"1,53,12,926","4,05,78,99,228.00","1,22,755","99,14,900",64.75
POWERGRID,EQ,21-Feb-2025,265.75,265.3,265.75,259.4,261.6,261.9,261.67,"1,07,57,038","2,81,47,93,345.35","85,123","76,27,450",70.91
POWERGRID,EQ,24-Feb-2025,261.9,258.0,261.8,257.25,259.15,259.15,259.44,"1,45,99,185","3,78,76,10,031.45","1,25,718","1,04,93,685",71.88
POWERGRID,EQ,25-Feb-2025,259.15,258.8,259.95,254.9,255.25,255.75,256.39,"2,12,87,363","5,45,78,94,149.85","1,53,089","1,59,50,677",74.93
