symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PRESTIGE,EQ,22-Jan-2025,"1,388.90","1,390.00","1,391.95","1,297.35","1,318.75","1,319.30","1,317.19","28,38,088","3,73,83,05,049.90","1,62,416","16,19,161",57.05
PRESTIGE,EQ,23-Jan-2025,"1,319.30","1,312.75","1,366.15","1,305.45","1,343.50","1,342.60","1,344.39","15,19,127","2,04,23,03,429.75","73,100","9,41,497",61.98
PRESTIGE,EQ,24-Jan-2025,"1,342.60","1,344.85","1,358.65","1,235.00","1,240.00","1,255.65","1,273.66","17,30,028","2,20,34,59,789.20","70,262","9,71,416",56.15
PRESTIGE,EQ,27-Jan-2025,"1,255.65","1,240.00","1,256.50","1,221.35","1,245.85","1,243.85","1,239.03","16,64,609","2,06,24,95,311.25","1,07,346","10,45,605",62.81
PRESTIGE,EQ,28-Jan-2025,"1,243.85","1,259.65","1,305.00","1,211.15","1,267.50","1,271.10","1,267.87","10,26,594","1,30,15,86,599.70","58,175","4,79,227",46.68
PRESTIGE,EQ,29-Jan-2025,"1,271.10","1,271.10","1,322.00","1,261.25","1,320.50","1,318.40","1,295.55","8,18,604","1,06,05,39,277.40","50,809","4,03,439",49.28
PRESTIGE,EQ,30-Jan-2025,"1,318.40","1,320.00","1,353.30","1,312.20","1,340.00","1,342.35","1,338.44","5,41,192","72,43,51,380.30","40,366","1,84,141",34.03
PRESTIGE,EQ,31-Jan-2025,"1,342.35","1,283.85","1,387.55","1,250.15","1,387.55","1,359.50","1,326.19","15,13,344","2,00,69,81,723.95","86,522","5,55,112",36.68
PRESTIGE,EQ,01-Feb-2025,"1,359.50","1,370.20","1,490.80","1,370.20","1,438.00","1,431.70","1,439.73","29,82,704","4,29,42,79,113.95","1,31,509","6,75,837",22.66
PRESTIGE,EQ,03-Feb-2025,"1,431.70","1,421.00","1,457.35","1,385.00","1,427.90","1,425.15","1,428.20","11,16,995","1,59,52,89,691.75","78,435","5,24,882",46.99
PRESTIGE,EQ,04-Feb-2025,"1,425.15","1,425.15","1,431.95","1,402.95","1,424.00","1,421.40","1,419.46","9,53,776","1,35,38,43,083.45","67,281","5,99,441",62.85
PRESTIGE,EQ,05-Feb-2025,"1,421.40","1,421.40","1,430.00","1,372.00","1,378.00","1,379.35","1,388.23","13,71,415","1,90,38,35,903.50","83,401","8,74,308",63.75
PRESTIGE,EQ,06-Feb-2025,"1,379.35","1,386.40","1,391.45","1,355.55","1,363.80","1,366.35","1,368.41","6,21,465","85,04,20,827.25","36,053","3,73,941",60.17
PRESTIGE,EQ,07-Feb-2025,"1,366.35","1,366.35","1,379.90","1,331.00","1,339.00","1,347.70","1,351.97","10,67,338","1,44,30,06,181.75","57,533","7,19,540",67.41
PRESTIGE,EQ,10-Feb-2025,"1,347.70","1,347.35","1,348.95","1,298.00","1,323.50","1,324.85","1,313.86","5,25,607","69,05,74,045.00","30,254","2,83,298",53.9
PRESTIGE,EQ,11-Feb-2025,"1,324.85","1,319.00","1,322.40","1,271.05","1,307.00","1,311.15","1,288.57","7,80,980","1,00,63,43,809.85","39,957","4,35,056",55.71
PRESTIGE,EQ,12-Feb-2025,"1,311.15","1,310.00","1,310.00","1,213.65","1,221.00","1,220.15","1,253.73","33,08,431","4,14,78,63,359.35","93,638","19,47,957",58.88
