symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RECLTD,EQ,25-Mar-2026,320.8,324.9,329.15,323.25,328.0,327.7,327.44,"68,89,607","2,25,59,16,457.85","70,378","38,17,877",55.42
RECLTD,EQ,24-Mar-2026,316.45,322.5,325.8,312.05,320.6,320.8,318.86,"88,45,151","2,82,03,21,127.85","58,123","38,73,756",43.80
RECLTD,EQ,23-Mar-2026,330.5,327.45,327.45,310.55,315.5,316.45,315.74,"1,17,48,371","3,70,94,00,297.55","99,449","50,64,681",43.11
RECLTD,EQ,20-Mar-2026,333.4,335.8,342.0,329.25,330.1,330.5,333.53,"1,03,05,459","3,43,71,49,756.40","73,239","47,55,285",46.14
RECLTD,EQ,19-Mar-2026,348.05,343.0,344.0,331.6,335.4,333.4,337.21,"66,69,467","2,24,90,32,637.50","60,914","28,46,950",42.69
RECLTD,EQ,18-Mar-2026,337.7,341.8,349.15,339.4,348.4,348.05,345.02,"1,06,11,550","3,66,11,71,507.05","71,719","51,31,693",48.36
RECLTD,EQ,17-Mar-2026,332.45,333.95,339.4,330.35,338.9,337.7,334.11,"1,00,22,642","3,34,86,44,889.35","67,684","57,20,258",57.07
RECLTD,EQ,16-Mar-2026,331.5,332.0,335.4,326.7,331.55,332.45,331.74,"80,88,028","2,68,31,19,776.70","62,847","33,76,191",41.74
RECLTD,EQ,13-Mar-2026,343.5,341.8,345.05,330.5,331.2,331.5,335.01,"65,61,611","2,19,82,15,055.25","73,018","25,77,166",39.28
RECLTD,EQ,12-Mar-2026,333.05,331.0,349.45,327.3,343.95,343.5,340.34,"1,06,58,407","3,62,74,29,347.85","80,676","34,62,069",32.48
RECLTD,EQ,11-Mar-2026,334.4,334.9,340.65,331.35,332.6,333.05,336.43,"60,75,561","2,04,39,77,442.05","51,957","32,40,107",53.33
RECLTD,EQ,10-Mar-2026,324.4,332.8,336.3,326.7,335.45,334.4,332.33,"82,47,861","2,74,10,10,097.95","63,956","40,59,083",49.21
RECLTD,EQ,09-Mar-2026,339.15,332.0,333.2,321.0,325.5,324.4,324.32,"79,88,489","2,59,08,11,529.05","86,638","34,07,172",42.65
RECLTD,EQ,06-Mar-2026,341.85,340.0,350.8,338.5,338.9,339.15,343.11,"55,79,379","1,91,43,64,097.75","56,955","24,60,331",44.10
RECLTD,EQ,05-Mar-2026,328.75,330.35,343.4,329.5,342.8,341.85,337.99,"1,16,57,520","3,94,01,62,989.00","1,01,652","49,60,009",42.55
RECLTD,EQ,04-Mar-2026,338.95,335.0,336.25,324.2,327.85,328.75,328.42,"1,12,42,119","3,69,20,86,828.45","1,06,015","60,33,484",53.67
RECLTD,EQ,02-Mar-2026,349.8,339.55,344.4,334.65,339.85,338.95,339.69,"59,51,923","2,02,18,07,709.40","65,086","25,44,654",42.75
RECLTD,EQ,27-Feb-2026,354.1,353.0,354.2,348.3,348.95,349.8,350.67,"75,42,283","2,64,48,64,857.80","64,244","45,78,780",60.71
RECLTD,EQ,26-Feb-2026,354.0,354.9,357.5,351.15,354.0,354.1,354.19,"32,58,960","1,15,42,83,975.80","41,623","16,30,083",50.02
RECLTD,EQ,25-Feb-2026,354.0,356.2,357.5,350.35,354.05,354.0,353.92,"55,64,761","1,96,94,88,953.25","41,348","30,45,613",54.73
RECLTD,EQ,24-Feb-2026,352.2,351.0,355.85,347.5,354.9,354.0,351.47,"70,79,250","2,48,81,56,859.00","57,926","38,94,258",55.01
RECLTD,EQ,23-Feb-2026,354.2,356.75,356.85,349.1,352.3,352.2,352.55,"42,10,986","1,48,45,94,955.70","40,856","21,49,691",51.05
RECLTD,EQ,20-Feb-2026,353.55,352.8,356.45,352.55,354.45,354.2,354.4,"20,80,938","73,74,88,510.55","30,982","9,09,171",43.69
RECLTD,EQ,19-Feb-2026,364.3,364.45,364.45,351.25,352.75,353.55,357.29,"37,54,213","1,34,13,35,846.80","39,424","18,46,657",49.19
RECLTD,EQ,18-Feb-2026,358.6,359.9,366.6,358.4,363.9,364.3,363.57,"60,09,021","2,18,46,71,129.80","44,828","28,70,961",47.78
RECLTD,EQ,17-Feb-2026,353.5,353.7,359.2,352.7,358.05,358.6,356.72,"36,11,823","1,28,84,14,488.30","35,393","16,90,189",46.80
RECLTD,EQ,16-Feb-2026,346.9,346.1,354.15,343.2,354.15,353.5,349.99,"62,03,921","2,17,12,89,185.50","63,839","31,47,560",50.74
RECLTD,EQ,13-Feb-2026,350.7,348.1,348.5,339.8,346.0,346.9,344.46,"85,52,636","2,94,60,64,178.45","70,086","41,45,110",48.47
RECLTD,EQ,12-Feb-2026,353.95,355.0,356.8,349.25,350.65,350.7,352.35,"56,30,751","1,98,40,18,249.85","55,348","26,19,910",46.53
RECLTD,EQ,11-Feb-2026,355.8,356.0,357.9,352.6,354.45,353.95,354.43,"89,89,825","3,18,62,56,714.90","60,638","52,29,423",58.17
RECLTD,EQ,10-Feb-2026,359.9,359.9,360.85,354.4,355.8,355.8,356.14,"95,68,613","3,40,77,86,992.15","1,29,018","42,22,603",44.13
RECLTD,EQ,09-Feb-2026,372.5,374.0,377.95,354.35,359.2,359.9,361.65,"2,33,01,540","8,42,69,24,984.45","1,80,250","96,04,343",41.22
RECLTD,EQ,06-Feb-2026,382.1,377.65,377.65,368.0,372.6,372.5,370.98,"1,29,96,880","4,82,15,66,260.45","1,12,550","54,82,250",42.18
RECLTD,EQ,05-Feb-2026,381.6,382.7,386.5,378.9,381.95,382.1,382.86,"1,38,10,435","5,28,74,44,540.40","93,825","62,05,275",44.93
RECLTD,EQ,04-Feb-2026,372.5,372.5,382.45,369.5,381.05,381.6,379.19,"1,62,12,031","6,14,74,20,086.15","1,07,830","85,66,416",52.84
RECLTD,EQ,03-Feb-2026,363.1,376.0,379.0,368.1,372.3,372.5,371.98,"1,04,41,929","3,88,41,70,993.80","68,502","61,05,747",58.47
RECLTD,EQ,02-Feb-2026,359.85,360.0,368.35,354.75,364.75,363.1,360.63,"1,44,65,153","5,21,64,99,012.55","1,02,053","66,76,297",46.15
RECLTD,EQ,01-Feb-2026,364.1,365.3,380.0,350.7,358.75,359.85,369.49,"2,00,59,562","7,41,17,54,992.55","1,77,621","61,49,026",30.65
RECLTD,EQ,30-Jan-2026,375.3,372.55,375.0,359.0,364.45,364.1,364.31,"2,10,86,535","7,68,21,37,008.25","2,12,618","1,23,49,828",58.57
RECLTD,EQ,29-Jan-2026,377.5,380.0,384.75,373.0,375.55,375.3,378.37,"1,00,70,972","3,81,05,62,784.40","66,376","40,61,000",40.32
RECLTD,EQ,28-Jan-2026,363.95,364.95,378.45,363.5,377.5,377.5,372.6,"75,09,050","2,79,78,95,065.80","53,603","35,40,577",47.15
RECLTD,EQ,27-Jan-2026,361.35,362.9,366.0,359.85,366.0,363.95,363.19,"81,91,822","2,97,51,56,199.65","77,598","40,94,391",49.98
RECLTD,EQ,23-Jan-2026,366.2,367.25,370.65,360.5,362.7,361.35,365.14,"92,32,847","3,37,12,80,348.95","73,357","55,97,081",60.62
RECLTD,EQ,22-Jan-2026,355.8,359.95,368.4,359.55,367.3,366.2,365.02,"94,95,251","3,46,60,03,853.85","72,816","53,45,346",56.29
RECLTD,EQ,21-Jan-2026,358.9,357.15,359.65,351.1,355.8,355.8,355.25,"1,29,73,950","4,60,89,64,497.10","1,33,982","65,70,846",50.65
