symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,25-Mar-2026,"1,411.80","1,420.00","1,430.50","1,408.40","1,413.80","1,413.10","1,418.75","1,90,41,331","27,01,49,40,455.50","3,13,024","90,35,741",47.45
RELIANCE,EQ,24-Mar-2026,"1,407.80","1,420.00","1,422.40","1,406.60","1,414.00","1,411.80","1,413.20","1,86,20,893","26,31,50,89,062.40","3,04,313","94,06,770",50.52
RELIANCE,EQ,23-Mar-2026,"1,414.40","1,400.00","1,415.60","1,391.00","1,404.00","1,407.80","1,404.46","1,89,79,554","26,65,59,71,496.80","3,85,355","1,23,47,858",65.06
RELIANCE,EQ,20-Mar-2026,"1,384.80","1,398.00","1,430.00","1,396.10","1,413.60","1,414.40","1,418.94","2,29,94,918","32,62,84,66,606.50","3,15,139","1,29,00,815",56.10
RELIANCE,EQ,19-Mar-2026,"1,408.10","1,388.00","1,415.70","1,376.10","1,392.00","1,384.80","1,394.72","1,64,98,373","23,01,06,87,830.50","3,05,792","69,33,893",42.03
RELIANCE,EQ,18-Mar-2026,"1,397.60","1,397.20","1,412.90","1,397.20","1,407.20","1,408.10","1,408.59","95,59,327","13,46,51,78,867.70","2,12,371","52,94,209",55.38
RELIANCE,EQ,17-Mar-2026,"1,395.10","1,399.00","1,405.90","1,388.20","1,394.80","1,397.60","1,398.21","1,90,07,744","26,57,68,82,526.60","2,73,340","67,26,169",35.39
RELIANCE,EQ,16-Mar-2026,"1,380.70","1,380.00","1,397.30","1,363.50","1,394.00","1,395.10","1,384.52","2,28,37,802","31,61,93,78,231.50","2,93,132","1,22,05,501",53.44
RELIANCE,EQ,13-Mar-2026,"1,392.20","1,385.20","1,400.80","1,378.40","1,382.10","1,380.70","1,388.25","1,72,65,090","23,96,82,36,254.70","3,15,335","82,82,491",47.97
RELIANCE,EQ,12-Mar-2026,"1,390.20","1,390.00","1,410.90","1,381.10","1,390.00","1,392.20","1,397.56","2,09,39,959","29,26,48,77,793.70","3,70,385","89,71,814",42.85
RELIANCE,EQ,11-Mar-2026,"1,408.80","1,424.90","1,434.00","1,383.60","1,386.80","1,390.20","1,402.95","2,18,48,087","30,65,16,92,543.40","3,58,595","98,37,323",45.03
RELIANCE,EQ,10-Mar-2026,"1,424.00","1,430.60","1,431.50","1,400.60","1,410.90","1,408.80","1,410.92","1,80,71,259","25,49,71,67,382.50","2,66,712","61,33,565",33.94
RELIANCE,EQ,09-Mar-2026,"1,404.80","1,375.00","1,429.40","1,370.00","1,418.60","1,424.00","1,404.08","2,48,70,822","34,92,05,85,822.30","3,63,998","1,17,23,015",47.14
RELIANCE,EQ,06-Mar-2026,"1,389.40","1,396.50","1,424.30","1,390.30","1,407.00","1,404.80","1,412.87","1,93,11,971","27,28,52,57,299.50","2,91,792","1,07,43,452",55.63
RELIANCE,EQ,05-Mar-2026,"1,345.00","1,353.10","1,399.00","1,353.10","1,386.40","1,389.40","1,383.03","2,59,57,532","35,89,99,97,226.10","3,39,169","1,26,18,188",48.61
RELIANCE,EQ,04-Mar-2026,"1,358.00","1,330.00","1,352.80","1,307.00","1,345.20","1,345.00","1,334.60","3,24,95,007","43,36,79,43,821.30","6,43,399","2,07,14,128",63.75
RELIANCE,EQ,02-Mar-2026,"1,393.90","1,375.50","1,378.60","1,341.50","1,360.00","1,358.00","1,358.19","2,37,28,722","32,22,81,24,369.60","3,84,813","1,01,06,057",42.59
RELIANCE,EQ,27-Feb-2026,"1,406.80","1,398.00","1,410.40","1,388.10","1,394.90","1,393.90","1,397.46","1,20,31,440","16,81,35,12,507.20","1,95,405","73,76,442",61.31
RELIANCE,EQ,26-Feb-2026,"1,398.50","1,398.50","1,412.90","1,391.90","1,409.00","1,406.80","1,404.01","1,66,83,858","23,42,42,95,896.50","2,42,404","38,27,331",22.94
RELIANCE,EQ,25-Feb-2026,"1,428.80","1,435.00","1,440.50","1,393.50","1,400.80","1,398.50","1,414.07","1,07,28,792","15,17,13,07,392.70","2,04,165","50,11,078",46.71
RELIANCE,EQ,24-Feb-2026,"1,428.00","1,425.30","1,433.30","1,415.00","1,431.10","1,428.80","1,424.96","1,25,29,409","17,85,39,17,144.10","1,96,324","50,07,284",39.96
RELIANCE,EQ,23-Feb-2026,"1,419.40","1,425.00","1,434.90","1,418.30","1,425.00","1,428.00","1,425.50","77,58,856","11,06,02,70,073.70","1,40,217","34,21,775",44.10
RELIANCE,EQ,20-Feb-2026,"1,409.50","1,409.50","1,427.40","1,406.10","1,419.10","1,419.40","1,420.00","81,77,670","11,61,22,83,011.40","1,61,489","33,91,951",41.48
RELIANCE,EQ,19-Feb-2026,"1,441.30","1,443.00","1,443.00","1,400.00","1,407.20","1,409.50","1,415.94","1,18,84,664","16,82,79,34,160.10","2,21,944","28,27,496",23.79
RELIANCE,EQ,18-Feb-2026,"1,423.00","1,427.00","1,442.10","1,419.20","1,441.00","1,441.30","1,432.14","55,21,096","7,90,69,56,447.40","1,21,784","22,60,500",40.94
RELIANCE,EQ,17-Feb-2026,"1,437.10","1,431.10","1,431.80","1,418.60","1,424.20","1,423.00","1,423.10","1,07,31,630","15,27,21,75,589.40","1,89,670","30,02,495",27.98
RELIANCE,EQ,16-Feb-2026,"1,419.60","1,420.10","1,439.60","1,409.30","1,434.10","1,437.10","1,426.07","58,96,514","8,40,88,65,413.30","1,60,094","26,67,845",45.24
