symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SAIL,EQ,25-Mar-2026,145.73,147.99,152.34,145.95,151.1,151.71,150.46,"2,29,05,688","3,44,64,29,064.21","67,788","92,77,571",40.5
SAIL,EQ,24-Mar-2026,143.04,146.46,147.5,143.3,145.9,145.73,145.65,"1,74,64,379","2,54,37,00,967.84","66,626","47,91,996",27.44
SAIL,EQ,23-Mar-2026,155.52,153.04,154.0,142.26,143.3,143.04,146.29,"2,14,70,572","3,14,08,83,150.15","88,933","76,42,568",35.6
SAIL,EQ,20-Mar-2026,152.55,153.11,158.54,153.11,155.01,155.52,156.39,"2,58,11,397","4,03,67,35,210.44","84,723","1,07,94,545",41.82
SAIL,EQ,19-Mar-2026,154.42,152.0,155.41,151.0,152.07,152.55,153.36,"1,48,41,772","2,27,60,86,078.01","57,939","48,39,414",32.61
SAIL,EQ,18-Mar-2026,153.53,152.8,156.09,151.65,153.45,154.42,154.26,"2,01,71,195","3,11,16,96,974.63","66,976","70,78,646",35.09
SAIL,EQ,17-Mar-2026,144.69,145.19,153.99,144.5,153.0,153.53,150.7,"2,70,48,278","4,07,61,10,116.95","88,310","76,22,575",28.18
SAIL,EQ,16-Mar-2026,149.89,148.97,150.13,143.27,144.0,144.69,145.83,"1,60,60,150","2,34,20,78,335.03","76,599","44,69,023",27.83
SAIL,EQ,13-Mar-2026,153.65,152.26,154.25,144.25,149.2,149.89,148.64,"2,41,57,379","3,59,07,53,541.62","77,022","88,15,060",36.49
SAIL,EQ,12-Mar-2026,153.88,153.01,154.2,149.6,153.5,153.65,152.12,"98,24,998","1,49,45,41,845.06","43,087","17,43,402",17.74
SAIL,EQ,11-Mar-2026,149.84,150.82,155.34,150.82,153.93,153.88,153.73,"1,31,60,960","2,02,32,04,319.06","47,953","38,11,717",28.96
SAIL,EQ,10-Mar-2026,149.52,152.05,153.45,148.37,150.15,149.84,150.53,"1,17,22,822","1,76,46,87,241.13","40,867","34,07,102",29.06
SAIL,EQ,09-Mar-2026,154.94,150.99,151.19,144.8,148.55,149.52,147.87,"1,70,43,925","2,52,02,93,387.51","68,976","49,81,487",29.23
SAIL,EQ,06-Mar-2026,156.15,155.4,157.6,153.51,154.0,154.94,155.69,"1,22,34,478","1,90,47,53,369.14","49,602","36,80,271",30.08
SAIL,EQ,05-Mar-2026,155.62,156.1,160.2,154.31,155.01,156.15,157.23,"2,06,16,217","3,24,15,29,465.03","89,509","58,30,580",28.28
SAIL,EQ,04-Mar-2026,165.59,161.42,161.42,152.4,154.4,155.62,155.48,"3,64,18,465","5,66,24,49,047.58","1,30,404","99,93,223",27.44
SAIL,EQ,02-Mar-2026,165.71,158.99,168.21,158.8,165.61,165.59,165.51,"2,18,48,406","3,61,60,36,514.18","77,700","76,21,568",34.88
SAIL,EQ,27-Feb-2026,165.51,164.75,167.99,164.0,165.24,165.71,166.27,"2,80,20,533","4,65,88,64,053.77","58,693","1,39,90,067",49.93
SAIL,EQ,26-Feb-2026,164.93,165.0,165.9,162.86,165.3,165.51,164.53,"2,05,05,687","3,37,38,26,306.83","64,465","98,15,397",47.87
SAIL,EQ,25-Feb-2026,160.18,161.55,167.2,160.85,164.75,164.93,165.12,"6,47,90,496","10,69,84,60,855.96","1,37,930","3,04,94,630",47.07
SAIL,EQ,24-Feb-2026,156.68,156.7,160.68,152.05,160.07,160.18,157.73,"4,71,45,393","7,43,61,63,617.69","1,00,085","1,87,93,589",39.86
SAIL,EQ,23-Feb-2026,158.75,159.4,159.7,155.25,156.69,156.68,157.07,"1,56,14,066","2,45,25,71,448.28","36,915","71,97,343",46.1
SAIL,EQ,20-Feb-2026,155.8,155.9,160.1,155.32,158.2,158.75,158.3,"1,43,76,451","2,27,58,35,878.69","42,711","48,07,819",33.44
SAIL,EQ,19-Feb-2026,159.21,160.5,161.74,154.87,155.8,155.8,158.06,"1,37,91,140","2,17,97,67,115.07","38,698","53,43,765",38.75
SAIL,EQ,18-Feb-2026,157.27,157.51,160.89,157.31,159.5,159.21,159.68,"1,40,36,849","2,24,13,83,634.90","46,606","48,03,418",34.22
SAIL,EQ,17-Feb-2026,159.58,158.8,158.84,153.84,157.05,157.27,156.11,"1,56,71,137","2,44,64,33,616.65","59,468","53,28,806",34.0
SAIL,EQ,16-Feb-2026,159.28,158.0,160.14,157.25,158.8,159.58,158.52,"84,29,730","1,33,62,51,063.89","31,442","30,00,276",35.59
SAIL,EQ,13-Feb-2026,160.35,157.8,161.3,155.0,159.0,159.28,158.59,"1,98,99,685","3,15,59,47,971.63","71,072","77,69,129",39.04
SAIL,EQ,12-Feb-2026,162.12,162.12,163.0,159.33,159.82,160.35,161.44,"1,10,07,640","1,77,70,66,082.12","49,695","45,48,015",41.32
SAIL,EQ,11-Feb-2026,160.99,161.0,162.9,160.37,161.85,162.12,161.98,"1,57,29,412","2,54,78,25,588.24","64,480","60,33,584",38.36
SAIL,EQ,10-Feb-2026,158.38,158.49,161.48,156.22,160.7,160.99,160.12,"2,86,57,528","4,58,85,71,973.17","1,01,006","1,27,11,504",44.36
SAIL,EQ,09-Feb-2026,160.52,161.05,161.9,157.17,158.55,158.38,159.03,"2,21,02,148","3,51,49,35,695.23","75,384","77,65,430",35.13
SAIL,EQ,06-Feb-2026,158.5,158.0,161.3,156.49,159.19,160.52,159.22,"2,95,87,522","4,71,08,03,152.51","80,009","1,11,14,804",37.57
SAIL,EQ,05-Feb-2026,157.29,155.9,160.0,152.29,159.75,158.5,156.66,"2,25,67,786","3,53,55,55,073.65","80,507","90,78,628",40.23
SAIL,EQ,04-Feb-2026,154.36,154.95,158.2,154.11,156.92,157.29,156.84,"2,05,59,103","3,22,44,13,330.74","74,928","83,22,433",40.48
SAIL,EQ,03-Feb-2026,148.67,154.5,156.05,149.04,153.84,154.36,153.24,"3,20,31,454","4,90,86,51,099.50","94,134","99,97,647",31.21
SAIL,EQ,02-Feb-2026,148.63,148.1,149.9,141.3,149.49,148.67,145.33,"3,85,52,721","5,60,28,20,336.56","1,11,170","1,39,71,635",36.24
SAIL,EQ,01-Feb-2026,151.13,148.0,154.66,141.86,147.5,148.63,149.14,"3,17,84,997","4,74,05,25,549.64","1,39,717","71,74,750",22.57
SAIL,EQ,30-Jan-2026,157.18,154.5,154.5,147.75,150.98,151.13,150.73,"3,30,12,904","4,97,58,70,297.92","1,06,610","1,17,17,213",35.49
SAIL,EQ,29-Jan-2026,155.74,156.0,160.0,155.8,157.6,157.18,157.9,"3,15,57,755","4,98,31,00,969.62","1,02,123","1,01,79,081",32.26
SAIL,EQ,28-Jan-2026,155.56,157.0,157.45,152.9,155.46,155.74,155.59,"3,14,71,571","4,89,67,65,397.74","83,585","1,30,38,461",41.43
SAIL,EQ,27-Jan-2026,149.03,150.5,157.0,149.0,156.65,155.56,152.85,"4,00,35,179","6,11,92,61,059.33","1,20,704","1,82,89,069",45.68
SAIL,EQ,23-Jan-2026,151.65,152.45,156.5,148.5,148.7,149.03,153.03,"3,58,63,744","5,48,81,15,905.31","1,09,654","1,24,16,176",34.62
SAIL,EQ,22-Jan-2026,146.45,148.05,153.9,148.05,151.89,151.65,151.24,"4,58,52,758","6,93,47,58,874.33","1,06,747","2,11,83,878",46.2
SAIL,EQ,21-Jan-2026,145.4,145.0,147.9,143.9,146.35,146.45,146.22,"2,08,75,315","3,05,23,39,862.57","62,860","74,99,670",35.93
SAIL,EQ,20-Jan-2026,149.7,150.19,152.22,144.72,145.65,145.4,147.76,"2,26,19,361","3,34,22,77,391.26","63,291","84,40,117",37.31
SAIL,EQ,19-Jan-2026,149.37,149.0,150.21,147.68,149.0,149.7,149.04,"93,93,373","1,39,99,48,283.06","30,837","28,32,564",30.15
SAIL,EQ,16-Jan-2026,152.44,152.45,153.12,148.55,149.25,149.37,150.83,"1,68,96,403","2,54,84,45,255.66","50,407","74,35,709",44.01
SAIL,EQ,14-Jan-2026,147.76,147.76,152.65,147.21,152.05,152.44,151.37,"2,65,71,101","4,02,21,77,905.36","75,154","1,13,59,810",42.75
SAIL,EQ,13-Jan-2026,149.22,149.25,150.36,146.51,147.62,147.76,148.19,"1,14,14,470","1,69,15,57,415.34","42,657","40,78,505",35.73
SAIL,EQ,12-Jan-2026,145.67,145.67,149.7,143.64,149.6,149.22,147.03,"2,13,41,282","3,13,78,51,961.00","71,189","82,32,225",38.57
SAIL,EQ,09-Jan-2026,146.46,146.0,147.4,143.71,145.0,145.67,145.19,"1,47,66,805","2,14,39,77,881.77","47,742","52,16,775",35.33
SAIL,EQ,08-Jan-2026,150.37,151.0,151.43,143.25,146.5,146.46,146.82,"2,17,94,398","3,19,98,89,318.98","84,457","80,27,160",36.83
SAIL,EQ,07-Jan-2026,146.44,146.39,150.85,146.31,150.62,150.37,149.07,"1,67,07,388","2,49,05,69,384.67","55,989","61,68,952",36.92
SAIL,EQ,06-Jan-2026,150.85,152.1,152.8,146.0,146.39,146.44,148.61,"2,77,91,120","4,13,00,28,221.60","77,796","1,28,35,358",46.19
SAIL,EQ,05-Jan-2026,147.47,147.4,151.25,146.36,151.09,150.85,149.34,"2,53,49,187","3,78,55,90,801.84","96,995","1,06,41,539",41.98
SAIL,EQ,02-Jan-2026,148.45,148.6,148.9,146.9,147.4,147.47,147.61,"1,27,03,746","1,87,51,71,761.84","44,029","53,47,724",42.1
SAIL,EQ,01-Jan-2026,146.99,147.1,149.47,145.46,147.91,148.45,147.91,"2,28,28,687","3,37,65,73,711.74","74,990","62,11,263",27.21
SAIL,EQ,31-Dec-2025,141.02,145.1,149.19,143.8,147.1,146.99,146.66,"6,86,61,714","10,06,96,12,421.30","2,02,715","1,72,21,178",25.08
SAIL,EQ,30-Dec-2025,134.09,134.09,141.8,133.54,141.3,141.02,139.41,"4,12,45,044","5,75,01,41,539.44","1,20,835","1,36,24,480",33.03
SAIL,EQ,29-Dec-2025,132.32,132.9,138.8,132.9,134.2,134.09,135.96,"4,46,84,863","6,07,53,26,147.76","1,26,146","1,32,23,592",29.59
SAIL,EQ,26-Dec-2025,131.85,131.0,132.78,130.6,132.34,132.32,132.0,"77,33,641","1,02,08,30,022.08","33,515","26,26,355",33.96
SAIL,EQ,24-Dec-2025,132.71,133.5,134.3,131.0,131.28,131.85,133.0,"1,09,90,662","1,46,17,83,971.77","32,420","41,13,301",37.43
SAIL,EQ,23-Dec-2025,130.06,130.65,133.92,129.91,133.0,132.71,132.41,"1,40,54,101","1,86,09,34,552.48","44,105","50,25,363",35.76
SAIL,EQ,22-Dec-2025,125.91,126.7,131.39,126.45,129.91,130.06,129.94,"1,83,96,794","2,39,05,16,921.25","65,486","48,26,403",26.24
SAIL,EQ,19-Dec-2025,127.27,127.39,127.74,124.0,125.75,125.91,125.51,"2,12,22,260","2,66,36,43,545.61","62,376","64,73,017",30.5
SAIL,EQ,18-Dec-2025,130.2,129.8,130.49,126.78,126.95,127.27,128.32,"1,15,82,737","1,48,62,82,089.80","41,494","38,80,004",33.5
SAIL,EQ,17-Dec-2025,129.68,129.35,130.48,129.03,129.81,130.2,129.89,"84,36,068","1,09,57,27,833.57","27,623","39,23,304",46.51
SAIL,EQ,16-Dec-2025,132.31,131.7,131.9,128.3,129.17,129.68,129.7,"1,28,43,983","1,66,59,12,566.80","43,301","54,05,870",42.09
