symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SAMMAANCAP,EQ,25-Mar-2026,138.51,144.0,155.52,143.05,146.3,146.88,149.81,"11,37,50,336","17,04,04,81,501.26","3,03,266","2,37,48,737",20.88
SAMMAANCAP,EQ,24-Mar-2026,130.0,135.9,139.72,129.65,139.15,138.51,136.0,"2,74,86,426","3,73,81,77,550.30","62,734","1,14,61,410",41.70
SAMMAANCAP,EQ,23-Mar-2026,137.97,136.0,136.39,129.0,129.48,130.0,131.99,"1,38,72,898","1,83,10,44,696.80","33,163","78,36,537",56.49
SAMMAANCAP,EQ,20-Mar-2026,136.85,138.0,142.32,137.0,138.15,137.97,139.4,"1,19,83,090","1,67,04,71,814.78","30,044","58,19,808",48.57
SAMMAANCAP,EQ,19-Mar-2026,141.21,139.85,140.36,136.1,136.99,136.85,138.33,"71,09,681","98,34,53,663.62","16,589","40,20,209",56.55
SAMMAANCAP,EQ,18-Mar-2026,139.37,140.0,143.0,140.0,141.12,141.21,141.73,"45,86,005","64,99,52,402.13","14,639","24,91,991",54.34
SAMMAANCAP,EQ,17-Mar-2026,138.09,139.1,142.15,138.25,139.22,139.37,140.03,"58,83,776","82,39,14,841.08","17,395","20,30,810",34.52
SAMMAANCAP,EQ,16-Mar-2026,140.12,141.0,141.28,137.5,138.13,138.09,138.81,"68,50,338","95,09,11,932.55","19,691","35,04,851",51.16
SAMMAANCAP,EQ,13-Mar-2026,142.42,142.42,143.0,139.3,139.77,140.12,140.48,"50,19,793","70,51,73,805.10","18,859","25,89,568",51.59
SAMMAANCAP,EQ,12-Mar-2026,145.72,145.0,145.0,141.91,142.7,142.42,143.0,"48,52,687","69,39,41,643.98","23,048","19,46,979",40.12
SAMMAANCAP,EQ,11-Mar-2026,145.03,145.18,149.2,144.85,145.4,145.72,147.12,"82,45,128","1,21,29,87,142.07","28,746","37,13,205",45.04
SAMMAANCAP,EQ,10-Mar-2026,141.53,144.5,145.77,141.75,144.0,145.03,143.67,"57,29,127","82,31,25,213.56","34,606","27,63,340",48.23
SAMMAANCAP,EQ,09-Mar-2026,142.4,139.05,142.8,137.19,142.5,141.53,139.45,"1,09,74,606","1,53,03,81,627.13","25,909","42,37,770",38.61
SAMMAANCAP,EQ,06-Mar-2026,145.21,144.95,147.3,142.0,143.01,142.4,144.4,"47,97,008","69,27,09,501.85","19,684","23,18,600",48.33
SAMMAANCAP,EQ,05-Mar-2026,142.25,142.59,145.95,142.08,145.95,145.21,143.77,"49,54,592","71,23,03,678.17","20,366","25,35,312",51.17
