symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBILIFE,EQ,25-Mar-2026,"1,836.00","1,845.30","1,867.40","1,839.20","1,846.40","1,851.80","1,858.33","11,67,758","2,17,00,80,571.30","78,578","8,10,485",69.41
SBILIFE,EQ,24-Mar-2026,"1,832.30","1,842.00","1,866.50","1,812.20","1,836.00","1,836.00","1,838.36","14,03,010","2,57,92,38,523.40","77,993","8,60,427",61.33
SBILIFE,EQ,23-Mar-2026,"1,896.90","1,875.00","1,889.80","1,811.50","1,830.00","1,832.30","1,833.58","13,38,816","2,45,48,23,107.90","1,06,214","8,26,723",61.75
SBILIFE,EQ,20-Mar-2026,"1,903.10","1,906.90","1,919.90","1,890.00","1,890.00","1,896.90","1,900.19","17,82,505","3,38,70,89,889.90","65,913","13,14,697",73.76
SBILIFE,EQ,19-Mar-2026,"1,962.50","1,950.00","1,956.20","1,897.50","1,905.00","1,903.10","1,916.32","7,41,211","1,42,03,96,980.10","46,906","4,48,749",60.54
SBILIFE,EQ,18-Mar-2026,"1,932.10","1,932.00","1,974.70","1,932.00","1,961.70","1,962.50","1,959.83","7,05,652","1,38,29,57,519.50","56,202","3,48,136",49.34
SBILIFE,EQ,17-Mar-2026,"1,909.20","1,903.00","1,938.70","1,901.50","1,928.00","1,932.10","1,923.64","12,55,806","2,41,57,19,813.30","60,515","7,86,964",62.67
SBILIFE,EQ,16-Mar-2026,"1,904.40","1,901.00","1,918.00","1,881.00","1,901.20","1,909.20","1,901.12","9,02,404","1,71,55,77,078.20","67,706","4,85,252",53.77
SBILIFE,EQ,13-Mar-2026,"1,939.40","1,932.50","1,938.90","1,900.40","1,908.80","1,904.40","1,911.25","9,89,732","1,89,16,26,563.40","70,402","6,52,251",65.90
SBILIFE,EQ,12-Mar-2026,"1,938.60","1,925.00","1,948.10","1,907.00","1,940.90","1,939.40","1,931.58","8,68,643","1,67,78,51,628.80","71,976","4,68,963",53.99
SBILIFE,EQ,11-Mar-2026,"1,963.70","1,985.00","1,985.00","1,927.30","1,935.00","1,938.60","1,941.74","8,29,640","1,61,09,45,052.50","52,748","4,92,420",59.35
SBILIFE,EQ,10-Mar-2026,"1,912.50","1,933.30","1,974.80","1,926.50","1,963.00","1,963.70","1,957.17","5,87,710","1,15,02,50,400.90","49,155","2,68,096",45.62
SBILIFE,EQ,09-Mar-2026,"1,941.60","1,900.00","1,926.10","1,890.00","1,915.00","1,912.50","1,908.47","16,17,012","3,08,60,21,468.90","99,647","9,76,298",60.38
SBILIFE,EQ,06-Mar-2026,"1,945.00","1,930.00","1,962.90","1,924.80","1,946.00","1,941.60","1,944.54","8,58,666","1,66,97,09,805.40","50,408","5,29,117",61.62
SBILIFE,EQ,05-Mar-2026,"1,930.60","1,947.60","1,951.10","1,898.00","1,949.00","1,945.00","1,927.50","19,55,176","3,76,86,11,141.20","1,11,810","12,88,568",65.91
SBILIFE,EQ,04-Mar-2026,"2,032.20","1,964.00","1,997.20","1,923.60","1,931.00","1,930.60","1,946.81","9,66,848","1,88,22,73,066.70","86,312","5,77,787",59.76
