symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,25-Mar-2026,"1,030.80","1,043.00","1,065.50","1,043.00","1,062.60","1,060.60","1,057.61","1,62,05,333","17,13,88,77,668.20","2,51,103","75,37,854",46.51
SBIN,EQ,24-Mar-2026,"1,031.90","1,055.20","1,059.00","1,020.00","1,038.00","1,030.80","1,035.19","3,04,16,734","31,48,69,65,633.00","3,10,955","1,57,12,404",51.66
SBIN,EQ,23-Mar-2026,"1,058.00","1,039.00","1,045.60","1,014.20","1,030.10","1,031.90","1,031.01","1,60,39,603","16,53,69,23,041.30","3,35,720","84,61,504",52.75
SBIN,EQ,20-Mar-2026,"1,048.90","1,058.40","1,085.00","1,054.00","1,058.30","1,058.00","1,068.90","1,77,48,625","18,97,14,44,649.60","4,97,694","98,30,264",55.39
SBIN,EQ,19-Mar-2026,"1,069.80","1,049.50","1,059.70","1,041.00","1,052.60","1,048.90","1,049.88","1,34,31,191","14,10,11,19,020.20","3,76,097","63,79,272",47.50
SBIN,EQ,18-Mar-2026,"1,064.70","1,067.50","1,075.40","1,061.30","1,069.00","1,069.80","1,067.78","1,07,49,915","11,47,85,33,827.70","2,40,312","53,25,014",49.54
SBIN,EQ,17-Mar-2026,"1,066.70","1,073.90","1,073.90","1,047.00","1,063.20","1,064.70","1,059.34","1,64,27,877","17,40,27,02,221.10","3,20,717","53,38,861",32.50
SBIN,EQ,16-Mar-2026,"1,047.00","1,048.70","1,073.00","1,036.10","1,063.90","1,066.70","1,055.71","1,53,22,269","16,17,59,24,213.10","2,57,314","83,60,612",54.57
SBIN,EQ,13-Mar-2026,"1,085.20","1,077.50","1,081.30","1,042.30","1,046.00","1,047.00","1,056.49","1,59,78,675","16,88,13,34,704.90","3,26,824","1,04,23,369",65.23
SBIN,EQ,12-Mar-2026,"1,091.10","1,075.10","1,098.00","1,070.50","1,085.00","1,085.20","1,080.46","1,46,14,140","15,79,00,03,178.60","2,90,778","74,82,048",51.20
SBIN,EQ,11-Mar-2026,"1,112.20","1,113.40","1,115.90","1,088.00","1,090.80","1,091.10","1,101.70","83,64,878","9,21,55,95,730.70","1,95,732","46,73,445",55.87
SBIN,EQ,10-Mar-2026,"1,098.50","1,111.10","1,119.90","1,104.50","1,114.00","1,112.20","1,111.52","1,74,91,459","19,44,21,47,785.60","2,51,051","95,66,402",54.69
SBIN,EQ,09-Mar-2026,"1,143.00","1,115.00","1,115.00","1,064.30","1,101.60","1,098.50","1,082.98","2,46,31,198","26,67,50,40,947.80","5,01,841","1,30,24,138",52.88
SBIN,EQ,06-Mar-2026,"1,169.50","1,168.50","1,169.30","1,138.00","1,139.80","1,143.00","1,153.49","2,03,33,328","23,45,43,47,093.10","2,65,693","1,38,55,646",68.14
SBIN,EQ,05-Mar-2026,"1,174.50","1,181.00","1,183.20","1,150.60","1,168.50","1,169.50","1,165.03","2,21,00,665","25,74,78,50,416.00","2,81,615","1,42,95,949",64.69
SBIN,EQ,04-Mar-2026,"1,189.90","1,172.10","1,182.70","1,157.60","1,173.30","1,174.50","1,167.00","1,38,55,065","16,16,89,08,771.70","2,78,411","84,36,616",60.89
SBIN,EQ,02-Mar-2026,"1,201.70","1,185.00","1,197.30","1,179.40","1,189.50","1,189.90","1,187.73","1,62,70,835","19,32,53,97,511.40","2,95,263","90,08,139",55.36
SBIN,EQ,27-Feb-2026,"1,209.50","1,207.00","1,211.80","1,198.60","1,201.80","1,201.70","1,202.73","1,07,00,355","12,86,96,17,331.00","1,77,264","69,85,916",65.29
