symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHRIRAMFIN,EQ,25-Mar-2026,903.60,919.00,965.00,917.30,955.80,956.00,952.30,"1,42,65,748","13,58,53,40,847.50","2,69,419","83,27,017",58.37
SHRIRAMFIN,EQ,24-Mar-2026,877.70,907.00,931.90,896.20,907.10,903.60,910.19,"1,33,59,073","12,15,93,40,555.20","1,87,815","56,42,545",42.24
SHRIRAMFIN,EQ,23-Mar-2026,938.60,930.00,930.10,870.20,880.80,877.70,885.61,"1,05,56,865","9,34,92,18,793.90","2,39,057","52,49,063",49.72
SHRIRAMFIN,EQ,20-Mar-2026,949.80,962.00,966.90,922.30,934.00,938.60,942.97,"2,85,50,627","26,92,22,57,374.40","2,62,882","1,62,83,901",57.04
SHRIRAMFIN,EQ,19-Mar-2026,"1,021.60","1,000.00","1,000.00",946.30,953.00,949.80,963.78,"1,19,56,347","11,52,33,15,344.90","2,73,530","69,61,313",58.22
SHRIRAMFIN,EQ,18-Mar-2026,"1,004.60","1,013.30","1,028.90","1,008.50","1,017.10","1,021.60","1,019.07","39,15,253","3,98,99,27,513.90","1,19,403","18,41,662",47.04
SHRIRAMFIN,EQ,17-Mar-2026,992.00,999.90,"1,012.00",983.20,"1,002.60","1,004.60","1,001.35","41,75,225","4,18,08,70,655.80","1,11,872","16,50,349",39.53
SHRIRAMFIN,EQ,16-Mar-2026,"1,003.60",990.00,"1,002.90",969.30,990.00,992.00,988.73,"1,04,76,354","10,35,83,11,427.00","2,32,577","51,54,743",49.20
SHRIRAMFIN,EQ,13-Mar-2026,"1,031.70","1,021.30","1,028.00",994.70,"1,005.90","1,003.60","1,004.95","65,62,852","6,59,53,26,815.10","2,02,690","41,04,516",62.54
SHRIRAMFIN,EQ,12-Mar-2026,"1,031.70","1,021.10","1,046.70","1,006.10","1,029.10","1,031.70","1,027.04","70,54,662","7,24,54,50,325.60","1,58,268","37,43,561",53.07
SHRIRAMFIN,EQ,11-Mar-2026,"1,062.90","1,062.90","1,077.90","1,028.70","1,038.00","1,031.70","1,046.15","1,07,31,059","11,22,63,39,240.30","1,73,917","71,79,329",66.90
SHRIRAMFIN,EQ,10-Mar-2026,987.20,"1,010.00","1,068.30","1,006.70","1,066.70","1,062.90","1,047.15","1,42,97,519","14,97,16,01,046.50","2,64,430","56,62,265",39.60
SHRIRAMFIN,EQ,09-Mar-2026,"1,007.50",957.50,993.00,934.20,989.90,987.20,968.62,"1,19,99,852","11,62,32,44,534.90","2,94,459","70,39,762",58.67
SHRIRAMFIN,EQ,06-Mar-2026,"1,039.50","1,043.90","1,052.00","1,000.00","1,010.70","1,007.50","1,021.46","81,66,989","8,34,22,33,484.70","1,33,668","55,84,082",68.37
SHRIRAMFIN,EQ,05-Mar-2026,"1,010.00","1,022.30","1,046.40","1,018.30","1,039.50","1,039.50","1,032.68","50,51,614","5,21,67,05,962.00","1,19,482","27,22,739",53.90
SHRIRAMFIN,EQ,04-Mar-2026,"1,052.50","1,042.30","1,042.50",987.40,"1,010.00","1,010.00","1,007.81","92,00,897","9,27,27,22,437.10","3,12,626","52,18,410",56.72
SHRIRAMFIN,EQ,02-Mar-2026,"1,079.40","1,044.00","1,071.00","1,038.00","1,048.10","1,052.50","1,053.40","67,17,872","7,07,66,30,627.50","1,33,700","39,48,743",58.78
SHRIRAMFIN,EQ,27-Feb-2026,"1,104.60","1,099.00","1,103.90","1,073.30","1,079.50","1,079.40","1,081.96","56,01,117","6,06,01,62,254.30","1,05,998","35,18,304",62.81
SHRIRAMFIN,EQ,26-Feb-2026,"1,085.90","1,089.00","1,108.00","1,085.10","1,107.70","1,104.60","1,098.54","52,31,414","5,74,69,27,565.90","1,03,134","26,24,233",50.16
SHRIRAMFIN,EQ,25-Feb-2026,"1,061.70","1,065.00","1,095.00","1,055.80","1,085.00","1,085.90","1,080.66","31,15,583","3,36,68,94,181.40","70,901","14,18,172",45.52
SHRIRAMFIN,EQ,24-Feb-2026,"1,064.70","1,064.70","1,066.00","1,050.20","1,065.00","1,061.70","1,057.75","24,64,507","2,60,68,22,721.50","74,581","13,42,656",54.48
SHRIRAMFIN,EQ,23-Feb-2026,"1,059.30","1,072.80","1,077.50","1,056.90","1,064.00","1,064.70","1,066.26","24,23,932","2,58,45,44,923.70","64,010","11,43,029",47.16
SHRIRAMFIN,EQ,20-Feb-2026,"1,054.70","1,056.80","1,066.00","1,044.60","1,059.60","1,059.30","1,057.95","22,95,049","2,42,80,48,412.40","62,442","11,57,883",50.45
SHRIRAMFIN,EQ,19-Feb-2026,"1,076.20","1,078.00","1,078.00","1,048.10","1,050.70","1,054.70","1,063.89","25,76,169","2,74,07,60,935.90","53,676","13,70,309",53.19
SHRIRAMFIN,EQ,18-Feb-2026,"1,075.00","1,076.20","1,087.10","1,072.10","1,074.70","1,076.20","1,077.25","24,70,593","2,66,14,35,313.60","59,457","13,82,015",55.94
SHRIRAMFIN,EQ,17-Feb-2026,"1,085.40","1,080.00","1,081.90","1,060.00","1,073.00","1,075.00","1,068.50","28,32,145","3,02,61,41,435.50","67,326","10,28,441",36.31
SHRIRAMFIN,EQ,16-Feb-2026,"1,065.80","1,065.80","1,088.30","1,052.80","1,085.00","1,085.40","1,075.93","50,96,496","5,48,34,65,588.30","1,01,425","30,25,779",59.37
SHRIRAMFIN,EQ,13-Feb-2026,"1,082.80","1,081.80","1,086.00","1,060.00","1,063.90","1,065.80","1,068.87","45,55,743","4,86,94,94,634.80","93,630","26,15,249",57.41
SHRIRAMFIN,EQ,12-Feb-2026,"1,056.80","1,053.50","1,087.10","1,049.70","1,083.00","1,082.80","1,073.90","84,62,756","9,08,81,60,101.40","1,32,074","46,99,965",55.54
SHRIRAMFIN,EQ,11-Feb-2026,"1,048.60","1,053.00","1,059.30","1,041.50","1,058.50","1,056.80","1,052.11","48,98,578","5,15,38,35,811.50","79,276","31,43,963",64.18
SHRIRAMFIN,EQ,10-Feb-2026,"1,062.70","1,064.90","1,066.80","1,036.50","1,048.60","1,048.60","1,047.34","43,45,362","4,55,10,57,693.90","87,468","24,10,048",55.46
SHRIRAMFIN,EQ,09-Feb-2026,"1,002.50","1,005.00","1,067.80","1,003.40","1,063.00","1,062.70","1,041.20","86,67,620","9,02,46,85,367.40","1,03,810","49,34,826",56.93
SHRIRAMFIN,EQ,06-Feb-2026,992.00,994.00,"1,005.00",972.90,"1,001.00","1,002.50",992.56,"32,70,421","3,24,60,85,403.70","72,587","19,08,054",58.34
SHRIRAMFIN,EQ,05-Feb-2026,998.80,995.50,998.00,972.40,994.90,992.00,986.57,"57,75,866","5,69,82,68,540.70","2,02,609","33,42,077",57.86
SHRIRAMFIN,EQ,04-Feb-2026,"1,000.40","1,010.40","1,011.20",995.50,998.70,998.80,"1,001.30","44,02,517","4,40,82,61,261.60","1,72,221","29,70,558",67.47
SHRIRAMFIN,EQ,03-Feb-2026,962.10,"1,013.00","1,041.50",997.20,"1,000.00","1,000.40","1,009.18","98,80,727","9,97,14,47,249.40","2,56,472","64,02,068",64.79
SHRIRAMFIN,EQ,02-Feb-2026,997.60,990.20,992.70,939.00,966.00,962.10,956.04,"1,35,66,710","12,97,03,20,158.60","2,27,819","78,50,918",57.87
SHRIRAMFIN,EQ,01-Feb-2026,"1,020.00","1,020.00","1,028.60",970.20,994.00,997.60,998.19,"37,97,158","3,79,02,89,685.20","66,238","15,44,370",40.67
SHRIRAMFIN,EQ,30-Jan-2026,"1,022.80","1,025.00","1,029.30","1,010.15","1,020.00","1,020.00","1,019.99","64,64,610","6,59,38,16,482.10","84,827","46,44,137",71.84
SHRIRAMFIN,EQ,29-Jan-2026,"1,018.80","1,022.40","1,028.40","1,006.15","1,022.25","1,022.80","1,021.36","66,53,822","6,79,59,46,711.80","1,36,673","40,35,765",60.65
SHRIRAMFIN,EQ,28-Jan-2026,"1,001.05","1,002.00","1,020.70",999.50,"1,017.00","1,018.80","1,011.69","55,87,231","5,65,25,19,838.75","83,913","32,76,845",58.65
SHRIRAMFIN,EQ,27-Jan-2026,"1,003.55","1,011.20","1,019.95",984.20,"1,001.70","1,001.05",998.78,"79,84,660","7,97,49,17,599.00","1,51,651","41,90,061",52.48
SHRIRAMFIN,EQ,23-Jan-2026,"1,005.50","1,010.00","1,020.85",973.65,"1,005.00","1,003.55","1,003.98","90,23,942","9,05,98,68,290.35","1,61,331","31,99,123",35.45
SHRIRAMFIN,EQ,22-Jan-2026,986.00,995.05,"1,009.70",986.10,"1,007.00","1,005.50",999.58,"72,10,572","7,20,75,21,014.45","92,936","47,22,594",65.50
SHRIRAMFIN,EQ,21-Jan-2026,987.50,982.55,997.50,972.55,995.05,986.00,982.86,"70,42,588","6,92,19,10,389.60","1,32,079","38,82,487",55.13
SHRIRAMFIN,EQ,20-Jan-2026,"1,010.35","1,005.00","1,008.05",983.00,985.25,987.50,998.48,"61,29,218","6,11,98,99,958.15","1,33,010","34,18,210",55.77
SHRIRAMFIN,EQ,19-Jan-2026,995.45,"1,002.00","1,014.50",991.20,"1,008.05","1,010.35","1,005.71","49,08,985","4,93,70,35,186.20","77,473","28,08,732",57.22
SHRIRAMFIN,EQ,16-Jan-2026,981.10,981.00,"1,022.00",981.00,996.95,995.45,"1,003.06","1,33,16,550","13,35,73,05,710.50","2,81,399","81,98,217",61.56
SHRIRAMFIN,EQ,14-Jan-2026,979.05,980.00,990.50,970.40,979.80,981.10,980.53,"38,46,614","3,77,17,04,239.60","76,284","22,27,304",57.90
SHRIRAMFIN,EQ,13-Jan-2026,972.80,975.00,987.65,969.20,980.00,979.05,978.32,"38,60,197","3,77,65,20,113.10","70,259","17,75,567",46.00
SHRIRAMFIN,EQ,12-Jan-2026,975.40,979.00,985.65,962.45,969.05,972.80,972.90,"55,10,203","5,36,08,74,429.25","81,194","29,08,084",52.78
SHRIRAMFIN,EQ,09-Jan-2026,992.90,987.00,993.20,961.00,977.30,975.40,978.09,"69,49,168","6,79,68,94,295.45","1,62,763","43,64,615",62.81
SHRIRAMFIN,EQ,08-Jan-2026,995.85,"1,001.40","1,002.55",981.10,992.00,992.90,993.09,"38,04,564","3,77,82,81,738.65","1,07,139","19,73,547",51.87
SHRIRAMFIN,EQ,07-Jan-2026,"1,002.65",996.05,"1,003.10",990.25,996.00,995.85,996.67,"41,91,098","4,17,71,61,483.00","78,815","29,20,619",69.69
SHRIRAMFIN,EQ,06-Jan-2026,"1,003.35","1,002.50","1,011.75",992.45,"1,001.90","1,002.65","1,001.79","43,52,915","4,36,06,98,684.55","89,578","26,92,949",61.87
SHRIRAMFIN,EQ,05-Jan-2026,"1,010.35","1,013.50","1,014.80",994.65,"1,002.50","1,003.35","1,003.22","46,03,571","4,61,83,81,851.50","88,881","26,33,717",57.21
SHRIRAMFIN,EQ,02-Jan-2026,"1,019.70","1,024.75","1,025.00","1,007.20","1,010.10","1,010.35","1,014.65","52,64,026","5,34,11,28,148.50","1,19,262","25,09,913",47.68
SHRIRAMFIN,EQ,01-Jan-2026,996.20,996.20,"1,025.60",996.00,"1,020.00","1,019.70","1,009.26","42,89,057","4,32,87,82,968.50","88,282","16,19,247",37.75
SHRIRAMFIN,EQ,31-Dec-2025,979.40,983.00,"1,000.20",979.40,996.80,996.20,992.30,"97,95,995","9,72,05,79,319.50","1,84,752","55,59,625",56.75
SHRIRAMFIN,EQ,30-Dec-2025,955.50,960.95,984.60,960.95,974.55,979.40,976.52,"1,77,57,531","17,34,05,31,245.60","2,24,606","1,14,02,177",64.21
SHRIRAMFIN,EQ,29-Dec-2025,960.25,963.00,966.00,949.20,953.50,955.50,954.89,"48,97,735","4,67,68,20,635.60","1,44,681","28,88,369",58.97
SHRIRAMFIN,EQ,26-Dec-2025,973.70,976.55,978.75,956.70,960.40,960.25,962.52,"47,39,099","4,56,14,61,711.60","1,02,449","20,41,435",43.08
