symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SIEMENS,EQ,22-Jan-2025,"5,923.60","5,959.90","5,979.85","5,780.00","5,866.00","5,856.45","5,852.65","2,37,139","1,38,78,91,844.40","48,215","1,16,138",48.97
SIEMENS,EQ,23-Jan-2025,"5,856.45","5,879.95","6,133.00","5,878.85","6,053.00","6,067.85","6,061.87","2,40,349","1,45,69,63,984.30","47,302","84,282",35.07
SIEMENS,EQ,24-Jan-2025,"6,067.85","6,050.00","6,067.00","5,834.20","5,880.00","5,879.70","5,931.29","2,47,172","1,46,60,48,892.20","33,406","1,07,853",43.63
SIEMENS,EQ,27-Jan-2025,"5,879.70","5,860.00","5,860.00","5,680.00","5,773.05","5,787.35","5,770.64","1,95,980","1,13,09,30,921.00","38,060","87,138",44.46
SIEMENS,EQ,28-Jan-2025,"5,787.35","5,932.95","5,965.50","5,600.00","5,680.00","5,684.35","5,707.23","3,48,907","1,99,12,93,599.70","52,089","1,09,061",31.26
SIEMENS,EQ,29-Jan-2025,"5,684.35","5,690.00","5,845.00","5,658.00","5,818.50","5,824.55","5,778.87","1,67,518","96,80,64,681.45","30,132","67,714",40.42
SIEMENS,EQ,30-Jan-2025,"5,824.55","5,841.00","5,942.95","5,792.75","5,866.60","5,874.75","5,875.13","2,95,210","1,73,43,95,864.90","49,623","1,22,645",41.55
SIEMENS,EQ,31-Jan-2025,"5,874.75","5,920.00","6,100.00","5,873.50","6,080.00","6,073.35","6,053.52","4,09,813","2,48,08,12,477.25","54,358","2,39,766",58.51
SIEMENS,EQ,01-Feb-2025,"6,073.35","6,128.00","6,146.00","5,650.00","5,730.00","5,748.25","5,818.37","5,08,897","2,96,09,52,457.30","66,498","1,77,330",34.85
SIEMENS,EQ,03-Feb-2025,"5,748.25","5,752.00","5,770.00","5,182.35","5,250.00","5,225.90","5,290.73","17,31,436","9,16,05,54,561.05","1,85,757","8,44,472",48.77
SIEMENS,EQ,04-Feb-2025,"5,225.90","5,295.00","5,435.00","5,247.85","5,426.00","5,420.55","5,360.61","11,16,985","5,98,77,16,305.70","1,27,516","6,10,091",54.62
SIEMENS,EQ,05-Feb-2025,"5,420.55","5,461.45","5,636.00","5,437.35","5,574.55","5,580.50","5,573.46","5,50,628","3,06,89,01,173.60","73,152","2,02,559",36.79
SIEMENS,EQ,06-Feb-2025,"5,580.50","5,640.00","5,707.70","5,582.00","5,637.60","5,641.00","5,646.72","4,10,310","2,31,69,05,899.25","53,452","1,72,875",42.13
SIEMENS,EQ,07-Feb-2025,"5,641.00","5,688.00","5,700.00","5,448.00","5,514.00","5,505.50","5,520.09","3,96,057","2,18,62,71,272.05","50,523","1,32,297",33.4
SIEMENS,EQ,10-Feb-2025,"5,505.50","5,505.05","5,548.50","5,333.05","5,359.85","5,349.25","5,391.67","3,38,237","1,82,36,61,276.55","52,184","1,90,422",56.3
SIEMENS,EQ,11-Feb-2025,"5,349.25","5,360.05","5,380.00","5,145.75","5,205.85","5,204.85","5,208.68","5,01,463","2,61,19,60,829.25","68,553","3,04,978",60.82
SIEMENS,EQ,12-Feb-2025,"5,204.85","5,200.00","5,294.90","5,007.00","5,160.00","5,199.15","5,136.41","8,09,497","4,15,79,05,367.80","1,45,131","2,35,551",29.1
SIEMENS,EQ,13-Feb-2025,"5,199.15","5,100.00","5,297.30","5,019.05","5,110.00","5,105.25","5,144.82","10,80,831","5,56,06,76,152.00","1,31,086","4,32,471",40.01
SIEMENS,EQ,14-Feb-2025,"5,105.25","5,110.00","5,157.70","4,946.65","4,982.95","4,990.85","5,008.80","3,29,443","1,65,01,15,465.15","49,309","1,32,146",40.11
SIEMENS,EQ,17-Feb-2025,"4,990.85","4,946.95","4,981.75","4,789.15","4,862.00","4,859.30","4,849.69","7,97,168","3,86,60,20,158.75","85,537","4,19,121",52.58
SIEMENS,EQ,18-Feb-2025,"4,859.30","4,908.75","4,938.35","4,752.65","4,809.65","4,843.65","4,832.31","5,14,204","2,48,47,93,354.25","69,352","1,98,979",38.7
SIEMENS,EQ,19-Feb-2025,"4,843.65","4,810.00","4,988.00","4,772.70","4,966.00","4,954.90","4,895.11","6,63,780","3,24,92,78,091.00","64,064","3,49,867",52.71
SIEMENS,EQ,20-Feb-2025,"4,954.90","4,948.00","5,037.85","4,893.10","5,024.45","5,025.90","4,953.32","4,39,939","2,17,91,57,862.00","57,908","2,28,517",51.94
SIEMENS,EQ,21-Feb-2025,"5,025.90","5,010.00","5,059.45","4,856.10","4,925.65","4,921.35","4,921.96","4,57,327","2,25,09,44,741.55","50,997","2,70,895",59.23
SIEMENS,EQ,24-Feb-2025,"4,921.35","4,896.90","4,897.00","4,771.55","4,886.40","4,872.90","4,832.52","5,61,835","2,71,50,76,722.20","73,351","3,20,133",56.98
SIEMENS,EQ,25-Feb-2025,"4,872.90","4,886.00","4,932.60","4,812.50","4,840.85","4,837.75","4,848.76","2,88,010","1,39,64,91,485.25","34,775","1,63,042",56.61
SIEMENS,EQ,27-Feb-2025,"4,837.75","4,840.85","4,867.75","4,658.65","4,669.00","4,686.65","4,700.72","3,76,628","1,77,04,23,384.80","52,822","1,71,922",45.65
SIEMENS,EQ,28-Feb-2025,"4,686.65","4,650.00","4,710.00","4,581.00","4,613.00","4,623.50","4,628.07","5,39,772","2,49,81,04,038.95","81,404","2,98,146",55.24
SIEMENS,EQ,03-Mar-2025,"4,623.50","4,629.95","4,861.00","4,566.00","4,830.00","4,836.70","4,737.04","4,75,900","2,25,43,59,520.35","77,483","1,93,557",40.67
SIEMENS,EQ,04-Mar-2025,"4,836.70","4,739.55","4,969.20","4,739.55","4,915.00","4,931.90","4,912.55","5,82,431","2,86,12,19,843.45","61,810","3,16,717",54.38
SIEMENS,EQ,05-Mar-2025,"4,931.90","4,931.90","5,131.95","4,931.90","5,090.45","5,085.75","5,085.27","7,32,603","3,72,54,83,246.15","72,552","4,61,256",62.96
SIEMENS,EQ,06-Mar-2025,"5,085.75","5,145.00","5,268.25","5,085.80","5,125.00","5,160.30","5,172.06","8,48,811","4,39,00,99,782.00","74,285","4,62,397",54.48
SIEMENS,EQ,07-Mar-2025,"5,160.30","5,161.00","5,173.75","5,045.60","5,102.00","5,106.10","5,111.28","5,87,581","3,00,32,93,044.55","65,485","3,29,046",56.0
SIEMENS,EQ,10-Mar-2025,"5,106.10","5,106.10","5,142.30","4,950.00","4,957.85","4,974.55","5,023.29","3,32,612","1,67,08,07,246.35","59,391","1,46,224",43.96
SIEMENS,EQ,11-Mar-2025,"4,974.55","4,900.00","4,984.45","4,852.00","4,963.85","4,942.05","4,926.64","5,22,140","2,57,23,96,570.95","62,038","3,18,414",60.98
SIEMENS,EQ,12-Mar-2025,"4,942.05","4,989.40","5,009.10","4,810.55","4,915.55","4,905.75","4,887.86","2,44,678","1,19,59,51,024.35","37,125","97,341",39.78
SIEMENS,EQ,13-Mar-2025,"4,905.75","4,949.00","5,087.30","4,891.60","4,929.75","4,927.90","5,000.04","4,08,699","2,04,35,11,502.80","58,002","1,58,968",38.9
SIEMENS,EQ,17-Mar-2025,"4,927.90","4,975.00","4,994.50","4,888.55","4,931.00","4,936.45","4,933.34","2,55,414","1,26,00,44,418.75","49,282","1,27,501",49.92
