symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SRF,EQ,25-Mar-2026,"2,471.60","2,502.00","2,581.80","2,484.80","2,574.30","2,568.10","2,539.88","8,47,207","2,15,17,99,961.90","37,923","5,33,409",62.96
SRF,EQ,24-Mar-2026,"2,391.50","2,470.00","2,479.80","2,386.90","2,479.80","2,471.60","2,432.60","12,85,249","3,12,64,92,518.00","60,521","7,66,260",59.62
SRF,EQ,23-Mar-2026,"2,454.50","2,440.00","2,443.20","2,381.00","2,384.00","2,391.50","2,396.85","6,87,490","1,64,78,10,360.30","56,882","4,02,825",58.59
SRF,EQ,20-Mar-2026,"2,478.80","2,486.00","2,524.50","2,445.30","2,455.00","2,454.50","2,472.53","6,76,836","1,67,34,94,536.80","33,666","3,44,744",50.93
SRF,EQ,19-Mar-2026,"2,569.40","2,505.30","2,547.00","2,467.60","2,480.00","2,478.80","2,485.05","5,13,483","1,27,60,32,530.90","30,293","2,71,391",52.85
SRF,EQ,18-Mar-2026,"2,498.00","2,498.00","2,592.00","2,482.50","2,571.00","2,569.40","2,569.37","7,56,135","1,94,27,88,690.30","51,463","4,44,569",58.79
SRF,EQ,17-Mar-2026,"2,449.00","2,449.00","2,508.50","2,439.90","2,500.00","2,498.00","2,489.90","7,86,987","1,95,95,22,806.50","60,336","4,75,754",60.45
SRF,EQ,16-Mar-2026,"2,499.70","2,484.90","2,523.40","2,425.90","2,445.70","2,449.00","2,478.65","9,73,496","2,41,29,58,013.70","44,424","5,46,316",56.12
SRF,EQ,13-Mar-2026,"2,626.30","2,609.90","2,623.50","2,491.30","2,500.40","2,499.70","2,528.05","6,49,413","1,64,17,51,142.20","37,574","3,26,163",50.22
SRF,EQ,12-Mar-2026,"2,488.70","2,475.10","2,636.80","2,446.60","2,615.10","2,626.30","2,570.18","12,88,113","3,31,06,82,348.90","74,331","5,70,566",44.29
SRF,EQ,11-Mar-2026,"2,596.60","2,604.90","2,608.50","2,475.50","2,493.00","2,488.70","2,523.15","6,17,038","1,55,68,79,534.70","57,302","3,79,990",61.58
SRF,EQ,10-Mar-2026,"2,552.40","2,577.30","2,605.50","2,555.10","2,600.00","2,596.60","2,586.52","2,46,261","63,69,58,621.40","21,802","1,25,237",50.86
SRF,EQ,09-Mar-2026,"2,622.70","2,600.00","2,600.00","2,535.90","2,550.10","2,552.40","2,553.71","2,72,202","69,51,24,644.40","33,318","1,43,354",52.66
SRF,EQ,06-Mar-2026,"2,563.10","2,563.10","2,649.00","2,555.10","2,625.00","2,622.70","2,618.07","3,71,737","97,32,35,316.00","34,984","1,78,941",48.14
SRF,EQ,05-Mar-2026,"2,536.60","2,552.00","2,577.70","2,541.10","2,571.00","2,563.10","2,560.46","4,56,733","1,16,94,48,288.40","30,296","2,85,559",62.52
SRF,EQ,04-Mar-2026,"2,537.00","2,524.80","2,542.20","2,480.20","2,540.40","2,536.60","2,524.58","3,78,542","95,56,60,746.60","28,374","2,39,722",63.33
SRF,EQ,02-Mar-2026,"2,562.20","2,474.90","2,553.00","2,474.90","2,534.40","2,537.00","2,531.41","2,15,252","54,48,91,036.00","26,824","92,133",42.8
SRF,EQ,27-Feb-2026,"2,617.20","2,601.00","2,615.20","2,555.00","2,566.00","2,562.20","2,577.15","6,55,543","1,68,94,31,938.70","33,362","4,78,630",73.01
SRF,EQ,26-Feb-2026,"2,614.90","2,620.00","2,628.80","2,595.30","2,622.00","2,617.20","2,613.04","4,41,973","1,15,48,94,799.50","24,067","3,01,413",68.2
SRF,EQ,25-Feb-2026,"2,583.60","2,594.10","2,619.30","2,571.50","2,613.00","2,614.90","2,596.80","3,77,432","98,01,13,828.20","22,263","2,11,287",55.98
SRF,EQ,24-Feb-2026,"2,646.10","2,625.00","2,632.00","2,553.00","2,591.00","2,583.60","2,587.55","6,02,613","1,55,92,90,089.30","36,616","2,66,046",44.15
SRF,EQ,23-Feb-2026,"2,689.10","2,718.90","2,718.90","2,622.50","2,625.10","2,646.10","2,657.92","4,64,410","1,23,43,66,034.50","26,233","2,69,575",58.05
SRF,EQ,20-Feb-2026,"2,678.70","2,661.00","2,715.50","2,660.30","2,690.00","2,689.10","2,694.46","4,49,654","1,21,15,76,187.50","26,354","2,68,294",59.67
SRF,EQ,19-Feb-2026,"2,730.40","2,740.90","2,741.00","2,663.90","2,672.90","2,678.70","2,687.56","5,50,346","1,47,90,88,538.10","30,846","2,52,616",45.9
SRF,EQ,18-Feb-2026,"2,742.90","2,710.00","2,744.30","2,695.80","2,735.00","2,730.40","2,727.01","4,49,947","1,22,70,08,272.20","24,539","1,87,444",41.66
SRF,EQ,17-Feb-2026,"2,847.80","2,847.70","2,883.10","2,731.10","2,735.80","2,742.90","2,797.95","5,95,424","1,66,59,63,750.30","38,088","1,74,615",29.33
SRF,EQ,16-Feb-2026,"2,833.40","2,830.00","2,852.10","2,792.80","2,845.00","2,847.80","2,839.42","1,10,372","31,33,92,883.60","12,695","50,526",45.78
SRF,EQ,13-Feb-2026,"2,841.50","2,815.00","2,841.00","2,765.60","2,833.00","2,833.40","2,821.77","1,96,550","55,46,18,106.20","17,079","1,04,194",53.01
SRF,EQ,12-Feb-2026,"2,949.10","2,932.30","2,937.40","2,812.50","2,842.50","2,841.50","2,858.85","3,95,601","1,13,09,63,749.50","36,985","1,83,035",46.27
SRF,EQ,11-Feb-2026,"2,961.90","2,951.00","2,959.90","2,914.80","2,933.70","2,949.10","2,940.64","1,49,239","43,88,58,710.30","18,953","80,377",53.86
SRF,EQ,10-Feb-2026,"2,986.70","3,010.00","3,014.90","2,951.00","2,951.00","2,961.90","2,972.05","2,20,571","65,55,48,046.00","21,315","1,18,059",53.52
SRF,EQ,09-Feb-2026,"2,901.60","2,905.60","3,013.90","2,905.60","2,984.60","2,986.70","2,974.12","4,03,307","1,19,94,84,915.40","34,374","1,88,244",46.68
SRF,EQ,06-Feb-2026,"2,906.30","2,898.90","2,919.80","2,863.00","2,900.00","2,901.60","2,888.13","1,37,382","39,67,76,537.20","14,746","69,188",50.36
SRF,EQ,05-Feb-2026,"2,920.60","2,935.30","2,937.90","2,886.20","2,907.60","2,906.30","2,905.62","97,591","28,35,62,764.90","9,195","51,899",53.18
SRF,EQ,04-Feb-2026,"2,912.20","2,890.20","2,943.90","2,888.00","2,926.00","2,920.60","2,921.39","2,54,596","74,37,74,998.20","19,940","1,61,751",63.53
SRF,EQ,03-Feb-2026,"2,801.60","2,999.00","3,081.70","2,903.20","2,916.40","2,912.20","2,961.68","8,11,932","2,40,46,78,786.30","48,768","3,87,210",47.69
SRF,EQ,02-Feb-2026,"2,726.50","2,727.00","2,806.60","2,719.30","2,803.00","2,801.60","2,761.17","1,49,919","41,39,52,241.80","18,031","66,549",44.39
SRF,EQ,01-Feb-2026,"2,816.30","2,792.30","2,881.50","2,711.20","2,729.90","2,726.50","2,818.06","2,02,474","57,05,83,371.70","17,669","47,354",23.39
SRF,EQ,30-Jan-2026,"2,819.90","2,818.00","2,840.40","2,788.40","2,806.10","2,816.30","2,814.46","4,26,581","1,20,05,95,258.20","30,670","2,97,460",69.73
SRF,EQ,29-Jan-2026,"2,817.00","2,835.00","2,835.00","2,782.00","2,815.00","2,819.90","2,810.79","8,81,502","2,47,77,15,616.50","29,931","6,76,273",76.72
SRF,EQ,28-Jan-2026,"2,682.20","2,687.10","2,837.00","2,687.10","2,835.00","2,817.00","2,769.97","6,07,301","1,68,22,07,130.70","44,885","3,57,052",58.79
SRF,EQ,27-Jan-2026,"2,713.70","2,722.90","2,734.80","2,645.00","2,685.00","2,682.20","2,680.88","3,26,475","87,52,40,258.90","36,272","1,72,340",52.79
