symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNPHARMA,EQ,25-Mar-2026,"1,753.30","1,766.70","1,809.50","1,755.50","1,800.00","1,795.40","1,785.66","19,00,794","3,39,41,67,606.50","1,25,871","10,97,790",57.75
SUNPHARMA,EQ,24-Mar-2026,"1,758.40","1,775.00","1,779.90","1,745.10","1,752.80","1,753.30","1,761.15","20,40,152","3,59,30,14,970.10","1,19,804","12,02,139",58.92
SUNPHARMA,EQ,23-Mar-2026,"1,777.10","1,774.80","1,775.00","1,741.10","1,747.10","1,758.40","1,764.85","27,83,613","4,91,26,46,743.70","1,21,645","19,91,026",71.53
SUNPHARMA,EQ,20-Mar-2026,"1,744.40","1,755.10","1,781.30","1,754.30","1,770.60","1,777.10","1,774.66","35,91,446","6,37,36,12,720.00","78,694","24,84,862",69.19
SUNPHARMA,EQ,19-Mar-2026,"1,778.30","1,760.50","1,784.00","1,737.90","1,749.70","1,744.40","1,752.56","23,01,164","4,03,29,17,387.90","83,082","13,79,543",59.95
SUNPHARMA,EQ,18-Mar-2026,"1,794.40","1,799.60","1,805.00","1,773.20","1,781.50","1,778.30","1,786.76","24,36,459","4,35,33,56,898.20","90,241","15,96,551",65.53
SUNPHARMA,EQ,17-Mar-2026,"1,783.20","1,794.10","1,806.10","1,781.10","1,794.50","1,794.40","1,795.18","19,79,497","3,55,35,62,223.70","1,29,978","12,15,934",61.43
SUNPHARMA,EQ,16-Mar-2026,"1,801.60","1,801.60","1,818.00","1,768.80","1,776.00","1,783.20","1,785.28","24,52,391","4,37,82,06,186.40","1,20,063","15,38,387",62.73
SUNPHARMA,EQ,13-Mar-2026,"1,825.30","1,822.00","1,833.30","1,797.00","1,802.00","1,801.60","1,810.04","25,54,627","4,62,39,65,368.90","1,66,930","17,63,193",69.02
SUNPHARMA,EQ,12-Mar-2026,"1,825.90","1,828.00","1,833.60","1,808.40","1,827.00","1,825.30","1,825.31","26,06,057","4,75,68,69,064.90","1,28,965","17,43,505",66.90
SUNPHARMA,EQ,11-Mar-2026,"1,812.80","1,823.00","1,843.00","1,818.10","1,824.00","1,825.90","1,830.67","25,10,495","4,59,58,76,381.50","1,59,363","17,20,506",68.53
SUNPHARMA,EQ,10-Mar-2026,"1,807.40","1,810.00","1,825.10","1,803.30","1,812.00","1,812.80","1,812.29","32,98,680","5,97,81,57,055.00","1,23,750","19,95,455",60.49
SUNPHARMA,EQ,09-Mar-2026,"1,799.40","1,772.90","1,815.00","1,770.00","1,805.00","1,807.40","1,796.08","41,12,775","7,38,68,59,842.70","2,21,649","24,99,751",60.78
SUNPHARMA,EQ,06-Mar-2026,"1,784.50","1,784.50","1,805.60","1,771.80","1,793.50","1,799.40","1,797.42","36,69,921","6,59,63,85,331.30","1,66,486","28,35,071",77.25
SUNPHARMA,EQ,05-Mar-2026,"1,750.50","1,750.00","1,794.90","1,748.00","1,783.70","1,784.50","1,782.03","36,00,895","6,41,68,89,655.70","2,27,357","21,97,937",61.04
SUNPHARMA,EQ,04-Mar-2026,"1,752.50","1,721.20","1,757.20","1,721.00","1,750.00","1,750.50","1,745.68","49,14,857","8,57,97,81,846.40","1,80,680","38,16,259",77.65
SUNPHARMA,EQ,02-Mar-2026,"1,737.00","1,712.00","1,759.90","1,712.00","1,753.20","1,752.50","1,742.46","39,19,270","6,82,91,78,557.70","1,50,940","22,13,826",56.49
SUNPHARMA,EQ,27-Feb-2026,"1,785.70","1,779.00","1,788.10","1,730.90","1,742.90","1,737.00","1,751.28","30,41,489","5,32,64,87,549.70","94,899","23,13,131",76.05
