symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUPREMEIND,EQ,25-Mar-2026,"3,754.40","3,799.40","3,919.60","3,773.20","3,834.20","3,832.00","3,880.87","3,93,484","1,52,70,61,947.70","28,586","2,17,458",55.26
SUPREMEIND,EQ,24-Mar-2026,"3,704.50","3,750.00","3,782.10","3,683.00","3,768.50","3,754.40","3,737.77","2,12,380","79,38,28,119.20","19,388","1,23,856",58.32
SUPREMEIND,EQ,23-Mar-2026,"3,834.40","3,804.80","3,804.80","3,672.50","3,688.00","3,704.50","3,712.32","2,10,951","78,31,16,768.80","21,337","95,614",45.33
SUPREMEIND,EQ,20-Mar-2026,"3,843.40","3,850.00","3,896.90","3,820.30","3,824.00","3,834.40","3,848.01","1,90,267","73,21,49,454.70","17,689","86,397",45.41
SUPREMEIND,EQ,19-Mar-2026,"4,010.80","3,935.00","3,960.10","3,832.10","3,835.80","3,843.40","3,882.00","1,08,587","42,15,34,845.40","14,483","39,381",36.27
SUPREMEIND,EQ,18-Mar-2026,"3,923.90","3,900.00","4,029.00","3,900.00","3,986.00","4,010.80","3,996.73","2,82,357","1,12,85,03,953.80","22,136","85,989",30.45
SUPREMEIND,EQ,17-Mar-2026,"3,927.60","3,927.60","3,970.00","3,865.00","3,960.10","3,923.90","3,908.45","1,82,453","71,31,08,127.50","21,043","1,08,209",59.31
SUPREMEIND,EQ,16-Mar-2026,"3,886.50","3,865.30","3,960.00","3,854.90","3,890.20","3,927.60","3,911.00","1,54,649","60,48,31,854.20","18,350","50,409",32.6
SUPREMEIND,EQ,13-Mar-2026,"4,043.70","4,005.60","4,015.90","3,875.50","3,877.30","3,886.50","3,916.76","2,47,814","97,06,27,388.90","31,010","1,15,688",46.68
SUPREMEIND,EQ,12-Mar-2026,"4,038.00","4,015.00","4,060.00","3,925.10","4,035.00","4,043.70","4,020.68","3,98,294","1,60,14,12,246.60","30,939","2,26,943",56.98
SUPREMEIND,EQ,11-Mar-2026,"3,934.20","3,963.60","4,059.90","3,938.00","4,032.50","4,038.00","4,011.30","8,33,617","3,34,38,89,537.70","48,556","4,81,457",57.76
SUPREMEIND,EQ,10-Mar-2026,"3,815.60","3,861.00","3,956.00","3,861.00","3,947.90","3,934.20","3,920.41","3,29,143","1,29,03,76,296.00","35,609","1,79,987",54.68
SUPREMEIND,EQ,09-Mar-2026,"3,947.70","3,902.60","3,987.90","3,780.20","3,825.90","3,815.60","3,827.08","2,24,138","85,77,93,029.90","20,419","1,08,475",48.4
SUPREMEIND,EQ,06-Mar-2026,"3,950.20","3,950.00","4,067.70","3,935.60","3,952.00","3,947.70","4,007.15","1,81,964","72,91,57,935.30","14,147","79,285",43.57
