symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SYNGENE,EQ,25-Mar-2026,398.85,402.0,423.3,402.0,419.8,418.75,419.3,"27,47,812","1,15,21,49,710.25","53,103","11,32,087",41.2
SYNGENE,EQ,24-Mar-2026,397.85,402.5,406.15,395.05,400.1,398.85,399.2,"9,08,836","36,28,11,747.55","42,208","4,61,434",50.77
SYNGENE,EQ,23-Mar-2026,414.75,408.8,414.7,396.0,397.35,397.85,402.41,"7,28,256","29,30,54,189.25","33,945","4,01,893",55.19
SYNGENE,EQ,20-Mar-2026,407.85,407.85,417.8,407.85,415.0,414.75,414.79,"10,84,878","44,99,95,554.50","34,480","6,29,180",58.0
SYNGENE,EQ,19-Mar-2026,419.85,415.0,419.8,406.25,408.2,407.85,410.54,"5,75,439","23,62,40,274.15","32,850","2,51,823",43.76
SYNGENE,EQ,18-Mar-2026,411.05,412.1,426.35,412.1,418.65,419.85,421.13,"8,94,457","37,66,86,037.85","21,984","4,18,790",46.82
SYNGENE,EQ,17-Mar-2026,410.15,409.5,415.3,407.8,411.0,411.05,411.69,"8,18,059","33,67,82,700.25","39,287","3,53,456",43.21
SYNGENE,EQ,16-Mar-2026,420.85,424.35,426.2,405.45,409.7,410.15,413.04,"18,06,446","74,61,33,687.20","30,222","6,08,370",33.68
SYNGENE,EQ,13-Mar-2026,404.1,405.9,428.0,405.0,420.6,420.85,422.65,"97,86,652","4,13,63,61,049.65","1,44,974","26,53,252",27.11
SYNGENE,EQ,12-Mar-2026,408.15,407.3,408.6,396.2,405.45,404.1,403.2,"6,32,047","25,48,43,403.90","19,721","2,27,150",35.94
SYNGENE,EQ,11-Mar-2026,409.3,409.0,416.85,405.5,407.0,408.15,410.73,"6,14,892","25,25,57,466.75","15,473","3,22,222",52.4
SYNGENE,EQ,10-Mar-2026,398.65,398.1,411.45,398.1,410.0,409.3,405.65,"6,75,580","27,40,46,793.30","15,198","2,96,183",43.84
SYNGENE,EQ,09-Mar-2026,399.7,396.6,400.4,387.05,399.0,398.65,394.98,"8,09,950","31,99,15,212.55","34,333","3,64,135",44.96
SYNGENE,EQ,06-Mar-2026,403.7,403.7,407.45,398.0,399.8,399.7,401.36,"4,98,160","19,99,40,292.00","12,332","2,32,994",46.77
