symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATACHEM,EQ,25-Mar-2026,608.10,613.00,634.85,610.85,623.00,625.20,628.25,"6,24,408","39,22,84,995.95","23,766","3,01,539",48.29
TATACHEM,EQ,24-Mar-2026,608.85,612.00,619.35,601.75,609.00,608.10,609.72,"6,34,194","38,66,81,333.65","23,539","3,37,825",53.27
TATACHEM,EQ,23-Mar-2026,633.30,618.90,618.90,595.25,609.85,608.85,604.88,"9,69,036","58,61,53,397.70","48,290","4,23,851",43.74
TATACHEM,EQ,20-Mar-2026,636.85,638.00,647.90,631.1,634.90,633.30,639.12,"4,53,520","28,98,51,876.75","20,028","2,56,898",56.65
TATACHEM,EQ,19-Mar-2026,650.45,648.00,650.70,634.05,635.80,636.85,643.90,"4,31,853","27,80,72,029.40","22,879","2,39,098",55.37
TATACHEM,EQ,18-Mar-2026,656.10,657.95,662.80,648.65,650.85,650.45,654.21,"7,45,565","48,77,59,592.35","31,798","4,47,646",60.04
TATACHEM,EQ,17-Mar-2026,656.85,660.00,662.20,651.6,656.45,656.10,656.56,"3,95,002","25,93,41,603.45","18,092","2,12,278",53.74
TATACHEM,EQ,16-Mar-2026,670.80,670.00,673.00,650.5,657.85,656.85,659.60,"6,10,608","40,27,59,242.40","30,277","3,26,636",53.49
TATACHEM,EQ,13-Mar-2026,683.15,682.00,683.95,668.1,672.00,670.80,673.03,"3,39,368","22,84,03,552.30","17,834","2,05,337",60.51
TATACHEM,EQ,12-Mar-2026,688.80,685.00,692.60,675.6,682.00,683.15,683.59,"3,30,591","22,59,88,774.85","18,361","1,52,096",46.01
TATACHEM,EQ,11-Mar-2026,692.05,692.50,699.90,687.0,688.10,688.80,694.62,"3,47,160","24,11,45,048.80","15,417","2,00,207",57.67
TATACHEM,EQ,10-Mar-2026,697.95,697.95,704.90,688.9,693.00,692.05,692.54,"3,35,989","23,26,86,133.20","15,371","1,59,143",47.37
TATACHEM,EQ,09-Mar-2026,707.10,694.00,700.00,684.6,696.30,697.95,693.92,"3,75,985","26,09,01,639.10","18,009","1,99,342",53.02
TATACHEM,EQ,06-Mar-2026,712.25,710.10,716.70,705.0,707.20,707.10,710.99,"1,96,705","13,98,55,473.90","9,051","88,788",45.14
TATACHEM,EQ,05-Mar-2026,707.70,713.90,719.60,706.8,711.00,712.25,712.18,"5,76,635","41,06,70,581.90","27,922","2,79,755",48.52
TATACHEM,EQ,04-Mar-2026,710.45,700.00,714.80,690.2,694.15,707.70,699.83,"4,68,919","32,81,65,503.85","20,970","2,44,379",52.12
TATACHEM,EQ,02-Mar-2026,717.40,690.00,713.15,690.0,707.15,710.45,703.69,"4,86,232","34,21,54,917.90","21,353","2,42,826",49.94
TATACHEM,EQ,27-Feb-2026,716.05,716.80,718.95,706.0,717.40,717.40,714.86,"4,76,011","34,02,83,042.20","16,841","2,59,760",54.57
TATACHEM,EQ,26-Feb-2026,719.35,720.00,726.90,713.2,715.00,716.05,719.41,"2,64,578","19,03,39,625.70","11,266","1,36,738",51.68
TATACHEM,EQ,25-Feb-2026,710.00,710.50,723.55,705.6,720.70,719.35,714.19,"5,44,976","38,92,14,910.05","19,451","3,21,593",59.01
TATACHEM,EQ,24-Feb-2026,714.45,710.25,715.90,699.1,710.20,710.00,707.25,"4,71,472","33,34,46,828.75","21,000","2,16,579",45.94
TATACHEM,EQ,23-Feb-2026,716.10,716.10,716.70,700.7,707.90,714.45,710.67,"4,05,624","28,82,65,152.80","19,117","2,20,152",54.27
TATACHEM,EQ,20-Feb-2026,705.10,705.00,717.90,698.35,713.00,716.10,710.93,"5,95,900","42,36,40,413.45","19,907","2,76,397",46.38
TATACHEM,EQ,19-Feb-2026,690.00,693.10,714.90,688.8,705.90,705.10,705.17,"8,88,403","62,64,78,473.05","24,832","2,85,696",32.16
TATACHEM,EQ,18-Feb-2026,694.65,692.00,706.95,687.9,690.00,690.00,693.33,"5,09,030","35,29,27,784.95","18,135","2,23,142",43.84
TATACHEM,EQ,17-Feb-2026,691.85,691.85,705.55,691.85,694.00,694.65,697.00,"3,77,175","26,28,92,580.95","14,990","1,36,256",36.13
TATACHEM,EQ,16-Feb-2026,695.25,688.00,695.00,684.25,694.85,691.85,687.36,"5,83,745","40,12,44,140.40","15,759","3,80,395",65.16
TATACHEM,EQ,13-Feb-2026,698.70,698.50,700.00,687.85,696.35,695.25,692.94,"2,53,439","17,56,18,110.25","14,570","1,14,293",45.1
TATACHEM,EQ,12-Feb-2026,709.60,708.00,709.00,697.7,700.30,698.70,700.94,"4,22,323","29,60,21,876.20","18,108","2,34,504",55.53
TATACHEM,EQ,11-Feb-2026,715.80,718.95,721.30,706.2,710.00,709.60,709.82,"5,13,321","36,43,63,934.75","17,901","2,68,048",52.22
TATACHEM,EQ,10-Feb-2026,709.45,711.75,736.70,711.2,717.80,715.80,724.17,"8,07,629","58,48,58,341.30","26,478","2,63,272",32.6
TATACHEM,EQ,09-Feb-2026,703.90,710.95,719.85,708.0,709.35,709.45,711.48,"6,38,190","45,40,60,162.00","20,883","3,35,414",52.56
TATACHEM,EQ,06-Feb-2026,709.75,709.00,714.80,702.0,703.95,703.90,705.39,"2,80,043","19,75,39,365.85","13,628","1,44,520",51.61
TATACHEM,EQ,05-Feb-2026,717.45,718.95,718.95,708.05,709.00,709.75,711.70,"3,44,456","24,51,48,858.55","16,122","1,85,351",53.81
TATACHEM,EQ,04-Feb-2026,725.40,720.20,720.40,714.2,718.00,717.45,717.22,"3,41,172","24,46,95,848.95","14,886","1,44,585",42.38
TATACHEM,EQ,03-Feb-2026,726.60,757.00,764.90,721.5,724.00,725.40,728.23,"7,34,434","53,48,38,995.00","31,868","2,34,497",31.93
TATACHEM,EQ,02-Feb-2026,742.90,740.25,740.25,717.5,727.00,726.60,725.05,"3,31,098","24,00,61,561.05","20,683","1,51,510",45.76
TATACHEM,EQ,01-Feb-2026,745.65,745.00,752.00,721.65,743.30,742.90,738.04,"2,47,822","18,29,02,360.00","13,715","86,741",35.0
TATACHEM,EQ,30-Jan-2026,722.80,721.05,751.20,715.25,745.00,745.65,740.70,"4,53,484","33,58,97,558.00","28,416","2,29,722",50.66
TATACHEM,EQ,29-Jan-2026,727.30,730.00,736.20,715.6,725.20,722.80,721.53,"2,11,987","15,29,55,598.85","12,644","1,01,925",48.08
TATACHEM,EQ,28-Jan-2026,710.65,713.95,729.00,712.85,728.00,727.30,720.32,"2,17,857","15,69,27,444.20","11,146","99,929",45.87
TATACHEM,EQ,27-Jan-2026,713.50,712.00,718.10,703.1,715.00,710.65,710.68,"2,90,418","20,63,95,106.50","17,882","1,21,982",42.0
TATACHEM,EQ,23-Jan-2026,729.65,738.75,738.75,712.0,714.00,713.50,720.33,"2,74,401","19,76,58,905.90","14,474","1,43,174",52.18
TATACHEM,EQ,22-Jan-2026,693.80,706.95,734.45,702.0,733.00,729.65,723.58,"10,29,825","74,51,57,793.50","42,570","2,71,495",26.36
TATACHEM,EQ,21-Jan-2026,730.95,728.00,729.50,692.0,695.30,693.80,703.96,"9,88,483","69,58,47,840.90","44,036","4,53,341",45.86
TATACHEM,EQ,20-Jan-2026,746.20,746.20,746.30,724.15,730.95,730.95,736.50,"4,02,314","29,63,05,143.50","24,343","2,08,569",51.84
TATACHEM,EQ,19-Jan-2026,755.05,754.00,754.85,744.3,746.00,746.20,748.39,"2,26,913","16,98,19,114.05","11,514","1,27,219",56.07
TATACHEM,EQ,16-Jan-2026,770.35,770.35,773.15,752.7,754.85,755.05,760.57,"2,81,881","21,43,89,063.45","18,108","1,63,376",57.96
TATACHEM,EQ,14-Jan-2026,762.80,762.80,775.00,758.95,768.10,770.35,769.40,"3,60,851","27,76,39,504.30","22,355","1,78,818",49.55
TATACHEM,EQ,13-Jan-2026,750.50,752.75,764.50,751.6,763.00,762.80,759.11,"2,81,800","21,39,17,738.00","16,737","1,20,069",42.61
TATACHEM,EQ,12-Jan-2026,746.95,749.70,755.65,742.5,751.25,750.50,749.54,"3,44,620","25,83,05,209.00","18,978","1,12,672",32.69
TATACHEM,EQ,09-Jan-2026,763.95,763.95,766.85,745.0,749.80,746.95,752.65,"3,50,649","26,39,16,148.15","19,919","1,69,429",48.32
TATACHEM,EQ,08-Jan-2026,783.95,786.00,788.60,760.95,763.05,763.95,770.43,"5,39,653","41,57,63,904.90","26,736","2,11,888",39.26
TATACHEM,EQ,07-Jan-2026,754.90,757.00,786.00,752.25,784.00,783.95,775.00,"9,54,648","73,98,49,986.05","32,484","4,01,233",42.03
TATACHEM,EQ,06-Jan-2026,746.45,748.55,757.00,742.25,755.75,754.90,751.35,"4,73,633","35,58,63,008.50","19,915","2,37,017",50.04
TATACHEM,EQ,05-Jan-2026,755.25,755.25,755.40,745.0,746.80,746.45,747.96,"4,42,421","33,09,11,634.05","21,339","2,82,420",63.84
TATACHEM,EQ,02-Jan-2026,751.15,755.95,756.95,749.0,755.00,755.25,753.72,"2,98,532","22,50,10,305.75","11,011","1,49,384",50.04
TATACHEM,EQ,01-Jan-2026,765.55,768.05,771.95,750.0,752.60,751.15,754.79,"3,82,360","28,86,01,562.95","18,707","1,79,729",47.01
TATACHEM,EQ,31-Dec-2025,748.40,748.40,770.85,748.4,766.95,765.55,764.58,"3,66,539","28,02,46,661.50","17,337","1,52,886",41.71
TATACHEM,EQ,30-Dec-2025,761.10,760.00,763.95,745.0,749.00,748.40,751.69,"3,91,003","29,39,14,677.15","26,403","2,16,559",55.39
TATACHEM,EQ,29-Dec-2025,763.00,763.00,768.75,758.6,760.00,761.10,762.80,"2,23,566","17,05,36,677.65","11,625","93,612",41.87
TATACHEM,EQ,26-Dec-2025,765.45,768.90,772.70,758.0,763.70,763.00,766.76,"3,44,460","26,41,18,210.25","13,505","1,27,157",36.91
TATACHEM,EQ,24-Dec-2025,776.65,776.90,780.40,764.2,764.75,765.45,769.64,"3,49,878","26,92,79,026.45","11,754","1,77,838",50.83
TATACHEM,EQ,23-Dec-2025,768.50,773.95,780.05,767.55,776.90,776.65,774.61,"2,78,342","21,56,05,438.45","12,194","1,30,404",46.85
TATACHEM,EQ,22-Dec-2025,761.30,769.95,776.90,765.0,769.00,768.50,769.68,"3,98,928","30,70,45,940.80","17,700","1,25,839",31.54
TATACHEM,EQ,19-Dec-2025,748.90,748.90,763.75,748.9,763.00,761.30,757.48,"2,20,661","16,71,47,219.15","11,597","96,652",43.8
TATACHEM,EQ,18-Dec-2025,751.65,751.15,754.65,745.1,749.80,748.90,749.25,"2,11,228","15,82,61,695.15","11,375","81,762",38.71
TATACHEM,EQ,17-Dec-2025,755.90,755.90,759.80,750.0,752.00,751.65,754.36,"2,00,303","15,11,00,640.20","9,609","96,729",48.29
TATACHEM,EQ,16-Dec-2025,765.90,765.00,770.40,754.0,756.30,755.90,761.63,"2,90,849","22,15,18,992.40","15,017","1,44,904",49.82
TATACHEM,EQ,15-Dec-2025,758.85,760.05,767.80,757.0,766.10,765.90,762.21,"2,58,826","19,72,78,984.05","10,392","1,24,391",48.06
TATACHEM,EQ,12-Dec-2025,753.80,758.40,762.90,755.0,759.40,758.85,758.59,"1,98,265","15,04,02,236.40","10,972","1,04,278",52.6
TATACHEM,EQ,11-Dec-2025,752.60,757.20,759.45,748.6,754.60,753.80,753.60,"3,23,029","24,34,36,268.85","17,528","1,58,466",49.06
TATACHEM,EQ,10-Dec-2025,749.40,755.00,768.00,751.0,754.65,752.60,759.94,"4,28,932","32,59,63,434.50","19,669","1,55,904",36.35
TATACHEM,EQ,09-Dec-2025,762.95,762.40,763.20,747.0,751.85,749.40,751.89,"6,36,614","47,86,65,098.20","26,123","4,20,586",66.07
TATACHEM,EQ,08-Dec-2025,774.05,774.05,779.00,754.8,763.25,762.95,762.33,"4,50,436","34,33,78,686.20","28,156","2,37,578",52.74
TATACHEM,EQ,05-Dec-2025,782.10,784.95,784.95,771.0,774.45,774.05,774.39,"2,62,657","20,33,99,645.75","13,288","1,33,782",50.93
TATACHEM,EQ,04-Dec-2025,783.10,783.10,788.40,780.2,782.20,782.10,784.15,"1,52,764","11,97,90,122.20","9,858","75,406",49.36
TATACHEM,EQ,03-Dec-2025,789.80,790.00,790.40,776.7,784.00,783.10,781.40,"3,23,179","25,25,32,937.95","14,734","1,34,768",41.7
TATACHEM,EQ,02-Dec-2025,795.40,796.00,798.70,786.05,789.45,789.80,790.34,"3,04,008","24,02,71,159.10","16,185","1,86,682",61.41
TATACHEM,EQ,01-Dec-2025,800.40,800.95,804.90,794.0,795.45,795.40,797.44,"2,45,235","19,55,60,801.95","14,445","1,18,066",48.14
TATACHEM,EQ,28-Nov-2025,808.25,808.20,808.25,799.0,800.95,800.40,802.22,"2,96,918","23,81,94,045.40","11,324","1,60,139",53.93
TATACHEM,EQ,27-Nov-2025,815.00,812.95,820.00,804.65,806.00,808.25,811.65,"2,60,321","21,12,90,407.65","11,090","82,207",31.58
TATACHEM,EQ,26-Nov-2025,803.90,808.75,820.00,798.7,811.60,815.00,808.88,"5,08,429","41,12,58,727.85","19,770","1,93,477",38.05
TATACHEM,EQ,25-Nov-2025,804.10,807.70,809.70,797.0,805.90,803.90,802.41,"3,10,868","24,94,42,767.95","14,117","1,33,376",42.9
TATACHEM,EQ,24-Nov-2025,810.00,815.05,823.35,800.05,804.20,804.10,807.60,"4,04,649","32,67,95,230.40","19,191","1,95,855",48.4
TATACHEM,EQ,21-Nov-2025,818.90,817.70,818.90,808.0,808.75,810.00,811.42,"2,74,808","22,29,85,752.95","13,867","1,67,676",61.02
TATACHEM,EQ,20-Nov-2025,819.40,824.95,826.20,817.15,817.80,818.90,821.01,"2,41,226","19,80,49,194.60","12,471","1,17,702",48.79
TATACHEM,EQ,19-Nov-2025,826.70,826.00,829.00,817.0,818.50,819.40,821.44,"2,59,722","21,33,45,770.25","13,977","1,60,330",61.73
TATACHEM,EQ,18-Nov-2025,834.45,836.00,837.85,824.7,825.00,826.70,829.39,"2,62,160","21,74,33,835.05","13,653","1,50,647",57.46
TATACHEM,EQ,17-Nov-2025,832.75,832.95,843.05,831.0,834.95,834.45,836.74,"2,64,669","22,14,59,740.15","12,960","1,32,995",50.25
TATACHEM,EQ,14-Nov-2025,841.50,842.05,847.35,830.1,833.00,832.75,835.97,"3,44,387","28,78,98,318.15","17,199","1,92,703",55.96
TATACHEM,EQ,13-Nov-2025,852.35,852.35,858.60,818.95,841.00,841.50,844.37,"4,66,428","39,38,35,721.85","19,312","2,37,551",50.93
TATACHEM,EQ,12-Nov-2025,842.30,842.45,858.95,842.45,852.50,852.35,852.73,"3,69,400","31,49,98,920.75","16,726","1,62,866",44.09
TATACHEM,EQ,11-Nov-2025,840.45,841.35,848.85,833.4,842.20,842.30,839.24,"3,52,898","29,61,66,237.00","20,603","1,62,548",46.06
TATACHEM,EQ,10-Nov-2025,858.10,861.70,864.60,839.1,841.00,840.45,845.20,"4,69,283","39,66,38,665.90","26,481","2,72,228",58.01
TATACHEM,EQ,07-Nov-2025,872.85,876.40,876.40,854.95,859.50,858.10,860.70,"4,16,512","35,84,92,281.65","21,922","2,20,450",52.93
TATACHEM,EQ,06-Nov-2025,892.35,893.95,894.00,870.35,870.90,872.85,879.94,"2,47,626","21,78,95,135.35","13,040","1,33,406",53.87
TATACHEM,EQ,04-Nov-2025,875.35,876.95,894.95,876.9,892.00,892.35,889.37,"6,43,129","57,19,79,780.25","20,109","3,02,904",47.1
TATACHEM,EQ,03-Nov-2025,890.65,867.00,877.00,858.1,875.50,875.35,868.57,"9,50,452","82,55,38,204.00","28,918","3,00,124",31.58
TATACHEM,EQ,31-Oct-2025,900.75,902.85,909.00,890.0,891.80,890.65,894.31,"3,50,018","31,30,23,719.10","20,451","2,13,692",61.05
TATACHEM,EQ,30-Oct-2025,912.50,912.50,915.15,897.1,901.00,900.75,903.26,"2,92,070","26,38,14,693.25","12,087","1,68,198",57.59
TATACHEM,EQ,29-Oct-2025,903.85,907.55,914.75,902.1,912.00,912.50,910.35,"4,80,055","43,70,16,751.25","17,914","2,92,565",60.94
TATACHEM,EQ,28-Oct-2025,893.55,901.00,912.10,901.0,903.85,903.85,905.42,"4,53,366","41,04,84,881.35","14,643","1,74,038",38.39
TATACHEM,EQ,27-Oct-2025,899.85,901.00,902.60,891.1,893.30,893.55,894.79,"3,14,412","28,13,33,282.50","16,042","1,59,752",50.81
