symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATACONSUM,EQ,25-Mar-2026,"1,053.10","1,053.10","1,073.00","1,050.60","1,059.80","1,056.10","1,062.21","15,66,241","1,66,36,83,679.60","94,288","9,98,084",63.72
TATACONSUM,EQ,24-Mar-2026,"1,023.60","1,030.90","1,059.50","1,022.80","1,055.00","1,053.10","1,046.61","14,23,695","1,49,00,55,637.00","66,019","9,30,229",65.34
TATACONSUM,EQ,23-Mar-2026,"1,050.20","1,036.10","1,042.00","1,019.60","1,025.50","1,023.60","1,032.67","20,06,447","2,07,20,06,825.40","96,297","12,56,294",62.61
TATACONSUM,EQ,20-Mar-2026,"1,044.60","1,054.70","1,056.00","1,043.50","1,049.00","1,050.20","1,049.78","20,95,970","2,20,03,11,976.50","73,826","14,10,438",67.29
TATACONSUM,EQ,19-Mar-2026,"1,075.10","1,055.10","1,067.90","1,039.40","1,047.50","1,044.60","1,046.88","7,47,138","78,21,65,060.80","60,980","3,73,478",49.99
TATACONSUM,EQ,18-Mar-2026,"1,078.00","1,075.60","1,085.20","1,068.00","1,071.00","1,075.10","1,077.10","10,92,393","1,17,66,13,036.70","55,879","6,08,305",55.69
TATACONSUM,EQ,17-Mar-2026,"1,092.70","1,092.70","1,104.20","1,074.00","1,077.50","1,078.00","1,084.42","19,98,285","2,16,69,82,489.90","66,108","11,24,012",56.25
TATACONSUM,EQ,16-Mar-2026,"1,083.60","1,083.60","1,099.70","1,071.00","1,087.00","1,092.70","1,088.61","15,27,989","1,66,33,76,483.10","49,747","8,27,255",54.14
TATACONSUM,EQ,13-Mar-2026,"1,057.80","1,049.00","1,093.90","1,048.00","1,082.00","1,083.60","1,080.24","28,55,691","3,08,48,33,536.90","87,915","12,77,840",44.75
TATACONSUM,EQ,12-Mar-2026,"1,073.40","1,070.50","1,072.80","1,051.40","1,057.00","1,057.80","1,061.45","9,61,388","1,02,04,63,556.00","64,674","5,14,630",53.53
TATACONSUM,EQ,11-Mar-2026,"1,099.50","1,102.00","1,102.10","1,070.20","1,070.80","1,073.40","1,079.48","10,66,872","1,15,16,71,088.50","55,655","5,70,868",53.51
TATACONSUM,EQ,10-Mar-2026,"1,102.50","1,102.40","1,111.00","1,096.00","1,100.00","1,099.50","1,102.55","11,65,119","1,28,46,01,018.70","48,512","6,42,648",55.16
TATACONSUM,EQ,09-Mar-2026,"1,116.70","1,086.70","1,106.90","1,082.50","1,099.00","1,102.50","1,095.72","10,07,371","1,10,37,98,990.80","56,881","6,12,195",60.77
TATACONSUM,EQ,06-Mar-2026,"1,119.10","1,119.10","1,128.70","1,112.10","1,118.70","1,116.70","1,119.85","9,19,798","1,03,00,33,595.60","51,433","5,42,818",59.01
TATACONSUM,EQ,05-Mar-2026,"1,110.60","1,112.30","1,123.70","1,095.80","1,121.10","1,119.10","1,107.77","13,68,338","1,51,58,07,152.10","69,259","8,37,542",61.21
TATACONSUM,EQ,04-Mar-2026,"1,125.20","1,114.50","1,118.80","1,098.70","1,113.30","1,110.60","1,109.78","12,21,984","1,35,61,35,927.20","80,100","6,95,630",56.93
TATACONSUM,EQ,02-Mar-2026,"1,141.00","1,110.80","1,145.80","1,110.80","1,124.50","1,125.20","1,122.82","13,68,110","1,53,61,47,039.90","71,677","6,19,385",45.27
TATACONSUM,EQ,27-Feb-2026,"1,159.50","1,151.10","1,159.50","1,134.90","1,145.00","1,141.00","1,141.53","20,35,788","2,32,39,05,995.90","54,142","14,50,475",71.25
TATACONSUM,EQ,26-Feb-2026,"1,172.30","1,172.00","1,177.40","1,153.50","1,157.00","1,159.50","1,163.59","6,29,003","73,19,01,824.40","42,821","3,16,460",50.31
TATACONSUM,EQ,25-Feb-2026,"1,178.00","1,183.10","1,185.00","1,161.00","1,174.50","1,172.30","1,171.23","5,65,726","66,25,96,432.60","40,003","3,33,325",58.92
TATACONSUM,EQ,24-Feb-2026,"1,171.80","1,161.00","1,182.40","1,160.70","1,176.00","1,178.00","1,174.09","6,25,615","73,45,28,273.50","35,466","3,26,113",52.13
TATACONSUM,EQ,23-Feb-2026,"1,156.20","1,156.20","1,179.50","1,155.20","1,170.00","1,171.80","1,171.80","6,23,773","73,09,34,286.30","31,842","2,87,987",46.17
TATACONSUM,EQ,20-Feb-2026,"1,160.50","1,162.10","1,168.50","1,153.50","1,155.20","1,156.20","1,159.35","4,84,995","56,22,81,234.40","24,099","2,48,451",51.23
TATACONSUM,EQ,19-Feb-2026,"1,169.70","1,169.00","1,169.00","1,151.70","1,162.10","1,160.50","1,160.57","9,94,383","1,15,40,51,899.80","41,918","6,23,999",62.75
TATACONSUM,EQ,18-Feb-2026,"1,148.50","1,148.00","1,173.20","1,145.80","1,167.00","1,169.70","1,164.20","6,41,938","74,73,41,460.30","29,141","3,85,605",60.07
TATACONSUM,EQ,17-Feb-2026,"1,139.20","1,133.50","1,151.00","1,131.70","1,148.00","1,148.50","1,144.51","4,42,621","50,65,85,310.60","22,166","1,98,693",44.89
TATACONSUM,EQ,16-Feb-2026,"1,132.20","1,128.50","1,141.80","1,117.10","1,138.80","1,139.20","1,134.99","7,80,629","88,60,09,837.50","23,864","4,30,852",55.19
TATACONSUM,EQ,13-Feb-2026,"1,149.30","1,148.90","1,154.00","1,125.40","1,130.30","1,132.20","1,137.45","5,25,887","59,81,71,252.90","25,039","2,92,377",55.6
TATACONSUM,EQ,12-Feb-2026,"1,152.60","1,157.00","1,157.00","1,142.30","1,149.50","1,149.30","1,149.33","6,24,666","71,79,48,907.90","27,031","3,60,406",57.7
TATACONSUM,EQ,11-Feb-2026,"1,152.20","1,157.60","1,166.20","1,150.20","1,150.20","1,152.60","1,154.64","7,51,635","86,78,65,398.50","28,926","3,92,940",52.28
TATACONSUM,EQ,10-Feb-2026,"1,167.20","1,167.20","1,167.80","1,148.60","1,153.00","1,152.20","1,154.49","9,78,264","1,12,93,96,395.60","28,298","6,19,622",63.34
TATACONSUM,EQ,09-Feb-2026,"1,159.30","1,159.30","1,175.00","1,156.00","1,163.20","1,167.20","1,163.79","11,05,510","1,28,65,85,178.90","32,683","6,61,522",59.84
TATACONSUM,EQ,06-Feb-2026,"1,155.90","1,146.00","1,162.00","1,146.00","1,157.20","1,159.30","1,153.49","8,30,634","95,81,26,600.10","23,339","4,94,599",59.54
TATACONSUM,EQ,05-Feb-2026,"1,153.00","1,149.50","1,163.60","1,145.30","1,151.80","1,155.90","1,152.02","11,62,295","1,33,89,82,755.20","35,381","6,66,034",57.3
TATACONSUM,EQ,04-Feb-2026,"1,155.40","1,154.00","1,170.70","1,145.90","1,148.60","1,153.00","1,157.27","11,09,383","1,28,38,51,045.00","34,498","6,44,414",58.09
TATACONSUM,EQ,03-Feb-2026,"1,125.40","1,148.90","1,180.90","1,136.10","1,155.40","1,155.40","1,152.94","12,54,462","1,44,63,13,788.10","54,706","5,86,980",46.79
TATACONSUM,EQ,02-Feb-2026,"1,087.30","1,092.90","1,132.70","1,084.00","1,121.10","1,125.40","1,115.19","17,76,779","1,98,14,40,160.00","72,956","7,23,729",40.73
TATACONSUM,EQ,01-Feb-2026,"1,133.90","1,134.00","1,149.00","1,077.00","1,085.00","1,087.30","1,114.01","11,65,217","1,29,80,67,565.30","43,154","2,89,108",24.81
TATACONSUM,EQ,30-Jan-2026,"1,107.20","1,106.50","1,138.90","1,100.10","1,132.00","1,133.90","1,131.26","25,70,464","2,90,78,75,816.80","68,247","13,75,642",53.52
TATACONSUM,EQ,29-Jan-2026,"1,131.80","1,130.00","1,131.40","1,100.10","1,103.10","1,107.20","1,109.48","27,86,421","3,09,14,68,896.20","87,409","18,17,711",65.23
TATACONSUM,EQ,28-Jan-2026,"1,187.40","1,190.00","1,192.70","1,114.00","1,133.40","1,131.80","1,130.10","45,60,055","5,15,33,14,046.20","1,41,313","20,38,440",44.7
TATACONSUM,EQ,27-Jan-2026,"1,153.50","1,158.60","1,200.00","1,149.50","1,189.50","1,187.40","1,177.25","38,44,021","4,52,53,85,986.80","1,14,420","13,85,947",36.05
TATACONSUM,EQ,23-Jan-2026,"1,175.20","1,178.50","1,187.80","1,149.70","1,155.00","1,153.50","1,167.15","14,56,971","1,70,05,09,876.50","48,620","8,64,325",59.32
TATACONSUM,EQ,22-Jan-2026,"1,163.60","1,165.40","1,188.50","1,163.70","1,175.00","1,175.20","1,176.51","14,95,139","1,75,90,44,202.40","43,747","9,51,936",63.67
TATACONSUM,EQ,21-Jan-2026,"1,185.00","1,180.50","1,197.50","1,158.70","1,165.00","1,163.60","1,174.23","9,46,906","1,11,18,84,343.20","52,276","4,35,543",46.0
TATACONSUM,EQ,20-Jan-2026,"1,180.20","1,180.00","1,203.90","1,176.30","1,183.50","1,185.00","1,192.70","20,27,446","2,41,81,29,951.90","49,919","10,43,524",51.47
TATACONSUM,EQ,19-Jan-2026,"1,189.10","1,180.20","1,188.60","1,174.00","1,176.00","1,180.20","1,183.02","5,47,580","64,77,97,328.10","26,211","3,08,121",56.27
TATACONSUM,EQ,16-Jan-2026,"1,171.40","1,171.30","1,199.70","1,166.30","1,188.00","1,189.10","1,189.90","12,50,225","1,48,76,40,960.10","39,783","7,62,611",61.0
TATACONSUM,EQ,14-Jan-2026,"1,189.40","1,189.40","1,191.00","1,168.60","1,169.00","1,171.40","1,174.60","5,77,684","67,85,45,088.60","35,722","3,18,891",55.2
TATACONSUM,EQ,13-Jan-2026,"1,192.30","1,190.00","1,198.30","1,181.30","1,188.80","1,189.40","1,190.79","5,98,454","71,26,34,288.70","25,663","3,00,718",50.25
TATACONSUM,EQ,12-Jan-2026,"1,175.90","1,173.50","1,196.70","1,173.50","1,190.20","1,192.30","1,187.00","6,63,978","78,81,42,150.80","33,990","2,17,794",32.8
TATACONSUM,EQ,09-Jan-2026,"1,197.40","1,197.30","1,207.80","1,173.80","1,178.90","1,175.90","1,187.35","5,55,547","65,96,30,033.50","28,651","2,68,035",48.25
TATACONSUM,EQ,08-Jan-2026,"1,212.60","1,212.00","1,212.00","1,193.00","1,197.50","1,197.40","1,198.78","5,62,710","67,45,64,350.90","32,218","2,66,144",47.3
