symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAELXSI,EQ,25-Mar-2026,"4,180.20","4,205.60","4,288.00","4,187.50","4,204.50","4,213.40","4,241.20","2,62,185","1,11,19,77,744.10","27,805","90,111",34.37
TATAELXSI,EQ,24-Mar-2026,"4,130.60","4,216.00","4,280.00","4,100.00","4,160.00","4,180.20","4,175.29","2,91,011","1,21,50,55,713.90","33,654","68,061",23.39
TATAELXSI,EQ,23-Mar-2026,"4,237.70","4,190.00","4,190.00","4,111.00","4,121.60","4,130.60","4,147.00","2,99,035","1,24,00,98,289.40","30,265","60,434",20.21
TATAELXSI,EQ,20-Mar-2026,"4,039.30","4,107.90","4,280.00","4,105.00","4,236.00","4,237.70","4,221.54","8,26,879","3,49,07,03,355.30","62,643","1,21,958",14.75
TATAELXSI,EQ,19-Mar-2026,"4,207.40","4,178.10","4,178.10","4,021.60","4,055.10","4,039.30","4,081.01","3,65,192","1,49,03,51,695.40","40,061","1,26,062",34.52
TATAELXSI,EQ,18-Mar-2026,"4,103.60","4,112.00","4,321.10","4,112.00","4,200.00","4,207.40","4,239.64","6,09,173","2,58,26,72,004.30","52,225","1,47,305",24.18
TATAELXSI,EQ,17-Mar-2026,"4,202.20","4,210.00","4,218.00","4,050.90","4,110.00","4,103.60","4,108.97","4,79,527","1,97,03,60,969.80","52,837","1,06,006",22.11
TATAELXSI,EQ,16-Mar-2026,"4,255.00","4,233.70","4,255.00","4,118.20","4,180.00","4,202.20","4,184.53","4,07,416","1,70,48,46,285.50","35,317","65,936",16.18
TATAELXSI,EQ,13-Mar-2026,"4,330.00","4,325.00","4,327.00","4,234.90","4,253.00","4,255.00","4,269.05","1,85,443","79,16,65,154.90","21,530","63,473",34.23
TATAELXSI,EQ,12-Mar-2026,"4,343.40","4,340.00","4,380.00","4,253.00","4,330.00","4,330.00","4,323.94","2,27,665","98,44,09,689.60","28,804","73,035",32.08
TATAELXSI,EQ,11-Mar-2026,"4,356.60","4,377.70","4,425.00","4,325.00","4,345.10","4,343.40","4,372.26","2,18,308","95,44,98,616.20","25,986","84,005",38.48
TATAELXSI,EQ,10-Mar-2026,"4,303.70","4,352.00","4,380.00","4,265.00","4,353.00","4,356.60","4,317.32","2,41,362","1,04,20,37,551.50","27,130","78,009",32.32
TATAELXSI,EQ,09-Mar-2026,"4,330.20","4,295.00","4,321.30","4,221.50","4,319.00","4,303.70","4,266.08","1,97,809","84,38,68,083.90","24,294","56,709",28.67
TATAELXSI,EQ,06-Mar-2026,"4,400.00","4,420.00","4,490.00","4,321.00","4,330.00","4,330.20","4,385.07","2,67,961","1,17,50,27,669.80","29,276","72,566",27.08
TATAELXSI,EQ,05-Mar-2026,"4,357.70","4,400.00","4,424.00","4,334.40","4,400.00","4,400.00","4,377.04","1,99,593","87,36,26,423.20","27,440","75,548",37.85
TATAELXSI,EQ,04-Mar-2026,"4,449.30","4,415.00","4,448.00","4,318.00","4,353.10","4,357.70","4,365.83","2,79,451","1,22,00,35,092.10","33,662","1,23,265",44.11
TATAELXSI,EQ,02-Mar-2026,"4,513.00","4,317.70","4,529.00","4,317.70","4,460.00","4,449.30","4,448.22","3,03,080","1,34,81,67,725.40","35,760","87,042",28.72
TATAELXSI,EQ,27-Feb-2026,"4,507.50","4,522.00","4,596.00","4,490.50","4,504.00","4,513.00","4,530.80","3,45,149","1,56,38,01,912.00","33,827","1,25,525",36.37
TATAELXSI,EQ,26-Feb-2026,"4,577.00","4,600.00","4,696.00","4,470.50","4,510.50","4,507.50","4,584.15","4,69,675","2,15,30,60,898.50","46,359","1,55,891",33.19
TATAELXSI,EQ,25-Feb-2026,"4,498.00","4,524.50","4,670.00","4,524.00","4,580.50","4,577.00","4,595.00","4,33,884","1,99,36,96,593.50","44,572","1,55,751",35.9
TATAELXSI,EQ,24-Feb-2026,"4,714.00","4,675.50","4,700.00","4,455.00","4,518.00","4,498.00","4,533.06","4,65,584","2,11,05,19,318.50","54,880","1,73,937",37.36
TATAELXSI,EQ,23-Feb-2026,"4,859.00","4,845.50","4,873.00","4,679.00","4,700.00","4,714.00","4,743.29","3,27,068","1,55,13,78,542.00","43,494","1,29,480",39.59
TATAELXSI,EQ,20-Feb-2026,"4,839.50","4,830.00","4,910.00","4,788.00","4,838.00","4,859.00","4,855.31","2,27,011","1,10,22,08,497.00","26,493","54,603",24.05
TATAELXSI,EQ,19-Feb-2026,"4,885.00","4,889.50","4,981.00","4,812.00","4,828.00","4,839.50","4,916.73","2,82,759","1,39,02,50,847.50","30,148","56,252",19.89
TATAELXSI,EQ,18-Feb-2026,"4,919.00","4,940.00","4,940.00","4,821.00","4,881.00","4,885.00","4,866.83","1,81,973","88,56,30,909.50","23,887","44,742",24.59
TATAELXSI,EQ,17-Feb-2026,"4,821.00","4,820.50","5,044.00","4,806.50","4,904.00","4,919.00","4,939.76","4,23,010","2,08,95,69,848.50","39,417","61,095",14.44
TATAELXSI,EQ,16-Feb-2026,"4,824.00","4,824.00","4,845.00","4,750.00","4,811.00","4,821.00","4,795.51","2,15,518","1,03,35,18,775.00","27,994","60,850",28.23
TATAELXSI,EQ,13-Feb-2026,"4,976.00","4,850.00","4,891.50","4,755.00","4,814.50","4,824.00","4,816.91","4,41,804","2,12,81,29,320.00","49,849","1,08,975",24.67
TATAELXSI,EQ,12-Feb-2026,"5,250.50","5,206.00","5,224.50","4,955.50","4,967.50","4,976.00","5,032.45","5,64,653","2,84,15,89,322.50","58,704","2,20,087",38.98
TATAELXSI,EQ,11-Feb-2026,"5,381.00","5,385.00","5,398.50","5,221.00","5,235.50","5,250.50","5,284.05","1,58,972","84,00,15,854.00","19,048","68,927",43.36
TATAELXSI,EQ,10-Feb-2026,"5,233.00","5,260.00","5,394.50","5,228.00","5,380.50","5,381.00","5,347.35","2,13,253","1,14,03,39,199.00","26,366","66,167",31.03
TATAELXSI,EQ,09-Feb-2026,"5,198.50","5,229.00","5,284.00","5,200.50","5,215.00","5,233.00","5,237.01","1,65,677","86,76,51,748.50","17,856","50,884",30.71
TATAELXSI,EQ,06-Feb-2026,"5,406.00","5,390.00","5,390.00","5,120.00","5,205.50","5,198.50","5,210.11","4,26,399","2,22,15,84,322.00","44,115","1,19,385",28.0
TATAELXSI,EQ,05-Feb-2026,"5,510.00","5,497.00","5,565.00","5,374.50","5,390.00","5,406.00","5,454.80","2,07,397","1,13,13,08,809.50","27,859","75,760",36.53
TATAELXSI,EQ,04-Feb-2026,"5,508.00","5,408.00","5,531.50","5,310.00","5,500.00","5,510.00","5,415.81","3,60,048","1,94,99,50,245.00","40,787","1,41,190",39.21
TATAELXSI,EQ,03-Feb-2026,"5,440.00","5,600.00","5,636.50","5,450.00","5,501.00","5,508.00","5,522.86","2,01,609","1,11,34,57,917.00","26,961","80,506",39.93
TATAELXSI,EQ,02-Feb-2026,"5,421.00","5,448.00","5,450.50","5,344.00","5,445.00","5,440.00","5,386.68","1,92,320","1,03,59,65,702.50","28,060","84,699",44.04
TATAELXSI,EQ,01-Feb-2026,"5,323.50","5,317.50","5,570.00","5,281.00","5,413.00","5,421.00","5,427.57","3,34,294","1,81,44,02,912.00","29,800","1,08,031",32.32
TATAELXSI,EQ,30-Jan-2026,"5,332.00","5,324.00","5,333.00","5,241.50","5,325.00","5,323.50","5,302.10","1,66,386","88,21,95,207.00","22,496","76,408",45.92
TATAELXSI,EQ,29-Jan-2026,"5,391.00","5,395.00","5,405.50","5,263.00","5,322.00","5,332.00","5,322.89","2,09,744","1,11,64,43,939.50","25,734","91,980",43.85
TATAELXSI,EQ,28-Jan-2026,"5,415.00","5,438.00","5,453.50","5,350.50","5,387.00","5,391.00","5,391.19","1,21,318","65,40,47,796.50","16,156","40,825",33.65
TATAELXSI,EQ,27-Jan-2026,"5,409.50","5,404.00","5,445.00","5,340.00","5,439.50","5,415.00","5,388.76","1,88,198","1,01,41,53,759.50","24,388","64,635",34.34
TATAELXSI,EQ,23-Jan-2026,"5,464.00","5,474.00","5,507.50","5,374.50","5,400.00","5,409.50","5,430.75","1,94,177","1,05,45,27,079.50","19,588","89,947",46.32
TATAELXSI,EQ,22-Jan-2026,"5,347.50","5,375.00","5,547.50","5,373.00","5,451.00","5,464.00","5,455.99","3,77,733","2,06,09,07,311.00","34,833","1,42,510",37.73
TATAELXSI,EQ,21-Jan-2026,"5,387.00","5,367.00","5,449.50","5,280.50","5,350.00","5,347.50","5,351.72","3,96,287","2,12,08,17,175.00","40,300","1,38,898",35.05
TATAELXSI,EQ,20-Jan-2026,"5,563.00","5,565.00","5,566.00","5,361.00","5,395.00","5,387.00","5,443.20","2,68,719","1,46,26,91,427.00","29,453","44,587",16.59
TATAELXSI,EQ,19-Jan-2026,"5,605.50","5,604.50","5,614.50","5,486.50","5,555.00","5,563.00","5,546.67","2,60,863","1,44,69,21,464.50","25,101","34,080",13.06
TATAELXSI,EQ,16-Jan-2026,"5,505.00","5,505.00","5,693.00","5,480.00","5,591.50","5,605.50","5,603.81","5,95,759","3,33,85,17,392.50","53,733","89,010",14.94
TATAELXSI,EQ,14-Jan-2026,"5,793.00","5,700.00","5,766.00","5,467.00","5,475.00","5,505.00","5,597.96","9,22,269","5,16,28,28,417.00","86,089","1,52,555",16.54
TATAELXSI,EQ,13-Jan-2026,"5,693.50","5,744.00","5,824.00","5,681.00","5,793.00","5,793.00","5,763.23","3,84,976","2,21,87,04,944.50","38,554","61,641",16.01
TATAELXSI,EQ,12-Jan-2026,"5,691.00","5,650.00","5,762.50","5,582.50","5,678.00","5,693.50","5,676.42","3,01,050","1,70,88,85,660.00","37,867","58,917",19.57
TATAELXSI,EQ,09-Jan-2026,"5,716.50","5,662.00","5,836.50","5,646.00","5,680.00","5,691.00","5,732.77","5,33,373","3,05,77,04,652.50","49,553","1,41,569",26.54
TATAELXSI,EQ,08-Jan-2026,"5,853.00","5,853.00","5,950.00","5,645.50","5,700.00","5,716.50","5,770.54","10,39,700","5,99,96,32,970.50","88,802","1,65,302",15.9
TATAELXSI,EQ,07-Jan-2026,"5,345.00","5,340.00","5,923.00","5,336.00","5,851.00","5,853.00","5,777.82","28,93,997","16,72,09,82,219.00","1,88,811","4,41,138",15.24
TATAELXSI,EQ,06-Jan-2026,"5,363.50","5,350.00","5,392.50","5,309.50","5,343.00","5,345.00","5,348.83","92,573","49,51,56,782.00","15,864","40,003",43.21
TATAELXSI,EQ,05-Jan-2026,"5,337.50","5,368.50","5,398.00","5,292.50","5,364.00","5,363.50","5,355.79","1,50,166","80,42,57,613.50","22,622","54,825",36.51
TATAELXSI,EQ,02-Jan-2026,"5,211.50","5,211.50","5,377.50","5,197.50","5,375.00","5,337.50","5,286.39","1,26,422","66,83,16,408.50","17,033","42,894",33.93
TATAELXSI,EQ,01-Jan-2026,"5,240.50","5,250.00","5,253.00","5,185.00","5,215.00","5,211.50","5,210.70","45,872","23,90,25,324.00","7,333","15,802",34.45
TATAELXSI,EQ,31-Dec-2025,"5,193.00","5,193.00","5,264.00","5,180.00","5,210.00","5,240.50","5,228.21","82,797","43,28,79,754.50","11,851","25,320",30.58
TATAELXSI,EQ,30-Dec-2025,"5,315.50","5,318.00","5,342.00","5,175.50","5,210.50","5,193.00","5,244.94","1,41,898","74,42,46,761.00","21,325","56,165",39.58
TATAELXSI,EQ,29-Dec-2025,"5,348.00","5,349.00","5,369.50","5,279.50","5,320.00","5,315.50","5,312.76","96,723","51,38,65,899.50","13,610","31,638",32.71
TATAELXSI,EQ,26-Dec-2025,"5,387.50","5,370.00","5,425.00","5,335.00","5,340.00","5,348.00","5,376.23","84,561","45,46,19,008.50","11,936","27,980",33.09
TATAELXSI,EQ,24-Dec-2025,"5,429.00","5,429.50","5,435.00","5,363.00","5,393.00","5,387.50","5,392.29","96,729","52,15,90,821.50","13,541","30,110",31.13
TATAELXSI,EQ,23-Dec-2025,"5,458.50","5,440.00","5,483.50","5,402.50","5,420.00","5,429.00","5,438.86","1,59,234","86,60,50,695.50","19,662","37,295",23.42
TATAELXSI,EQ,22-Dec-2025,"5,413.50","5,410.50","5,506.50","5,397.50","5,446.00","5,458.50","5,468.78","4,55,234","2,48,95,72,918.50","47,986","1,17,453",25.8
TATAELXSI,EQ,19-Dec-2025,"5,013.50","5,116.00","5,450.00","5,062.00","5,410.00","5,413.50","5,330.77","17,73,370","9,45,34,28,660.50","1,29,988","2,05,540",11.59
TATAELXSI,EQ,18-Dec-2025,"4,968.50","4,980.00","5,049.50","4,934.50","5,046.00","5,013.50","4,990.49","1,05,540","52,66,95,892.00","14,825","41,336",39.17
TATAELXSI,EQ,17-Dec-2025,"4,998.00","5,000.00","5,052.50","4,950.50","4,962.00","4,968.50","4,991.65","72,380","36,12,95,488.00","11,477","26,664",36.84
TATAELXSI,EQ,16-Dec-2025,"5,048.50","5,044.00","5,044.00","4,980.00","4,997.50","4,998.00","5,006.12","66,003","33,04,19,010.50","10,554","26,527",40.19
TATAELXSI,EQ,15-Dec-2025,"5,030.50","5,045.50","5,126.00","5,016.00","5,045.00","5,048.50","5,060.94","1,14,281","57,83,69,059.00","14,381","25,189",22.04
TATAELXSI,EQ,12-Dec-2025,"5,016.50","5,026.50","5,040.00","4,988.50","5,032.00","5,030.50","5,015.03","82,176","41,21,15,135.50","11,169","27,192",33.09
TATAELXSI,EQ,11-Dec-2025,"4,863.00","4,895.00","5,026.50","4,864.00","5,010.00","5,016.50","4,952.72","1,39,396","69,03,88,811.50","17,894","46,772",33.55
TATAELXSI,EQ,10-Dec-2025,"4,979.50","5,002.50","5,003.00","4,855.00","4,861.00","4,863.00","4,910.00","1,83,782","90,23,69,319.50","28,216","83,274",45.31
TATAELXSI,EQ,09-Dec-2025,"5,034.50","5,034.00","5,035.00","4,948.00","4,973.00","4,979.50","4,991.66","1,46,223","72,98,96,197.50","21,385","66,451",45.44
TATAELXSI,EQ,08-Dec-2025,"5,217.50","5,217.50","5,229.50","5,008.00","5,026.00","5,034.50","5,099.79","2,42,850","1,23,84,83,075.50","30,525","1,37,241",56.51
TATAELXSI,EQ,05-Dec-2025,"5,216.50","5,220.00","5,269.00","5,196.00","5,217.00","5,217.50","5,231.53","2,62,396","1,37,27,32,089.50","21,951","1,54,643",58.93
